time,open,high,low,close,volume
2021-06-11,11.46,11.46,11.46,11.46,2000
2021-06-14,13.12,13.12,13.12,13.12,2200
2021-06-15,15.01,15.01,15.01,15.01,3000
2021-06-16,17.23,17.23,17.23,17.23,2000
2021-06-17,19.76,19.76,19.76,19.76,4300
2021-06-18,22.68,22.68,22.68,22.68,5600
2021-06-21,26.08,26.08,26.08,26.08,20600
2021-06-22,29.95,29.95,29.87,29.87,60400
2021-06-23,29.95,34.38,29.95,34.06,28400
2021-06-24,35.56,35.56,29.0,31.21,20400
2021-06-25,25.68,25.68,25.68,25.68,8200
2021-06-28,21.89,21.89,21.89,21.89,9400
2021-06-29,18.65,18.65,18.65,18.65,8900
2021-06-30,15.88,21.42,15.88,21.42,15800
2021-07-01,19.84,19.84,19.84,19.84,3300
2021-07-02,22.76,22.76,22.76,22.76,4800
2021-07-05,26.16,26.16,19.76,22.44,12700
2021-07-06,18.97,22.05,18.97,19.05,1600
2021-07-07,18.49,18.65,18.49,18.57,700
2021-07-08,20.15,20.15,19.28,19.76,3400
2021-07-09,19.76,19.76,19.6,19.6,1200
2021-07-12,19.76,19.76,19.76,19.76,500
2021-07-13,19.68,19.68,16.83,16.83,2100
2021-07-14,15.8,19.44,15.8,18.97,4700
2021-07-15,18.18,18.97,16.75,18.97,2700
2021-07-16,17.39,19.99,17.39,19.76,3200
2021-07-19,16.83,18.73,16.75,18.73,600
2021-07-20,16.2,18.02,16.2,18.02,2000
2021-07-21,18.18,18.18,17.86,17.86,500
2021-07-22,18.02,18.97,17.78,18.97,2000
2021-07-23,18.18,18.89,18.18,18.89,2100
2021-07-26,18.1,18.18,18.1,18.18,500
2021-07-27,19.28,19.36,15.8,18.89,4400
2021-07-28,18.89,18.89,16.75,18.89,1400
2021-07-29,17.39,19.76,17.39,19.76,1700
2021-07-30,18.1,19.44,18.1,19.44,2800
2021-08-02,18.49,18.49,18.49,18.49,0
2021-08-03,18.49,18.49,18.49,19.44,0
2021-08-04,16.28,19.68,16.28,18.81,3200
2021-08-05,17.54,18.97,17.54,17.54,2100
2021-08-06,15.88,18.89,15.88,18.89,800
2021-08-09,17.15,17.23,17.15,17.15,600
2021-08-10,16.99,17.15,16.99,17.15,200
2021-08-11,18.81,18.89,18.81,18.89,300
2021-08-12,18.89,18.89,18.89,18.89,0
2021-08-13,18.33,18.33,17.31,17.54,700
2021-08-16,15.96,18.02,15.96,18.02,2600
2021-08-17,17.86,17.86,17.86,18.02,0
2021-08-18,17.86,17.86,17.86,18.02,0
2021-08-19,17.78,17.78,17.78,17.78,100
2021-08-20,16.2,16.28,15.96,16.28,1400
2021-08-23,14.38,18.18,14.3,18.02,1300
2021-08-24,18.02,18.02,18.02,18.02,1700
2021-08-25,18.02,18.02,18.02,18.02,0
2021-08-26,15.88,17.39,15.33,17.39,1800
2021-08-27,18.57,18.57,18.33,18.22,500
2021-08-30,17.39,18.33,16.6,18.33,500
2021-08-31,18.1,18.1,18.1,18.1,100
2021-09-01,18.1,18.1,18.1,18.1,0
2021-09-06,17.7,17.7,17.7,17.7,100
2021-09-07,17.7,17.7,17.7,17.7,200
2021-09-08,19.36,19.36,18.81,18.81,600
2021-09-09,18.89,18.97,18.89,18.97,600
2021-09-10,18.89,18.89,18.89,18.89,0
2021-09-13,18.89,18.89,18.89,18.89,0
2021-09-14,16.12,18.18,16.12,18.1,1100
2021-09-15,19.36,19.36,18.57,18.57,600
2021-09-16,18.41,18.41,18.41,18.41,100
2021-09-17,18.41,18.41,18.41,18.41,0
2021-09-20,16.6,17.39,15.88,17.39,2100
2021-09-21,16.44,16.44,16.44,16.44,300
2021-09-22,16.44,16.44,15.8,15.8,1400
2021-09-23,17.39,17.39,15.8,16.67,1600
2021-09-24,16.6,17.39,16.52,17.39,4300
2021-09-27,16.75,17.78,16.75,17.78,3800
2021-09-28,17.86,17.86,15.88,15.88,1500
2021-09-29,16.99,16.99,15.8,15.88,1800
2021-09-30,16.52,16.52,16.52,16.52,0
2021-10-01,16.52,16.52,16.52,16.52,0
2021-10-04,16.36,16.44,16.36,16.44,2100
2021-10-05,16.44,16.44,16.36,16.36,1300
2021-10-06,15.88,16.2,15.8,15.8,4200
2021-10-07,15.8,17.78,15.8,17.39,8100
2021-10-08,16.2,16.2,16.2,16.2,800
2021-10-11,16.2,16.44,16.2,16.44,200
2021-10-12,16.36,16.36,16.36,16.36,1500
2021-10-13,16.2,16.36,14.54,16.36,700
2021-10-14,15.96,17.23,15.96,17.23,1300
2021-10-15,17.54,17.54,16.99,16.99,1800
2021-10-18,16.99,16.99,16.2,16.28,2300
2021-10-19,16.28,17.31,15.88,17.31,3600
2021-10-20,16.99,16.99,16.99,16.99,100
2021-10-21,16.44,16.44,15.33,15.8,2100
2021-10-22,15.8,15.8,15.57,15.57,1400
2021-10-25,15.57,15.57,15.49,15.57,2100
2021-10-26,15.49,15.8,15.49,15.8,7700
2021-10-27,15.41,15.8,15.41,15.8,4000
2021-10-28,15.8,16.44,15.8,15.88,1400
2021-10-29,16.52,16.52,16.44,16.44,500
2021-11-01,16.2,16.75,15.8,16.6,6000
2021-11-02,16.75,17.39,16.6,17.39,5300
2021-11-03,17.15,18.97,17.15,18.97,2900
2021-11-04,17.62,18.18,17.62,18.18,900
2021-11-05,17.78,18.18,17.78,18.18,1400
2021-11-08,17.7,17.78,17.39,17.39,2000
2021-11-09,17.39,17.39,17.39,17.39,2500
2021-11-10,17.39,17.39,17.39,17.39,0
2021-11-11,17.39,17.78,17.39,17.39,3300
2021-11-12,17.46,17.46,17.46,17.46,100
2021-11-15,17.39,17.39,17.39,17.39,1200
2021-11-16,17.46,17.54,17.39,17.46,2100
2021-11-17,18.02,19.12,18.02,19.12,4100
2021-11-18,18.89,21.65,18.89,21.65,15200
2021-11-19,22.76,22.76,22.76,22.76,2700
2021-11-22,26.16,26.16,26.16,26.16,9800
2021-11-23,30.03,30.03,22.28,26.71,8800
2021-11-24,25.84,25.84,22.92,22.92,7700
2021-11-25,22.13,23.71,21.26,21.34,6300
2021-11-26,21.42,24.58,21.42,24.58,3600
2021-11-29,19.91,23.71,19.91,23.71,700
2021-11-30,22.28,22.92,22.28,22.92,200
2021-12-01,23.15,23.71,21.02,23.71,9300
2021-12-02,22.13,22.92,22.13,22.13,2500
2021-12-03,24.26,24.5,22.92,22.92,2900
2021-12-06,23.0,23.0,22.92,23.0,2600
2021-12-07,23.71,24.5,23.71,24.5,200
2021-12-08,24.1,24.1,23.71,23.86,1800
