time,open,high,low,close,volume
2020-01-06,12.0,12.0,12.0,12.0,0
2020-01-07,12.0,12.0,12.0,12.0,0
2020-01-08,12.0,12.0,12.0,12.0,0
2020-01-09,12.0,12.0,12.0,12.0,0
2020-01-10,12.0,12.0,12.0,12.0,0
2020-01-13,12.0,12.0,12.0,12.0,0
2020-01-14,12.0,12.0,12.0,12.0,0
2020-01-15,12.0,12.0,12.0,12.0,0
2020-01-16,10.0,10.0,10.0,10.0,77800
2020-01-17,10.0,10.0,10.0,10.0,0
2020-01-20,10.0,10.0,10.0,10.0,0
2020-01-21,10.0,10.0,10.0,10.0,0
2020-01-22,10.0,10.0,10.0,10.0,0
2020-01-30,10.0,10.0,10.0,10.0,0
2020-01-31,10.0,10.0,10.0,10.0,0
2020-02-03,10.0,10.0,10.0,10.0,0
2020-02-04,10.0,10.0,10.0,10.0,0
2020-02-05,10.0,10.0,10.0,10.0,0
2020-02-06,10.0,10.0,10.0,10.0,0
2020-02-07,11.5,11.5,11.5,11.5,100
2020-02-10,11.5,11.5,11.5,11.5,0
2020-02-11,11.5,11.5,11.5,11.5,0
2020-02-12,11.5,11.5,11.5,11.5,0
2020-02-13,11.5,11.5,11.5,11.5,0
2020-02-14,11.5,11.5,11.5,11.5,6
2020-02-17,11.5,11.5,11.5,11.5,0
2020-02-18,11.5,11.5,11.5,11.5,0
2020-02-19,11.5,11.5,11.5,11.5,17
2020-02-20,11.5,11.5,11.5,11.5,0
2020-02-21,9.8,9.8,9.8,9.8,214006
2020-02-24,9.8,9.8,9.8,9.8,0
2020-02-25,9.8,9.8,9.8,9.8,0
2020-02-26,9.8,9.8,9.8,9.8,0
2020-02-27,9.8,9.8,9.8,9.8,0
2020-02-28,9.8,9.8,9.8,9.8,0
2020-03-02,9.8,9.8,9.8,9.8,0
2020-03-03,9.8,9.8,9.8,9.8,0
2020-03-04,9.8,9.8,9.8,9.8,0
2020-03-05,11.2,11.2,11.2,11.2,100
2020-03-06,12.8,12.8,12.8,12.8,100
2020-03-09,14.6,14.6,14.6,14.6,100
2020-03-10,14.6,14.6,14.6,14.6,0
2020-03-11,14.6,14.6,14.6,14.6,0
2020-03-12,16.7,16.7,16.7,16.7,100
2020-03-13,18.6,18.7,18.6,18.7,1290000
2020-03-16,18.6,18.6,18.6,18.7,0
2020-03-17,18.7,18.7,18.7,18.7,531000
2020-03-18,18.7,18.7,18.7,18.7,0
2020-03-19,15.9,15.9,15.9,15.9,1000
2020-03-20,15.9,15.9,15.9,15.9,0
2020-03-23,15.5,15.5,13.6,13.6,5300
2020-03-24,11.7,11.7,11.7,11.7,243500
2020-03-25,11.7,11.7,11.7,11.7,1
2020-03-26,11.7,11.7,11.7,11.7,0
2020-03-27,11.7,11.7,11.7,11.7,0
2020-03-30,11.7,11.7,11.7,11.7,0
2020-03-31,11.7,11.7,11.7,11.7,0
2020-04-01,11.7,11.7,11.7,11.7,0
2020-04-03,11.7,11.7,11.7,11.7,0
2020-04-06,11.7,11.7,11.7,11.7,12
2020-04-07,11.7,11.7,11.7,11.7,0
2020-04-08,11.7,11.7,11.7,11.7,0
2020-04-09,11.7,11.7,11.7,11.7,0
2020-04-10,11.7,11.7,11.7,11.7,0
2020-04-13,11.7,11.7,11.7,11.7,0
2020-04-14,11.7,11.7,11.7,11.7,0
2020-04-15,11.7,11.7,11.7,11.7,0
2020-04-16,11.7,11.7,11.7,11.7,0
2020-04-17,11.7,11.7,11.7,11.7,1
2020-04-20,11.7,11.7,11.7,11.7,0
2020-04-21,11.7,11.7,11.7,11.7,0
2020-04-22,11.7,11.7,11.7,11.7,0
2020-04-23,11.7,11.7,11.7,11.7,0
2020-04-24,11.7,11.7,11.7,11.7,0
2020-04-27,11.7,11.7,11.7,11.7,0
2020-04-28,11.7,11.7,11.7,11.7,0
2020-04-29,11.7,11.7,11.7,11.7,0
2020-05-04,11.7,11.7,11.7,11.7,0
2020-05-05,11.7,11.7,11.7,11.7,0
2020-05-06,11.7,11.7,11.7,11.7,0
2020-05-07,11.7,11.7,11.7,11.7,0
2020-05-08,11.7,11.7,11.7,11.7,0
2020-05-11,11.7,11.7,11.7,11.7,0
2020-05-12,11.7,11.7,11.7,11.7,0
2020-05-13,11.7,11.7,11.7,11.7,0
2020-05-14,11.7,11.7,11.7,11.7,0
2020-05-15,11.7,11.7,11.7,11.7,0
2020-05-18,11.7,11.7,11.7,11.7,0
2020-05-19,11.7,11.7,11.7,11.7,0
2020-05-20,11.7,11.7,11.7,11.7,0
2020-05-21,11.7,11.7,11.7,11.7,0
2020-05-22,11.7,11.7,11.7,11.7,0
2020-05-25,11.7,11.7,11.7,11.7,0
2020-05-26,11.7,11.7,11.7,11.7,0
2020-05-27,11.7,11.7,11.7,11.7,0
2020-05-28,11.7,11.7,11.7,11.7,0
2020-05-29,11.7,11.7,11.7,11.7,0
2020-06-01,11.7,11.7,11.7,11.7,0
2020-06-02,11.7,11.7,11.7,11.7,0
2020-06-03,11.7,11.7,11.7,11.7,0
2020-06-04,11.7,11.7,11.7,11.7,0
2020-06-05,11.7,11.7,11.7,11.7,0
2020-06-08,11.7,11.7,11.7,11.7,0
2020-06-09,11.7,11.7,11.7,11.7,0
2020-06-10,11.7,11.7,11.7,11.7,0
2020-06-11,11.7,11.7,11.7,11.7,0
2020-06-12,11.7,11.7,11.7,11.7,0
2020-06-15,11.7,11.7,11.7,11.7,0
2020-06-16,11.7,11.7,11.7,11.7,0
2020-06-17,11.7,11.7,11.7,11.7,0
2020-06-18,11.7,11.7,11.7,11.7,0
2020-06-19,11.7,11.7,11.7,11.7,0
2020-06-22,11.7,11.7,11.7,11.7,0
2020-06-23,11.7,11.7,11.7,11.7,0
2020-06-24,11.7,11.7,11.7,11.7,0
2020-06-25,11.7,11.7,11.7,11.7,0
2020-06-26,11.7,11.7,11.7,11.7,0
2020-06-29,11.7,11.7,11.7,11.7,0
2020-06-30,11.7,11.7,11.7,11.7,0
2020-07-01,11.7,11.7,11.7,11.7,0
2020-07-02,11.7,11.7,11.7,11.7,0
2020-07-03,11.7,11.7,11.7,11.7,0
2020-07-06,11.7,11.7,11.7,11.7,0
2020-07-07,11.7,11.7,11.7,11.7,0
2020-07-08,11.7,11.7,11.7,11.7,0
2020-07-09,11.7,11.7,11.7,11.7,0
2020-07-10,11.7,11.7,11.7,11.7,0
2020-07-13,11.7,11.7,11.7,11.7,0
2020-07-14,11.7,11.7,11.7,11.7,0
2020-07-15,11.7,11.7,11.7,11.7,0
2020-07-16,11.7,11.7,11.7,11.7,0
2020-07-17,11.7,11.7,11.7,11.7,0
2020-07-20,11.7,11.7,11.7,11.7,0
2020-07-21,11.7,11.7,11.7,11.7,0
2020-07-22,11.7,11.7,11.7,11.7,0
2020-07-23,11.7,11.7,11.7,11.7,0
2020-07-24,11.7,11.7,11.7,11.7,0
2020-07-27,11.7,11.7,11.7,11.7,0
