time,open,high,low,close,volume
2020-01-06,23.66,23.66,19.66,19.66,11000
2020-01-07,22.32,22.32,21.18,21.18,1800
2020-01-08,23.17,23.17,21.18,21.18,2400
2020-01-09,22.02,22.02,22.02,21.18,0
2020-01-10,22.02,22.02,22.02,21.18,0
2020-01-13,21.18,21.18,20.57,20.57,1800
2020-01-14,21.36,21.36,20.57,20.57,5600
2020-01-15,20.57,20.57,20.57,20.57,1000
2020-01-16,22.02,22.02,20.57,20.57,1900
2020-01-17,21.24,21.24,21.24,20.57,0
2020-01-20,20.57,20.57,20.39,20.57,3900
2020-01-21,20.57,20.57,20.27,20.57,1100
2020-01-22,20.15,20.15,19.66,19.97,19000
2020-01-30,19.97,21.78,19.97,21.78,3829
2020-01-31,21.42,21.42,19.97,19.97,4000
2020-02-03,18.88,20.57,18.76,20.51,4507
2020-02-04,20.81,21.12,20.57,21.12,3113
2020-02-05,22.87,22.87,22.87,22.87,800
2020-02-06,21.18,21.18,20.57,20.57,7200
2020-02-07,22.75,22.75,21.18,21.18,5800
2020-02-10,21.42,21.42,21.42,21.42,1000
2020-02-11,24.02,24.02,21.42,21.42,2100
2020-02-12,21.42,21.78,21.18,21.18,3300
2020-02-13,21.42,21.66,21.18,21.66,7705
2020-02-14,21.42,21.42,21.42,21.42,500
2020-02-17,22.69,22.69,22.69,22.69,1100
2020-02-18,21.48,21.48,21.48,21.48,3400
2020-02-19,23.23,23.23,21.66,21.66,1711
2020-02-20,22.51,22.51,22.51,21.66,0
2020-02-21,22.39,22.39,22.39,22.39,100
2020-02-24,19.06,22.32,19.06,21.78,1100
2020-02-25,21.78,21.78,21.78,21.78,100
2020-02-26,21.18,22.02,21.18,22.02,1900
2020-02-27,21.72,21.72,21.48,21.48,200
2020-02-28,24.08,24.08,24.08,24.08,1800
2020-03-02,21.18,21.18,21.18,21.18,1200
2020-03-03,21.18,21.18,21.18,21.18,0
2020-03-04,22.63,22.63,21.18,21.18,2700
2020-03-05,22.08,22.08,22.08,21.18,0
2020-03-06,21.18,21.18,20.99,20.99,700
2020-03-09,20.57,21.12,20.57,21.12,1100
2020-03-10,23.35,23.35,23.35,23.35,1006
2020-03-11,21.18,21.18,21.18,21.18,1000
2020-03-12,22.32,22.32,22.32,22.32,1000
2020-03-13,21.18,21.18,21.18,21.18,100
2020-03-16,21.9,21.96,21.18,21.18,1600
2020-03-17,21.18,22.26,21.18,22.26,806
2020-03-18,22.26,22.26,22.26,22.26,1100
2020-03-19,22.93,22.93,20.57,20.57,4700
2020-03-20,20.99,20.99,20.99,20.57,0
2020-03-23,21.42,21.42,19.36,19.36,16300
2020-03-24,21.12,21.12,20.27,20.57,1600
2020-03-25,20.57,20.57,20.57,20.57,1791
2020-03-26,21.9,21.96,20.51,20.57,3000
2020-03-27,21.42,21.42,21.42,21.42,700
2020-03-30,20.57,20.57,20.57,20.57,200
2020-03-31,20.27,20.57,20.27,20.57,3600
2020-04-01,22.2,22.2,21.18,21.18,1400
2020-04-03,21.54,21.54,21.54,21.18,34
2020-04-06,21.18,21.18,21.18,21.18,1900
2020-04-07,21.18,21.18,21.18,21.18,0
2020-04-08,21.18,21.18,20.99,21.06,400
2020-04-09,20.57,21.06,20.57,20.57,500
2020-04-10,22.2,22.2,22.2,22.2,200
2020-04-13,23.54,23.54,20.39,20.57,1300
2020-04-14,21.12,21.18,21.06,21.06,300
2020-04-15,21.18,21.18,21.06,21.18,2400
