time,open,high,low,close,volume
2020-01-06,23.7,23.7,23.7,26.09,0
2020-01-07,23.7,23.7,23.7,26.09,0
2020-01-08,23.7,23.7,23.7,26.09,0
2020-01-09,23.7,23.7,23.7,26.09,0
2020-01-10,23.7,23.7,23.7,26.09,0
2020-01-13,20.86,20.86,20.86,20.86,100
2020-01-14,22.63,23.52,22.63,22.63,29028
2020-01-15,22.19,22.99,22.19,22.63,12214
2020-01-16,22.63,22.63,22.63,22.63,0
2020-01-17,22.63,22.63,22.63,22.63,10
2020-01-20,22.63,22.63,22.63,22.63,0
2020-01-21,22.63,22.63,22.63,22.63,0
2020-01-22,22.19,22.19,22.19,22.19,500
2020-01-30,22.19,22.19,21.3,22.19,9500
2020-01-31,21.74,21.74,21.74,22.19,0
2020-02-03,21.74,21.74,21.74,22.19,1
2020-02-04,21.74,21.74,21.74,22.19,0
2020-02-05,21.74,21.74,21.74,22.19,0
2020-02-06,21.74,21.74,21.74,22.19,0
2020-02-07,21.74,21.74,21.74,22.19,0
2020-02-10,21.74,21.74,21.74,22.19,0
2020-02-11,21.74,21.74,21.74,22.19,0
2020-02-12,21.74,21.74,21.74,22.19,0
2020-02-13,21.74,21.74,21.74,22.19,0
2020-02-14,21.74,21.74,21.74,22.19,0
2020-02-17,21.74,21.74,21.74,22.19,0
2020-02-18,21.74,21.74,21.74,22.19,0
2020-02-19,21.74,21.74,21.74,22.19,0
2020-02-20,21.74,21.74,21.74,22.19,0
2020-02-21,21.74,21.74,21.74,22.19,0
2020-02-24,23.07,23.07,23.07,23.07,100
2020-02-25,20.86,20.86,20.86,20.86,2000
2020-02-26,22.99,22.99,22.99,22.99,2900
2020-02-27,22.63,22.63,22.19,22.19,13600
2020-02-28,20.77,20.77,20.77,20.77,100
2020-03-02,20.77,20.77,20.77,20.77,5
2020-03-03,20.77,20.77,20.77,20.77,0
2020-03-04,20.77,20.77,20.77,20.77,0
2020-03-05,20.77,20.77,20.77,20.77,0
2020-03-06,20.77,20.77,20.77,20.77,10
2020-03-09,20.77,20.77,20.77,20.77,0
2020-03-10,20.77,20.77,20.77,20.77,0
2020-03-11,18.9,18.9,18.9,18.9,300
2020-03-12,18.9,18.9,18.9,18.9,0
2020-03-13,18.9,18.9,18.9,18.9,0
2020-03-16,18.9,18.9,18.9,18.9,0
2020-03-17,18.9,18.9,18.9,18.9,0
2020-03-18,18.9,18.9,18.9,18.9,10
2020-03-19,21.65,21.65,21.65,21.65,101
2020-03-20,24.85,24.85,20.41,20.41,600
2020-03-23,21.12,21.12,21.12,20.41,20
2020-03-24,18.19,18.19,18.19,18.19,1700
2020-03-25,18.19,18.19,18.19,18.19,0
2020-03-26,18.19,18.19,18.19,18.19,0
2020-03-27,18.19,18.19,18.19,18.19,0
2020-03-30,17.04,17.04,16.68,16.68,1000
2020-03-31,16.86,16.86,16.86,16.68,1
2020-04-01,19.26,19.26,19.26,19.26,108
2020-04-03,17.93,17.93,17.93,17.93,100
2020-04-06,16.77,16.77,16.77,16.77,420
2020-04-07,16.77,16.77,16.6,16.6,8100
2020-04-08,16.68,16.68,16.68,16.6,0
2020-04-09,16.15,16.15,16.06,16.06,7200
2020-04-10,16.06,16.06,16.06,16.06,0
2020-04-13,16.06,16.06,16.06,16.06,0
2020-04-14,16.06,16.06,16.06,16.06,0
2020-04-15,16.06,16.06,16.06,16.06,0
2020-04-16,16.33,16.33,16.24,16.24,8000
2020-04-17,17.66,17.66,17.66,17.66,100
2020-04-20,19.26,19.26,19.26,19.26,100
2020-04-21,19.26,19.26,19.26,19.26,0
2020-04-22,17.75,17.75,16.86,16.86,400
2020-04-23,19.79,19.79,19.79,19.79,100
2020-04-24,19.79,19.79,19.79,19.79,0
2020-04-27,21.57,21.57,21.57,21.57,100
2020-04-28,18.37,18.37,18.37,18.37,100
2020-04-29,19.97,19.97,19.97,19.97,100
2020-05-04,19.97,19.97,19.97,19.97,0
2020-05-05,22.9,22.9,22.9,22.9,100
2020-05-06,22.9,22.9,22.9,22.9,0
2020-05-07,19.52,19.52,19.52,19.52,1050
2020-05-08,19.52,19.52,19.52,19.52,0
