time,open,high,low,close,volume
2020-01-06,77.89,77.89,77.89,77.89,0
2020-01-07,77.89,77.89,77.89,77.89,0
2020-01-08,77.89,77.89,77.89,77.89,0
2020-01-09,77.89,77.89,77.89,77.89,0
2020-01-10,77.89,77.89,77.89,77.89,0
2020-01-13,77.89,77.89,77.89,77.89,0
2020-01-14,77.89,77.89,77.89,77.89,0
2020-01-15,77.89,77.89,77.89,77.89,0
2020-01-16,77.89,77.89,77.89,77.89,0
2020-01-17,77.89,77.89,77.89,77.89,0
2020-01-20,77.89,77.89,77.89,77.89,0
2020-01-21,77.89,77.89,77.89,77.89,0
2020-01-22,77.89,77.89,77.89,77.89,0
2020-01-30,77.89,77.89,77.89,77.89,0
2020-01-31,77.89,77.89,77.89,77.89,0
2020-02-03,77.89,77.89,77.89,77.89,0
2020-02-04,77.89,77.89,77.89,77.89,0
2020-02-05,77.89,77.89,77.89,77.89,0
2020-02-06,77.89,77.89,77.89,77.89,0
2020-02-07,77.89,77.89,77.89,77.89,0
2020-02-10,77.89,77.89,77.89,77.89,0
2020-02-11,77.89,77.89,77.89,77.89,0
2020-02-12,77.89,77.89,77.89,77.89,0
2020-02-13,77.89,77.89,77.89,77.89,0
2020-02-14,77.89,77.89,77.89,77.89,0
2020-02-17,77.89,77.89,77.89,77.89,0
2020-02-18,77.89,77.89,77.89,77.89,0
2020-02-19,77.89,77.89,77.89,77.89,0
2020-02-20,77.89,77.89,77.89,77.89,0
2020-02-21,77.89,77.89,77.89,77.89,0
2020-02-24,77.89,77.89,77.89,77.89,0
2020-02-25,77.89,77.89,77.89,77.89,0
2020-02-26,77.89,77.89,77.89,77.89,0
2020-02-27,77.89,77.89,77.89,77.89,0
2020-02-28,77.89,77.89,77.89,77.89,0
2020-03-02,77.89,77.89,77.89,77.89,0
2020-03-03,77.89,77.89,77.89,77.89,0
2020-03-04,77.89,77.89,77.89,77.89,0
2020-03-05,77.89,77.89,77.89,77.89,0
2020-03-06,77.89,77.89,77.89,77.89,0
2020-03-09,77.89,77.89,77.89,77.89,0
2020-03-10,77.89,77.89,77.89,77.89,0
2020-03-11,77.89,77.89,77.89,77.89,0
2020-03-12,77.89,77.89,77.89,77.89,0
2020-03-13,77.89,77.89,77.89,77.89,0
2020-03-16,77.89,77.89,77.89,77.89,0
2020-03-17,77.89,77.89,77.89,77.89,0
2020-03-18,77.89,77.89,77.89,77.89,0
2020-03-19,77.89,77.89,77.89,77.89,0
2020-03-20,77.89,77.89,77.89,77.89,0
2020-03-23,77.89,77.89,77.89,77.89,0
2020-03-24,77.89,77.89,77.89,77.89,0
2020-03-25,77.89,77.89,77.89,77.89,0
2020-03-26,77.89,77.89,77.89,77.89,0
2020-03-27,77.89,77.89,77.89,77.89,0
