time,open,high,low,close,volume
2020-01-06,4.69,4.69,4.69,4.69,1300
2020-01-07,4.0,4.0,4.0,4.0,2200
2020-01-08,3.44,3.44,3.44,3.44,2200
2020-01-09,3.13,3.13,2.94,3.06,14800
2020-01-10,3.0,3.0,3.0,3.06,0
2020-01-13,3.06,3.44,3.06,3.44,2500
2020-01-14,3.75,3.75,3.75,3.75,700
2020-01-15,3.81,3.81,3.19,3.75,25600
2020-01-16,3.63,3.63,3.63,3.63,100
2020-01-17,3.63,3.88,3.63,3.88,2400
2020-01-20,3.81,3.81,3.81,3.81,2100
2020-01-21,4.25,4.25,4.25,4.25,300
2020-01-22,4.88,4.88,4.69,4.69,300
2020-01-30,5.0,5.31,5.0,5.19,600
2020-01-31,5.82,5.82,5.82,5.82,100
2020-02-03,5.82,5.82,5.82,5.82,0
2020-02-04,6.32,6.32,6.32,6.32,100
2020-02-05,6.44,6.44,5.38,6.44,1300
2020-02-06,4.81,4.81,4.81,4.81,100
2020-02-07,4.13,4.13,4.13,4.13,100
2020-02-10,3.56,3.75,3.56,3.75,6900
2020-02-11,3.56,3.56,3.56,3.56,300
2020-02-12,3.56,3.56,3.56,3.56,0
2020-02-13,3.56,3.56,3.56,3.56,0
2020-02-14,3.06,3.13,3.06,3.13,2100
2020-02-17,3.13,3.13,3.13,3.13,0
2020-02-18,3.13,3.13,3.13,3.13,0
2020-02-19,3.13,3.13,3.13,3.13,0
2020-02-20,3.13,3.13,3.13,3.13,0
2020-02-21,3.56,3.56,3.56,3.56,1100
2020-02-24,3.56,3.56,3.56,3.56,0
2020-02-25,4.06,4.06,4.06,4.06,100
2020-02-26,4.63,4.63,4.63,4.63,800
2020-02-27,4.63,4.63,4.63,4.63,0
2020-02-28,5.13,5.13,5.13,5.13,500
2020-03-02,5.31,5.31,5.31,5.31,400
2020-03-03,4.56,5.63,4.56,5.63,2800
2020-03-04,5.0,5.38,5.0,5.31,10000
2020-03-05,5.63,5.94,5.63,5.94,1300
2020-03-06,5.75,6.25,5.75,6.25,3500
2020-03-09,5.94,6.25,5.06,5.31,3100
2020-03-10,5.31,6.25,5.31,6.25,4800
2020-03-11,5.31,5.31,5.31,5.31,500
2020-03-12,5.31,5.31,5.31,5.31,0
2020-03-13,5.31,5.31,5.31,5.31,0
2020-03-16,5.31,5.31,5.31,5.31,0
2020-03-17,5.0,5.0,5.0,5.0,1000
2020-03-18,5.0,5.0,5.0,5.0,1100
2020-03-19,5.75,5.75,5.44,5.44,7100
2020-03-20,5.0,5.63,5.0,5.63,4000
