time,open,high,low,close,volume
2020-01-06,22.9,22.9,22.9,22.9,100
2020-01-07,22.9,22.9,22.9,22.9,0
2020-01-08,22.9,22.9,22.9,22.9,0
2020-01-09,22.9,22.9,22.9,22.9,0
2020-01-10,22.9,22.9,22.9,22.9,0
2020-01-13,22.9,22.9,22.9,22.9,0
2020-01-14,22.9,22.9,22.9,22.9,0
2020-01-15,22.9,22.9,22.9,22.9,0
2020-01-16,22.9,22.9,22.9,22.9,0
2020-01-17,22.9,22.9,22.9,22.9,0
2020-01-20,22.9,22.9,22.9,22.9,0
2020-01-21,22.9,22.9,22.9,22.9,0
2020-01-22,22.9,22.9,22.9,22.9,0
2020-01-30,23.7,23.7,23.7,23.7,100
2020-01-31,23.7,23.7,23.7,23.7,0
2020-02-03,23.7,23.7,23.7,23.7,0
2020-02-04,23.7,23.7,23.7,23.7,0
2020-02-05,23.7,23.7,23.7,23.7,0
2020-02-06,23.7,23.7,23.7,23.7,0
2020-02-07,23.7,23.7,23.7,23.7,0
2020-02-10,23.7,23.7,23.7,23.7,0
2020-02-11,23.7,23.7,23.7,23.7,0
2020-02-12,23.7,23.7,23.7,23.7,0
2020-02-13,23.7,23.7,23.7,23.7,0
2020-02-14,23.7,23.7,23.7,23.7,0
2020-02-17,23.7,23.7,23.7,23.7,0
2020-02-18,23.7,23.7,23.7,23.7,0
2020-02-19,23.7,23.7,23.7,23.7,0
2020-02-20,23.7,23.7,23.7,23.7,0
2020-02-21,23.7,23.7,23.7,23.7,0
2020-02-24,23.7,23.7,23.7,23.7,0
2020-02-25,23.7,23.7,23.7,23.7,0
2020-02-26,23.7,23.7,23.7,23.7,0
2020-02-27,23.7,23.7,23.7,23.7,0
2020-02-28,23.7,23.7,23.7,23.7,0
2020-03-02,23.7,23.7,23.7,23.7,0
2020-03-03,23.7,23.7,23.7,23.7,0
2020-03-04,23.7,23.7,23.7,23.7,0
2020-03-05,23.7,23.7,23.7,23.7,0
2020-03-06,23.7,23.7,23.7,23.7,0
2020-03-09,23.7,23.7,23.7,23.7,0
2020-03-10,23.7,23.7,23.7,23.7,0
2020-03-11,23.7,23.7,23.7,23.7,0
2020-03-12,23.7,23.7,23.7,23.7,0
2020-03-13,23.7,23.7,23.7,23.7,0
2020-03-16,23.7,23.7,23.7,23.7,0
2020-03-17,23.7,23.7,23.7,23.7,0
2020-03-18,23.7,23.7,23.7,23.7,0
2020-03-19,23.7,23.7,23.7,23.7,0
2020-03-20,14.3,14.3,14.3,14.3,100
2020-03-23,16.4,16.4,12.2,12.2,200
2020-03-24,15.7,15.7,12.2,12.2,200
2020-03-25,11.9,11.9,11.9,11.9,500
2020-03-26,10.2,13.6,10.2,10.2,400
2020-03-27,9.5,9.5,9.5,9.5,300
2020-03-30,9.5,9.5,9.5,9.5,0
2020-03-31,9.5,9.5,9.5,9.5,0
2020-04-01,10.8,10.8,10.8,10.8,100
2020-04-03,10.8,10.8,10.8,10.8,0
2020-04-06,10.8,10.8,10.8,10.8,0
2020-04-07,10.8,10.8,10.8,10.8,0
2020-04-08,10.8,10.8,10.8,10.8,0
2020-04-09,10.0,10.0,10.0,10.0,100
2020-04-10,8.5,8.5,8.5,8.5,200
2020-04-13,8.5,8.5,8.5,8.5,0
2020-04-14,9.7,9.7,9.7,9.7,100
2020-04-15,8.3,10.0,8.3,10.0,300
2020-04-16,10.0,10.0,10.0,10.0,100
2020-04-17,10.0,10.0,10.0,10.0,0
2020-04-20,10.0,10.0,10.0,10.0,0
2020-04-21,10.0,10.0,10.0,10.0,0
2020-04-22,10.0,10.0,10.0,10.0,0
2020-04-23,10.0,10.0,10.0,10.0,0
2020-04-24,10.0,10.0,10.0,10.0,0
2020-04-27,10.0,10.0,10.0,10.0,0
2020-04-28,10.0,10.0,10.0,10.0,0
2020-04-29,10.0,10.0,10.0,10.0,0
2020-05-04,8.5,8.5,8.5,8.5,100
2020-05-05,7.3,7.3,7.3,7.3,1500
2020-05-06,6.3,6.3,6.3,6.3,300
2020-05-07,6.3,6.3,6.3,6.3,0
2020-05-08,6.3,6.3,6.3,6.3,0
2020-05-11,6.3,6.3,6.3,6.3,0
2020-05-12,6.3,6.3,6.3,6.3,0
2020-05-13,6.3,6.3,6.3,6.3,0
2020-05-14,6.8,6.8,6.8,6.8,200
2020-05-15,6.8,6.8,6.8,6.8,0
2020-05-18,6.8,6.8,6.8,6.8,0
2020-05-19,6.8,6.8,6.8,6.8,0
2020-05-20,6.8,6.8,6.8,6.8,0
2020-05-21,7.3,7.3,7.3,7.3,100
2020-05-22,6.8,6.8,6.8,6.8,6000
2020-05-25,7.3,7.3,7.3,7.3,100
2020-05-26,7.9,8.2,7.8,8.2,500
2020-05-27,8.7,8.7,8.7,8.7,100
2020-05-28,8.7,8.7,8.7,8.7,0
2020-05-29,8.7,8.7,8.7,8.7,0
2020-06-01,9.3,9.3,9.3,9.3,100
2020-06-02,9.3,9.3,9.3,9.3,0
2020-06-03,10.4,10.4,10.3,10.3,600
2020-06-04,10.3,10.3,10.3,10.3,0
2020-06-05,10.3,10.3,10.3,10.3,0
2020-06-08,10.3,10.3,10.3,10.3,0
2020-06-09,10.3,11.5,10.3,11.5,600
2020-06-10,11.7,11.7,11.7,11.7,100
2020-06-11,13.3,13.3,13.3,13.3,100
2020-06-12,13.3,13.3,13.3,13.3,0
2020-06-15,14.9,14.9,14.9,14.9,100
2020-06-16,14.9,14.9,14.9,14.9,0
2020-06-17,14.9,14.9,14.9,14.9,0
2020-06-18,14.9,14.9,14.9,14.9,0
2020-06-19,14.9,14.9,14.9,14.9,0
2020-06-22,14.9,14.9,14.9,14.9,0
2020-06-23,14.9,14.9,14.9,14.9,0
2020-06-24,14.9,14.9,14.9,14.9,0
2020-06-25,14.9,14.9,14.9,14.9,0
2020-06-26,14.9,14.9,14.9,14.9,0
2020-06-29,14.9,14.9,14.9,14.9,0
2020-06-30,14.9,14.9,14.9,14.9,0
2020-07-01,14.9,14.9,14.9,14.9,0
2020-07-02,14.9,14.9,14.9,14.9,0
2020-07-03,14.9,14.9,14.9,14.9,0
2020-07-06,14.9,14.9,14.9,14.9,0
2020-07-07,14.9,14.9,14.9,14.9,0
2020-07-08,14.9,14.9,14.9,14.9,0
2020-07-09,14.9,14.9,14.9,14.9,0
2020-07-10,14.9,14.9,14.9,14.9,0
2020-07-13,14.9,14.9,14.9,14.9,0
2020-07-14,14.9,14.9,14.9,14.9,0
2020-07-15,14.9,14.9,14.9,14.9,0
2020-07-16,14.9,14.9,14.9,14.9,0
2020-07-17,14.9,14.9,14.9,14.9,0
2020-07-20,14.9,14.9,14.9,14.9,0
2020-07-21,14.9,14.9,14.9,14.9,0
2020-07-22,14.9,14.9,14.9,14.9,0
2020-07-23,14.9,14.9,14.9,14.9,0
2020-07-24,14.9,14.9,14.9,14.9,0
2020-07-27,14.9,14.9,14.9,14.9,0
2020-07-28,14.9,14.9,14.9,14.9,0
2020-07-29,14.9,14.9,14.9,14.9,0
2020-07-30,14.9,14.9,14.9,14.9,0
2020-07-31,14.9,14.9,14.9,14.9,0
2020-08-03,14.9,14.9,14.9,14.9,0
2020-08-04,14.9,14.9,14.9,14.9,0
2020-08-05,14.9,14.9,14.9,14.9,0
2020-08-06,14.9,14.9,14.9,14.9,0
2020-08-07,14.9,14.9,14.9,14.9,0
2020-08-10,11.0,11.0,11.0,11.0,100
2020-08-11,11.0,11.0,11.0,11.0,0
2020-08-12,11.0,11.0,11.0,11.0,0
2020-08-13,11.0,11.0,11.0,11.0,0
2020-08-14,11.0,11.0,11.0,11.0,0
2020-08-17,11.0,11.0,11.0,11.0,0
2020-08-18,11.0,11.0,11.0,11.0,0
2020-08-19,10.0,10.0,10.0,10.0,200
2020-08-20,10.0,10.0,10.0,10.0,0
2020-08-21,8.5,8.5,8.5,8.5,500
2020-08-24,8.5,8.5,8.5,8.5,0
2020-08-25,7.4,7.4,7.3,7.3,400
2020-08-26,7.3,7.3,7.3,7.3,0
2020-08-27,7.3,7.3,7.3,7.3,0
2020-08-28,6.8,6.8,6.8,6.8,500
2020-08-31,6.9,6.9,6.9,6.9,100
2020-09-01,6.9,6.9,6.9,6.9,100
2020-09-03,7.9,7.9,7.9,7.9,1600
2020-09-04,7.9,7.9,7.9,7.9,0
2020-09-07,7.0,7.0,7.0,7.0,100
2020-09-08,7.5,7.5,7.5,7.5,400
2020-09-09,7.5,7.5,7.5,7.5,0
2020-09-10,7.5,7.5,7.5,7.5,0
2020-09-11,7.5,7.5,7.5,7.5,0
2020-09-14,7.5,7.5,7.5,7.5,0
2020-09-15,7.5,7.5,7.5,7.5,0
2020-09-16,7.2,7.2,7.2,7.2,600
2020-09-17,7.2,7.2,7.2,7.2,0
2020-09-18,7.2,7.2,7.2,7.2,0
2020-09-21,8.0,8.0,8.0,8.0,100
2020-09-22,8.0,8.0,8.0,8.0,0
2020-09-23,7.9,7.9,6.8,6.8,1000
2020-09-24,7.8,7.8,7.8,6.8,0
2020-09-25,7.7,7.7,7.7,7.7,200
2020-09-28,6.6,6.6,6.6,6.6,2900
2020-09-29,7.4,7.4,7.4,7.4,100
2020-09-30,8.2,8.2,8.2,8.2,200
2020-10-01,8.2,8.2,8.2,8.2,0
2020-10-02,8.2,8.2,8.2,8.2,0
2020-10-05,8.2,8.2,8.2,8.2,0
2020-10-06,7.3,7.3,7.3,7.3,400
2020-10-07,7.3,7.3,7.3,7.3,0
2020-10-08,7.3,7.3,7.3,7.3,0
2020-10-09,7.3,7.3,7.3,7.3,0
2020-10-12,7.3,7.3,7.3,7.3,0
2020-10-13,7.3,7.3,7.3,7.3,0
2020-10-14,7.3,7.3,7.3,7.3,0
2020-10-15,7.3,7.3,7.3,7.3,0
2020-10-16,6.5,6.5,6.5,6.5,100
2020-10-19,6.7,6.7,6.7,6.7,200
2020-10-20,6.7,6.7,6.7,6.7,0
2020-10-21,5.9,5.9,5.9,5.9,100
2020-10-22,6.7,6.7,6.7,6.7,100
2020-10-23,6.7,6.7,6.7,6.7,0
2020-10-26,6.7,6.7,6.7,6.7,0
2020-10-27,6.7,6.7,6.7,6.7,0
2020-10-28,6.7,6.7,6.7,6.7,0
2020-10-29,6.7,6.7,6.7,6.7,0
2020-10-30,5.8,5.8,5.8,5.8,100
2020-11-02,6.6,6.6,6.6,6.6,100
2020-11-03,6.6,6.6,6.6,6.6,0
2020-11-04,6.6,6.6,6.6,6.6,0
2020-11-05,6.6,6.6,6.6,6.6,0
2020-11-06,7.2,7.5,7.2,7.5,1700
