time,open,high,low,close,volume
2020-01-06,17.2,17.2,17.2,18.58,0
2020-01-07,17.2,17.2,17.2,18.58,0
2020-01-08,17.2,17.2,17.2,18.58,0
2020-01-09,17.2,17.2,17.2,18.58,0
2020-01-10,17.2,17.2,17.2,18.58,0
2020-01-13,17.2,17.2,17.2,18.58,0
2020-01-14,17.2,17.2,17.2,18.58,0
2020-01-15,17.2,17.2,17.2,18.58,0
2020-01-16,17.2,17.2,17.2,18.58,0
2020-01-17,17.2,17.2,17.2,18.58,0
2020-01-20,17.2,17.2,17.2,18.58,0
2020-01-21,17.2,17.2,17.2,18.58,0
2020-01-22,17.2,17.2,17.2,18.58,0
2020-01-30,17.2,17.2,17.2,18.58,0
2020-01-31,17.2,17.2,17.2,18.58,0
2020-02-03,17.2,17.2,17.2,18.58,0
2020-02-04,17.2,17.2,17.2,18.58,0
2020-02-05,17.2,17.2,17.2,18.58,0
2020-02-06,17.2,17.2,17.2,18.58,0
2020-02-07,17.2,17.2,17.2,18.58,0
2020-02-10,17.2,17.2,17.2,18.58,0
2020-02-11,17.2,17.2,17.2,18.58,0
2020-02-12,17.2,17.2,17.2,18.58,0
2020-02-13,17.2,17.2,17.2,18.58,0
2020-02-14,17.2,17.2,17.2,18.58,0
2020-02-17,17.2,17.2,17.2,18.58,0
2020-02-18,17.2,17.2,17.2,18.58,0
2020-02-19,17.2,17.2,17.2,18.58,0
2020-02-20,17.2,17.2,17.2,18.58,0
2020-02-21,17.2,17.2,17.2,18.58,0
2020-02-24,17.2,17.2,17.2,18.58,0
2020-02-25,17.2,17.2,17.2,18.58,0
2020-02-26,17.2,17.2,17.2,18.58,0
2020-02-27,17.2,17.2,17.2,18.58,0
2020-02-28,17.2,17.2,17.2,18.58,0
2020-03-02,17.2,17.2,17.2,18.58,0
2020-03-03,17.2,17.2,17.2,18.58,0
2020-03-04,17.2,17.2,17.2,18.58,0
2020-03-05,17.2,17.2,17.2,18.58,0
2020-03-06,17.2,17.2,17.2,18.58,0
2020-03-09,17.2,17.2,17.2,18.58,0
2020-03-10,17.2,17.2,17.2,18.58,0
2020-03-11,17.2,17.2,17.2,18.58,0
2020-03-12,17.2,17.2,17.2,18.58,0
2020-03-13,17.2,17.2,17.2,18.58,0
2020-03-16,17.2,17.2,17.2,18.58,0
2020-03-17,17.2,17.2,17.2,18.58,0
2020-03-18,17.2,17.2,17.2,18.58,0
2020-03-19,17.2,17.2,17.2,18.58,0
2020-03-20,17.2,17.2,17.2,18.58,0
2020-03-23,17.2,17.2,17.2,18.58,0
2020-03-24,17.2,17.2,17.2,18.58,0
2020-03-25,17.2,17.2,17.2,18.58,0
2020-03-26,17.2,17.2,17.2,18.58,0
2020-03-27,17.2,17.2,17.2,18.58,0
2020-03-30,17.2,17.2,17.2,18.58,0
2020-03-31,17.2,17.2,17.2,18.58,0
2020-04-01,17.2,17.2,17.2,18.58,0
2020-04-03,17.2,17.2,17.2,18.58,0
2020-04-06,17.2,17.2,17.2,18.58,0
2020-04-07,17.2,17.2,17.2,18.58,0
2020-04-08,17.2,17.2,17.2,18.58,0
2020-04-09,17.2,17.2,17.2,18.58,0
2020-04-10,17.2,17.2,17.2,18.58,0
2020-04-13,17.2,17.2,17.2,18.58,0
2020-04-14,17.2,17.2,17.2,18.58,0
2020-04-15,17.2,17.2,17.2,18.58,0
2020-04-16,17.2,17.2,17.2,18.58,0
2020-04-17,17.2,17.2,17.2,18.58,0
2020-04-20,17.2,17.2,17.2,18.58,0
2020-04-21,17.2,17.2,17.2,18.58,0
2020-04-22,17.2,17.2,17.2,18.58,0
2020-04-23,17.2,17.2,17.2,18.58,0
2020-04-24,17.2,17.2,17.2,18.58,0
2020-04-27,17.2,17.2,17.2,18.58,0
2020-04-28,17.2,17.2,17.2,18.58,0
2020-04-29,17.2,17.2,17.2,18.58,0
2020-05-04,17.2,17.2,17.2,18.58,0
2020-05-05,17.2,17.2,17.2,18.58,0
2020-05-06,17.2,17.2,17.2,18.58,0
2020-05-07,17.2,17.2,17.2,18.58,0
2020-05-08,17.2,17.2,17.2,18.58,0
2020-05-11,17.2,17.2,17.2,18.58,0
2020-05-12,17.2,17.2,17.2,18.58,0
2020-05-13,17.2,17.2,17.2,18.58,0
2020-05-14,17.2,17.2,17.2,18.58,0
2020-05-15,17.2,17.2,17.2,18.58,0
2020-05-18,17.2,17.2,17.2,18.58,0
2020-05-19,17.2,17.2,17.2,18.58,0
2020-05-20,17.2,17.2,17.2,18.58,0
2020-05-21,17.2,17.2,17.2,18.58,0
2020-05-22,17.19,17.19,17.19,20.67,0
2020-05-25,17.19,17.19,17.19,20.67,0
2020-05-26,17.19,17.19,17.19,20.67,0
2020-05-27,17.19,17.19,17.19,20.67,0
2020-05-28,10.34,10.34,10.34,10.34,100
2020-05-29,10.34,10.34,10.34,10.34,0
2020-06-01,10.34,10.34,10.34,10.34,0
2020-06-02,10.34,10.34,10.34,10.34,0
2020-06-03,10.34,10.34,10.34,10.34,0
2020-06-04,10.34,10.34,10.34,10.34,0
2020-06-05,10.34,10.34,10.34,10.34,0
2020-06-08,10.34,10.34,10.34,10.34,0
2020-06-09,10.34,10.34,10.34,10.34,0
2020-06-10,10.34,10.34,10.34,10.34,0
2020-06-11,10.34,10.34,10.34,10.34,0
2020-06-12,10.34,10.34,10.34,10.34,0
2020-06-15,10.34,10.34,10.34,10.34,0
2020-06-16,10.34,10.34,10.34,10.34,0
2020-06-17,10.34,10.34,10.34,10.34,0
2020-06-18,10.34,10.34,10.34,10.34,0
