time,open,high,low,close,volume
2020-01-06,13.63,13.63,13.63,13.63,300
2020-01-07,12.68,14.67,13.51,13.7,1100
2020-01-08,13.63,14.58,14.06,14.14,13343
2020-01-09,14.14,14.14,14.14,14.14,16
2020-01-10,14.36,14.36,14.36,14.36,600
2020-01-13,14.36,14.36,14.36,14.36,0
2020-01-14,13.63,14.81,14.2,14.21,10100
2020-01-15,13.48,13.48,13.48,13.48,200
2020-01-16,14.21,13.48,12.79,13.48,200
2020-01-17,14.21,14.21,14.21,14.21,134
2020-01-20,15.52,15.52,15.52,15.52,102
2020-01-21,15.52,15.52,15.52,15.52,0
2020-01-22,15.52,15.52,15.52,15.52,0
2020-01-30,15.52,17.29,16.08,16.69,200
2020-01-31,16.69,16.69,16.69,16.69,0
2020-02-03,16.03,16.03,16.03,16.03,200
2020-02-04,16.03,16.03,16.03,16.03,0
2020-02-05,17.42,18.13,15.02,15.67,700
2020-02-06,14.21,15.33,14.65,14.87,1700
2020-02-07,16.03,16.03,16.03,16.03,100
2020-02-10,14.5,17.55,15.87,16.03,4100
2020-02-11,16.69,16.44,14.22,14.43,1902
2020-02-12,14.94,15.98,15.06,15.3,4000
2020-02-13,13.77,16.64,15.05,15.16,3200
2020-02-14,13.7,15.54,14.39,14.58,1400
2020-02-17,14.58,14.58,14.58,14.58,0
2020-02-18,14.5,14.5,14.5,14.5,1139
2020-02-19,13.48,14.87,13.96,14.06,3418
2020-02-20,14.06,14.06,14.06,14.06,0
2020-02-21,14.06,14.06,14.06,14.06,0
2020-02-24,14.21,14.21,14.21,14.21,300
2020-02-25,13.19,14.62,13.33,13.48,7300
2020-02-26,13.92,14.38,14.08,14.21,400
2020-02-27,14.21,14.21,14.21,14.21,0
2020-02-28,13.7,13.7,13.7,13.7,2600
2020-03-02,14.14,14.1,14.03,14.06,200
2020-03-03,14.06,14.06,14.06,14.06,0
2020-03-04,14.06,14.06,14.06,14.06,0
2020-03-05,12.83,15.2,13.77,13.92,2718
2020-03-06,13.92,13.92,13.92,13.92,10
2020-03-09,12.61,13.64,13.04,13.12,2400
2020-03-10,13.04,13.91,13.24,13.48,550
2020-03-11,13.41,14.14,13.7,13.85,300
2020-03-12,13.85,13.85,13.85,13.85,0
2020-03-13,13.63,13.63,13.63,13.63,400
2020-03-16,13.63,13.63,13.63,13.63,0
2020-03-17,12.32,14.48,13.23,13.48,500
2020-03-18,14.21,14.21,14.21,14.21,100
2020-03-19,14.21,14.21,14.21,14.21,0
2020-03-20,14.21,14.21,14.21,14.21,0
2020-03-23,13.48,14.0,13.63,13.85,8400
2020-03-24,13.85,13.85,13.85,13.85,0
2020-03-25,12.53,14.42,13.12,13.77,230
2020-03-26,13.77,13.77,13.77,13.77,0
2020-03-27,13.77,13.77,13.77,13.77,0
2020-03-30,12.53,14.73,13.54,13.56,12600
2020-03-31,12.32,13.99,12.78,13.48,420
2020-04-01,13.48,13.48,13.48,13.48,0
2020-04-03,13.48,13.48,13.48,13.48,10
2020-04-06,13.48,13.48,13.48,13.48,0
2020-04-07,13.48,13.48,13.48,13.48,0
2020-04-08,13.48,13.48,13.48,13.48,0
2020-04-09,13.48,13.48,13.48,13.48,0
2020-04-10,13.48,13.48,13.48,13.48,0
2020-04-13,13.48,13.48,13.48,13.48,0
2020-04-14,12.17,12.17,12.17,12.17,100
2020-04-15,13.04,13.35,13.06,13.26,1400
2020-04-16,13.41,13.41,13.41,13.41,100
2020-04-17,12.17,12.31,12.16,12.17,32610
2020-04-20,13.34,13.15,12.93,13.12,7800
2020-04-21,12.39,13.13,12.75,12.75,2100
2020-04-22,12.61,12.73,12.51,12.53,3100
2020-04-23,12.24,12.46,12.02,12.39,5200
2020-04-24,12.61,13.78,12.96,13.12,1300
2020-04-27,12.61,13.45,12.93,13.12,600
2020-04-28,12.39,12.83,11.97,12.17,5310
2020-04-29,12.9,13.12,12.23,12.39,2100
2020-05-04,12.9,13.23,12.71,12.75,1910
2020-05-05,11.81,12.96,12.06,12.68,3700
2020-05-06,12.61,12.82,12.23,12.68,8500
2020-05-07,13.48,13.43,12.56,12.61,1800
2020-05-08,12.53,13.12,12.61,12.83,2001
2020-05-11,13.48,13.61,12.5,13.12,300
2020-05-12,12.53,13.29,12.84,12.97,409
2020-05-13,13.48,13.39,12.88,12.97,1800
2020-05-14,13.26,14.08,12.97,13.48,3623
2020-05-15,13.12,14.0,13.32,13.41,2100
2020-05-18,13.41,13.41,13.41,13.41,0
2020-05-19,13.41,13.46,13.17,13.41,11238
2020-05-20,13.41,13.79,13.36,13.41,15359
2020-05-21,13.12,13.54,13.18,13.41,4300
2020-05-22,13.41,13.53,13.23,13.41,4000
2020-05-25,13.19,13.72,13.35,13.48,9500
2020-05-26,13.56,14.14,13.55,13.85,13040
2020-05-27,13.77,14.73,13.92,14.43,11410
2020-05-28,14.43,14.4,14.25,14.28,5510
2020-05-29,14.28,14.21,13.77,13.85,3800
2020-06-01,14.21,14.35,13.61,13.77,8800
2020-06-02,13.77,14.36,13.76,13.99,5900
2020-06-03,14.14,14.3,13.72,13.99,1120
2020-06-04,14.43,15.17,14.51,14.58,17400
2020-06-05,14.36,14.37,14.08,14.21,900
2020-06-08,14.58,15.1,14.58,14.79,13960
2020-06-09,14.79,15.66,14.79,15.66,457
2020-06-10,14.32,15.5,14.32,15.5,800
2020-06-11,14.4,14.87,14.25,14.87,2830
2020-06-12,14.09,14.87,13.7,14.48,400
2020-06-15,14.48,14.48,13.31,14.17,5500
2020-06-16,13.7,14.17,13.31,13.38,3600
2020-06-17,14.09,14.72,14.01,14.56,2600
2020-06-18,14.09,14.09,14.01,14.01,620
2020-06-19,14.4,14.4,13.78,14.4,1610
2020-06-22,13.62,14.4,13.38,14.4,4000
2020-06-23,14.4,14.87,14.4,14.87,11200
2020-06-24,14.87,15.26,14.87,15.26,400
2020-06-25,13.86,14.79,13.78,14.72,5500
2020-06-26,14.56,14.56,14.56,14.56,100
2020-06-29,13.78,14.4,13.7,14.4,1100
2020-06-30,13.7,13.7,13.7,13.7,300
2020-07-01,14.09,14.09,13.93,13.93,700
2020-07-02,14.17,14.17,14.01,14.01,510
2020-07-03,14.25,14.32,14.25,14.32,8200
2020-07-06,14.25,14.32,14.25,14.32,2210
2020-07-07,14.32,14.32,14.32,14.32,1400
2020-07-08,14.79,15.5,14.79,15.5,1150
2020-07-09,14.87,14.87,14.01,14.48,3700
2020-07-10,14.48,14.48,14.48,14.48,0
2020-07-13,14.48,14.48,14.48,14.48,500
2020-07-14,14.48,14.87,14.48,14.87,8200
2020-07-15,14.25,14.87,14.17,14.87,1500
2020-07-16,14.87,14.87,14.87,14.87,0
2020-07-17,14.79,14.79,14.79,14.79,300
2020-07-20,14.72,15.81,14.72,15.34,19200
2020-07-21,15.66,15.66,14.87,15.42,1200
2020-07-22,14.72,15.34,14.72,15.34,3200
2020-07-23,15.34,15.34,15.34,15.34,0
2020-07-24,14.48,14.87,14.32,14.87,4300
2020-07-27,14.09,14.09,13.38,13.38,16500
2020-07-28,13.31,14.48,13.31,14.32,1000
2020-07-29,13.38,13.93,13.31,13.78,3535
2020-07-30,14.09,14.48,14.01,14.4,3800
2020-07-31,14.09,15.26,14.09,15.26,5800
