time,open,high,low,close,volume
2020-01-06,1.0,1.0,1.0,1.0,169868
2020-01-07,1.1,1.1,1.0,1.1,165050
2020-01-08,1.1,1.1,1.0,1.1,51330
2020-01-09,1.0,1.1,1.0,1.0,48900
2020-01-10,1.0,1.0,0.9,1.0,71300
2020-01-13,1.0,1.0,0.9,1.0,24400
2020-01-14,0.9,1.0,0.9,1.0,23900
2020-01-15,1.0,1.0,1.0,1.0,15101
2020-01-16,0.9,1.0,0.9,1.0,31017
2020-01-17,1.0,1.1,1.0,1.0,85600
2020-01-20,1.0,1.0,1.0,1.0,10000
2020-01-21,1.0,1.1,1.0,1.1,9010
2020-01-22,1.1,1.1,1.0,1.0,32200
2020-01-30,1.0,1.0,0.9,0.9,26000
2020-01-31,1.0,1.0,1.0,1.0,27017
2020-02-03,0.9,1.0,0.9,0.9,87300
2020-02-04,1.0,1.0,0.9,1.0,1600
2020-02-05,1.0,1.0,1.0,1.0,25200
2020-02-06,1.0,1.0,0.9,1.0,28000
2020-02-07,1.0,1.0,0.9,1.0,23500
2020-02-10,0.9,1.1,0.9,1.0,34492
2020-02-11,1.0,1.0,1.0,1.0,28300
2020-02-12,1.0,1.1,1.0,1.0,32410
2020-02-13,1.0,1.1,1.0,1.1,69394
2020-02-14,1.0,1.1,0.9,0.9,60420
2020-02-17,1.0,1.0,1.0,1.0,21200
2020-02-18,1.0,1.0,0.9,1.0,62000
2020-02-19,0.9,1.0,0.9,1.0,33201
2020-02-20,0.9,0.9,0.9,0.9,12810
2020-02-21,0.9,1.0,0.9,1.0,87600
2020-02-24,0.9,0.9,0.9,0.9,116262
2020-02-25,1.0,1.0,0.9,1.0,17110
2020-02-26,1.0,1.0,1.0,1.0,10270
2020-02-27,1.0,1.0,1.0,1.0,100
2020-02-28,1.0,1.0,0.9,1.0,18230
2020-03-02,0.9,1.0,0.9,1.0,90150
2020-03-03,1.0,1.0,1.0,1.0,61050
2020-03-04,1.0,1.0,0.9,1.0,16100
2020-03-05,1.0,1.0,1.0,1.0,1520
2020-03-06,1.0,1.0,0.9,1.0,34650
2020-03-09,0.9,0.9,0.9,0.9,150320
2020-03-10,0.9,1.0,0.8,1.0,53000
2020-03-11,1.0,1.0,0.8,0.9,24600
2020-03-12,0.9,0.9,0.8,0.9,108500
2020-03-13,0.9,0.9,0.8,0.8,35600
2020-03-16,0.8,0.8,0.8,0.8,4520
2020-03-17,0.9,0.9,0.9,0.9,10140
2020-03-18,0.9,0.9,0.8,0.9,20010
2020-03-19,0.8,0.9,0.8,0.9,18645
2020-03-20,0.9,0.9,0.8,0.9,21100
2020-03-23,0.9,0.9,0.8,0.8,68530
2020-03-24,0.9,0.9,0.8,0.8,10100
2020-03-25,0.9,0.9,0.7,0.8,47300
2020-03-26,0.8,0.8,0.7,0.8,24790
2020-03-27,0.8,0.8,0.7,0.8,70600
2020-03-30,0.7,0.7,0.7,0.7,118900
2020-03-31,0.7,0.7,0.7,0.7,37505
2020-04-01,0.7,0.8,0.7,0.8,98600
2020-04-03,0.8,0.8,0.7,0.7,5610
2020-04-06,0.8,0.8,0.7,0.8,65400
2020-04-07,0.8,0.8,0.8,0.8,75622
2020-04-08,0.8,0.8,0.8,0.8,21800
2020-04-09,0.9,0.9,0.9,0.9,1600
2020-04-10,0.9,0.9,0.8,0.9,31911
2020-04-13,0.9,0.9,0.8,0.8,6701
2020-04-14,0.8,0.8,0.8,0.8,16837
2020-04-15,0.7,0.8,0.7,0.8,1722
2020-04-16,0.9,0.9,0.8,0.8,6428
2020-04-17,0.8,0.8,0.8,0.8,53881
2020-04-20,0.9,0.9,0.8,0.8,11300
2020-04-21,0.8,0.8,0.8,0.8,52605
2020-04-22,0.7,0.9,0.7,0.9,945
2020-04-23,0.8,0.8,0.8,0.8,85371
2020-04-24,0.8,0.9,0.8,0.9,330
2020-04-27,0.9,0.9,0.9,0.9,3440
2020-04-28,0.9,0.9,0.8,0.9,11930
2020-04-29,0.9,0.9,0.8,0.8,25671
2020-05-04,0.9,0.9,0.9,0.9,18802
2020-05-05,0.9,0.9,0.9,0.9,20500
2020-05-06,0.9,0.9,0.8,0.9,2212
2020-05-07,0.8,0.9,0.8,0.9,20732
2020-05-08,0.9,0.9,0.8,0.8,23739
2020-05-11,0.8,0.9,0.8,0.8,2218
2020-05-12,0.9,0.9,0.8,0.9,20370
2020-05-13,0.8,0.9,0.8,0.8,33700
2020-05-14,0.9,0.9,0.9,0.9,1300
2020-05-15,0.9,0.9,0.8,0.8,10500
