time,open,high,low,close,volume
2020-01-06,4.62,4.62,4.62,4.62,100
2020-01-07,5.27,5.27,5.27,5.27,100
2020-01-08,5.27,5.27,5.27,5.27,0
2020-01-09,4.62,5.7,4.62,5.7,627
2020-01-10,4.84,5.78,4.84,5.78,200
2020-01-13,4.76,5.05,4.55,5.05,4200
2020-01-14,4.98,4.98,4.98,5.05,0
2020-01-15,4.98,4.98,4.98,5.05,0
2020-01-16,4.84,5.05,4.84,4.84,400
2020-01-17,4.98,4.98,4.98,4.84,0
2020-01-20,4.98,4.98,4.98,4.84,0
2020-01-21,5.05,5.05,4.98,4.98,1200
2020-01-22,4.98,4.98,4.98,4.98,0
2020-01-30,5.7,5.7,5.7,5.7,500
2020-01-31,6.5,6.5,6.5,6.5,2527
2020-02-03,7.44,7.44,7.44,7.44,2300
2020-02-04,8.52,8.52,7.44,7.94,37800
2020-02-05,8.16,8.23,7.87,7.87,3800
2020-02-06,7.87,7.87,7.0,7.08,11200
2020-02-07,7.08,7.51,6.93,7.22,12600
2020-02-10,7.8,7.8,7.15,7.22,4600
2020-02-11,6.5,7.15,6.5,7.15,400
2020-02-12,7.29,7.29,6.35,6.71,12400
2020-02-13,5.99,6.5,5.99,6.35,1600
2020-02-14,6.28,6.28,6.28,6.28,1400
2020-02-17,6.86,6.86,6.21,6.21,5100
2020-02-18,6.21,6.21,6.14,6.21,2700
2020-02-19,6.42,6.42,6.42,6.42,100
2020-02-20,7.29,7.29,5.99,6.28,3700
2020-02-21,6.93,6.93,5.92,6.14,3100
2020-02-24,6.42,6.86,5.92,6.79,21500
2020-02-25,7.22,7.22,6.5,6.5,5800
2020-02-26,6.5,6.64,6.42,6.42,5700
2020-02-27,6.42,6.57,6.28,6.5,4200
2020-02-28,6.28,6.57,6.21,6.28,1700
2020-03-02,7.0,7.0,6.21,6.21,3700
2020-03-03,6.21,6.21,6.14,6.14,1400
2020-03-04,6.28,6.28,6.06,6.06,1700
2020-03-05,6.14,6.21,6.14,6.14,5100
2020-03-06,6.14,6.14,6.14,6.14,1300
2020-03-09,6.14,6.5,6.14,6.5,1300
2020-03-10,6.14,6.14,6.14,6.14,1100
2020-03-11,5.99,5.99,5.78,5.78,2100
2020-03-12,5.49,6.14,4.98,6.14,9000
2020-03-13,5.05,5.05,5.05,6.14,0
2020-03-16,5.7,5.7,5.7,5.7,200
2020-03-17,6.06,6.06,6.06,6.06,500
2020-03-18,6.28,6.28,5.78,5.78,3900
2020-03-19,6.21,6.21,5.78,5.92,2600
2020-03-20,6.06,6.06,5.85,5.85,1600
2020-03-23,5.92,5.92,5.78,5.92,500
2020-03-24,5.85,5.85,5.85,5.92,0
2020-03-25,5.85,5.85,5.85,5.92,0
2020-03-26,5.85,5.85,5.85,5.92,0
2020-03-27,5.85,5.85,5.85,5.92,0
2020-03-30,6.06,6.06,6.06,6.06,100
2020-03-31,6.06,6.06,6.06,6.06,10
2020-04-01,5.78,5.78,5.78,5.78,100
2020-04-03,5.78,5.78,5.05,5.05,1500
2020-04-06,5.78,5.78,5.78,5.78,100
2020-04-07,5.12,5.2,5.12,5.2,600
2020-04-08,5.27,5.27,5.27,5.27,600
2020-04-09,5.41,5.78,5.41,5.78,300
2020-04-10,5.41,5.41,5.41,5.41,400
2020-04-13,5.49,5.49,5.27,5.27,1600
2020-04-14,5.78,5.78,5.78,5.78,1500
2020-04-15,5.92,5.92,5.78,5.78,1000
2020-04-16,5.78,5.78,5.78,5.78,200
2020-04-17,5.78,5.78,5.78,5.78,0
2020-04-20,5.78,5.78,5.78,5.78,5300
2020-04-21,5.41,5.41,5.41,5.41,100
