time,open,high,low,close,volume
2020-01-06,6.17,6.24,6.04,6.04,605544
2020-01-07,6.1,6.1,6.04,6.04,420210
2020-01-08,6.31,6.31,5.9,5.9,572340
2020-01-09,6.04,6.04,5.9,6.04,525500
2020-01-10,5.97,6.04,5.97,6.04,135050
2020-01-13,6.04,6.04,5.9,5.9,195909
2020-01-14,5.97,6.04,5.97,6.04,135148
2020-01-15,6.04,6.1,5.97,6.1,544293
2020-01-16,6.1,6.17,5.97,5.97,410900
2020-01-17,6.1,6.1,5.97,5.97,120300
2020-01-20,6.04,6.04,5.97,6.04,127005
2020-01-21,6.04,6.17,6.04,6.17,219020
2020-01-22,6.17,6.31,6.1,6.17,351360
2020-01-30,6.1,6.1,5.9,5.9,512310
2020-01-31,5.9,5.97,5.7,5.7,483000
2020-02-03,5.63,5.7,5.15,5.7,972923
2020-02-04,5.63,5.7,5.49,5.56,484730
2020-02-05,5.56,5.7,5.49,5.7,393979
2020-02-06,5.7,5.7,5.56,5.63,678613
2020-02-07,5.7,5.9,5.63,5.76,817239
2020-02-10,5.76,5.83,5.63,5.83,224960
2020-02-11,5.76,5.9,5.7,5.7,370191
2020-02-12,5.76,5.9,5.7,5.83,314710
2020-02-13,5.76,5.83,5.7,5.76,306210
2020-02-14,5.83,5.83,5.7,5.76,80030
2020-02-17,5.83,6.17,5.76,5.97,1552467
2020-02-18,6.04,6.04,5.9,5.97,290240
2020-02-19,5.97,6.04,5.9,5.97,121443
2020-02-20,5.97,5.97,5.76,5.9,784580
2020-02-21,5.9,5.9,5.76,5.76,410620
2020-02-24,5.76,5.83,5.36,5.36,1057260
2020-02-25,5.36,5.56,5.29,5.56,409569
2020-02-26,5.43,5.56,5.36,5.49,214900
2020-02-27,5.49,5.63,5.43,5.56,348031
2020-02-28,5.43,5.49,5.36,5.49,349987
2020-03-02,5.49,5.56,5.43,5.49,132500
2020-03-03,5.56,5.63,5.49,5.49,246111
2020-03-04,5.56,5.56,5.36,5.56,342060
2020-03-05,5.56,5.76,5.49,5.7,912270
2020-03-06,5.7,5.7,5.56,5.63,296300
2020-03-09,5.49,5.56,5.09,5.09,1408050
2020-03-10,5.09,5.15,4.68,5.09,849210
2020-03-11,5.22,5.29,4.88,5.15,754145
2020-03-12,5.15,5.15,4.68,4.68,852051
2020-03-13,4.27,4.75,4.27,4.75,866448
2020-03-16,4.75,4.82,4.61,4.75,290180
2020-03-17,4.68,4.75,4.54,4.75,324603
2020-03-18,4.88,4.88,4.68,4.75,286510
2020-03-19,4.88,4.88,4.54,4.68,355725
2020-03-20,4.68,4.68,4.54,4.68,198865
2020-03-23,4.34,4.68,4.27,4.41,1192043
2020-03-24,4.48,4.48,4.27,4.34,334413
2020-03-25,4.61,4.61,4.27,4.48,1189350
2020-03-26,4.48,4.48,4.27,4.27,276701
2020-03-27,4.34,4.34,4.07,4.2,493886
2020-03-30,4.2,4.2,3.8,4.07,1505738
2020-03-31,4.07,4.2,3.8,4.0,455559
2020-04-01,4.14,4.14,3.93,4.14,453560
2020-04-03,4.14,4.2,4.07,4.2,1409051
2020-04-06,4.27,4.54,4.2,4.54,1006167
2020-04-07,4.61,4.61,4.34,4.54,918260
2020-04-08,4.54,4.54,4.27,4.54,660840
2020-04-09,4.54,4.61,4.41,4.48,1203623
2020-04-10,4.48,4.48,4.34,4.48,550100
2020-04-13,4.48,4.61,4.34,4.61,1422485
2020-04-14,4.61,4.61,4.48,4.54,493960
2020-04-15,4.54,4.75,4.48,4.68,1192540
2020-04-16,4.68,4.68,4.54,4.54,693736
2020-04-17,4.54,4.88,4.54,4.82,2277785
2020-04-20,4.82,5.02,4.82,4.82,764161
