time,open,high,low,close,volume
2020-01-06,3.3,3.3,3.3,3.3,300
2020-01-07,3.0,3.2,3.0,3.0,9300
2020-01-08,2.8,3.2,2.7,3.1,8200
2020-01-09,3.2,3.2,3.2,3.2,1000
2020-01-10,3.2,3.2,3.2,3.2,0
2020-01-13,3.2,3.2,3.2,3.2,400
2020-01-14,3.0,3.0,3.0,3.0,2000
2020-01-15,3.2,3.2,2.7,3.0,7700
2020-01-16,3.2,3.2,3.2,3.2,200
2020-01-17,3.2,3.2,3.2,3.2,100
2020-01-20,3.0,3.2,3.0,3.2,1900
2020-01-21,3.2,3.2,3.1,3.1,1600
2020-01-22,3.3,3.4,3.3,3.4,610
2020-01-30,3.4,3.4,3.4,3.4,0
2020-01-31,3.4,3.4,3.4,3.4,0
2020-02-03,3.4,3.4,3.4,3.4,0
2020-02-04,3.4,3.4,3.4,3.4,200
2020-02-05,3.1,3.3,3.1,3.3,1800
2020-02-06,3.1,3.3,3.0,3.3,4200
2020-02-07,3.3,3.3,3.3,3.3,0
2020-02-10,3.3,3.3,3.3,3.3,0
2020-02-11,3.3,3.3,3.3,3.3,0
2020-02-12,3.3,3.3,3.3,3.3,0
2020-02-13,3.0,3.0,3.0,3.0,950
2020-02-14,2.8,3.0,2.7,3.0,44600
2020-02-17,3.0,3.0,3.0,3.0,0
2020-02-18,3.0,3.0,3.0,3.0,0
2020-02-19,2.7,2.7,2.7,2.7,300
2020-02-20,2.7,2.9,2.7,2.9,6900
2020-02-21,2.8,3.0,2.8,3.0,14310
2020-02-24,2.8,3.0,2.7,3.0,15000
2020-02-25,3.0,3.0,3.0,3.0,500
2020-02-26,3.0,3.0,3.0,3.0,80
2020-02-27,2.9,2.9,2.9,2.9,200
2020-02-28,3.0,3.0,3.0,3.0,1000
2020-03-02,3.0,3.0,3.0,3.0,0
2020-03-03,3.0,3.0,3.0,3.0,0
2020-03-04,2.9,2.9,2.9,2.9,400
2020-03-05,2.9,2.9,2.9,2.9,300
2020-03-06,2.9,2.9,2.9,2.9,0
2020-03-09,2.9,2.9,2.9,2.9,0
2020-03-10,2.9,2.9,2.9,2.9,0
2020-03-11,3.1,3.1,2.7,2.9,1400
2020-03-12,2.9,2.9,2.9,2.9,0
2020-03-13,2.9,2.9,2.9,2.9,0
2020-03-16,2.9,2.9,2.9,2.9,0
2020-03-17,2.9,2.9,2.9,2.9,0
2020-03-18,2.9,2.9,2.9,2.9,0
2020-03-19,2.9,2.9,2.9,2.9,0
2020-03-20,2.9,2.9,2.9,2.9,0
2020-03-23,2.9,2.9,2.9,2.9,0
2020-03-24,2.9,2.9,2.9,2.9,100
2020-03-25,2.9,2.9,2.9,2.9,500
2020-03-26,2.7,2.7,2.7,2.7,11000
2020-03-27,2.9,2.9,2.9,2.9,600
2020-03-30,2.7,2.9,2.7,2.9,900
2020-03-31,2.7,2.7,2.7,2.7,3000
2020-04-01,2.5,2.5,2.5,2.5,1200
2020-04-03,2.3,2.5,2.3,2.5,5000
2020-04-06,2.5,2.5,2.3,2.3,4010
2020-04-07,2.5,2.5,2.2,2.2,8100
2020-04-08,2.2,2.2,2.2,2.2,600
2020-04-09,2.4,2.4,2.4,2.4,200
2020-04-10,2.2,2.4,2.2,2.4,312505
2020-04-13,2.4,2.4,2.4,2.4,0
2020-04-14,2.4,2.4,2.4,2.4,0
2020-04-15,2.2,2.3,2.2,2.3,6100
2020-04-16,2.1,2.3,2.1,2.3,7300
2020-04-17,2.1,2.1,2.1,2.1,28900
2020-04-20,2.3,2.3,2.0,2.3,2710
2020-04-21,2.1,2.3,2.1,2.3,7323
2020-04-22,2.1,2.1,2.1,2.1,6900
2020-04-23,2.1,2.2,2.1,2.2,2400
2020-04-24,2.0,2.1,2.0,2.0,18310
2020-04-27,2.1,2.1,2.0,2.0,7400
2020-04-28,1.9,1.9,1.8,1.9,28100
2020-04-29,1.8,1.9,1.8,1.9,11700
2020-05-04,1.8,1.9,1.8,1.9,12701
2020-05-05,1.8,1.9,1.8,1.8,6800
2020-05-06,1.7,1.7,1.7,1.7,11100
2020-05-07,1.8,1.8,1.6,1.6,3039
2020-05-08,1.5,1.5,1.5,1.5,43600
2020-05-11,1.5,1.5,1.4,1.4,87900
2020-05-12,1.3,1.5,1.3,1.4,122400
2020-05-13,1.4,1.4,1.3,1.4,298500
2020-05-14,1.4,1.5,1.3,1.5,92124
2020-05-15,1.6,1.6,1.6,1.6,102200
2020-05-18,1.7,1.7,1.7,1.7,212300
2020-05-19,1.8,1.8,1.7,1.8,171800
2020-05-20,1.8,1.9,1.8,1.9,196100
2020-05-21,1.9,1.9,1.8,1.8,84224
2020-05-22,1.7,1.8,1.7,1.8,87410
2020-05-25,1.7,1.7,1.7,1.7,49300
2020-05-26,1.6,1.7,1.6,1.7,83400
2020-05-27,1.7,1.8,1.7,1.8,28900
2020-05-28,1.8,1.9,1.8,1.8,91100
2020-05-29,1.8,1.8,1.7,1.7,20900
2020-06-01,1.7,1.8,1.7,1.8,83500
2020-06-02,1.8,1.9,1.8,1.9,221000
2020-06-03,1.9,2.0,1.9,2.0,145000
2020-06-04,2.0,2.0,1.8,1.8,1150
2020-06-05,1.9,1.9,1.8,1.8,42100
2020-06-08,1.9,1.9,1.9,1.9,61624
2020-06-09,2.0,2.0,1.9,1.9,187100
2020-06-10,2.0,2.0,1.9,1.9,96640
2020-06-11,2.0,2.0,1.9,2.0,115130
2020-06-12,2.0,2.0,1.9,1.9,111800
2020-06-15,1.9,1.9,1.8,1.9,34300
2020-06-16,1.9,1.9,1.8,1.8,28900
2020-06-17,1.8,1.8,1.8,1.8,32100
2020-06-18,1.8,1.8,1.8,1.8,23700
2020-06-19,1.8,1.9,1.8,1.9,46400
2020-06-22,1.9,1.9,1.8,1.9,15900
2020-06-23,1.8,1.8,1.8,1.8,9800
2020-06-24,1.8,1.8,1.7,1.7,81600
2020-06-25,1.7,1.8,1.7,1.8,3100
2020-06-26,1.8,1.8,1.7,1.7,101600
2020-06-29,1.7,1.7,1.6,1.6,29400
2020-06-30,1.7,1.7,1.5,1.5,26800
2020-07-01,1.5,1.6,1.5,1.5,2500
2020-07-02,1.6,1.6,1.6,1.6,5010
2020-07-03,1.7,1.7,1.7,1.7,19011
2020-07-06,1.7,1.8,1.7,1.8,8300
2020-07-07,1.7,1.8,1.7,1.8,10600
2020-07-08,1.8,1.8,1.7,1.7,700
2020-07-09,1.6,1.6,1.6,1.6,100
2020-07-10,1.6,1.7,1.6,1.7,100040
2020-07-13,1.7,1.8,1.7,1.8,17741
2020-07-14,1.8,1.9,1.8,1.8,175500
2020-07-15,1.8,1.9,1.8,1.8,38000
2020-07-16,1.9,1.9,1.9,1.9,3440
2020-07-17,2.0,2.0,1.9,2.0,73200
2020-07-20,2.2,2.2,1.8,1.8,87100
2020-07-21,1.9,1.9,1.9,1.9,9765
2020-07-22,2.0,2.0,2.0,2.0,26000
2020-07-23,2.2,2.2,1.8,2.2,52700
2020-07-24,2.2,2.4,2.2,2.4,46590
2020-07-27,2.3,2.6,2.2,2.6,32610
2020-07-28,2.8,2.8,2.4,2.4,123615
2020-07-29,2.6,2.6,2.6,2.6,46500
2020-07-30,2.8,2.8,2.8,2.8,136903
2020-07-31,3.0,3.0,3.0,3.0,27188
2020-08-03,3.2,3.2,3.0,3.1,61200
2020-08-04,3.0,3.1,2.8,2.8,54080
2020-08-05,2.9,2.9,2.6,2.6,20100
2020-08-06,2.6,2.8,2.4,2.8,90200
2020-08-07,2.9,3.0,2.9,3.0,19200
2020-08-10,3.1,3.3,3.1,3.2,11900
2020-08-11,3.0,3.3,2.9,3.3,37300
2020-08-12,3.5,3.5,3.5,3.5,1054
2020-08-13,3.2,3.8,3.2,3.8,24201
2020-08-14,3.5,3.8,3.5,3.8,23500
2020-08-17,3.6,3.8,3.5,3.5,9500
2020-08-18,3.2,3.4,3.2,3.2,1800
2020-08-19,3.2,3.4,3.1,3.1,3200
2020-08-20,2.8,3.1,2.8,3.1,12600
2020-08-21,2.9,3.1,2.8,3.1,19500
2020-08-24,3.1,3.1,3.1,3.1,300
2020-08-25,3.2,3.2,3.1,3.1,2200
2020-08-26,3.1,3.1,3.1,3.1,500
2020-08-27,3.1,3.1,2.8,3.0,4026
2020-08-28,3.0,3.2,2.7,3.2,25975
2020-08-31,3.2,3.2,3.2,3.2,0
2020-09-01,2.9,2.9,2.9,2.9,6420
2020-09-03,2.7,3.0,2.7,3.0,16300
