time,open,high,low,close,volume
2020-01-06,2.5,2.5,2.5,2.5,0
2020-01-07,2.5,2.5,2.5,2.5,10
2020-01-08,2.5,2.5,2.5,2.5,0
2020-01-09,2.5,2.5,2.5,2.5,0
2020-01-10,2.5,2.5,2.5,2.5,0
2020-01-13,2.5,2.5,2.5,2.5,0
2020-01-14,2.5,2.5,2.5,2.5,0
2020-01-15,2.5,2.5,2.5,2.5,0
2020-01-16,2.5,2.5,2.5,2.5,0
2020-01-17,2.5,2.5,2.5,2.5,0
2020-01-20,2.5,2.5,2.5,2.5,0
2020-01-21,2.5,2.5,2.5,2.5,0
2020-01-22,2.5,2.5,2.5,2.5,0
2020-01-30,2.5,2.5,2.5,2.5,0
2020-01-31,2.5,2.5,2.5,2.5,0
2020-02-03,2.5,2.5,2.5,2.5,0
2020-02-04,2.5,2.5,2.5,2.5,0
2020-02-05,2.5,2.5,2.5,2.5,0
2020-02-06,2.5,2.5,2.5,2.5,0
2020-02-07,2.5,2.5,2.5,2.5,0
2020-02-10,2.5,2.5,2.5,2.5,0
2020-02-11,2.5,2.5,2.5,2.5,0
2020-02-12,2.5,2.5,2.5,2.5,0
2020-02-13,2.5,2.5,2.5,2.5,0
2020-02-14,2.5,2.5,2.5,2.5,0
2020-02-17,2.5,2.5,2.5,2.5,0
2020-02-18,2.5,2.5,2.5,2.5,0
2020-02-19,2.5,2.5,2.5,2.5,0
2020-02-20,2.5,2.5,2.5,2.5,0
2020-02-21,2.5,2.5,2.5,2.5,0
2020-02-24,2.5,2.5,2.5,2.5,0
2020-02-25,2.5,2.5,2.5,2.5,0
2020-02-26,2.5,2.5,2.5,2.5,0
2020-02-27,2.5,2.5,2.5,2.5,0
2020-02-28,2.5,2.5,2.5,2.5,0
2020-03-02,2.5,2.5,2.5,2.5,0
2020-03-03,2.5,2.5,2.5,2.5,0
2020-03-04,2.5,2.5,2.5,2.5,0
2020-03-05,3.4,3.4,3.4,3.4,100
2020-03-06,3.4,3.4,3.4,3.4,0
2020-03-09,3.4,3.4,3.4,3.4,0
2020-03-10,3.4,3.4,3.4,3.4,0
2020-03-11,3.4,3.4,3.4,3.4,0
2020-03-12,3.4,3.4,3.4,3.4,0
2020-03-13,3.4,3.4,3.4,3.4,0
2020-03-16,3.4,3.4,3.4,3.4,0
2020-03-17,2.9,2.9,2.9,2.9,100
2020-03-18,2.5,2.5,2.5,2.5,100
2020-03-19,2.5,2.5,2.5,2.5,0
2020-03-20,2.5,2.5,2.5,2.5,0
2020-03-23,2.5,2.5,2.5,2.5,1200
2020-03-24,2.5,2.5,2.5,2.5,0
2020-03-25,2.2,2.2,2.2,2.2,100
2020-03-26,2.2,2.2,2.2,2.2,800
2020-03-27,1.9,1.9,1.9,1.9,100
2020-03-30,1.9,1.9,1.9,1.9,0
2020-03-31,1.9,1.9,1.9,1.9,0
2020-04-01,1.7,1.7,1.7,1.7,900
2020-04-03,1.7,1.7,1.7,1.7,0
2020-04-06,1.7,1.7,1.7,1.7,0
2020-04-07,1.7,1.9,1.7,1.9,700
2020-04-08,1.9,1.9,1.9,1.9,600
2020-04-09,2.0,2.1,2.0,2.1,1700
2020-04-10,2.1,2.1,2.1,2.1,0
2020-04-13,2.1,2.1,2.1,2.1,0
2020-04-14,1.8,1.8,1.8,1.8,300
2020-04-15,1.8,1.8,1.8,1.8,0
2020-04-16,1.8,1.8,1.8,1.8,0
2020-04-17,1.8,1.8,1.8,1.8,0
2020-04-20,1.8,1.8,1.8,1.8,0
2020-04-21,1.8,1.8,1.8,1.8,0
