time,open,high,low,close,volume
2020-01-06,12.58,12.64,12.58,12.64,12050
2020-01-07,12.58,12.58,12.58,12.58,5000
2020-01-08,12.61,12.64,12.61,12.61,10000
2020-01-09,12.58,12.58,12.58,12.58,500
2020-01-10,12.67,12.67,12.61,12.61,720
2020-01-13,12.7,12.77,12.7,12.7,8160
2020-01-14,12.7,12.7,12.61,12.61,16520
2020-01-15,12.7,12.7,12.58,12.67,9300
2020-01-16,12.64,12.7,12.61,12.64,2200
2020-01-17,12.64,12.64,12.61,12.61,5000
2020-01-20,12.61,12.64,12.61,12.64,1930
2020-01-21,12.64,12.67,12.64,12.67,1730
2020-01-22,12.7,12.77,12.7,12.7,5100
2020-01-30,12.77,12.77,12.64,12.64,2200
2020-01-31,12.64,12.64,12.64,12.64,3500
2020-02-03,12.64,12.64,12.49,12.49,15000
2020-02-04,12.61,12.61,12.49,12.61,4600
2020-02-05,12.52,12.58,12.49,12.58,10990
2020-02-06,12.58,12.58,12.58,12.58,30
2020-02-07,12.64,12.64,12.64,12.64,4120
2020-02-10,12.64,12.64,12.64,12.64,0
2020-02-11,12.64,12.64,12.55,12.55,3100
2020-02-12,12.55,12.55,12.55,12.55,0
2020-02-13,12.58,12.67,12.58,12.58,7280
2020-02-14,12.64,12.64,12.61,12.64,4200
2020-02-17,12.58,12.58,12.58,12.58,10540
2020-02-18,12.64,12.64,12.64,12.64,20
2020-02-19,12.64,12.64,12.58,12.61,10700
2020-02-20,12.61,12.64,12.58,12.58,27250
2020-02-21,12.67,12.67,12.46,12.46,27950
2020-02-24,12.46,12.46,12.46,12.46,2140
2020-02-25,12.46,12.46,12.46,12.46,8860
2020-02-26,12.46,12.46,12.33,12.33,12870
2020-02-27,12.33,12.33,12.3,12.3,11200
2020-02-28,12.3,12.3,12.27,12.3,1850
2020-03-02,12.3,12.46,12.3,12.46,1730
2020-03-03,12.7,12.7,12.46,12.46,24810
2020-03-04,12.46,12.58,12.46,12.58,12100
2020-03-05,12.58,12.58,12.58,12.58,7200
2020-03-06,12.61,12.61,12.46,12.58,8600
2020-03-09,12.3,12.3,11.83,11.83,53870
2020-03-10,12.55,12.55,12.49,12.49,40
2020-03-11,11.96,12.02,11.96,11.96,19100
2020-03-12,11.86,11.9,11.71,11.71,40280
2020-03-13,11.27,11.71,11.27,11.71,7200
2020-03-16,11.21,11.71,11.21,11.21,17620
2020-03-17,11.96,11.96,11.77,11.77,3160
2020-03-18,11.83,11.83,11.65,11.65,24750
2020-03-19,11.65,11.65,11.55,11.55,20790
2020-03-20,11.52,11.52,11.52,11.52,17900
2020-03-23,11.21,11.77,10.99,11.02,50750
2020-03-24,10.71,11.21,10.59,11.21,10020
2020-03-25,10.9,11.52,10.87,11.52,13820
2020-03-26,11.4,11.4,10.96,11.21,2960
2020-03-27,11.4,11.4,11.15,11.21,860
2020-03-30,11.15,11.52,11.15,11.21,6710
2020-03-31,11.21,11.21,10.96,10.96,1110
2020-04-01,10.71,11.21,10.71,10.77,5010
2020-04-03,10.93,11.15,10.93,11.08,18510
2020-04-06,10.99,11.21,10.99,11.21,12730
2020-04-07,10.99,11.21,10.99,11.21,20490
2020-04-08,11.37,11.4,11.37,11.4,170
2020-04-09,11.46,11.46,11.27,11.43,3000
2020-04-10,11.43,11.43,11.43,11.43,680
2020-04-13,11.49,11.49,11.49,11.49,1300
