time,open,high,low,close,volume
2020-01-06,3.65,3.65,3.65,3.65,0
2020-01-07,3.65,3.65,3.65,3.65,0
2020-01-08,3.65,3.65,3.65,3.65,0
2020-01-09,3.65,3.65,3.65,3.65,0
2020-01-10,3.65,3.65,3.65,3.65,0
2020-01-13,3.65,3.65,3.65,3.65,0
2020-01-14,3.65,3.65,3.65,3.65,0
2020-01-15,3.65,3.65,3.65,3.65,0
2020-01-16,3.65,3.65,3.65,3.65,0
2020-01-17,3.65,3.65,3.65,3.65,0
2020-01-20,3.65,3.65,3.65,3.65,0
2020-01-21,3.65,3.65,3.65,3.65,0
2020-01-22,3.65,3.65,3.65,3.65,0
2020-01-30,3.65,3.65,3.65,3.65,0
2020-01-31,3.65,3.65,3.65,3.65,0
2020-02-03,3.65,3.65,3.65,3.65,0
2020-02-04,3.65,3.65,3.65,3.65,0
2020-02-05,3.65,3.65,3.65,3.65,0
2020-02-06,3.65,3.65,3.65,3.65,0
2020-02-07,3.65,3.65,3.65,3.65,0
2020-02-10,3.65,3.65,3.65,3.65,0
2020-02-11,3.65,3.65,3.65,3.65,0
2020-02-12,3.65,3.65,3.65,3.65,0
2020-02-13,3.65,3.65,3.65,3.65,0
2020-02-14,3.65,3.65,3.65,3.65,0
2020-02-17,5.1,5.1,5.1,5.1,100
2020-02-18,4.41,4.41,4.41,4.41,100
2020-02-19,5.03,5.03,5.03,5.03,100
2020-02-20,4.41,4.41,4.41,4.41,100
2020-02-21,5.03,5.03,5.03,5.03,100
2020-02-24,4.61,4.61,4.61,4.61,100
2020-02-25,4.61,4.61,4.61,4.61,0
2020-02-26,4.61,4.61,4.61,4.61,0
2020-02-27,5.3,5.3,3.99,3.99,1600
2020-02-28,4.06,4.06,4.06,4.06,300
2020-03-02,4.06,4.06,4.06,4.06,0
2020-03-03,4.06,4.06,4.06,4.06,0
2020-03-04,4.06,4.06,4.06,4.06,0
2020-03-05,4.06,4.06,4.06,4.06,0
2020-03-06,4.06,4.06,4.06,4.06,0
2020-03-09,4.27,4.61,4.2,4.61,2400
2020-03-10,4.27,4.27,4.27,4.61,0
2020-03-11,4.27,4.27,4.27,4.61,0
2020-03-12,4.27,4.27,4.27,4.61,0
2020-03-13,4.27,4.27,4.27,4.61,0
2020-03-16,4.27,4.27,4.27,4.61,0
2020-03-17,4.27,4.27,4.27,4.61,0
2020-03-18,3.72,3.72,3.72,3.72,100
2020-03-19,4.27,4.27,4.27,4.27,3500
2020-03-20,4.89,4.89,4.89,4.89,100
2020-03-23,4.27,5.58,4.27,5.58,300
2020-03-24,5.51,5.51,5.51,5.51,710
2020-03-25,5.51,5.51,5.51,5.51,150
2020-03-26,5.51,5.51,5.51,5.51,0
2020-03-27,4.82,4.82,4.68,4.68,400
2020-03-30,4.06,5.1,4.06,4.13,2300
2020-03-31,4.61,4.68,4.13,4.13,3000
2020-04-01,4.61,4.61,4.61,4.61,100
2020-04-03,3.99,3.99,3.99,3.99,100
2020-04-06,3.44,4.2,3.44,4.2,5100
2020-04-07,4.2,4.2,4.2,4.2,0
2020-04-08,4.2,4.2,4.2,4.2,0
2020-04-09,4.13,4.13,4.13,4.13,7000
2020-04-10,4.68,4.68,4.68,4.68,100
2020-04-13,4.2,4.48,4.2,4.48,600
2020-04-14,4.2,4.48,4.2,4.48,750
2020-04-15,4.48,4.48,4.48,4.48,1000
2020-04-16,4.48,4.48,4.48,4.48,600
2020-04-17,4.2,4.54,4.2,4.54,2100
2020-04-20,4.61,4.75,4.61,4.75,1000
2020-04-21,4.89,4.89,4.89,4.89,100
2020-04-22,4.41,4.82,4.41,4.82,350
2020-04-23,4.54,4.75,4.54,4.75,2500
2020-04-24,5.3,5.3,5.3,5.3,100
2020-04-27,4.54,5.92,4.54,5.3,1100
2020-04-28,4.82,5.58,4.68,4.68,2200
2020-04-29,4.82,4.89,4.82,4.82,8500
2020-05-04,5.44,5.44,4.96,4.96,200
2020-05-05,5.78,5.78,4.96,5.65,1300
2020-05-06,5.72,5.72,5.37,5.58,3400
2020-05-07,5.85,5.85,5.85,5.85,100
2020-05-08,5.85,5.85,5.85,5.85,100
2020-05-11,5.23,5.37,5.23,5.37,6000
2020-05-12,5.78,5.78,5.37,5.37,2100
2020-05-13,5.44,5.44,5.44,5.44,1000
2020-05-14,6.06,6.06,5.16,5.85,6400
2020-05-15,5.51,5.51,5.51,5.51,200
2020-05-18,6.13,6.13,6.13,6.13,100
2020-05-19,6.13,6.13,6.13,6.13,0
2020-05-20,6.13,6.13,6.13,6.13,0
2020-05-21,5.85,6.82,5.85,6.82,3800
2020-05-22,6.75,6.75,5.44,6.4,300
2020-05-25,5.51,5.51,5.51,5.51,9700
2020-05-26,5.23,5.51,5.23,5.51,7200
2020-05-27,5.78,5.78,5.51,5.51,500
2020-05-28,5.78,5.78,5.78,5.78,100
2020-05-29,5.51,5.51,5.51,5.51,308
2020-06-01,5.78,5.78,5.51,5.51,1800
2020-06-02,6.34,6.34,5.51,5.51,1600
2020-06-03,6.34,6.34,5.51,5.51,3300
2020-06-04,5.65,5.65,5.65,5.65,200
2020-06-05,5.72,5.72,5.72,5.72,100
2020-06-08,5.16,5.72,5.16,5.72,400
2020-06-09,5.58,5.58,5.58,5.72,0
2020-06-10,6.4,6.4,5.78,5.78,200
2020-06-11,6.96,6.96,5.3,5.3,4500
2020-06-12,5.51,5.51,5.51,5.3,0
2020-06-15,5.51,5.51,5.51,5.3,0
2020-06-16,5.72,5.72,5.51,5.51,1800
2020-06-17,5.51,5.51,5.51,5.51,0
2020-06-18,5.51,5.51,5.51,5.51,0
2020-06-19,5.65,5.65,5.65,5.65,700
2020-06-22,5.65,5.65,5.65,5.65,0
2020-06-23,5.65,5.65,5.65,5.65,0
2020-06-24,5.85,5.85,5.65,5.65,600
2020-06-25,5.72,5.72,5.72,5.65,0
2020-06-26,5.65,5.65,5.65,5.65,500
2020-06-29,5.65,5.65,5.65,5.65,0
2020-06-30,5.65,5.65,5.65,5.65,0
2020-07-01,5.78,5.78,5.78,5.78,100
2020-07-02,5.85,5.85,5.85,5.85,100
2020-07-03,5.85,5.92,5.85,5.92,1100
2020-07-06,5.92,5.92,5.92,5.92,200
2020-07-07,5.99,5.99,5.99,5.99,100
2020-07-08,6.13,6.13,6.13,6.13,100
2020-07-09,6.2,6.2,6.2,6.2,1200
2020-07-10,6.47,6.54,6.47,6.54,1200
2020-07-13,6.68,6.68,6.54,6.54,200
2020-07-14,6.61,6.61,6.61,6.61,100
2020-07-15,6.61,6.61,6.61,6.61,0
2020-07-16,6.61,6.61,6.61,6.61,0
2020-07-17,5.92,5.92,5.65,5.65,10300
2020-07-20,5.78,6.47,5.78,6.34,800
2020-07-21,6.82,6.82,6.82,6.34,500
2020-07-22,6.82,6.82,6.82,6.82,200
2020-07-23,5.92,5.92,5.92,5.92,1200
2020-07-24,6.68,6.68,5.85,5.99,2000
2020-07-27,6.82,6.82,5.37,6.47,2700
2020-07-28,6.4,6.4,6.4,6.4,300
2020-07-29,6.4,6.4,6.4,6.4,0
2020-07-30,6.4,6.4,6.4,6.4,0
2020-07-31,6.4,6.4,6.4,6.4,0
2020-08-03,6.4,6.4,6.4,6.4,100
2020-08-04,6.4,6.4,6.4,6.4,0
2020-08-05,6.4,6.4,6.4,6.4,0
2020-08-06,6.4,6.4,6.4,6.4,0
2020-08-07,6.4,6.4,6.4,6.4,50
2020-08-10,6.4,6.4,6.4,6.4,400
2020-08-11,6.4,6.4,6.4,6.4,0
2020-08-12,6.2,6.2,6.2,6.2,1100
2020-08-13,6.47,6.47,6.47,6.47,200
2020-08-14,6.47,6.47,6.47,6.47,0
2020-08-17,6.47,6.47,6.47,6.47,0
2020-08-18,6.47,6.47,6.47,6.47,0
2020-08-19,6.47,6.47,6.47,6.47,0
2020-08-20,6.34,6.34,6.2,6.2,2200
2020-08-21,6.34,6.34,6.34,6.34,100
2020-08-24,6.34,6.34,6.34,6.34,0
2020-08-25,6.34,6.34,6.34,6.34,0
2020-08-26,6.34,7.09,6.34,7.09,2200
2020-08-27,6.54,6.54,6.54,7.09,0
2020-08-28,5.58,7.23,5.58,7.23,500
2020-08-31,6.89,6.89,6.89,7.23,1
2020-09-01,7.16,7.16,7.16,7.16,100
2020-09-03,8.06,8.06,8.06,8.06,100
2020-09-04,6.89,9.16,6.89,6.89,16200
2020-09-07,6.96,6.96,6.96,6.89,0
2020-09-08,6.54,6.54,6.54,6.54,6900
2020-09-09,5.99,5.99,5.99,5.99,300
2020-09-10,5.99,5.99,5.99,5.99,0
2020-09-11,5.99,5.99,5.99,5.99,0
2020-09-14,6.47,6.54,6.47,6.54,700
2020-09-15,6.54,6.54,6.54,6.54,300
2020-09-16,6.54,6.54,6.54,6.54,0
2020-09-17,6.34,6.34,6.27,6.27,6500
2020-09-18,6.34,6.34,6.34,6.27,0
2020-09-21,7.09,7.09,7.09,7.09,100
2020-09-22,7.09,7.44,7.09,7.44,3200
2020-09-23,7.44,7.44,7.44,7.44,1100
2020-09-24,6.34,8.06,6.34,7.58,2500
2020-09-25,7.85,7.92,7.58,7.58,3900
2020-09-28,7.58,7.58,7.58,7.58,6500
2020-09-29,6.47,7.02,6.47,7.02,5400
2020-09-30,6.68,7.44,6.61,7.44,4000
2020-10-01,6.68,6.68,6.68,7.44,0
2020-10-02,7.16,7.16,6.89,6.89,2300
2020-10-05,6.96,6.96,6.96,6.89,0
2020-10-06,7.78,7.78,6.96,7.58,10700
2020-10-07,7.51,7.51,7.02,7.44,800
2020-10-08,7.51,7.51,7.51,7.51,100
2020-10-09,8.61,8.61,6.96,7.85,1600
2020-10-12,8.47,8.47,7.23,7.78,1200
2020-10-13,6.34,7.78,6.34,7.37,2400
2020-10-14,7.37,8.61,6.96,7.51,12400
2020-10-15,8.2,8.2,7.23,8.13,900
2020-10-16,7.23,7.64,7.23,7.58,1500
2020-10-19,7.78,7.78,7.51,7.51,700
2020-10-20,7.23,7.58,7.16,7.16,1000
2020-10-21,7.44,7.44,7.44,7.44,200
2020-10-22,7.44,7.44,7.44,7.44,0
2020-10-23,7.44,7.44,7.44,7.44,0
2020-10-26,8.54,8.54,8.54,8.54,100
2020-10-27,7.3,7.3,7.3,7.3,1000
2020-10-28,7.44,7.44,7.44,7.44,100
2020-10-29,7.44,7.44,7.44,7.44,0
2020-10-30,7.44,7.44,7.44,7.44,0
2020-11-02,6.89,7.44,6.89,7.44,1100
2020-11-03,7.44,7.44,7.44,7.44,200
2020-11-04,7.16,7.16,7.16,7.16,100
2020-11-05,7.37,7.37,7.09,7.09,1900
2020-11-06,7.3,7.3,7.16,7.23,7800
2020-11-09,7.23,7.23,7.23,7.23,0
2020-11-10,7.37,7.37,7.37,7.37,100
2020-11-11,7.37,7.37,7.37,7.37,0
2020-11-12,7.37,7.37,7.37,7.37,0
2020-11-13,7.37,7.37,7.37,7.37,0
2020-11-16,6.89,6.89,6.89,6.89,1000
2020-11-17,6.89,6.89,6.89,6.89,100
2020-11-18,6.89,6.89,6.89,6.89,700
2020-11-19,7.23,7.58,6.82,6.82,5200
2020-11-20,7.48,7.48,7.48,7.41,0
2020-11-23,7.48,7.48,7.48,7.41,0
2020-11-24,6.96,7.04,6.96,7.04,200
2020-11-25,7.11,7.11,7.11,7.11,200
2020-11-26,7.11,7.11,7.11,7.11,0
2020-11-27,7.11,7.11,7.11,7.11,0
2020-11-30,7.11,7.11,7.11,7.11,0
2020-12-01,7.11,7.11,7.11,7.11,0
2020-12-02,7.11,7.11,7.11,7.11,0
2020-12-03,7.11,7.11,7.11,7.11,0
2020-12-04,6.44,6.88,6.44,6.88,4900
