time,open,high,low,close,volume
2020-01-06,16.66,17.03,16.66,16.88,115860
2020-01-07,16.88,17.1,16.88,17.1,254360
2020-01-08,16.88,17.54,16.0,16.0,573720
2020-01-09,16.07,16.81,16.07,16.81,303420
2020-01-10,16.81,17.47,16.66,17.47,883190
2020-01-13,17.61,17.65,17.43,17.43,425870
2020-01-14,17.43,18.13,17.4,18.06,829290
2020-01-15,18.06,19.01,18.06,19.01,907260
2020-01-16,18.9,19.23,18.35,19.08,1165480
2020-01-17,18.64,19.3,18.64,19.08,755260
2020-01-20,19.08,19.3,19.08,19.08,1440280
2020-01-21,18.64,19.23,18.64,19.01,210370
2020-01-22,19.01,19.01,18.42,18.72,144210
2020-01-30,18.13,18.61,18.06,18.35,154920
2020-01-31,18.35,18.35,17.65,17.98,131830
2020-02-03,17.98,17.98,16.81,17.8,348810
2020-02-04,17.5,17.98,16.99,17.76,306250
2020-02-05,17.76,17.84,17.32,17.73,144220
2020-02-06,17.32,17.76,17.32,17.58,130220
2020-02-07,17.61,17.84,17.32,17.47,856610
2020-02-10,17.32,17.61,17.32,17.47,143310
2020-02-11,17.47,17.69,17.32,17.5,288180
2020-02-12,17.73,17.76,17.43,17.54,314410
2020-02-13,17.58,17.58,16.95,17.47,235180
2020-02-14,17.32,17.54,17.18,17.47,136340
2020-02-17,17.47,17.47,17.18,17.18,247090
2020-02-18,16.92,17.25,16.92,17.25,116600
2020-02-19,17.18,17.21,16.84,17.1,584790
2020-02-20,17.03,17.25,16.92,17.25,258590
2020-02-21,17.25,17.25,16.92,17.1,123030
2020-02-24,16.95,16.95,16.15,16.88,521730
2020-02-25,16.22,16.73,16.22,16.73,371610
2020-02-26,16.4,16.4,16.26,16.37,228640
2020-02-27,16.15,16.48,16.15,16.48,577840
2020-02-28,16.29,16.29,15.38,15.78,889150
2020-03-02,15.82,15.82,15.49,15.78,455640
2020-03-03,15.56,16.51,15.56,16.51,423490
2020-03-04,16.51,16.62,16.15,16.62,269650
2020-03-05,16.73,16.73,16.37,16.66,159710
2020-03-06,16.44,16.66,15.63,15.85,1275220
2020-03-09,15.63,15.63,14.75,15.41,393320
2020-03-10,14.68,16.15,14.68,16.11,234610
2020-03-11,16.11,16.11,15.12,15.78,331010
2020-03-12,15.34,15.49,14.68,15.08,755620
2020-03-13,14.53,15.63,14.09,15.41,896280
2020-03-16,14.97,14.97,14.5,14.53,659460
2020-03-17,14.13,14.68,14.09,14.53,466770
2020-03-18,14.2,15.41,14.2,15.41,1737440
2020-03-19,15.05,15.74,14.39,14.46,897980
2020-03-20,14.53,14.61,14.24,14.61,535780
2020-03-23,14.17,14.17,13.62,13.62,600410
2020-03-24,12.92,14.02,12.92,13.76,572960
2020-03-25,13.91,14.53,13.72,14.53,1957820
2020-03-26,14.57,14.61,13.54,13.54,408650
2020-03-27,14.06,14.06,13.54,13.58,213370
2020-03-30,13.8,13.8,12.7,13.21,348650
2020-03-31,13.58,13.87,13.06,13.28,475180
2020-04-01,13.54,13.72,13.28,13.72,401430
2020-04-03,13.72,13.94,13.58,13.76,1827520
2020-04-06,13.8,14.5,13.62,14.24,1982410
2020-04-07,14.24,14.46,13.62,14.17,1816810
2020-04-08,13.65,14.06,13.65,13.69,714840
2020-04-09,13.76,13.84,13.28,13.28,1239110
2020-04-10,13.28,13.69,13.28,13.5,602830
2020-04-13,13.69,13.87,13.5,13.69,734290
2020-04-14,13.69,13.8,13.5,13.62,450360
2020-04-15,13.76,14.06,13.62,13.76,967360
2020-04-16,13.76,14.72,13.58,14.68,2067780
2020-04-17,14.75,15.27,14.75,14.79,1973900
2020-04-20,14.68,15.05,14.5,14.53,1219710
2020-04-21,14.2,14.46,13.65,14.46,1379250
2020-04-22,14.02,14.5,13.8,14.39,520030
2020-04-23,14.39,14.64,14.13,14.13,545150
2020-04-24,14.13,14.2,13.94,13.98,457770
2020-04-27,14.02,14.5,14.02,14.28,1600180
2020-04-28,14.5,14.75,14.42,14.57,1275050
2020-04-29,14.68,14.75,14.39,14.57,1137270
2020-05-04,14.39,14.68,14.17,14.17,1388690
2020-05-05,14.31,14.5,14.13,14.24,1171380
2020-05-06,14.31,14.31,14.13,14.24,930130
2020-05-07,14.28,14.61,14.28,14.53,928460
2020-05-08,14.72,14.79,14.46,14.46,1274320
2020-05-11,14.53,14.57,14.28,14.46,646680
2020-05-12,14.42,15.05,14.28,14.94,1077800
2020-05-13,14.9,15.93,14.75,15.41,1352290
2020-05-14,15.41,15.6,15.12,15.16,1245400
2020-05-15,15.12,15.34,14.75,14.9,725880
2020-05-18,14.97,15.19,14.9,15.19,889570
2020-05-19,15.3,15.3,15.01,15.01,869940
2020-05-20,14.94,15.19,14.94,15.05,848290
2020-05-21,15.12,15.12,14.75,14.75,1352790
2020-05-22,14.72,14.86,14.46,14.46,1465840
2020-05-25,14.46,14.68,14.46,14.53,1205640
2020-05-26,14.61,14.75,14.57,14.61,1080460
2020-05-27,14.79,15.12,14.61,14.68,1432270
2020-05-28,14.68,14.79,14.57,14.57,683980
2020-05-29,14.57,14.61,14.09,14.17,1645170
2020-06-01,14.17,14.42,14.17,14.24,1293770
2020-06-02,14.24,14.35,14.06,14.06,1416420
2020-06-03,14.09,14.35,13.65,14.35,3933050
2020-06-04,14.39,14.42,14.17,14.2,1894620
2020-06-05,14.2,14.2,13.98,14.02,1300120
2020-06-08,14.02,14.31,14.02,14.09,3964320
2020-06-09,14.17,14.97,14.06,14.61,4972050
2020-06-10,14.61,14.97,14.46,14.68,2682360
2020-06-11,14.75,15.34,14.31,14.31,5040150
2020-06-12,13.8,14.42,13.8,14.31,2853340
2020-06-15,14.39,14.39,13.65,13.72,1984730
2020-06-16,13.94,14.06,13.8,13.98,1450060
2020-06-17,13.94,14.2,13.84,14.09,939610
2020-06-18,13.87,14.09,13.87,13.87,803050
2020-06-19,14.02,14.13,13.91,14.06,1101600
2020-06-22,13.94,14.13,13.91,13.94,1291490
2020-06-23,14.06,14.31,13.94,14.02,1123420
2020-06-24,14.09,14.13,13.84,13.87,1076050
2020-06-25,13.76,13.87,13.72,13.72,1220070
2020-06-26,13.84,13.94,13.5,13.8,2303680
2020-06-29,13.76,13.8,13.06,13.32,1586930
2020-06-30,13.5,13.58,13.14,13.32,931290
2020-07-01,13.32,13.5,13.21,13.36,1085620
2020-07-02,13.4,13.47,13.28,13.28,764530
2020-07-03,13.28,13.76,13.28,13.54,939960
2020-07-06,13.58,13.69,13.54,13.58,733310
2020-07-07,13.62,13.62,13.36,13.36,1119290
2020-07-08,13.32,13.4,13.28,13.28,820200
2020-07-09,13.32,13.47,13.28,13.4,1116490
2020-07-10,13.4,13.58,13.28,13.36,1171290
2020-07-13,13.36,13.43,13.25,13.32,1503010
2020-07-14,13.36,13.4,13.21,13.4,1456340
2020-07-15,13.4,13.43,13.21,13.21,1371300
2020-07-16,13.21,13.43,13.18,13.18,1289320
2020-07-17,13.18,13.28,13.18,13.21,963980
2020-07-20,13.21,13.25,12.84,12.84,1725760
2020-07-21,12.92,13.28,12.62,13.28,1732030
2020-07-22,13.28,13.4,13.14,13.28,1422120
2020-07-23,13.21,13.32,13.06,13.06,1840100
2020-07-24,13.03,13.21,12.22,13.21,2618490
2020-07-27,12.59,12.84,12.33,12.55,2137110
2020-07-28,12.55,12.84,12.48,12.62,996000
2020-07-29,12.55,12.92,12.15,12.92,2682410
2020-07-30,12.84,12.95,12.7,12.84,427730
2020-07-31,12.51,12.84,12.51,12.77,470060
2020-08-03,12.55,12.92,12.55,12.84,604930
2020-08-04,12.95,13.1,12.88,12.99,702380
2020-08-05,13.03,13.18,12.95,12.99,527850
2020-08-06,12.95,12.99,12.66,12.73,978410
2020-08-07,12.77,12.88,12.7,12.73,529080
2020-08-10,12.77,13.28,12.73,12.92,1734410
2020-08-11,12.92,13.14,12.88,13.1,930190
2020-08-12,13.18,13.18,12.99,12.99,460110
2020-08-13,12.95,13.1,12.95,12.95,754700
2020-08-14,12.95,12.99,12.73,12.73,965480
2020-08-17,12.81,12.99,12.73,12.81,617570
2020-08-18,12.88,13.4,12.88,13.21,2502290
2020-08-19,13.21,13.32,13.14,13.18,833150
2020-08-20,13.14,13.21,13.03,13.06,606450
2020-08-21,13.06,13.25,12.99,13.14,865400
2020-08-24,13.21,13.5,13.21,13.47,2171150
2020-08-25,13.54,13.54,13.32,13.32,1057080
2020-08-26,13.32,13.54,13.28,13.43,1174340
2020-08-27,13.5,14.02,13.43,13.94,3138320
2020-08-28,14.02,14.2,13.91,13.91,1394040
2020-08-31,13.91,14.09,13.58,13.58,1041860
2020-09-01,13.62,13.8,13.54,13.72,1160400
2020-09-03,13.65,14.02,13.58,13.69,1645030
2020-09-04,13.5,13.58,13.47,13.5,1513180
2020-09-07,13.5,13.5,13.18,13.18,2121850
2020-09-08,13.28,13.36,13.1,13.21,875440
2020-09-09,13.14,13.14,12.99,13.06,1613880
2020-09-10,13.25,13.36,13.14,13.21,1305360
2020-09-11,13.14,13.28,13.14,13.18,420100
2020-09-14,13.21,13.32,13.18,13.21,1165660
2020-09-15,13.28,13.36,13.21,13.28,713820
2020-09-16,13.32,13.62,13.32,13.54,1957510
2020-09-17,13.58,13.87,13.5,13.69,2237030
2020-09-18,13.72,13.8,13.58,13.69,1316590
2020-09-21,13.69,13.87,13.54,13.54,2368500
2020-09-22,13.5,13.62,13.4,13.47,1489680
2020-09-23,13.58,13.65,13.47,13.5,1060020
2020-09-24,13.47,13.47,13.32,13.32,1350720
2020-09-25,13.36,13.43,13.21,13.21,1876900
2020-09-28,13.25,13.36,13.21,13.25,1683880
2020-09-29,13.28,13.36,13.21,13.25,1104640
2020-09-30,13.25,13.28,13.18,13.25,767240
2020-10-01,13.36,13.43,13.28,13.4,920050
2020-10-02,13.47,13.87,13.4,13.87,4485330
2020-10-05,14.09,14.13,13.91,13.94,2747930
2020-10-06,14.02,14.06,13.8,13.94,1601430
2020-10-07,13.94,14.5,13.8,14.09,5296650
2020-10-08,14.09,14.28,13.91,13.94,3216420
2020-10-09,13.94,14.09,13.91,13.94,1434000
2020-10-12,14.09,14.13,13.87,13.87,3725350
2020-10-13,13.87,13.91,13.76,13.76,1224850
2020-10-14,13.76,13.84,13.62,13.65,2202150
2020-10-15,13.69,13.69,13.47,13.47,3017300
2020-10-16,13.54,13.58,13.4,13.47,2416930
2020-10-19,13.58,13.84,13.54,13.72,1066760
2020-10-20,13.76,13.91,13.69,13.8,1129180
2020-10-21,13.8,13.8,13.58,13.58,1433870
2020-10-22,13.5,13.7,13.46,13.66,1149280
2020-10-23,13.66,13.81,13.58,13.62,886990
2020-10-26,13.62,13.66,13.19,13.19,1629250
2020-10-27,13.19,13.38,12.76,12.96,1943250
2020-10-28,12.96,12.96,12.45,12.57,2051640
2020-10-29,12.34,12.96,12.26,12.84,1659030
2020-10-30,12.88,12.96,12.57,12.76,1144520
2020-11-02,12.72,12.8,12.57,12.69,1434490
2020-11-03,12.69,13.04,12.65,13.04,1024420
2020-11-04,12.88,13.31,12.84,13.15,886730
2020-11-05,13.11,13.19,12.88,12.88,645270
2020-11-06,12.92,13.11,12.84,12.92,1167310
2020-11-09,13.08,13.15,12.92,12.96,1006710
2020-11-10,13.11,13.15,12.92,12.92,936040
2020-11-11,12.92,13.46,12.92,13.23,3933330
2020-11-12,13.27,13.5,13.19,13.27,1708310
2020-11-13,13.27,13.35,13.19,13.27,1097430
2020-11-16,13.27,13.35,12.96,12.96,1761140
2020-11-17,12.96,13.11,12.92,13.08,1053390
2020-11-18,13.08,13.15,13.04,13.08,937760
2020-11-19,13.11,13.35,13.08,13.19,1168580
2020-11-20,13.23,13.27,13.08,13.19,2257540
2020-11-23,13.27,13.66,13.19,13.54,2724290
2020-11-24,13.54,13.54,13.35,13.38,1284480
2020-11-25,13.38,13.73,13.27,13.62,2769150
2020-11-26,13.66,13.66,13.5,13.5,752950
2020-11-27,13.46,13.54,13.35,13.5,1127160
2020-11-30,13.5,13.54,13.27,13.38,2399780
2020-12-01,13.19,13.35,13.15,13.31,1324680
2020-12-02,13.23,13.31,13.19,13.23,1357750
2020-12-03,13.35,13.89,13.27,13.89,2895660
2020-12-04,13.97,14.28,13.77,14.12,6514650
2020-12-07,14.12,14.2,14.04,14.12,1915870
2020-12-08,14.08,14.55,14.01,14.47,4160570
2020-12-09,14.47,14.7,14.39,14.55,3087880
2020-12-10,14.66,14.82,14.28,14.28,3336500
2020-12-11,14.28,14.55,14.2,14.55,1433840
2020-12-14,14.59,14.7,14.47,14.55,1492510
2020-12-15,14.55,15.05,14.47,14.94,4930800
2020-12-16,14.94,15.21,14.94,15.05,3338060
2020-12-17,14.98,15.13,14.59,15.13,3793300
2020-12-18,14.82,15.09,14.78,15.05,2064580
2020-12-21,15.05,15.09,14.82,14.94,1470660
2020-12-22,14.82,14.98,14.7,14.9,2084210
2020-12-23,15.09,15.75,15.05,15.44,3477530
2020-12-24,15.6,15.6,14.74,15.36,1891980
2020-12-25,15.48,15.48,15.05,15.32,2237520
2020-12-28,15.36,15.44,15.17,15.36,2781610
