time,open,high,low,close,volume
2020-01-06,8.78,8.78,8.78,8.78,0
2020-01-07,8.78,8.78,8.78,8.78,0
2020-01-08,8.78,8.78,8.78,8.78,0
2020-01-09,8.78,8.78,8.78,8.78,0
2020-01-10,8.78,8.78,8.78,8.78,0
2020-01-13,8.78,8.78,8.78,8.78,0
2020-01-14,8.78,8.78,8.78,8.78,0
2020-01-15,8.78,8.78,8.78,8.78,0
2020-01-16,8.78,8.78,8.78,8.78,0
2020-01-17,8.78,8.78,8.78,8.78,0
2020-01-20,8.78,8.78,8.78,8.78,0
2020-01-21,8.78,8.78,8.78,8.78,0
2020-01-22,8.78,8.78,8.78,8.78,0
2020-01-30,8.78,8.78,8.78,8.78,0
2020-01-31,8.78,8.78,8.78,8.78,0
2020-02-03,8.78,8.78,8.78,8.78,0
2020-02-04,8.78,8.78,8.78,8.78,0
2020-02-05,8.78,8.78,8.78,8.78,200
2020-02-06,8.78,8.78,8.78,8.78,0
2020-02-07,8.89,9.06,8.89,9.06,1400
2020-02-10,8.95,8.95,8.95,9.06,0
2020-02-11,8.95,8.95,8.95,9.06,0
2020-02-12,8.95,8.95,8.95,9.06,0
2020-02-13,8.95,8.95,8.95,9.06,0
2020-02-14,8.95,8.95,8.95,9.06,0
2020-02-17,8.95,8.95,8.95,9.06,0
2020-02-18,8.95,8.95,8.95,9.06,0
2020-02-19,8.95,8.95,8.95,9.06,0
2020-02-20,8.95,8.95,8.95,9.06,0
2020-02-21,8.95,8.95,8.95,9.06,0
2020-02-24,8.95,8.95,8.95,9.06,0
2020-02-25,8.78,8.78,8.78,8.78,200
2020-02-26,9.82,9.82,9.82,9.82,100
2020-02-27,8.51,8.51,8.51,8.51,200
2020-02-28,8.51,8.51,8.51,8.51,200
2020-03-02,8.51,8.51,8.51,8.51,0
2020-03-03,8.51,8.51,8.51,8.51,0
2020-03-04,8.51,8.51,8.51,8.51,0
2020-03-05,8.51,8.51,8.51,8.51,0
2020-03-06,8.51,8.51,8.51,8.51,0
2020-03-09,8.78,8.78,8.78,8.78,200
2020-03-10,8.78,8.78,8.78,8.78,200
2020-03-11,8.78,8.78,8.78,8.78,0
2020-03-12,8.78,8.78,8.78,8.78,200
2020-03-13,8.78,8.78,8.78,8.78,200
2020-03-16,8.78,8.78,8.78,8.78,1400
2020-03-17,10.1,10.1,10.1,10.1,100
2020-03-18,8.78,8.78,8.78,8.78,200
2020-03-19,8.78,8.78,8.78,8.78,0
2020-03-20,10.1,10.1,10.1,10.1,100
2020-03-23,11.58,11.58,11.58,11.58,100
2020-03-24,13.28,13.28,13.28,13.28,100
2020-03-25,15.26,15.26,15.26,15.26,100
2020-03-26,15.26,15.26,15.26,15.26,0
2020-03-27,17.51,17.51,17.51,17.51,100
2020-03-30,17.51,17.51,17.51,17.51,0
2020-03-31,17.51,17.51,17.51,17.51,0
2020-04-01,19.76,19.76,19.76,19.76,100
2020-04-03,19.76,19.76,19.76,19.76,0
2020-04-06,21.9,21.9,21.9,21.9,100
2020-04-07,21.9,21.9,21.9,21.9,20
2020-04-08,21.9,21.9,21.9,21.9,0
2020-04-09,21.9,21.9,21.9,21.9,0
2020-04-10,21.9,21.9,21.9,21.9,0
2020-04-13,21.9,21.9,21.9,21.9,0
2020-04-14,21.9,21.9,21.9,21.9,0
2020-04-15,21.9,21.9,21.9,21.9,0
2020-04-16,21.9,21.9,21.9,21.9,0
2020-04-17,21.9,21.9,21.9,21.9,0
2020-04-20,21.9,21.9,21.9,21.9,0
2020-04-21,21.9,21.9,21.9,21.9,0
2020-04-22,21.9,21.9,21.9,21.9,0
2020-04-23,21.9,21.9,21.9,21.9,0
2020-04-24,21.9,21.9,21.9,21.9,0
2020-04-27,21.9,21.9,21.9,21.9,0
2020-04-28,21.9,21.9,21.9,21.9,0
2020-04-29,18.66,18.66,18.66,18.66,138
2020-05-04,18.66,18.66,18.66,18.66,0
2020-05-05,15.86,15.86,15.86,15.86,100
2020-05-06,13.5,13.5,13.5,13.5,100
2020-05-07,15.48,15.48,11.53,11.53,620
2020-05-08,10.37,10.43,10.37,10.43,1200
2020-05-11,10.43,10.43,10.43,10.43,10
2020-05-12,8.89,8.89,8.89,8.89,100
2020-05-13,10.21,10.21,10.21,10.21,100
2020-05-14,9.44,9.44,9.44,9.44,310
2020-05-15,9.33,9.44,9.33,9.44,210
2020-05-18,9.44,9.44,9.44,9.44,300
2020-05-19,9.44,9.44,9.44,9.44,0
2020-05-20,9.44,9.44,9.44,9.44,0
2020-05-21,9.44,9.44,9.44,9.44,18
2020-05-22,9.44,9.44,9.44,9.44,0
2020-05-25,9.33,9.6,9.33,9.6,500
2020-05-26,9.55,9.55,9.55,9.6,0
2020-05-27,9.55,9.55,9.55,9.6,0
2020-05-28,9.88,10.98,9.82,10.98,1900
2020-05-29,10.15,10.43,10.15,10.43,720
2020-06-01,10.15,10.15,10.15,10.15,200
2020-06-02,10.21,10.21,10.21,10.21,500
2020-06-03,10.43,10.43,10.43,10.43,300
2020-06-04,11.2,11.2,10.43,10.81,1500
2020-06-05,10.43,10.43,9.88,10.43,1800
2020-06-08,10.48,10.92,10.48,10.92,1820
2020-06-09,11.12,11.12,10.82,10.82,1810
2020-06-10,11.0,11.0,11.0,11.0,800
2020-06-11,10.51,10.51,10.39,10.39,2000
2020-06-12,10.39,10.39,10.39,10.39,0
2020-06-15,10.39,10.39,10.39,10.39,300
2020-06-16,10.39,10.39,10.39,10.39,0
2020-06-17,10.39,10.39,10.39,10.39,0
2020-06-18,10.39,10.39,10.39,10.39,0
2020-06-19,10.39,10.39,10.39,10.39,300
2020-06-22,11.0,11.0,10.69,11.0,1300
2020-06-23,11.0,11.0,11.0,11.0,200
2020-06-24,11.0,11.0,11.0,11.0,0
2020-06-25,11.0,11.0,11.0,11.0,1000
2020-06-26,11.0,11.0,11.0,11.0,2000
2020-06-29,11.0,11.0,11.0,11.0,10
2020-06-30,11.0,11.0,11.0,11.0,1710
2020-07-01,11.36,11.36,11.06,11.06,2400
2020-07-02,11.3,11.3,11.3,11.3,1010
2020-07-03,11.79,11.79,11.79,11.79,100
2020-07-06,11.3,11.3,11.3,11.3,500
2020-07-07,10.39,10.39,10.39,10.39,110
2020-07-08,10.39,10.39,10.39,10.39,0
2020-07-09,11.3,11.43,11.3,11.43,400
2020-07-10,11.3,11.3,11.3,11.3,200
2020-07-13,11.3,11.3,11.3,11.3,0
2020-07-14,11.3,11.3,11.3,11.3,0
2020-07-15,11.0,11.3,11.0,11.3,528
2020-07-16,11.12,11.12,11.12,11.3,0
2020-07-17,11.61,11.61,11.61,11.61,1300
2020-07-20,11.61,11.61,11.61,11.61,0
2020-07-21,11.3,11.3,11.3,11.3,400
2020-07-22,11.3,11.3,11.3,11.3,2000
2020-07-23,11.3,11.3,11.3,11.3,200
2020-07-24,11.3,11.3,11.3,11.3,0
2020-07-27,11.43,11.43,11.36,11.36,600
2020-07-28,11.36,11.36,11.36,11.36,0
2020-07-29,11.36,11.36,11.36,11.36,0
2020-07-30,11.3,11.3,11.3,11.3,200
2020-07-31,11.3,11.3,11.3,11.3,0
2020-08-03,11.3,11.3,11.3,11.3,200
2020-08-04,11.3,11.3,11.3,11.3,100
2020-08-05,11.3,11.3,11.3,11.3,0
2020-08-06,11.3,11.3,11.3,11.3,0
2020-08-07,11.3,11.3,11.3,11.3,0
2020-08-10,11.3,11.3,11.3,11.3,0
2020-08-11,11.3,11.3,11.3,11.3,0
2020-08-12,11.3,11.3,11.3,11.3,0
2020-08-13,11.92,11.92,11.92,11.92,800
2020-08-14,11.92,11.92,11.92,11.92,700
2020-08-17,11.92,11.92,11.92,11.92,0
2020-08-18,12.22,12.22,12.22,12.22,7000
2020-08-19,12.22,12.22,12.22,12.22,0
2020-08-20,12.22,12.22,12.22,12.22,0
2020-08-21,12.22,12.83,12.22,12.83,2000
2020-08-24,12.53,12.53,12.53,12.83,0
2020-08-25,12.53,12.53,12.53,12.83,0
2020-08-26,12.53,12.53,12.53,12.83,0
2020-08-27,12.53,12.53,12.53,12.83,0
2020-08-28,12.53,12.53,12.53,12.83,0
2020-08-31,13.75,13.75,13.75,13.75,300
2020-09-01,13.75,13.75,13.75,13.75,0
2020-09-03,11.92,11.92,11.92,11.92,1200
2020-09-04,11.92,12.53,11.92,12.22,19000
2020-09-07,12.16,12.16,12.1,12.1,200
2020-09-08,12.16,12.16,12.16,12.1,0
2020-09-09,12.1,12.1,12.1,12.1,600
2020-09-10,11.92,11.92,11.92,11.92,100
2020-09-11,11.85,11.85,11.85,11.85,100
