time,open,high,low,close,volume
2020-01-06,9.95,9.95,9.95,9.95,0
2020-01-07,8.78,8.78,8.78,8.78,200
2020-01-08,8.78,8.78,8.78,8.78,0
2020-01-09,8.78,8.78,8.78,8.78,0
2020-01-10,10.07,10.07,10.07,10.07,200
2020-01-13,10.07,10.07,10.07,10.07,0
2020-01-14,10.07,10.07,10.07,10.07,0
2020-01-15,10.07,10.07,10.07,10.07,0
2020-01-16,10.07,10.07,10.07,10.07,0
2020-01-17,10.07,10.07,10.07,10.07,0
2020-01-20,10.07,10.07,10.07,10.07,0
2020-01-21,10.07,10.07,10.07,10.07,0
2020-01-22,10.07,10.07,10.07,10.07,0
2020-01-30,10.07,10.07,10.07,10.07,0
2020-01-31,10.07,10.07,10.07,10.07,0
2020-02-03,10.07,10.07,10.07,10.07,0
2020-02-04,10.07,10.07,10.07,10.07,0
2020-02-05,10.07,10.07,10.07,10.07,0
2020-02-06,10.07,10.07,10.07,10.07,0
2020-02-07,10.07,10.07,10.07,10.07,0
2020-02-10,10.07,10.07,10.07,10.07,0
2020-02-11,10.07,10.07,10.07,10.07,0
2020-02-12,8.96,8.96,8.96,8.96,100
2020-02-13,8.78,10.19,8.78,10.19,1600
2020-02-14,9.84,9.84,9.84,10.19,0
2020-02-17,9.84,9.84,9.84,10.19,0
2020-02-18,9.84,9.84,9.84,10.19,0
2020-02-19,9.84,9.84,9.84,10.19,0
2020-02-20,8.78,8.78,8.78,8.78,300
2020-02-21,8.78,8.78,8.78,8.78,0
2020-02-24,7.61,7.61,7.61,7.61,3200
2020-02-25,7.61,7.61,7.61,7.61,0
2020-02-26,7.61,7.61,7.61,7.61,0
2020-02-27,7.61,7.61,7.61,7.61,0
2020-02-28,7.61,7.61,7.61,7.61,0
2020-03-02,7.61,7.61,7.61,7.61,0
2020-03-03,7.61,7.61,7.61,7.61,0
2020-03-04,7.61,7.61,7.61,7.61,0
2020-03-05,7.61,7.61,7.61,7.61,0
2020-03-06,7.61,7.61,7.61,7.61,0
2020-03-09,7.08,7.08,7.08,7.08,900
2020-03-10,7.08,7.08,7.08,7.08,0
2020-03-11,8.14,8.14,8.14,8.14,100
2020-03-12,9.31,9.31,9.31,9.31,500
2020-03-13,9.31,9.31,9.31,9.31,0
2020-03-16,9.78,9.78,9.78,9.78,400
2020-03-17,9.78,9.78,9.78,9.78,0
2020-03-18,9.78,9.78,9.78,9.78,0
2020-03-19,9.78,9.78,9.78,9.78,0
2020-03-20,9.78,9.78,9.78,9.78,0
2020-03-23,9.78,9.78,9.78,9.78,0
2020-03-24,8.78,8.78,8.78,8.78,500
2020-03-25,10.01,10.01,10.01,10.01,100
2020-03-26,10.01,10.01,10.01,10.01,0
2020-03-27,10.01,10.01,10.01,10.01,0
2020-03-30,10.01,10.01,10.01,10.01,0
2020-03-31,10.01,10.01,10.01,10.01,0
2020-04-01,10.01,10.01,10.01,10.01,0
2020-04-03,10.01,10.01,10.01,10.01,0
2020-04-06,10.01,10.01,10.01,10.01,0
2020-04-07,10.01,10.01,10.01,10.01,0
2020-04-08,10.01,10.01,10.01,10.01,0
2020-04-09,10.01,10.01,10.01,10.01,0
2020-04-10,10.01,10.01,10.01,10.01,0
2020-04-13,10.01,10.01,10.01,10.01,0
2020-04-14,10.01,10.01,10.01,10.01,0
2020-04-15,10.01,10.01,10.01,10.01,0
2020-04-16,10.01,10.01,10.01,10.01,0
2020-04-17,10.01,10.01,10.01,10.01,0
2020-04-20,10.01,10.01,10.01,10.01,0
2020-04-21,10.01,10.01,10.01,10.01,0
2020-04-22,10.01,10.01,10.01,10.01,0
2020-04-23,10.01,10.01,10.01,10.01,100
2020-04-24,10.01,10.01,10.01,10.01,300
2020-04-27,8.78,8.78,8.78,8.78,1000
2020-04-28,8.78,8.78,8.78,8.78,0
2020-04-29,8.78,8.78,8.78,8.78,0
2020-05-04,8.78,8.78,8.78,8.78,0
2020-05-05,9.95,9.95,9.95,9.95,100
