time,open,high,low,close,volume
2020-03-25,4.35,5.19,4.35,4.35,276320
2020-03-26,4.45,4.45,4.05,4.35,19220
2020-03-27,4.65,4.65,4.05,4.45,39300
2020-03-30,4.2,4.35,4.14,4.14,30050
2020-03-31,3.85,3.85,3.85,3.85,57210
2020-04-01,3.58,4.05,3.58,3.95,117510
2020-04-03,3.85,4.2,3.76,3.76,58250
2020-04-06,4.03,4.03,3.9,4.03,29150
2020-04-07,4.03,4.25,4.03,4.25,87080
2020-04-08,4.2,4.25,3.96,4.25,44170
2020-04-09,4.25,4.44,4.04,4.24,22970
2020-04-10,4.2,4.2,3.95,3.95,51570
2020-04-13,3.95,4.1,3.9,4.1,72930
2020-04-14,3.95,4.0,3.9,4.0,26900
2020-04-15,4.1,4.1,4.0,4.03,25040
2020-04-16,4.0,4.1,3.91,4.07,50510
2020-04-17,4.15,4.2,4.05,4.06,45670
2020-04-20,4.2,4.2,4.05,4.06,51520
2020-04-21,3.96,4.05,3.96,4.03,13390
2020-04-22,4.06,4.1,4.0,4.0,9400
2020-04-23,3.97,4.1,3.97,4.05,4340
2020-04-24,4.05,4.05,3.93,3.95,34350
2020-04-27,3.95,3.95,3.88,3.95,5040
2020-04-28,3.95,4.0,3.71,4.0,13080
2020-04-29,4.0,4.03,3.95,4.0,10010
2020-05-04,3.98,3.98,3.85,3.85,6040
2020-05-05,3.9,3.95,3.9,3.95,8090
2020-05-06,3.9,3.95,3.9,3.9,17880
2020-05-07,3.95,3.98,3.95,3.95,13670
2020-05-08,3.95,4.05,3.95,4.03,23480
2020-05-11,4.0,4.08,4.0,4.08,10790
2020-05-12,4.08,4.18,3.95,4.1,61110
2020-05-13,4.1,4.12,3.95,4.1,33660
2020-05-14,4.1,4.13,4.05,4.05,16430
2020-05-15,4.05,4.08,3.96,4.08,13060
2020-05-18,4.05,4.08,4.05,4.08,30100
2020-05-19,4.05,4.36,4.05,4.36,98470
2020-05-20,4.66,4.66,4.64,4.66,391570
2020-05-21,4.97,4.97,4.94,4.97,444220
2020-05-22,4.97,5.31,4.97,5.31,657860
2020-05-25,5.44,5.68,4.94,4.94,197750
2020-05-26,4.94,5.19,4.69,4.92,239500
2020-05-27,4.87,4.92,4.64,4.82,144590
2020-05-28,4.7,4.97,4.69,4.82,127030
2020-05-29,4.94,4.94,4.69,4.82,55720
2020-06-01,4.74,4.85,4.65,4.7,119040
2020-06-02,4.7,4.89,4.7,4.77,89070
2020-06-03,4.77,5.09,4.76,4.94,196090
2020-06-04,5.04,5.09,4.85,4.94,156560
2020-06-05,4.94,4.97,4.92,4.94,137990
2020-06-08,5.01,5.01,4.79,4.83,188050
2020-06-09,4.82,4.94,4.82,4.85,76210
2020-06-10,4.91,5.04,4.79,4.97,304480
2020-06-11,5.31,5.31,5.19,5.29,903830
2020-06-12,5.19,5.24,4.94,4.94,215090
2020-06-15,5.04,5.04,4.79,4.94,204850
2020-06-16,4.94,5.09,4.74,5.01,307290
2020-06-17,5.24,5.24,4.94,5.19,611520
2020-06-18,5.19,5.53,5.04,5.53,745310
2020-06-19,5.88,5.9,5.63,5.9,1403840
2020-06-22,5.93,6.13,5.83,5.93,649780
2020-06-23,5.93,6.3,5.83,6.18,907240
2020-06-24,6.18,6.55,6.18,6.32,1029800
2020-06-25,6.2,6.37,6.08,6.25,442250
2020-06-26,6.32,6.32,6.13,6.15,395340
2020-06-29,6.12,6.12,5.72,5.72,719390
2020-06-30,5.56,5.8,5.32,5.59,740490
2020-07-01,5.64,5.96,5.4,5.94,429930
2020-07-02,6.18,6.18,5.8,5.8,409060
2020-07-03,5.8,5.86,5.7,5.75,352570
2020-07-06,5.88,5.88,5.7,5.83,304310
2020-07-07,5.83,6.02,5.75,5.8,380470
2020-07-08,5.8,5.94,5.8,5.91,207230
2020-07-09,6.07,6.31,6.07,6.31,980220
2020-07-10,6.31,6.45,6.02,6.31,292620
