time,open,high,low,close,volume
2020-01-06,8.9,8.9,8.9,8.9,0
2020-01-07,8.9,8.9,8.9,8.9,0
2020-01-08,8.9,8.9,8.9,8.9,0
2020-01-09,8.9,8.9,8.9,8.9,0
2020-01-10,8.9,8.9,8.9,8.9,0
2020-01-13,8.9,8.9,8.9,8.9,0
2020-01-14,8.9,8.9,8.9,8.9,0
2020-01-15,8.11,9.75,8.11,9.75,300
2020-01-16,8.9,10.67,8.9,10.67,300
2020-01-17,9.62,9.62,9.62,9.62,100
2020-01-20,8.77,10.54,8.77,10.54,300
2020-01-21,9.49,11.58,9.49,11.58,500
2020-01-22,10.47,11.58,10.47,11.58,500
2020-01-30,11.65,11.98,11.65,11.98,400
2020-01-31,11.98,11.98,11.98,11.98,0
2020-02-03,10.8,10.8,10.8,10.8,100
2020-02-04,9.75,9.75,9.75,9.75,100
2020-02-05,8.9,8.9,8.9,8.9,100
2020-02-06,8.9,8.9,8.9,8.9,0
2020-02-07,8.9,8.9,8.9,8.9,0
2020-02-10,8.9,8.9,8.9,8.9,500
2020-02-11,8.9,9.55,8.9,8.96,2400
2020-02-12,8.24,8.24,8.24,8.24,100
2020-02-13,8.24,8.24,8.24,8.24,0
2020-02-14,8.24,8.24,8.24,8.24,0
2020-02-17,9.03,9.03,9.03,9.03,1600
2020-02-18,8.31,8.31,8.31,8.31,100
2020-02-19,9.1,9.1,9.1,9.1,1000
2020-02-20,9.1,9.1,9.1,9.1,0
2020-02-21,9.95,9.95,9.95,9.95,200
2020-02-24,10.93,10.93,10.93,10.93,200
2020-02-25,10.54,10.54,10.54,10.54,100
2020-02-26,9.49,10.54,9.49,10.54,700
2020-02-27,9.49,10.47,9.49,10.47,500
2020-02-28,9.42,10.34,9.42,10.34,1400
2020-03-02,9.36,9.36,9.36,9.36,400
2020-03-03,8.57,9.36,8.57,9.36,200
2020-03-04,9.36,9.36,9.36,9.36,0
2020-03-05,8.57,9.82,8.57,9.82,300
2020-03-06,10.67,10.67,10.67,10.67,200
2020-03-09,9.62,9.62,9.62,9.62,100
2020-03-10,8.77,9.68,8.77,9.68,700
2020-03-11,8.77,10.14,8.77,10.14,300
2020-03-12,9.16,10.01,9.16,10.01,400
2020-03-13,9.03,9.03,9.03,9.03,100
2020-03-16,8.24,8.24,8.24,8.24,100
2020-03-17,9.03,9.03,9.03,9.03,200
2020-03-18,9.29,9.29,9.29,9.29,200
2020-03-19,9.29,9.29,9.29,9.29,0
2020-03-20,10.08,10.08,10.08,10.08,200
2020-03-23,10.54,10.54,10.54,10.54,200
2020-03-24,9.49,11.32,9.49,11.32,400
2020-03-25,11.32,11.32,11.32,11.32,0
2020-03-26,11.32,11.32,11.32,11.32,0
2020-03-27,11.32,11.32,11.32,11.32,0
2020-03-30,11.65,11.65,11.65,11.65,300
2020-03-31,11.91,11.91,11.91,11.91,200
2020-04-01,11.91,11.91,11.91,11.91,0
2020-04-03,11.91,11.91,11.91,11.91,0
2020-04-06,11.91,11.91,11.91,11.91,0
2020-04-07,11.91,11.91,11.91,11.91,0
2020-04-08,11.91,11.91,11.91,11.91,0
2020-04-09,11.91,11.91,11.91,11.91,0
2020-04-10,11.91,11.91,11.91,11.91,0
2020-04-13,11.91,11.91,11.91,11.91,0
2020-04-14,11.91,11.91,11.91,11.91,0
2020-04-15,11.91,11.91,11.91,11.91,0
2020-04-16,11.91,11.91,11.91,11.91,0
2020-04-17,11.91,11.91,11.91,11.91,0
2020-04-20,10.73,10.73,10.73,10.73,100
2020-04-21,10.73,10.73,10.73,10.73,0
2020-04-22,10.73,10.73,10.73,10.73,0
2020-04-23,9.68,9.68,9.68,9.68,200
2020-04-24,8.77,9.82,8.77,9.82,400
2020-04-27,8.9,10.4,8.9,10.4,500
2020-04-28,9.42,9.42,9.42,9.42,300
2020-04-29,10.14,10.14,10.14,10.14,300
2020-05-04,10.14,10.14,10.14,10.14,0
2020-05-05,9.23,9.23,9.23,9.23,200
2020-05-06,9.23,9.23,9.23,9.23,0
2020-05-07,9.23,9.23,9.23,9.23,0
2020-05-08,9.23,9.23,9.23,9.23,0
2020-05-11,9.23,9.23,9.23,9.23,0
2020-05-12,8.64,8.64,8.64,8.64,100
