time,open,high,low,close,volume
2020-01-06,2.58,2.81,2.57,2.57,20760
2020-01-07,2.65,2.65,2.4,2.62,18610
2020-01-08,2.7,2.7,2.5,2.64,7540
2020-01-09,2.7,2.7,2.46,2.46,11590
2020-01-10,2.46,2.5,2.4,2.4,14390
2020-01-13,2.24,2.56,2.24,2.45,188840
2020-01-14,2.46,2.62,2.45,2.62,44090
2020-01-15,2.8,2.8,2.78,2.8,35200
2020-01-16,2.98,2.99,2.7,2.99,190480
2020-01-17,3.19,3.19,3.18,3.19,25400
2020-01-20,3.4,3.41,3.4,3.41,28960
2020-01-21,3.63,3.64,3.18,3.18,77000
2020-01-22,2.99,3.18,2.96,2.96,47800
2020-01-30,2.76,3.0,2.76,2.96,11390
2020-01-31,2.96,2.96,2.76,2.76,45650
2020-02-03,2.57,2.57,2.57,2.57,26080
2020-02-04,2.5,2.5,2.4,2.4,48740
2020-02-05,2.25,2.29,2.24,2.25,140520
2020-02-06,2.26,2.4,2.12,2.25,176350
2020-02-07,2.3,2.4,2.23,2.23,83880
2020-02-10,2.1,2.3,2.08,2.1,93050
2020-02-11,2.24,2.24,2.0,2.22,191130
2020-02-12,2.23,2.24,2.07,2.14,356070
2020-02-13,2.0,2.05,2.0,2.03,136310
2020-02-14,2.12,2.12,1.89,1.92,170070
2020-02-17,1.81,1.94,1.81,1.92,79620
2020-02-18,1.93,1.99,1.85,1.9,95000
2020-02-19,1.9,2.03,1.9,2.03,119240
2020-02-20,2.17,2.17,2.17,2.17,125260
2020-02-21,2.32,2.32,2.32,2.32,86210
2020-02-24,2.48,2.48,2.16,2.16,288580
2020-02-25,2.02,2.16,2.02,2.06,55400
2020-02-26,2.08,2.13,1.93,1.93,99930
2020-02-27,1.95,2.06,1.87,2.06,124860
2020-02-28,2.2,2.2,1.92,2.15,152580
2020-03-02,2.15,2.26,2.1,2.2,136950
2020-03-03,2.15,2.29,2.15,2.25,179030
2020-03-04,2.15,2.31,2.15,2.27,101280
2020-03-05,2.27,2.42,2.27,2.42,202250
2020-03-06,2.56,2.58,2.46,2.58,292610
2020-03-09,2.4,2.56,2.4,2.4,347290
2020-03-10,2.25,2.56,2.24,2.56,202960
2020-03-11,2.69,2.7,2.39,2.41,294310
2020-03-12,2.41,2.41,2.25,2.25,608070
2020-03-13,2.1,2.3,2.1,2.1,166160
2020-03-16,1.97,2.24,1.97,2.1,177700
2020-03-17,1.99,2.24,1.99,2.15,157830
2020-03-18,2.3,2.3,2.15,2.3,57620
2020-03-19,2.46,2.46,2.33,2.46,257620
2020-03-20,2.54,2.6,2.3,2.31,103870
2020-03-23,2.16,2.3,2.15,2.15,151150
2020-03-24,2.02,2.3,2.02,2.3,69300
2020-03-25,2.45,2.45,2.35,2.35,20070
2020-03-26,2.39,2.39,2.2,2.2,31730
2020-03-27,2.07,2.2,2.05,2.05,19660
2020-03-30,1.91,1.92,1.91,1.91,108960
2020-03-31,1.91,2.03,1.78,1.78,89860
2020-04-01,1.7,1.88,1.66,1.8,153280
2020-04-03,1.88,1.89,1.77,1.77,82130
2020-04-06,1.86,1.86,1.78,1.83,19180
2020-04-07,1.8,1.81,1.71,1.73,128290
2020-04-08,1.7,1.8,1.66,1.78,45790
2020-04-09,1.79,1.88,1.78,1.88,51450
2020-04-10,1.93,1.93,1.8,1.8,27760
2020-04-13,1.68,1.75,1.68,1.75,97740
2020-04-14,1.68,1.74,1.63,1.63,130630
2020-04-15,1.63,1.74,1.63,1.72,143900
2020-04-16,1.72,1.76,1.69,1.7,13850
2020-04-17,1.72,1.74,1.59,1.59,154200
2020-04-20,1.7,1.7,1.6,1.7,124870
2020-04-21,1.79,1.79,1.65,1.66,66890
2020-04-22,1.66,1.66,1.55,1.66,86190
2020-04-23,1.68,1.68,1.6,1.6,107350
2020-04-24,1.69,1.71,1.68,1.71,99160
2020-04-27,1.82,1.82,1.82,1.82,42280
2020-04-28,1.94,1.94,1.9,1.94,395960
2020-04-29,1.95,2.07,1.91,2.05,82190
2020-05-04,2.16,2.16,1.93,1.93,47030
2020-05-05,1.83,1.9,1.8,1.85,31820
2020-05-06,1.8,1.85,1.73,1.82,29180
2020-05-07,1.82,1.85,1.75,1.79,50120
2020-05-08,1.67,1.75,1.67,1.71,696010
2020-05-11,1.6,1.67,1.6,1.6,984200
2020-05-12,1.6,1.66,1.49,1.6,356540
2020-05-13,1.6,1.6,1.49,1.49,178070
2020-05-14,1.59,1.59,1.39,1.42,427590
2020-05-15,1.42,1.51,1.42,1.51,108870
2020-05-18,1.61,1.61,1.51,1.53,144940
2020-05-19,1.53,1.57,1.43,1.43,184680
2020-05-20,1.47,1.47,1.43,1.45,62420
2020-05-21,1.45,1.49,1.37,1.4,105310
2020-05-22,1.4,1.45,1.4,1.43,123540
2020-05-25,1.43,1.43,1.41,1.41,27270
2020-05-26,1.41,1.41,1.32,1.32,255350
2020-05-27,1.32,1.32,1.23,1.25,103870
2020-05-28,1.25,1.3,1.25,1.25,68980
2020-05-29,1.25,1.29,1.2,1.22,29630
2020-06-01,1.22,1.3,1.2,1.3,71000
2020-06-02,1.39,1.39,1.39,1.39,67320
2020-06-03,1.48,1.48,1.31,1.36,61070
2020-06-04,1.38,1.38,1.29,1.31,153420
2020-06-05,1.31,1.4,1.31,1.4,131930
2020-06-08,1.4,1.49,1.4,1.49,206790
2020-06-09,1.59,1.59,1.48,1.56,232840
2020-06-10,1.56,1.58,1.47,1.55,272340
2020-06-11,1.55,1.55,1.45,1.45,198020
2020-06-12,1.4,1.54,1.35,1.38,200980
2020-06-15,1.38,1.38,1.33,1.34,56880
2020-06-16,1.35,1.42,1.34,1.42,93700
2020-06-17,1.42,1.51,1.33,1.51,364550
2020-06-18,1.51,1.61,1.51,1.61,526480
2020-06-19,1.72,1.72,1.61,1.7,305840
2020-06-22,1.59,1.7,1.59,1.59,343730
2020-06-23,1.52,1.59,1.49,1.59,143690
2020-06-24,1.59,1.59,1.48,1.48,133790
2020-06-25,1.48,1.54,1.39,1.49,110850
2020-06-26,1.52,1.53,1.4,1.4,38880
2020-06-29,1.32,1.46,1.32,1.34,140230
2020-06-30,1.32,1.43,1.32,1.43,103010
2020-07-01,1.46,1.53,1.46,1.53,103630
2020-07-02,1.47,1.53,1.46,1.53,35620
2020-07-03,1.53,1.53,1.47,1.5,70960
2020-07-06,1.5,1.59,1.5,1.56,201720
2020-07-07,1.58,1.58,1.47,1.47,4320
2020-07-08,1.5,1.52,1.45,1.45,13850
2020-07-09,1.48,1.48,1.38,1.4,64530
2020-07-10,1.35,1.45,1.35,1.37,68640
2020-07-13,1.43,1.43,1.33,1.37,53890
2020-07-14,1.4,1.45,1.37,1.37,14330
2020-07-15,1.4,1.44,1.39,1.44,46320
2020-07-16,1.49,1.49,1.4,1.4,24980
2020-07-17,1.45,1.45,1.37,1.38,7070
2020-07-20,1.39,1.43,1.38,1.38,11420
2020-07-21,1.38,1.39,1.35,1.39,29870
2020-07-22,1.42,1.42,1.35,1.35,1980
2020-07-23,1.35,1.35,1.3,1.31,10180
2020-07-24,1.31,1.31,1.22,1.22,106280
2020-07-27,1.14,1.14,1.14,1.14,28930
2020-07-28,1.21,1.21,1.14,1.21,25910
2020-07-29,1.2,1.2,1.13,1.16,12340
2020-07-30,1.17,1.18,1.16,1.18,8280
2020-07-31,1.18,1.18,1.17,1.17,4670
2020-08-03,1.2,1.25,1.17,1.25,35820
2020-08-04,1.23,1.29,1.23,1.27,3020
2020-08-05,1.27,1.3,1.21,1.28,18910
2020-08-06,1.22,1.27,1.2,1.21,54040
2020-08-07,1.27,1.28,1.2,1.2,66390
2020-08-10,1.22,1.27,1.2,1.27,15910
2020-08-11,1.25,1.27,1.2,1.26,3760
2020-08-12,1.26,1.26,1.21,1.26,19420
2020-08-13,1.26,1.29,1.26,1.26,5810
2020-08-14,1.29,1.29,1.2,1.2,14100
2020-08-17,1.2,1.27,1.18,1.2,81060
2020-08-18,1.2,1.22,1.15,1.19,32110
2020-08-19,1.25,1.25,1.17,1.22,15970
2020-08-20,1.14,1.21,1.14,1.16,39530
2020-08-21,1.21,1.22,1.2,1.22,20620
2020-08-24,1.23,1.23,1.21,1.21,47320
2020-08-25,1.2,1.21,1.19,1.19,49660
2020-08-26,1.25,1.25,1.19,1.19,69300
2020-08-27,1.19,1.19,1.18,1.19,94360
2020-08-28,1.2,1.2,1.19,1.19,43600
2020-08-31,1.19,1.19,1.18,1.18,32240
2020-09-01,1.18,1.21,1.18,1.18,25590
2020-09-03,1.17,1.19,1.12,1.12,52300
2020-09-04,1.12,1.19,1.12,1.19,61380
2020-09-07,1.26,1.26,1.18,1.22,35310
2020-09-08,1.2,1.22,1.18,1.19,112860
2020-09-09,1.18,1.22,1.17,1.17,9590
2020-09-10,1.17,1.25,1.17,1.25,146980
2020-09-11,1.25,1.25,1.19,1.23,63740
2020-09-14,1.22,1.31,1.22,1.31,109890
2020-09-15,1.31,1.31,1.23,1.27,80340
2020-09-16,1.3,1.3,1.23,1.26,41730
2020-09-17,1.25,1.26,1.2,1.25,37460
2020-09-18,1.25,1.25,1.2,1.25,54980
2020-09-21,1.22,1.25,1.2,1.21,68310
2020-09-22,1.21,1.24,1.19,1.22,44730
2020-09-23,1.2,1.22,1.18,1.22,52670
2020-09-24,1.2,1.21,1.18,1.2,38150
2020-09-25,1.25,1.25,1.17,1.25,5960
2020-09-28,1.25,1.25,1.18,1.18,27760
2020-09-29,1.2,1.2,1.18,1.18,22510
2020-09-30,1.2,1.2,1.17,1.18,18460
2020-10-01,1.18,1.23,1.16,1.23,62100
2020-10-02,1.17,1.22,1.17,1.17,42340
2020-10-05,1.12,1.23,1.12,1.22,94570
2020-10-06,1.22,1.22,1.19,1.21,131460
2020-10-07,1.21,1.22,1.2,1.22,48350
2020-10-08,1.21,1.21,1.2,1.21,19600
2020-10-09,1.2,1.21,1.19,1.19,31640
2020-10-12,1.2,1.21,1.2,1.2,44320
2020-10-13,1.2,1.22,1.19,1.2,59560
2020-10-14,1.19,1.2,1.18,1.18,20230
2020-10-15,1.18,1.19,1.18,1.18,33410
2020-10-16,1.18,1.18,1.17,1.18,27790
2020-10-19,1.18,1.22,1.18,1.2,146020
2020-10-20,1.21,1.21,1.18,1.2,11030
2020-10-21,1.2,1.2,1.17,1.19,34480
2020-10-22,1.19,1.19,1.17,1.19,1530
2020-10-23,1.17,1.2,1.17,1.2,16780
2020-10-26,1.18,1.18,1.15,1.15,56110
2020-10-27,1.2,1.2,1.14,1.14,18040
2020-10-28,1.14,1.14,1.14,1.14,23510
2020-10-29,1.14,1.16,1.1,1.16,20420
2020-10-30,1.15,1.19,1.11,1.11,16130
2020-11-02,1.1,1.15,1.1,1.13,960
2020-11-03,1.11,1.18,1.11,1.16,52900
2020-11-04,1.14,1.17,1.13,1.14,5060
2020-11-05,1.14,1.16,1.13,1.16,29010
2020-11-06,1.16,1.18,1.14,1.14,6610
2020-11-09,1.14,1.17,1.14,1.14,38500
2020-11-10,1.16,1.16,1.14,1.14,23260
2020-11-11,1.12,1.14,1.07,1.14,101220
2020-11-12,1.13,1.16,1.12,1.14,26320
2020-11-13,1.14,1.14,1.14,1.14,7250
2020-11-16,1.14,1.14,1.12,1.14,7740
2020-11-17,1.14,1.15,1.1,1.1,59720
2020-11-18,1.1,1.14,1.1,1.14,36990
2020-11-19,1.14,1.14,1.1,1.1,23690
2020-11-20,1.1,1.12,1.1,1.12,16080
2020-11-23,1.12,1.12,1.06,1.09,82040
2020-11-24,1.06,1.1,1.03,1.1,130320
2020-11-25,1.17,1.17,1.05,1.15,104280
2020-11-26,1.15,1.16,1.07,1.16,69800
2020-11-27,1.16,1.16,1.08,1.14,110640
2020-11-30,1.14,1.14,1.09,1.14,4420
2020-12-01,1.11,1.11,1.08,1.09,17010
2020-12-02,1.09,1.09,1.04,1.05,90030
2020-12-03,1.1,1.1,0.98,1.02,202800
2020-12-04,1.08,1.08,0.99,1.02,68330
2020-12-07,422.01,1.08,0.97,0.98,151920
2020-12-08,0.98,1.01,0.95,0.99,169960
2020-12-09,0.99,1.0,0.97,0.98,46240
2020-12-10,0.98,0.98,0.93,0.93,132860
2020-12-11,0.94,0.96,0.93,0.93,66840
2020-12-14,0.93,0.96,0.93,0.95,30620
2020-12-15,1.01,1.01,0.92,0.97,48660
2020-12-16,0.97,0.97,0.94,0.96,32340
2020-12-17,0.95,0.95,0.92,0.94,106970
2020-12-18,0.88,0.88,0.88,0.88,239580
2020-12-21,0.82,0.82,0.82,0.82,104690
2020-12-22,0.77,0.77,0.77,0.77,251450
2020-12-23,0.77,0.77,0.77,0.77,0
2020-12-24,0.77,0.77,0.77,0.77,0
2020-12-25,0.77,0.77,0.77,0.77,0
2020-12-28,0.77,0.77,0.77,0.77,0
2020-12-29,0.77,0.77,0.77,0.77,0
2020-12-30,0.77,0.77,0.77,0.77,0
2020-12-31,0.77,0.77,0.77,0.77,0
2020-12-23,0.77,0.77,0.77,0.77,0
2020-12-24,0.77,0.77,0.77,0.77,0
2020-12-25,0.77,0.77,0.77,0.77,0
2020-12-28,0.77,0.77,0.77,0.77,0
2020-12-29,0.77,0.77,0.77,0.77,0
2020-12-30,0.77,0.77,0.77,0.77,0
2020-12-31,0.77,0.77,0.77,0.77,0
2021-01-04,0.77,0.77,0.77,0.77,0
2021-01-05,0.77,0.77,0.77,0.77,0
2021-01-06,0.77,0.77,0.77,0.77,0
2021-01-07,0.77,0.77,0.77,0.77,0
2021-01-08,0.77,0.77,0.77,0.77,0
2021-01-11,0.77,0.77,0.77,0.77,0
2021-01-12,0.77,0.77,0.77,0.77,0
2021-01-13,0.77,0.77,0.77,0.77,0
2021-01-14,0.77,0.77,0.77,0.77,0
2021-01-15,0.77,0.77,0.77,0.77,0
2021-01-18,0.77,0.77,0.77,0.77,0
2021-01-19,0.77,0.77,0.77,0.77,0
2021-01-20,0.77,0.77,0.77,0.77,0
2021-01-21,0.77,0.77,0.77,0.77,0
2021-01-22,0.77,0.77,0.77,0.77,0
2021-01-25,0.77,0.77,0.77,0.77,0
2021-01-26,0.77,0.77,0.77,0.77,0
2021-01-27,0.77,0.77,0.77,0.77,0
2021-01-28,0.77,0.77,0.77,0.77,0
