time,open,high,low,close,volume
2020-01-06,16.38,16.38,16.38,16.38,50
2020-01-07,16.38,16.38,16.38,16.38,0
2020-01-08,16.38,16.38,16.38,16.38,0
2020-01-09,16.44,16.44,16.44,16.44,700
2020-01-10,17.14,17.14,17.14,17.14,250
2020-01-13,16.44,16.44,16.44,16.44,10
2020-01-14,16.44,17.18,15.55,16.44,570
2020-01-15,16.44,16.44,16.44,16.44,0
2020-01-16,16.57,16.57,16.57,16.57,10
2020-01-17,16.57,16.57,16.57,16.57,0
2020-01-20,16.57,16.57,16.57,16.57,0
2020-01-21,16.57,16.57,16.57,16.57,0
2020-01-22,16.63,16.7,16.63,16.7,20
2020-01-30,16.7,16.7,15.55,15.93,60
2020-01-31,16.63,17.05,15.93,15.93,3740
2020-02-03,17.05,17.05,15.93,15.93,1510
2020-02-04,17.05,17.05,17.05,17.05,4800
2020-02-05,16.0,18.16,16.0,18.16,550
2020-02-06,18.48,19.31,17.21,19.31,111160
2020-02-07,18.8,19.25,18.8,19.25,2000
2020-02-10,17.97,19.12,17.91,19.12,1800
2020-02-11,19.12,19.12,19.12,19.12,0
2020-02-12,19.12,19.12,19.12,19.12,10
2020-02-13,17.84,18.8,17.84,18.8,1140
2020-02-14,18.8,18.8,18.8,18.8,0
2020-02-17,17.49,17.49,17.49,17.49,30
2020-02-18,17.21,17.49,17.21,17.49,20
2020-02-19,16.7,16.7,16.57,16.57,3220
2020-02-20,16.57,16.7,16.57,16.7,2110
2020-02-21,16.76,16.76,16.76,16.76,10
2020-02-24,16.7,16.7,16.7,16.7,550
2020-02-25,16.57,16.63,16.57,16.63,390
2020-02-26,16.63,16.63,16.63,16.63,0
2020-02-27,17.34,17.34,17.34,17.34,10
2020-02-28,16.44,17.08,16.44,17.08,220
2020-03-02,17.21,17.21,17.21,17.21,80
2020-03-03,17.21,17.53,17.21,17.53,230
2020-03-04,17.53,17.53,17.53,17.53,0
2020-03-05,17.53,17.53,17.53,17.53,0
2020-03-06,17.21,17.65,17.21,17.65,400
2020-03-09,17.65,17.65,17.65,17.65,0
2020-03-10,17.65,17.65,17.65,17.65,50
2020-03-11,17.65,17.65,17.65,17.65,0
2020-03-12,17.65,18.48,17.65,18.48,89410
2020-03-13,18.48,18.48,18.48,18.48,0
2020-03-16,18.48,18.48,18.48,18.48,0
2020-03-17,18.48,18.48,18.23,18.48,51450
2020-03-18,18.48,18.48,18.48,18.48,0
2020-03-19,18.48,18.48,18.48,18.48,0
2020-03-20,18.48,18.48,18.48,18.48,0
2020-03-23,18.48,18.48,18.48,18.48,0
2020-03-24,18.48,18.48,18.48,18.48,0
2020-03-25,18.48,18.48,18.48,18.48,0
2020-03-26,18.48,18.48,18.48,18.48,0
2020-03-27,18.48,18.48,18.48,18.48,0
2020-03-30,18.48,18.48,18.48,18.48,0
2020-03-31,18.48,18.48,18.48,18.48,0
2020-04-01,17.84,18.48,17.21,18.48,34300
2020-04-03,18.48,18.48,17.21,18.23,1000
2020-04-06,17.34,18.23,17.21,17.21,120
2020-04-07,17.24,17.24,17.24,17.24,680
2020-04-08,18.23,18.23,18.2,18.23,30
2020-04-09,18.23,18.23,18.23,18.23,0
2020-04-10,17.78,17.78,17.78,17.78,100
2020-04-13,17.53,17.53,17.53,17.53,10
2020-04-14,17.34,17.34,17.34,17.34,30
2020-04-15,16.51,16.51,16.51,16.51,10
2020-04-16,15.65,15.65,15.61,15.61,100
2020-04-17,16.48,16.7,16.48,16.7,270
2020-04-20,17.78,17.84,17.78,17.84,2070
2020-04-21,18.8,18.8,17.84,17.84,600
2020-04-22,19.09,19.09,18.48,18.48,20
2020-04-23,18.48,19.12,17.84,17.84,290
2020-04-24,18.48,18.48,18.48,18.48,10
2020-04-27,18.48,18.48,18.48,18.48,30
2020-04-28,18.48,18.48,17.21,17.21,500
