time,open,high,low,close,volume
2020-01-06,9.97,9.97,9.97,9.97,100
2020-01-07,10.23,10.32,10.23,10.32,1200
2020-01-08,10.23,10.23,10.23,10.32,0
2020-01-09,10.23,10.32,10.23,10.32,300
2020-01-10,10.23,10.32,10.23,10.32,800
2020-01-13,10.4,10.4,9.97,9.97,1200
2020-01-14,10.49,11.7,10.49,11.7,52000
2020-01-15,11.79,12.14,11.79,12.14,900
2020-01-16,11.27,11.27,11.27,11.27,100
2020-01-17,11.18,11.18,11.01,11.01,500
2020-01-20,11.1,11.1,11.1,11.1,1200
2020-01-21,11.1,11.1,11.1,11.1,0
2020-01-22,11.88,11.96,11.88,11.96,300
2020-01-30,10.49,10.49,10.49,10.49,100
2020-01-31,10.49,10.49,10.49,10.49,0
2020-02-03,10.66,10.66,9.97,9.97,2300
2020-02-04,10.49,10.49,10.49,10.49,900
2020-02-05,10.49,10.49,10.49,10.49,600
2020-02-06,10.66,10.66,10.66,10.66,100
2020-02-07,10.66,10.66,10.66,10.66,0
2020-02-10,10.66,10.66,10.66,10.66,1800
2020-02-11,10.66,10.66,10.66,10.66,0
2020-02-12,10.66,10.66,10.14,10.4,2400
2020-02-13,10.49,10.49,10.49,10.4,0
2020-02-14,10.92,11.18,10.23,10.32,1100
2020-02-17,10.75,10.75,10.75,10.32,0
2020-02-18,10.75,11.1,10.4,10.4,9600
2020-02-19,10.4,11.27,10.4,11.27,200
2020-02-20,10.75,10.75,9.97,9.97,8000
2020-02-21,10.4,10.4,10.4,10.4,1000
2020-02-24,10.4,10.4,10.4,10.4,3400
2020-02-25,10.06,10.06,9.97,9.97,2500
2020-02-26,10.14,10.4,10.14,10.4,3100
2020-02-27,10.14,10.23,9.88,10.23,3100
2020-02-28,10.14,10.4,9.97,9.97,4100
2020-03-02,10.32,10.49,10.23,10.49,4600
2020-03-03,10.14,10.49,10.14,10.49,700
2020-03-04,10.4,10.4,10.4,10.49,0
2020-03-05,10.4,10.4,10.4,10.49,0
2020-03-06,10.4,10.4,10.4,10.49,0
2020-03-09,10.14,10.58,9.8,10.4,2000
2020-03-10,10.06,10.4,10.06,10.4,10200
2020-03-11,10.4,10.4,10.4,10.4,0
2020-03-12,9.62,11.27,9.54,11.27,41000
2020-03-13,10.32,10.4,9.54,10.4,2373
2020-03-16,10.32,10.32,10.32,10.4,27
2020-03-17,10.32,10.32,10.32,10.4,0
2020-03-18,9.54,9.54,9.1,9.1,1500
2020-03-19,9.54,9.54,9.54,9.54,1006
2020-03-20,9.54,9.54,9.54,9.54,300
2020-03-23,9.62,9.62,9.54,9.54,1100
2020-03-24,9.54,9.54,9.54,9.54,2627
