time,open,high,low,close,volume
2020-01-06,8.57,8.57,8.57,8.57,0
2020-01-07,7.95,7.95,7.95,7.95,100
2020-01-08,7.95,7.95,7.95,7.95,10
2020-01-09,7.95,7.95,7.95,7.95,0
2020-01-10,7.95,7.95,7.95,7.95,0
2020-01-13,7.95,7.95,7.95,7.95,0
2020-01-14,7.95,7.95,7.95,7.95,0
2020-01-15,7.95,7.95,7.95,7.95,0
2020-01-16,7.95,7.95,7.95,7.95,0
2020-01-17,7.95,7.95,7.95,7.95,0
2020-01-20,7.95,7.95,7.95,7.95,0
2020-01-21,7.95,7.95,7.95,7.95,0
2020-01-22,7.95,7.95,7.95,7.95,0
2020-01-30,8.57,8.57,8.57,8.57,100
2020-01-31,8.57,8.57,8.57,8.57,0
2020-02-03,8.57,8.57,8.57,8.57,0
2020-02-04,8.57,8.57,8.57,8.57,0
2020-02-05,8.57,8.57,8.57,8.57,0
2020-02-06,8.57,8.57,8.57,8.57,0
2020-02-07,8.57,8.57,8.57,8.57,0
2020-02-10,8.57,8.57,8.57,8.57,0
2020-02-11,8.57,8.57,8.57,8.57,0
2020-02-12,8.57,8.57,8.57,8.57,0
2020-02-13,8.57,8.57,8.57,8.57,0
2020-02-14,8.57,8.57,8.57,8.57,0
2020-02-17,8.57,8.57,8.57,8.57,0
2020-02-18,8.57,8.57,8.57,8.57,0
2020-02-19,8.57,8.57,8.57,8.57,0
2020-02-20,8.57,8.57,8.57,8.57,10
2020-02-21,8.57,8.57,8.57,8.57,0
2020-02-24,8.57,8.57,8.57,8.57,0
2020-02-25,8.57,8.57,8.57,8.57,0
2020-02-26,8.57,8.57,8.57,8.57,0
2020-02-27,8.57,8.57,8.57,8.57,0
2020-02-28,8.57,8.57,8.57,8.57,0
2020-03-02,8.57,8.57,8.57,8.57,0
2020-03-03,8.57,8.57,8.57,8.57,0
2020-03-04,8.57,8.57,8.57,8.57,0
2020-03-05,8.57,8.57,8.57,8.57,0
2020-03-06,8.57,8.57,8.57,8.57,0
2020-03-09,8.57,8.57,8.57,8.57,0
2020-03-10,8.57,8.57,8.57,8.57,0
2020-03-11,8.57,8.57,8.57,8.57,0
2020-03-12,8.57,8.57,8.57,8.57,0
2020-03-13,8.57,8.57,8.57,8.57,0
2020-03-16,8.57,8.57,8.57,8.57,0
2020-03-17,8.57,8.57,8.57,8.57,0
2020-03-18,8.57,8.57,8.57,8.57,0
2020-03-19,8.57,8.57,8.57,8.57,0
2020-03-20,8.57,8.57,8.57,8.57,0
2020-03-23,8.57,8.57,8.57,8.57,0
2020-03-24,8.57,8.57,8.57,8.57,0
2020-03-25,8.57,8.57,8.57,8.57,0
2020-03-26,9.29,9.29,9.29,9.29,100
2020-03-27,9.29,9.29,9.29,9.29,0
2020-03-30,9.29,9.29,9.29,9.29,0
2020-03-31,9.29,9.29,9.29,9.29,0
2020-04-01,9.29,9.29,9.29,9.29,0
2020-04-03,9.29,9.29,9.29,9.29,0
2020-04-06,9.29,9.29,9.29,9.29,0
2020-04-07,9.29,9.29,9.29,9.29,0
2020-04-08,8.39,8.39,8.39,8.39,1500
2020-04-09,8.39,8.39,8.39,8.39,0
2020-04-10,7.68,7.68,7.68,7.68,400
2020-04-13,7.68,7.68,7.68,7.68,0
2020-04-14,6.96,6.96,6.96,6.96,100
2020-04-15,6.96,6.96,6.96,6.96,0
2020-04-16,6.34,6.34,6.34,6.34,100
2020-04-17,6.34,6.34,6.34,6.34,0
2020-04-20,5.72,5.72,5.72,5.72,400
2020-04-21,5.18,5.18,5.18,5.18,800
2020-04-22,4.73,4.73,4.73,4.73,114
2020-04-23,4.73,4.73,4.73,4.73,0
2020-04-24,4.38,4.38,4.29,4.29,300
2020-04-27,4.02,4.02,4.02,4.02,560
2020-04-28,4.02,4.02,4.02,4.02,0
2020-04-29,4.38,4.38,4.11,4.11,354
2020-05-04,4.11,4.11,3.93,3.93,1400
2020-05-05,3.93,3.93,3.93,3.93,0
2020-05-06,3.93,3.93,3.93,3.93,54
2020-05-07,3.93,3.93,3.93,3.93,0
2020-05-08,3.93,3.93,3.93,3.93,10
2020-05-11,4.29,4.29,4.29,4.29,1000
2020-05-12,4.29,4.29,4.29,4.29,0
2020-05-13,4.29,4.29,4.29,4.29,0
2020-05-14,4.29,4.29,4.29,4.29,0
2020-05-15,4.29,4.29,4.29,4.29,0
2020-05-18,4.29,4.64,4.29,4.64,1700
2020-05-19,5.09,5.09,5.09,5.09,2440
2020-05-20,5.54,5.54,5.54,5.54,100
2020-05-21,6.07,6.07,6.07,6.07,5650
2020-05-22,5.54,5.54,5.54,5.54,544
2020-05-25,5.36,5.36,5.36,5.36,200
2020-05-26,4.91,4.91,4.91,4.91,420
2020-05-27,4.82,4.82,4.73,4.73,300
2020-05-28,4.73,4.73,4.73,4.73,200
2020-05-29,4.73,4.73,4.73,4.73,0
2020-06-01,4.73,4.73,4.73,4.73,0
2020-06-02,4.73,4.73,4.73,4.73,0
2020-06-03,4.73,4.73,4.73,4.73,0
2020-06-04,4.73,4.73,4.73,4.73,0
2020-06-05,4.29,4.29,4.29,4.29,1174
2020-06-08,4.38,4.38,4.38,4.38,1330
2020-06-09,4.38,4.38,4.38,4.38,10
2020-06-10,4.38,4.38,4.38,4.38,40
2020-06-11,4.38,4.38,4.38,4.38,56
2020-06-12,4.38,4.38,4.38,4.38,0
2020-06-15,4.29,4.73,4.11,4.73,340
2020-06-16,4.73,4.73,4.73,4.73,0
2020-06-17,4.73,4.73,4.73,4.73,0
2020-06-18,5.09,5.09,5.09,5.09,100
2020-06-19,4.82,4.82,4.82,4.82,200
2020-06-22,4.82,4.82,4.82,4.82,0
2020-06-23,4.82,4.82,4.82,4.82,0
2020-06-24,4.82,4.82,4.82,4.82,0
2020-06-25,4.82,4.82,4.82,4.82,0
2020-06-26,4.82,4.82,4.82,4.82,0
2020-06-29,4.82,4.82,4.82,4.82,0
2020-06-30,4.82,4.82,4.82,4.82,0
2020-07-01,4.82,4.82,4.82,4.82,0
2020-07-02,4.73,4.73,4.73,4.73,12218
2020-07-03,4.73,4.73,4.73,4.73,0
2020-07-06,4.73,4.73,4.73,4.73,0
2020-07-07,4.73,4.73,4.73,4.73,0
2020-07-08,4.73,4.73,4.73,4.73,0
2020-07-09,4.29,4.29,4.29,4.29,200
2020-07-10,4.29,4.29,4.29,4.29,0
2020-07-13,4.29,4.29,4.29,4.29,0
2020-07-14,4.29,4.29,4.29,4.29,0
2020-07-15,4.29,4.29,4.29,4.29,0
2020-07-16,4.55,4.55,4.55,4.55,100
2020-07-17,4.55,4.55,4.55,4.55,0
2020-07-20,4.91,4.91,4.91,4.91,100
2020-07-21,4.46,4.46,4.46,4.46,100
2020-07-22,4.46,4.46,4.46,4.46,0
2020-07-23,4.46,4.46,4.46,4.46,56
2020-07-24,4.11,4.11,4.11,4.11,150
2020-07-27,4.11,4.11,4.11,4.11,0
2020-07-28,4.11,4.11,4.11,4.11,0
2020-07-29,3.75,3.75,3.75,3.75,100
2020-07-30,4.11,4.11,4.11,4.11,200
2020-07-31,4.11,4.11,4.11,4.11,0
2020-08-03,4.11,4.11,4.11,4.11,0
2020-08-04,3.84,3.84,3.84,3.84,150
2020-08-05,3.84,3.84,3.84,3.84,100
2020-08-06,3.57,3.57,3.57,3.57,100
2020-08-07,3.39,3.39,3.39,3.39,300
2020-08-10,3.39,3.39,3.39,3.39,0
2020-08-11,3.39,3.57,3.39,3.57,7100
2020-08-12,3.57,3.66,3.57,3.66,600
2020-08-13,3.66,3.66,3.66,3.66,0
2020-08-14,4.02,4.02,4.02,4.02,100
