time,open,high,low,close,volume
2020-01-06,30.37,30.37,30.37,30.37,0
2020-01-07,30.37,30.37,30.37,30.37,0
2020-01-08,30.37,30.37,30.37,30.37,0
2020-01-09,30.37,30.37,30.37,30.37,0
2020-01-10,30.37,30.37,30.37,30.37,0
2020-01-13,30.37,30.37,30.37,30.37,0
2020-01-14,30.37,30.37,30.37,30.37,0
2020-01-15,30.37,30.37,30.37,30.37,0
2020-01-16,30.37,30.37,30.37,30.37,0
2020-01-17,30.37,30.37,30.37,30.37,0
2020-01-20,30.37,30.37,30.37,30.37,0
2020-01-21,30.37,30.37,30.37,30.37,0
2020-01-22,34.7,34.86,27.27,27.27,400
2020-01-30,32.53,32.53,32.53,32.53,800
2020-01-31,32.53,32.53,32.53,32.53,0
2020-02-03,32.53,32.53,32.53,32.53,0
2020-02-04,32.53,32.53,32.53,32.53,0
2020-02-05,32.53,32.53,32.53,32.53,0
2020-02-06,32.53,32.53,32.53,32.53,0
2020-02-07,32.53,32.53,32.53,32.53,0
2020-02-10,34.86,34.86,34.86,34.86,500
2020-02-11,34.86,34.86,34.86,34.86,0
2020-02-12,34.86,34.86,34.86,34.86,0
2020-02-13,34.86,34.86,34.86,34.86,0
2020-02-14,34.86,34.86,34.86,34.86,0
2020-02-17,40.05,40.05,29.75,29.75,23500
2020-02-18,39.9,39.9,39.9,29.75,1
2020-02-19,34.16,34.16,34.16,34.16,100
2020-02-20,34.16,34.16,34.16,34.16,0
2020-02-21,34.16,34.16,34.16,34.16,0
2020-02-24,38.66,38.66,38.66,38.66,300
2020-02-25,44.16,44.16,44.16,44.16,100
2020-02-26,44.16,44.16,44.16,44.16,0
2020-02-27,44.16,44.16,44.16,44.16,0
2020-02-28,37.57,42.61,37.57,42.61,401
2020-03-02,41.37,41.37,41.37,42.61,0
2020-03-03,41.37,41.37,41.37,42.61,0
2020-03-04,41.37,41.37,41.37,42.61,0
2020-03-05,41.37,41.37,41.37,42.61,0
2020-03-06,41.37,41.37,41.37,42.61,0
2020-03-09,41.37,41.37,41.37,42.61,0
2020-03-10,46.48,46.48,46.48,46.48,101
2020-03-11,46.48,46.48,46.48,46.48,0
2020-03-12,46.48,46.48,46.48,46.48,0
2020-03-13,46.48,46.48,46.48,46.48,0
2020-03-16,46.48,46.48,46.48,46.48,0
2020-03-17,39.51,39.51,39.51,39.51,300
2020-03-18,39.51,39.51,39.51,39.51,0
2020-03-19,44.78,44.78,44.78,44.78,100
2020-03-20,38.11,44.78,38.11,44.78,300
2020-03-23,36.18,36.18,36.18,36.18,100
2020-03-24,30.75,41.6,30.75,41.6,200
2020-03-25,36.18,36.18,36.18,41.6,0
2020-03-26,36.18,36.18,36.18,41.6,0
2020-03-27,36.18,36.18,36.18,41.6,0
2020-03-30,36.18,36.18,36.18,41.6,0
2020-03-31,36.18,36.18,36.18,41.6,0
2020-04-01,36.18,36.18,36.18,41.6,0
2020-04-03,36.18,36.18,36.18,41.6,0
2020-04-06,41.44,41.44,41.44,41.44,100
2020-04-07,41.83,41.83,41.83,41.83,200
2020-04-08,41.83,41.83,41.83,41.83,0
2020-04-09,48.03,48.03,35.56,35.56,200
2020-04-10,35.56,42.53,35.56,42.53,500
2020-04-13,39.74,39.74,39.74,42.53,0
2020-04-14,39.74,39.74,39.74,42.53,0
2020-04-15,33.85,33.85,33.85,33.85,100
2020-04-16,33.85,33.85,33.85,33.85,0
2020-04-17,28.9,34.08,28.9,34.08,200
2020-04-20,36.25,36.25,36.25,36.25,300
2020-04-21,36.25,36.25,36.25,36.25,0
2020-04-22,36.25,36.25,36.25,36.25,0
2020-04-23,36.25,36.25,36.25,36.25,0
2020-04-24,38.73,38.73,38.73,38.73,100
2020-04-27,38.73,38.73,38.73,38.73,0
2020-04-28,43.23,43.23,43.23,43.23,100
2020-04-29,43.23,43.23,43.23,43.23,0
2020-05-04,43.23,43.23,43.23,43.23,0
2020-05-05,43.23,43.23,43.23,43.23,0
2020-05-06,43.23,43.23,43.23,43.23,1
2020-05-07,36.8,36.8,36.8,36.8,300
2020-05-08,31.37,31.37,31.37,31.37,100
2020-05-11,31.37,31.37,31.37,31.37,0
2020-05-12,31.37,31.37,31.37,31.37,0
2020-05-13,31.37,31.37,31.37,31.37,0
2020-05-14,31.37,31.37,31.37,31.37,0
2020-05-15,36.02,36.02,36.02,36.02,600
2020-05-18,36.02,36.02,36.02,36.02,0
2020-05-19,36.02,36.02,36.02,36.02,0
2020-05-20,36.02,36.02,36.02,36.02,0
2020-05-21,32.46,32.46,30.68,30.68,1100
2020-05-22,30.83,30.83,30.83,30.68,0
2020-05-25,32.53,32.53,32.53,32.53,400
2020-05-26,32.53,34.86,32.53,34.86,600
2020-05-27,34.47,34.47,34.47,34.86,0
2020-05-28,34.47,34.47,34.47,34.86,0
2020-05-29,34.47,34.47,34.47,34.86,0
2020-06-01,34.47,34.47,34.47,34.86,0
2020-06-02,34.47,34.47,34.47,34.86,0
2020-06-03,34.08,34.08,34.08,34.08,100
2020-06-04,34.08,34.08,34.08,34.08,0
2020-06-05,34.08,34.08,34.08,34.08,0
2020-06-08,34.08,34.86,34.08,34.47,700
2020-06-09,34.4,35.63,34.4,35.63,2900
2020-06-10,30.52,36.02,30.52,31.45,8400
2020-06-11,34.08,34.08,34.08,34.08,500
2020-06-12,34.08,34.08,34.08,34.08,0
2020-06-15,34.08,34.08,34.08,34.08,0
2020-06-16,34.08,34.08,34.08,34.08,0
2020-06-17,34.08,34.08,34.08,34.08,0
2020-06-18,34.08,34.08,34.08,34.08,0
2020-06-19,34.08,34.08,34.08,34.08,0
2020-06-22,34.08,34.08,34.08,34.08,0
2020-06-23,34.08,34.08,34.08,34.08,500
2020-06-24,36.25,36.25,36.25,36.25,100
2020-06-25,33.39,33.39,33.39,33.39,100
2020-06-26,34.47,34.47,34.47,34.47,100
2020-06-29,37.96,37.96,36.87,37.18,1100
2020-06-30,40.28,40.28,35.01,35.01,400
2020-07-01,37.96,37.96,37.96,37.96,100
2020-07-02,37.96,37.96,37.96,37.96,0
2020-07-03,37.93,37.93,37.93,40.58,0
2020-07-06,37.93,37.93,37.93,40.58,0
2020-07-07,39.67,43.56,33.3,38.43,76200
2020-07-08,37.02,38.1,37.02,38.1,900
2020-07-09,38.02,38.02,38.02,38.1,0
2020-07-10,38.02,38.02,38.02,38.1,0
2020-07-13,41.16,41.16,41.16,41.16,100
2020-07-14,41.16,41.16,41.16,41.16,0
2020-07-15,41.16,41.16,35.12,37.35,800
2020-07-16,40.75,40.75,39.76,39.76,400
2020-07-17,34.95,34.95,34.95,34.95,100
2020-07-20,34.95,34.95,34.95,34.95,0
2020-07-21,40.0,40.0,36.52,34.95,200
2020-07-22,38.93,38.93,35.37,35.37,300
2020-07-23,37.77,37.77,37.77,35.37,0
2020-07-24,37.77,37.77,37.77,35.37,0
2020-07-27,37.77,37.77,37.77,35.37,0
2020-07-28,37.77,37.77,37.77,35.37,0
2020-07-29,37.77,37.77,37.77,35.37,0
2020-07-30,37.77,37.77,37.77,35.37,0
2020-07-31,39.09,39.09,36.52,36.52,1200
2020-08-03,37.93,37.93,37.93,36.52,0
2020-08-04,37.93,37.93,37.93,36.52,0
2020-08-05,37.93,37.93,37.93,36.52,0
2020-08-06,37.93,37.93,37.93,37.93,101
2020-08-07,37.93,37.93,37.93,37.93,0
2020-08-10,37.27,37.27,37.27,37.27,300
2020-08-11,37.27,37.27,37.27,37.27,0
2020-08-12,37.27,37.27,37.27,37.27,0
2020-08-13,37.27,37.27,37.27,37.27,0
2020-08-14,37.27,37.27,37.27,37.27,0
2020-08-17,38.1,38.93,38.1,38.93,400
2020-08-18,38.51,38.51,38.51,38.51,200
2020-08-19,38.84,43.9,33.21,43.9,2100
2020-08-20,42.24,42.24,37.35,37.35,300
2020-08-21,40.58,40.58,40.58,37.35,0
2020-08-24,40.58,40.58,40.58,37.35,0
2020-08-25,34.54,40.58,34.54,40.58,700
2020-08-26,40.58,45.72,39.76,41.99,16900
2020-08-27,50.11,50.11,50.11,50.11,301
2020-08-28,50.11,50.11,50.11,50.11,0
2020-08-31,50.11,50.11,50.11,50.11,0
2020-09-01,43.48,43.48,43.48,43.48,100
2020-09-03,43.48,43.48,43.48,43.48,1
2020-09-04,43.48,43.48,43.48,43.48,0
2020-09-07,43.48,43.48,43.48,43.48,0
2020-09-08,48.04,48.87,37.35,37.35,2200
2020-09-09,47.21,50.52,40.5,40.58,2300
2020-09-10,40.58,40.58,40.58,40.58,100
2020-09-11,46.63,46.63,40.83,41.41,5600
2020-09-14,48.04,48.04,48.04,48.04,500
2020-09-15,42.82,53.84,42.82,53.84,900
2020-09-16,45.64,49.69,45.64,48.04,2600
2020-09-17,45.64,45.64,45.64,45.64,100
2020-09-18,52.43,52.43,52.43,52.43,100
2020-09-21,58.8,58.8,52.43,52.43,400
2020-09-22,55.66,55.66,55.66,52.43,0
2020-09-23,55.66,55.66,55.66,52.43,0
2020-09-24,48.54,48.54,48.54,48.54,1200
2020-09-25,48.54,48.54,48.54,48.54,0
2020-09-28,48.54,48.54,48.54,48.54,0
2020-09-29,48.54,48.54,48.54,48.54,0
2020-09-30,48.54,48.54,48.54,48.54,0
2020-10-01,41.66,41.66,41.66,41.66,100
2020-10-02,41.66,41.66,41.66,41.66,0
2020-10-05,41.66,41.66,41.66,41.66,0
2020-10-06,41.66,41.66,41.66,41.66,0
2020-10-07,41.66,41.66,41.66,41.66,0
2020-10-08,41.66,41.66,41.66,41.66,0
2020-10-09,41.66,41.66,41.66,41.66,0
2020-10-12,41.66,41.66,41.66,41.66,0
2020-10-13,41.66,41.66,41.66,41.66,0
2020-10-14,41.66,41.66,41.66,41.66,0
2020-10-15,41.66,41.66,41.66,41.66,0
2020-10-16,41.66,41.66,41.66,41.66,0
2020-10-19,41.66,41.66,41.66,41.66,0
2020-10-20,41.66,41.66,41.66,41.66,0
2020-10-21,41.66,41.66,41.66,41.66,0
2020-10-22,35.45,35.45,35.45,35.45,100
2020-10-23,35.45,35.45,35.45,35.45,0
2020-10-26,35.45,35.45,35.45,35.45,0
2020-10-27,35.45,35.45,35.45,35.45,0
2020-10-28,35.45,35.45,35.45,35.45,0
2020-10-29,35.45,35.45,35.45,35.45,0
2020-10-30,35.45,35.45,35.45,35.45,0
2020-11-02,35.45,35.45,35.45,35.45,0
2020-11-03,35.45,35.45,35.45,35.45,0
2020-11-04,35.45,35.45,35.45,35.45,0
2020-11-05,35.45,35.45,35.45,35.45,0
2020-11-06,35.45,35.45,35.45,35.45,0
2020-11-09,35.45,35.45,35.45,35.45,0
2020-11-10,35.45,35.45,35.45,35.45,0
2020-11-11,35.45,35.45,35.45,35.45,0
2020-11-12,35.45,35.45,35.45,35.45,0
2020-11-13,35.45,35.45,35.45,35.45,0
2020-11-16,35.45,35.45,35.45,35.45,0
2020-11-17,35.45,35.45,35.45,35.45,0
2020-11-18,35.45,35.45,35.45,35.45,0
2020-11-19,40.58,40.58,40.58,40.58,1000
2020-11-20,39.42,39.42,39.42,39.42,100
2020-11-23,39.76,39.84,39.76,39.84,1400
2020-11-24,39.76,39.76,39.76,39.84,0
2020-11-25,39.76,39.76,39.76,39.84,0
2020-11-26,39.76,39.76,39.76,39.84,0
2020-11-27,39.76,39.76,39.76,39.84,0
2020-11-30,39.76,39.76,39.76,39.84,0
2020-12-01,39.76,39.76,39.76,39.84,0
2020-12-02,43.07,43.07,43.07,43.07,1000
2020-12-03,43.07,43.07,43.07,43.07,0
2020-12-04,43.15,43.15,43.15,43.15,1000
2020-12-07,43.32,43.32,43.32,43.32,100
2020-12-08,43.32,43.32,43.32,43.32,0
2020-12-09,43.32,43.32,43.32,43.32,0
2020-12-10,36.86,43.4,36.86,43.4,300
2020-12-11,41.25,41.25,41.25,43.4,0
2020-12-14,43.48,43.9,43.48,43.9,1700
2020-12-15,43.81,43.81,43.81,43.9,0
2020-12-16,43.81,43.81,43.81,43.9,0
2020-12-17,37.85,37.85,37.85,37.85,100
2020-12-18,43.48,43.48,43.48,43.48,410
2020-12-21,43.48,43.48,43.48,43.48,0
2020-12-22,43.48,43.48,43.48,43.48,0
2020-12-23,43.48,43.48,43.48,43.48,1
2020-12-24,43.48,43.48,43.48,43.48,0
2020-12-25,43.48,43.48,43.48,43.48,0
2020-12-28,43.48,43.48,43.48,43.48,0
2020-12-29,37.27,37.27,37.1,37.1,200
2020-12-30,37.19,37.19,37.19,37.1,0
2020-12-31,42.74,42.74,42.74,42.74,100
2021-01-04,45.14,45.14,45.14,45.14,300
2021-01-05,45.14,45.14,45.14,45.14,0
2021-01-06,39.01,39.01,39.01,39.01,100
2021-01-07,44.81,44.81,44.81,44.81,1505
2021-01-08,39.09,39.09,39.09,39.09,100
2021-01-11,44.89,44.89,44.89,44.89,100
2021-01-12,39.51,39.51,39.51,39.51,100
2021-01-13,39.01,39.01,39.01,39.01,100
2021-01-14,44.81,44.81,44.81,44.81,100
2021-01-15,44.81,44.81,44.81,44.81,0
2021-01-18,38.1,38.1,38.1,38.1,100
2021-01-19,38.1,38.1,38.1,38.1,0
2021-01-20,43.81,43.81,43.81,43.81,100
2021-01-21,43.81,43.81,43.81,43.81,0
2021-01-22,43.81,43.81,43.81,43.81,3
2021-01-25,43.81,43.81,43.81,43.81,200
2021-01-26,43.81,43.81,43.81,43.81,0
2021-01-27,43.73,43.73,43.73,43.73,1000
2021-01-28,43.73,43.73,43.73,43.73,0
2021-01-29,37.19,43.73,37.19,43.73,1600
2021-02-01,38.26,38.26,38.26,38.26,100
2021-02-02,43.98,43.98,43.98,43.98,100
2021-02-03,39.42,39.42,39.42,39.42,100
2021-02-04,39.42,39.42,39.42,39.42,0
2021-02-05,45.3,45.3,45.3,45.3,100
2021-02-08,51.35,51.35,51.35,51.35,100
2021-02-09,58.8,58.8,58.8,58.8,100
2021-02-17,58.8,58.8,58.8,58.8,0
2021-02-18,66.59,66.59,66.59,66.59,100
2021-02-19,75.37,75.37,56.65,67.67,2700
2021-02-22,66.76,66.76,53.09,66.26,1210
2021-02-23,68.66,68.66,68.66,68.66,100
2021-02-24,58.39,58.72,58.39,58.72,200
2021-02-25,58.56,58.56,53.84,53.84,411
2021-02-26,55.0,55.0,55.0,53.84,0
2021-03-01,55.0,55.0,55.0,53.84,0
2021-03-02,55.0,55.0,55.0,53.84,0
2021-03-03,55.0,55.0,55.0,53.84,0
2021-03-04,55.0,55.0,55.0,53.84,0
2021-03-05,46.8,46.8,46.8,46.8,100
2021-03-08,43.07,51.35,39.92,51.35,600
2021-03-09,45.88,45.88,45.88,51.35,0
2021-03-10,49.69,49.69,49.69,49.69,100
2021-03-11,49.69,49.69,49.69,49.69,0
2021-03-12,49.69,49.69,49.69,49.69,0
2021-03-15,49.69,49.69,49.69,49.69,0
2021-03-16,53.84,53.84,53.84,53.84,201
2021-03-17,53.84,53.84,53.84,53.84,0
2021-03-18,53.84,53.84,53.84,53.84,0
2021-03-19,61.29,61.29,61.29,61.29,100
2021-03-22,61.29,61.29,61.29,61.29,5
2021-03-23,61.29,61.29,61.29,61.29,0
2021-03-24,66.18,66.18,52.1,52.1,1300
2021-03-25,53.17,53.17,53.17,52.1,0
2021-03-26,53.17,53.17,53.17,52.1,0
2021-03-29,53.17,53.17,53.17,52.1,0
2021-03-30,60.88,60.88,60.88,60.88,100
2021-03-31,57.98,57.98,57.98,57.98,200
2021-04-01,57.98,57.98,57.98,57.98,0
2021-04-02,53.84,53.84,49.28,49.94,6500
2021-04-05,53.59,53.59,53.59,49.94,1
2021-04-06,45.55,46.55,45.55,46.46,1100
2021-04-07,49.69,53.34,49.69,53.34,200
2021-04-08,51.52,51.52,51.52,53.34,0
2021-04-09,51.43,51.43,44.81,46.38,600
2021-04-12,48.62,48.62,48.62,46.38,0
2021-04-13,48.62,48.62,48.62,46.38,0
2021-04-14,48.62,48.62,48.62,46.38,0
2021-04-15,41.41,49.69,41.41,49.69,800
2021-04-16,48.7,48.7,48.7,49.69,0
2021-04-19,48.7,48.7,48.7,49.69,0
2021-04-20,48.7,48.7,48.7,49.69,0
2021-04-22,41.58,41.58,41.58,41.58,100
2021-04-23,47.79,47.79,47.79,47.79,100
2021-04-26,47.79,47.79,47.79,47.79,0
2021-04-27,47.79,47.79,47.79,47.79,0
2021-04-28,47.79,47.79,47.79,47.79,0
2021-04-29,47.79,47.79,47.79,47.79,0
2021-05-04,54.83,54.83,54.58,54.58,300
2021-05-05,54.75,54.75,54.75,54.58,0
2021-05-06,54.75,54.75,54.75,54.58,0
2021-05-07,54.75,54.75,54.75,54.58,0
2021-05-10,54.75,54.75,54.75,54.58,0
2021-05-11,54.75,54.75,54.75,54.58,0
2021-05-12,54.75,54.75,54.75,54.58,0
2021-05-13,54.75,54.75,54.75,54.58,0
2021-05-14,54.75,54.75,54.75,54.58,0
2021-05-17,54.66,54.66,46.55,46.88,12500
2021-05-18,54.25,54.25,54.25,46.88,0
2021-05-19,54.25,54.25,46.46,46.46,1600
2021-05-20,46.46,55.16,46.46,55.16,2100
2021-05-21,39.92,39.92,39.92,39.92,100
2021-05-24,45.88,45.88,45.88,45.88,120
2021-05-25,45.88,45.88,45.88,45.88,0
2021-05-26,45.97,45.97,45.97,45.97,200
2021-05-27,52.1,52.1,52.1,52.1,100
2021-05-28,52.1,52.1,52.1,52.1,50
2021-05-31,52.1,52.1,52.1,52.1,0
2021-06-01,52.1,52.1,52.1,52.1,0
2021-06-02,52.1,52.1,52.1,52.1,0
2021-06-03,52.1,52.1,52.1,52.1,0
2021-06-04,52.1,52.1,52.1,52.1,0
2021-06-07,52.1,52.1,52.1,52.1,0
2021-06-08,52.1,52.1,52.1,52.1,0
2021-06-09,52.1,52.1,52.1,52.1,0
2021-06-10,52.1,52.1,52.1,52.1,0
2021-06-11,50.52,50.52,50.52,50.52,100
2021-06-14,50.52,50.52,50.52,50.52,0
2021-06-15,50.44,50.44,50.44,50.44,400
2021-06-16,50.44,50.44,50.44,50.44,0
2021-06-17,50.44,50.44,50.44,50.44,0
2021-06-18,57.56,57.56,57.56,57.56,100
2021-06-21,57.56,57.56,57.56,57.56,0
2021-06-22,52.18,52.18,52.18,52.18,310
2021-06-23,52.18,52.18,52.18,52.18,0
2021-06-24,52.18,52.18,52.18,52.18,0
2021-06-25,52.18,52.18,52.18,52.18,0
