time,open,high,low,close,volume
2020-01-06,8.03,8.03,8.03,8.03,600
2020-01-07,7.84,7.84,7.84,7.84,21000
2020-01-08,7.84,7.84,7.84,7.84,0
2020-01-09,7.84,7.84,7.84,7.84,0
2020-01-10,7.47,7.47,7.47,7.47,8000
2020-01-13,7.47,7.47,7.09,7.47,7600
2020-01-14,7.28,7.28,7.19,7.19,5800
2020-01-15,7.28,7.28,7.28,7.28,3200
2020-01-16,7.28,7.28,7.28,7.28,8500
2020-01-17,7.28,7.28,7.28,7.28,8000
2020-01-20,7.0,7.28,7.0,7.28,2500
2020-01-21,8.21,8.21,8.21,8.21,100
2020-01-22,8.3,9.33,8.3,9.33,300
2020-01-30,9.14,9.14,7.56,7.56,24700
2020-01-31,7.93,7.93,7.93,7.93,2600
2020-02-03,7.65,7.65,7.47,7.47,3000
2020-02-04,8.59,8.59,7.37,7.56,2000
2020-02-05,7.56,7.56,7.37,7.47,20400
2020-02-06,7.93,7.93,7.65,7.65,1400
2020-02-07,7.65,7.65,7.56,7.56,400
2020-02-10,8.49,8.49,7.65,7.65,6500
2020-02-11,7.65,7.65,7.65,7.65,2510
2020-02-12,7.84,7.84,7.56,7.56,7020
2020-02-13,7.84,7.84,7.84,7.84,1900
2020-02-14,8.4,8.4,8.4,8.4,100
2020-02-17,8.21,8.21,7.75,7.75,8000
2020-02-18,8.03,8.03,8.03,8.03,100
2020-02-19,7.65,7.65,7.47,7.47,5100
2020-02-20,7.65,7.75,7.65,7.75,1300
2020-02-21,8.12,8.12,8.12,8.12,100
2020-02-24,7.93,7.93,7.47,7.47,2900
2020-02-25,7.65,7.65,7.65,7.47,0
2020-02-26,7.84,7.84,7.84,7.84,100
2020-02-27,7.93,7.93,7.93,7.93,100
2020-02-28,7.75,7.75,7.47,7.47,14500
2020-03-02,7.47,7.47,7.47,7.47,2200
2020-03-03,7.37,7.47,7.37,7.47,16000
2020-03-04,7.65,7.65,7.56,7.56,1100
2020-03-05,7.65,7.75,7.65,7.75,1200
2020-03-06,7.75,7.75,7.75,7.75,110
2020-03-09,7.28,7.28,6.63,7.0,10200
2020-03-10,7.19,7.19,6.53,7.19,4900
2020-03-11,7.19,7.19,6.07,6.07,10500
2020-03-12,6.16,6.72,6.16,6.63,600
2020-03-13,6.07,6.44,6.07,6.44,8300
2020-03-16,6.53,6.53,6.53,6.53,500
2020-03-17,6.35,6.53,6.35,6.53,2600
2020-03-18,7.0,7.0,7.0,7.0,100
2020-03-19,6.35,6.35,6.35,6.35,100
2020-03-20,6.35,6.35,6.35,6.35,46400
2020-03-23,6.72,6.72,6.63,6.63,1200
2020-03-24,6.63,6.63,6.63,6.63,100
2020-03-25,6.63,6.63,6.63,6.63,1070
2020-03-26,7.0,7.0,6.91,6.91,200
2020-03-27,6.25,6.25,6.25,6.25,1300
2020-03-30,6.44,6.44,6.35,6.35,500
2020-03-31,5.97,5.97,5.41,5.41,75550
2020-04-01,5.97,5.97,5.97,5.97,100
2020-04-03,5.23,5.79,5.23,5.79,2100
2020-04-06,5.23,5.6,4.67,5.51,17799
2020-04-07,5.6,5.6,5.13,5.6,720
2020-04-08,5.79,5.79,5.41,5.41,2100
2020-04-09,5.41,5.41,5.41,5.41,3700
2020-04-10,5.6,6.07,5.6,6.07,4400
2020-04-13,5.97,5.97,5.97,5.97,145
2020-04-14,5.69,5.69,5.6,5.6,16300
2020-04-15,5.97,6.07,5.79,6.07,8965
2020-04-16,5.97,5.97,5.69,5.69,1200
2020-04-17,5.79,6.07,5.79,6.07,4615
2020-04-20,6.35,6.35,6.25,6.25,200
2020-04-21,5.69,5.69,5.6,5.6,900
2020-04-22,5.41,5.88,5.41,5.88,700
2020-04-23,5.97,6.16,5.97,6.16,710
2020-04-24,6.07,6.44,6.07,6.25,17000
2020-04-27,6.16,6.35,6.07,6.07,5110
2020-04-28,6.16,6.16,6.16,6.07,0
2020-04-29,5.79,5.79,5.79,5.79,5000
2020-05-04,6.35,6.35,5.69,5.69,11810
2020-05-05,6.07,6.25,6.07,6.25,5500
2020-05-06,6.07,6.07,6.07,6.25,0
2020-05-07,6.35,6.35,6.35,6.35,400
2020-05-08,5.88,5.88,5.79,5.79,210
2020-05-11,5.88,5.88,5.88,5.88,11725
2020-05-12,5.79,5.79,5.79,5.79,3040
2020-05-13,5.79,5.79,5.79,5.79,450
2020-05-14,5.88,5.88,5.88,5.88,115
2020-05-15,6.72,6.72,5.97,5.97,210
2020-05-18,5.88,5.88,5.79,5.79,1110
2020-05-19,5.88,5.88,5.88,5.88,200
2020-05-20,5.88,5.88,5.88,5.88,500
2020-05-21,5.97,5.97,5.97,5.97,400
2020-05-22,6.07,6.07,5.97,5.97,930
2020-05-25,6.07,6.16,6.07,6.07,4500
2020-05-26,6.16,6.35,6.07,6.07,4700
2020-05-27,6.16,6.16,6.16,6.16,2100
2020-05-28,6.07,6.07,5.97,6.07,32065
2020-05-29,6.35,6.35,6.07,6.07,6000
2020-06-01,6.35,6.35,6.25,6.25,1000
2020-06-02,6.25,6.25,6.25,6.25,0
2020-06-03,6.25,6.25,6.25,6.25,2610
2020-06-04,6.35,6.35,6.35,6.35,100
2020-06-05,5.97,5.97,5.97,5.97,1900
2020-06-08,6.07,6.72,5.97,6.53,22760
2020-06-09,6.16,6.44,6.16,6.44,1240
2020-06-10,7.0,7.0,6.16,6.16,265
2020-06-11,6.63,6.63,6.63,6.63,2060
2020-06-12,6.35,6.35,6.35,6.35,1500
2020-06-15,6.07,6.07,6.07,6.07,2300
2020-06-16,6.35,6.35,6.35,6.35,110
2020-06-17,6.35,6.35,6.07,6.35,5600
2020-06-18,6.07,6.07,6.07,6.07,200
2020-06-19,6.07,6.07,6.07,6.07,10
2020-06-22,5.97,6.35,5.79,6.35,21900
2020-06-23,5.97,5.97,5.97,5.97,100
2020-06-24,5.97,5.97,5.97,5.97,2000
2020-06-25,5.97,6.25,5.97,5.97,3300
2020-06-26,5.97,5.97,5.97,5.97,0
2020-06-29,5.79,5.79,5.79,5.79,2100
2020-06-30,5.79,5.79,5.79,5.79,1300
2020-07-01,5.79,5.79,5.79,5.79,0
2020-07-02,5.79,5.79,5.79,5.79,100
2020-07-03,5.79,5.79,5.79,5.79,9620
2020-07-06,6.07,6.07,6.07,6.07,100
2020-07-07,5.79,5.88,5.79,5.88,12660
2020-07-08,5.79,5.79,5.79,5.79,810
2020-07-09,5.79,6.63,5.79,5.88,11040
2020-07-10,6.63,6.63,5.97,5.97,1300
2020-07-13,6.53,6.53,5.69,5.69,310
2020-07-14,6.44,6.44,6.44,6.44,110
2020-07-15,6.44,6.44,6.44,6.44,0
2020-07-16,6.44,6.44,6.44,6.44,0
2020-07-17,6.44,6.44,6.44,6.44,0
2020-07-20,6.44,6.44,6.44,6.44,0
2020-07-21,6.07,6.07,6.07,6.44,500
2020-07-22,6.44,6.44,6.44,6.07,0
2020-07-23,6.07,6.07,6.07,6.07,2000
2020-07-24,5.69,5.69,5.69,5.69,100
2020-07-27,5.6,5.6,5.23,5.6,17300
2020-07-28,5.41,5.41,5.41,5.41,2000
2020-07-29,6.16,6.16,6.16,6.16,100
2020-07-30,5.41,5.6,5.41,5.6,800
2020-07-31,5.41,5.41,5.41,5.41,6000
2020-08-03,5.79,5.79,5.79,5.79,100
2020-08-04,5.69,5.69,5.6,5.6,18500
2020-08-05,5.97,5.97,5.6,5.6,1220
2020-08-06,5.69,5.69,5.69,5.6,0
2020-08-07,5.6,5.69,5.6,5.69,4600
2020-08-10,5.69,5.69,5.69,5.69,200
2020-08-11,5.69,5.69,5.69,5.69,0
2020-08-12,5.6,5.6,5.6,5.6,320
2020-08-13,5.6,5.79,5.6,5.79,4400
2020-08-14,5.69,5.69,5.69,5.69,700
2020-08-17,5.88,5.88,5.69,5.79,5700
2020-08-18,5.79,5.79,5.79,5.79,2100
2020-08-19,6.07,6.07,5.69,5.69,200
2020-08-20,6.07,6.07,5.88,5.88,200
2020-08-21,5.97,5.97,5.97,5.88,0
2020-08-24,5.88,5.88,5.51,5.88,4600
2020-08-25,5.6,6.35,5.6,6.35,200
2020-08-26,6.07,6.07,6.07,6.07,100
2020-08-27,5.88,5.88,5.79,5.88,9100
2020-08-28,6.07,6.07,5.97,5.97,1200
2020-08-31,5.97,6.25,5.97,6.25,4200
2020-09-01,6.16,6.53,5.97,6.53,11400
2020-09-03,5.88,5.88,5.88,5.88,1000
2020-09-04,5.88,5.88,5.88,5.88,0
2020-09-07,5.88,6.44,5.88,6.44,200
2020-09-08,6.25,6.25,6.25,6.25,101
2020-09-09,6.07,6.16,6.07,6.16,2100
2020-09-10,6.16,6.53,6.16,6.44,5059
2020-09-11,6.44,6.44,6.44,6.44,6100
2020-09-14,7.0,7.0,7.0,7.0,100
2020-09-15,7.0,7.0,7.0,7.0,0
2020-09-16,7.0,7.19,7.0,7.09,8000
2020-09-17,7.09,7.09,7.09,7.09,1000
2020-09-18,6.16,6.16,6.16,6.16,100
2020-09-21,7.0,7.0,7.0,7.0,100
2020-09-22,6.25,6.81,5.97,6.81,12400
2020-09-23,6.53,6.53,6.25,6.25,600
2020-09-24,6.53,6.53,6.53,6.53,1900
2020-09-25,6.53,6.53,6.44,6.53,17900
2020-09-28,6.35,6.35,6.35,6.35,400
2020-09-29,6.91,6.91,6.63,6.63,1100
2020-09-30,6.53,6.53,6.53,6.53,2200
2020-10-01,6.53,6.53,6.35,6.35,6000
2020-10-02,6.53,6.53,6.53,6.53,1400
2020-10-05,6.53,6.53,6.53,6.53,0
2020-10-06,6.16,6.16,6.16,6.16,7300
2020-10-07,6.16,6.16,5.97,6.16,47900
2020-10-08,6.07,6.25,6.07,6.25,600
2020-10-09,6.25,6.25,6.25,6.25,13400
2020-10-12,6.25,6.25,6.25,6.25,13100
2020-10-13,6.25,6.25,6.25,6.25,6800
2020-10-14,6.44,6.44,6.44,6.44,100
2020-10-15,6.35,6.35,6.35,6.35,100
2020-10-16,6.44,6.44,6.25,6.25,400
2020-10-19,6.44,6.44,6.44,6.44,100
2020-10-20,6.44,6.44,6.44,6.44,0
2020-10-21,6.35,6.35,6.35,6.35,300
2020-10-22,6.35,6.35,6.35,6.35,0
2020-10-23,6.07,6.35,6.07,6.35,900
2020-10-26,6.25,6.25,6.25,6.35,0
2020-10-27,5.97,5.97,5.97,5.97,100
2020-10-28,6.25,6.25,6.07,6.07,5100
2020-10-29,6.53,6.53,6.53,6.53,100
2020-10-30,5.79,6.35,5.79,6.35,1800
2020-11-02,6.35,6.35,6.35,6.35,0
2020-11-03,6.91,6.91,6.16,6.16,56500
2020-11-04,6.07,6.44,6.07,6.44,600
2020-11-05,6.16,6.16,6.16,6.44,0
2020-11-06,6.16,6.16,6.16,6.44,0
2020-11-09,6.53,6.53,6.53,6.53,100
2020-11-10,6.53,6.53,6.07,6.07,300
2020-11-11,6.35,6.35,6.35,6.07,0
2020-11-12,6.44,6.53,6.44,6.53,7000
2020-11-13,6.25,6.44,6.25,6.44,2000
2020-11-16,6.53,6.53,6.53,6.53,1800
2020-11-17,6.53,6.72,6.53,6.72,8500
2020-11-18,6.72,6.72,6.72,6.72,100
2020-11-19,6.72,6.72,6.72,6.72,0
2020-11-20,6.63,6.63,6.63,6.63,200
2020-11-23,6.53,6.53,6.53,6.53,1000
2020-11-24,6.44,6.72,6.35,6.35,6700
2020-11-25,6.35,6.72,6.35,6.72,17500
2020-11-26,6.72,6.72,6.72,6.72,200
2020-11-27,6.72,6.72,6.72,6.72,16800
2020-11-30,6.72,6.72,6.72,6.72,8400
2020-12-01,6.91,6.91,6.91,6.91,100
2020-12-02,6.91,7.09,6.91,7.09,900
2020-12-03,7.09,7.28,7.09,7.28,1200
2020-12-04,7.28,7.28,7.28,7.28,0
2020-12-07,6.25,6.25,6.25,6.25,100
2020-12-08,6.53,6.53,6.53,6.53,3000
