time,open,high,low,close,volume
2020-01-06,8.69,8.69,8.4,8.57,3340
2020-01-07,8.34,8.4,7.98,8.04,29950
2020-01-08,8.22,8.22,7.83,7.86,2340
2020-01-09,8.04,8.04,7.32,7.53,18080
2020-01-10,7.53,7.53,7.09,7.09,36880
2020-01-13,7.09,7.38,6.91,7.03,15370
2020-01-14,7.03,7.03,6.55,6.88,21510
2020-01-15,6.85,6.88,6.61,6.61,13310
2020-01-16,6.58,6.64,6.34,6.52,51770
2020-01-17,6.52,6.85,6.49,6.55,8530
2020-01-20,6.55,6.61,6.16,6.55,3880
2020-01-21,7.0,7.0,7.0,7.0,9260
2020-01-22,7.47,7.47,7.47,7.47,3520
2020-01-30,7.98,7.98,7.98,7.98,38000
2020-01-31,8.52,8.52,8.46,8.52,160540
2020-02-03,8.93,9.11,7.92,9.11,117300
2020-02-04,9.59,9.74,9.53,9.74,80020
2020-02-05,10.33,10.39,9.74,10.39,189250
2020-02-06,10.84,11.02,9.68,9.68,95020
2020-02-07,9.11,9.59,9.02,9.05,138460
2020-02-10,8.57,9.53,8.52,9.23,61520
2020-02-11,9.85,9.85,9.85,9.85,27290
2020-02-12,10.53,10.53,10.06,10.32,98710
2020-02-13,10.32,10.93,9.92,10.06,88140
2020-02-14,9.66,9.99,9.41,9.77,91380
2020-02-17,9.77,10.06,9.41,9.85,56640
2020-02-18,9.48,10.06,9.41,9.85,95120
2020-02-19,9.77,9.99,9.48,9.63,68960
2020-02-20,9.85,9.85,9.45,9.63,48100
2020-02-21,9.63,9.63,9.41,9.63,38200
2020-02-24,9.63,9.63,9.27,9.34,23830
2020-02-25,9.34,9.34,8.69,9.01,102520
2020-02-26,8.69,8.98,8.61,8.69,43490
2020-02-27,8.69,9.05,8.69,9.01,46770
2020-02-28,8.65,9.01,8.51,8.87,48760
2020-03-02,8.87,8.87,8.25,8.54,104640
2020-03-03,8.54,9.12,8.47,9.12,114930
2020-03-04,9.63,9.63,9.12,9.12,110630
2020-03-05,9.12,9.34,9.05,9.23,55600
2020-03-06,9.23,9.85,9.19,9.85,267720
2020-03-09,9.77,9.77,9.16,9.16,141460
2020-03-10,8.54,9.27,8.54,9.23,82650
2020-03-11,9.23,9.23,8.61,8.61,134330
2020-03-12,8.04,8.47,8.04,8.04,60350
2020-03-13,7.49,8.58,7.49,8.18,184090
2020-03-16,8.32,8.32,7.64,7.78,142280
2020-03-17,7.31,7.89,7.31,7.89,28190
2020-03-18,7.64,8.11,7.64,7.75,41930
2020-03-19,7.6,7.75,7.38,7.67,88340
2020-03-20,7.89,7.89,7.49,7.78,34660
2020-03-23,7.78,7.78,7.24,7.24,242430
2020-03-24,7.24,7.46,6.88,7.46,28140
2020-03-25,7.53,7.89,7.53,7.82,41720
2020-03-26,7.82,7.85,7.46,7.75,21850
2020-03-27,7.46,7.75,7.38,7.75,15710
