time,open,high,low,close,volume
2020-01-06,12.86,12.86,12.86,12.86,500
2020-01-07,12.86,12.86,12.86,12.86,0
2020-01-08,12.86,12.86,12.86,12.86,0
2020-01-09,12.86,12.86,12.86,12.86,0
2020-01-10,12.86,12.86,12.86,12.86,0
2020-01-13,12.86,12.86,12.86,12.86,0
2020-01-14,12.86,12.86,12.86,12.86,0
2020-01-15,12.86,12.86,12.86,12.86,100
2020-01-16,12.86,12.86,12.86,12.86,0
2020-01-17,12.86,12.86,12.86,12.86,100
2020-01-20,12.52,12.52,12.52,12.52,100
2020-01-21,12.86,12.86,12.86,12.86,1000
2020-01-22,13.2,13.2,12.86,12.86,600
2020-01-30,13.0,13.0,13.0,12.86,0
2020-01-31,13.0,13.0,13.0,12.86,0
2020-02-03,14.15,14.15,13.88,13.88,200
2020-02-04,14.01,14.01,14.01,13.88,0
2020-02-05,15.77,15.77,13.54,13.54,600
2020-02-06,15.03,15.03,13.81,13.81,400
2020-02-07,14.15,14.15,13.88,13.88,1300
2020-02-10,16.18,16.18,14.22,14.22,300
2020-02-11,17.13,17.13,13.88,13.88,400
2020-02-12,14.69,14.69,14.69,13.88,0
2020-02-13,13.81,13.81,13.54,13.54,1500
2020-02-14,13.61,13.61,13.54,13.54,1000
2020-02-17,13.54,13.54,13.54,13.54,1000
2020-02-18,13.54,13.54,13.54,13.54,0
2020-02-19,14.15,14.15,13.54,13.88,1000
2020-02-20,13.81,13.81,13.54,13.54,210
2020-02-21,14.15,14.15,14.15,14.15,100
2020-02-24,14.15,14.15,14.15,14.15,0
2020-02-25,14.15,14.15,14.15,14.15,0
2020-02-26,14.15,14.15,14.15,14.15,0
2020-02-27,14.15,14.15,14.15,14.15,0
2020-02-28,14.15,14.15,14.15,14.15,0
2020-03-02,14.15,14.15,14.15,14.15,0
2020-03-03,14.15,14.15,14.15,14.15,100
2020-03-04,14.15,14.15,14.15,14.15,0
2020-03-05,14.15,14.15,14.15,14.15,0
2020-03-06,13.54,13.54,13.54,13.54,1610
2020-03-09,13.54,13.54,13.4,13.4,800
2020-03-10,13.47,13.47,13.47,13.4,0
2020-03-11,13.2,13.2,12.86,12.86,400
2020-03-12,12.86,12.86,12.86,12.86,300
2020-03-13,12.19,13.2,12.19,13.2,3000
2020-03-16,13.2,13.2,13.2,13.2,0
2020-03-17,13.54,13.54,13.54,13.54,200
2020-03-18,13.54,13.54,13.54,13.54,900
2020-03-19,13.54,13.54,13.54,13.54,0
2020-03-20,13.54,13.54,13.54,13.54,0
2020-03-23,13.54,13.54,13.2,13.2,1500
2020-03-24,13.4,13.4,13.34,13.34,900
2020-03-25,13.34,13.34,13.34,13.34,1800
2020-03-26,13.07,13.07,13.07,13.07,500
2020-03-27,13.07,13.07,13.07,13.07,0
2020-03-30,12.19,12.19,12.19,12.19,200
2020-03-31,12.19,12.19,12.19,12.19,200
2020-04-01,12.19,12.19,12.19,12.19,0
2020-04-03,12.19,12.19,12.19,12.19,0
2020-04-06,12.19,12.19,12.19,12.19,100
2020-04-07,12.86,12.86,12.86,12.86,100
2020-04-08,12.86,12.86,12.86,12.86,0
2020-04-09,12.86,12.86,12.86,12.86,0
2020-04-10,12.86,12.86,12.86,12.86,10
2020-04-13,12.05,12.86,12.05,12.86,200
2020-04-14,12.46,12.46,12.46,12.86,0
2020-04-15,13.2,13.2,13.2,13.2,600
2020-04-16,12.86,13.07,12.86,13.07,1300
2020-04-17,13.54,13.54,13.54,13.54,100
2020-04-20,12.86,13.54,12.86,13.54,200
2020-04-21,14.83,14.83,13.2,13.2,600
2020-04-22,14.83,14.83,13.2,13.2,1210
2020-04-23,12.86,12.86,12.86,12.86,500
2020-04-24,12.86,12.86,12.86,12.86,0
2020-04-27,12.93,12.93,12.86,12.86,700
2020-04-28,13.2,13.2,13.2,13.2,100
2020-04-29,13.2,13.2,13.2,13.2,1000
2020-05-04,13.2,13.54,13.2,13.54,6800
2020-05-05,13.2,13.4,13.2,13.4,2200
2020-05-06,13.4,13.54,13.4,13.4,2100
2020-05-07,13.4,13.4,13.4,13.4,2100
2020-05-08,13.4,15.37,13.4,13.54,2100
2020-05-11,13.61,14.89,13.61,13.61,2800
2020-05-12,14.76,14.76,14.76,14.76,100
2020-05-13,14.76,14.76,14.76,14.76,0
2020-05-14,14.76,14.76,14.76,14.76,0
2020-05-15,13.2,13.2,13.2,13.2,500
2020-05-18,13.2,13.2,13.2,13.2,1200
2020-05-19,13.2,13.2,13.2,13.2,0
2020-05-20,13.2,13.2,13.2,13.2,2000
2020-05-21,13.2,13.4,13.2,13.4,1600
2020-05-22,13.2,13.2,13.2,13.2,1610
2020-05-25,13.2,13.54,13.2,13.54,11000
2020-05-26,13.54,13.54,13.54,13.54,0
2020-05-27,13.4,13.4,13.4,13.4,100
2020-05-28,13.54,13.54,13.47,13.47,700
2020-05-29,13.47,13.47,13.47,13.47,1400
2020-06-01,13.47,13.47,13.47,13.47,0
2020-06-02,13.47,13.47,13.47,13.47,0
2020-06-03,13.2,13.2,13.2,13.2,1100
2020-06-04,13.2,13.2,13.2,13.2,100
2020-06-05,13.2,13.27,13.2,13.2,1160
2020-06-08,13.2,13.2,13.2,13.2,300
2020-06-09,13.2,13.2,13.2,13.2,0
2020-06-10,12.93,12.93,12.86,12.86,760
2020-06-11,12.86,12.86,12.86,12.86,900
2020-06-12,12.86,12.86,12.86,12.86,200
2020-06-15,12.86,12.86,12.86,12.86,0
2020-06-16,12.86,12.86,12.86,12.86,500
2020-06-17,12.86,12.86,12.86,12.86,0
2020-06-18,12.86,12.86,12.86,12.86,0
2020-06-19,12.86,12.86,12.52,12.52,1100
2020-06-22,12.8,12.86,12.8,12.86,1500
2020-06-23,12.8,12.8,12.8,12.86,0
2020-06-24,12.66,12.66,12.19,12.19,1000
2020-06-25,12.46,12.46,12.46,12.19,0
2020-06-26,12.19,12.19,11.31,11.31,3500
2020-06-29,11.17,12.66,10.15,10.15,6300
2020-06-30,11.78,11.85,11.78,11.85,600
2020-07-01,12.46,12.52,12.46,12.52,1100
2020-07-02,14.35,14.35,12.8,12.8,200
2020-07-03,12.59,12.59,12.52,12.52,500
2020-07-06,12.59,12.59,12.59,12.52,0
2020-07-07,14.35,14.35,14.35,14.35,100
2020-07-08,14.35,14.35,14.35,14.35,0
