time,open,high,low,close,volume
2020-01-06,13.47,13.47,13.2,13.2,9610
2020-01-07,13.42,13.42,13.42,13.42,1580
2020-01-08,13.42,13.42,12.91,13.42,8080
2020-01-09,13.2,13.26,13.2,13.26,6600
2020-01-10,14.12,14.12,13.2,13.37,11900
2020-01-13,13.2,13.2,12.77,13.2,7940
2020-01-14,12.94,13.74,12.94,13.42,3780
2020-01-15,13.2,13.2,13.2,13.2,1050
2020-01-16,13.45,13.45,13.31,13.31,40
2020-01-17,12.91,13.45,12.77,12.77,14580
2020-01-20,13.2,13.2,12.77,13.2,23050
2020-01-21,13.2,13.26,13.2,13.2,570
2020-01-22,13.42,13.45,13.1,13.1,8850
2020-01-30,12.88,13.2,12.83,13.1,18650
2020-01-31,12.83,12.94,12.77,12.94,22500
2020-02-03,12.83,12.83,12.4,12.72,32770
2020-02-04,12.72,12.77,12.72,12.72,18920
2020-02-05,13.17,13.17,12.72,12.72,10490
2020-02-06,12.94,13.06,12.94,12.94,5120
2020-02-07,12.94,13.11,12.94,13.0,14460
2020-02-10,13.0,13.0,13.0,13.0,14390
2020-02-11,13.0,13.06,12.94,13.06,10500
2020-02-12,12.94,13.06,12.94,12.94,13640
2020-02-13,12.94,12.94,12.94,12.94,10170
2020-02-14,12.94,12.94,12.94,12.94,7360
2020-02-17,12.94,12.94,12.92,12.94,8330
2020-02-18,12.94,12.94,12.94,12.94,6780
2020-02-19,12.94,12.94,12.92,12.94,3160
2020-02-20,12.94,12.94,12.92,12.92,4780
2020-02-21,12.94,12.94,12.92,12.92,2550
2020-02-24,12.92,12.92,12.8,12.86,8830
2020-02-25,12.83,12.89,12.8,12.89,22870
2020-02-26,12.86,12.86,12.8,12.86,18650
2020-02-27,12.86,12.86,12.86,12.86,1650
2020-02-28,12.86,12.86,12.78,12.86,12240
2020-03-02,12.78,12.94,12.78,12.8,12570
2020-03-03,12.8,12.92,12.8,12.83,4340
2020-03-04,12.8,12.92,12.8,12.92,1690
2020-03-05,12.83,12.92,12.8,12.92,4480
2020-03-06,12.94,12.94,12.83,12.92,12040
2020-03-09,12.86,12.86,12.72,12.8,42570
2020-03-10,12.78,12.78,12.64,12.64,29880
2020-03-11,12.66,12.66,12.61,12.61,18490
2020-03-12,12.61,12.61,11.85,11.85,13870
2020-03-13,11.85,11.85,11.65,11.65,21970
2020-03-16,11.65,11.65,11.62,11.62,14380
