time,open,high,low,close,volume
2020-01-06,46.61,46.61,46.61,46.61,0
2020-01-07,46.61,46.61,46.61,46.61,0
2020-01-08,46.61,46.61,46.61,46.61,0
2020-01-09,46.61,46.61,46.61,46.61,0
2020-01-10,46.61,46.61,46.61,46.61,0
2020-01-13,46.61,46.61,46.61,46.61,0
2020-01-14,46.61,46.61,46.61,46.61,0
2020-01-15,46.61,46.61,46.61,46.61,0
2020-01-16,46.61,46.61,46.61,46.61,0
2020-01-17,46.61,46.61,46.61,46.61,0
2020-01-20,46.61,46.61,46.61,46.61,0
2020-01-21,46.61,46.61,46.61,46.61,0
2020-01-22,46.61,46.61,46.61,46.61,0
2020-01-30,46.61,46.61,46.61,46.61,0
2020-01-31,46.61,46.61,46.61,46.61,0
2020-02-03,46.61,46.61,46.61,46.61,0
2020-02-04,46.61,46.61,46.61,46.61,0
2020-02-05,46.61,46.61,46.61,46.61,0
2020-02-06,46.61,46.61,46.61,46.61,0
2020-02-07,46.61,46.61,46.61,46.61,0
2020-02-10,46.61,46.61,46.61,46.61,0
2020-02-11,46.61,46.61,46.61,46.61,0
2020-02-12,46.61,46.61,46.61,46.61,0
2020-02-13,46.61,46.61,46.61,46.61,0
2020-02-14,46.61,46.61,46.61,46.61,0
2020-02-17,46.61,46.61,46.61,46.61,0
2020-02-18,46.61,46.61,46.61,46.61,0
2020-02-19,46.61,46.61,46.61,46.61,0
2020-02-20,46.61,46.61,46.61,46.61,0
2020-02-21,46.61,46.61,46.61,46.61,0
2020-02-24,46.61,46.61,46.61,46.61,0
2020-02-25,46.61,46.61,46.61,46.61,0
2020-02-26,46.61,46.61,46.61,46.61,0
2020-02-27,46.61,46.61,46.61,46.61,0
2020-02-28,46.61,46.61,46.61,46.61,0
2020-03-02,46.61,46.61,46.61,46.61,0
2020-03-03,28.01,65.12,28.01,28.01,900
2020-03-04,37.84,37.84,37.84,37.84,100
2020-03-05,37.84,37.84,37.84,37.84,0
2020-03-06,32.19,32.19,32.19,32.19,100
2020-03-09,27.44,27.44,27.44,27.44,100
2020-03-10,23.34,23.34,23.34,23.34,100
2020-03-11,19.9,20.48,19.9,20.48,200
2020-03-12,17.2,17.2,17.2,17.2,100
2020-03-13,16.38,16.38,16.38,16.38,100
2020-03-16,16.38,16.38,16.38,16.38,0
2020-03-17,16.38,16.38,16.38,16.38,0
2020-03-18,15.56,15.56,15.56,15.56,21800
2020-03-19,15.56,15.56,15.56,15.56,0
2020-03-20,15.56,15.56,15.56,15.56,0
2020-03-23,15.64,15.64,14.01,14.01,23900
2020-03-24,14.66,14.66,14.66,14.01,0
2020-03-25,14.66,14.66,14.66,14.01,0
2020-03-26,14.66,14.66,14.66,14.01,0
2020-03-27,14.66,14.66,14.66,14.01,0
2020-03-30,14.66,14.66,14.66,14.01,0
2020-03-31,14.66,14.66,14.66,14.01,0
2020-04-01,14.66,14.66,14.66,14.01,0
2020-04-03,14.66,14.66,14.66,14.01,0
2020-04-06,14.66,14.66,14.66,14.01,0
2020-04-07,14.66,14.66,14.66,14.01,0
2020-04-08,14.66,14.66,14.66,14.01,0
2020-04-09,14.66,14.66,14.66,14.01,0
2020-04-10,14.66,14.66,14.66,14.01,0
2020-04-13,14.66,14.66,14.66,14.01,0
2020-04-14,14.66,14.66,14.66,14.01,0
2020-04-15,14.66,14.66,14.66,14.01,0
2020-04-16,14.66,14.66,14.66,14.01,0
2020-04-17,14.66,14.66,14.66,14.01,0
2020-04-20,14.66,14.66,14.66,14.01,0
2020-04-21,15.56,15.56,15.56,15.56,200
2020-04-22,15.56,15.56,15.56,15.56,0
2020-04-23,15.56,15.56,15.56,15.56,0
2020-04-24,15.56,15.56,15.56,15.56,0
2020-04-27,15.56,15.56,15.56,15.56,0
2020-04-28,15.56,15.56,15.56,15.56,0
2020-04-29,15.56,15.56,15.56,15.56,0
2020-05-04,15.56,15.56,15.56,15.56,0
2020-05-05,15.56,15.56,15.56,15.56,0
2020-05-06,15.56,15.56,15.56,15.56,100
2020-05-07,15.56,15.56,15.56,15.56,0
2020-05-08,15.56,15.56,15.56,15.56,0
2020-05-11,15.56,15.56,15.56,15.56,0
2020-05-12,15.56,15.56,15.56,15.56,0
2020-05-13,15.56,15.56,15.56,15.56,0
2020-05-14,15.56,15.56,15.56,15.56,0
2020-05-15,15.56,15.56,15.56,15.56,100
2020-05-18,15.56,15.56,15.56,15.56,0
2020-05-19,15.56,15.56,15.56,15.56,0
2020-05-20,15.56,15.56,15.56,15.56,0
2020-05-21,15.56,15.56,15.56,15.56,0
