time,open,high,low,close,volume
2020-01-06,2.76,2.76,2.76,2.76,0
2020-01-07,2.76,2.76,2.76,2.76,0
2020-01-08,2.76,2.76,2.76,2.76,0
2020-01-09,2.76,2.76,2.76,2.76,0
2020-01-10,3.12,3.12,3.12,3.12,1200
2020-01-13,3.12,3.12,3.12,3.12,0
2020-01-14,3.12,3.12,3.12,3.12,0
2020-01-15,3.12,3.12,3.12,3.12,0
2020-01-16,3.12,3.12,3.12,3.12,0
2020-01-17,3.54,3.54,3.0,3.0,3100
2020-01-20,3.0,3.0,3.0,3.0,0
2020-01-21,3.0,3.0,3.0,3.0,0
2020-01-22,3.0,3.0,3.0,3.0,0
2020-01-30,3.0,3.0,3.0,3.0,0
2020-01-31,2.7,2.7,2.7,2.7,1200
2020-02-03,2.7,2.7,2.7,2.7,0
2020-02-04,2.7,2.7,2.7,2.7,0
2020-02-05,2.7,2.7,2.7,2.7,0
2020-02-06,2.7,2.7,2.7,2.7,0
2020-02-07,2.94,2.94,2.94,2.94,100
2020-02-10,2.94,2.94,2.94,2.94,0
2020-02-11,2.94,2.94,2.94,2.94,0
2020-02-12,2.94,2.94,2.94,2.94,0
2020-02-13,2.94,2.94,2.94,2.94,0
2020-02-14,3.36,3.36,3.36,3.36,1500
2020-02-17,3.36,3.36,3.36,3.36,0
2020-02-18,3.36,3.36,3.36,3.36,0
2020-02-19,3.36,3.36,3.36,3.36,0
2020-02-20,3.36,3.36,3.36,3.36,0
2020-02-21,3.84,3.84,3.0,3.84,24800
2020-02-24,3.72,3.72,3.72,3.84,0
2020-02-25,3.72,3.72,3.72,3.84,0
2020-02-26,3.72,3.72,3.72,3.84,0
2020-02-27,3.72,3.72,3.72,3.84,0
2020-02-28,4.26,4.26,3.18,3.48,37300
2020-03-02,4.14,4.14,4.14,3.48,0
2020-03-03,4.14,4.14,4.14,3.48,0
2020-03-04,4.14,4.14,4.14,3.48,0
2020-03-05,4.14,4.14,4.14,3.48,0
2020-03-06,4.74,4.74,4.2,4.2,27000
2020-03-09,4.56,4.56,4.56,4.2,0
2020-03-10,4.56,4.56,4.56,4.2,0
2020-03-11,4.56,4.56,4.56,4.2,0
2020-03-12,4.56,4.56,4.56,4.2,0
2020-03-13,4.5,5.22,4.5,4.8,16004
2020-03-16,5.1,5.1,5.1,4.8,0
2020-03-17,5.1,5.1,5.1,4.8,0
2020-03-18,5.1,5.1,5.1,4.8,0
2020-03-19,5.1,5.1,5.1,4.8,0
2020-03-20,4.8,5.4,4.8,4.8,75700
2020-03-23,5.04,5.04,5.04,4.8,0
2020-03-24,5.04,5.04,5.04,4.8,0
2020-03-25,5.04,5.04,5.04,4.8,0
2020-03-26,5.04,5.04,5.04,4.8,0
