time,open,high,low,close,volume
2020-01-06,12.52,13.27,11.62,11.89,1400
2020-01-07,11.71,11.71,11.71,11.71,241
2020-01-08,11.6,11.6,11.6,11.6,300
2020-01-09,11.77,11.77,11.77,11.77,700
2020-01-10,11.6,11.6,11.6,11.6,500
2020-01-13,11.54,11.54,11.54,11.54,200
2020-01-14,12.18,12.18,12.18,12.18,300
2020-01-15,12.12,12.12,12.12,12.12,410
2020-01-16,12.58,12.18,11.78,12.18,400
2020-01-17,11.54,12.97,12.23,12.23,510
2020-01-20,12.7,12.7,12.7,12.7,200
2020-01-21,13.96,15.5,12.87,13.22,1350
2020-01-22,13.4,13.4,13.4,13.4,500
2020-01-30,14.06,14.06,12.07,13.76,1200
2020-01-31,14.42,14.42,14.06,14.06,600
2020-02-03,14.06,14.06,14.06,14.06,35
2020-02-04,14.0,15.02,12.67,14.06,1200
2020-02-05,14.36,14.36,12.67,13.94,1000
2020-02-06,12.55,13.4,12.55,13.4,1001
2020-02-07,13.4,13.4,13.4,13.4,0
2020-02-10,12.13,13.03,12.13,13.03,350
2020-02-11,13.03,13.03,13.03,13.03,0
2020-02-12,11.89,12.73,11.89,12.73,1700
2020-02-13,12.55,12.55,12.55,12.55,300
2020-02-14,12.55,12.55,12.55,12.55,0
2020-02-17,12.55,12.55,12.55,12.55,0
2020-02-18,12.49,12.49,12.49,12.49,300
2020-02-19,12.31,12.31,12.31,12.31,500
2020-02-20,11.77,11.77,11.77,11.77,900
2020-02-21,12.67,12.67,12.67,12.67,100
2020-02-24,12.67,12.67,12.67,12.67,0
2020-02-25,12.67,12.67,12.67,12.67,0
2020-02-26,11.52,12.49,11.52,12.49,900
2020-02-27,12.49,12.49,12.49,12.49,0
2020-02-28,12.67,12.67,12.01,12.01,600
2020-03-02,11.46,11.89,11.46,11.89,600
2020-03-03,11.46,11.46,11.46,11.46,300
2020-03-04,11.46,11.46,11.46,11.46,0
2020-03-05,11.46,11.46,11.46,11.46,600
2020-03-06,11.46,11.46,11.46,11.46,200
2020-03-09,11.71,12.55,11.71,12.55,200
2020-03-10,12.55,12.55,12.55,12.55,0
2020-03-11,11.46,11.46,11.46,11.46,200
2020-03-12,10.38,10.5,10.32,10.5,1100
2020-03-13,11.52,11.52,11.52,11.52,100
2020-03-16,11.95,11.95,11.95,11.95,100
2020-03-17,10.8,11.22,10.8,11.22,500
2020-03-18,12.01,12.01,11.77,11.77,200
2020-03-19,11.77,11.77,11.77,11.77,0
2020-03-20,11.77,11.77,11.77,11.77,0
2020-03-23,11.77,11.77,11.77,11.77,0
2020-03-24,11.77,11.77,11.77,11.77,0
2020-03-25,11.77,11.77,11.77,11.77,0
2020-03-26,10.68,11.46,10.68,11.46,1200
2020-03-27,11.46,11.46,11.46,11.46,0
2020-03-30,11.46,11.46,11.46,11.46,0
2020-03-31,11.46,11.46,11.46,11.46,0
2020-04-01,11.46,11.46,11.46,11.46,0
2020-04-03,11.4,11.52,11.4,11.52,1000
2020-04-06,10.44,10.86,10.38,10.86,1050
2020-04-07,10.02,10.86,9.96,10.86,11800
2020-04-08,10.86,10.86,10.86,10.86,0
2020-04-09,10.86,10.86,10.86,10.86,0
2020-04-10,10.08,10.08,9.84,9.9,2800
2020-04-13,9.78,10.14,9.72,10.14,1910
2020-04-14,10.08,10.14,10.08,10.14,2000
2020-04-15,10.08,10.08,10.08,10.08,100
2020-04-16,9.96,10.14,9.96,10.14,900
2020-04-17,10.08,10.08,9.96,9.96,14700
2020-04-20,9.96,9.96,9.96,9.96,1250
2020-04-21,9.96,9.96,9.96,9.96,1050
2020-04-22,9.96,9.96,9.96,9.96,0
2020-04-23,10.26,10.26,10.02,10.02,6700
2020-04-24,10.08,10.08,9.53,10.08,1200
2020-04-27,10.02,10.02,10.02,10.02,100
2020-04-28,10.5,10.5,10.02,10.02,2300
2020-04-29,10.2,10.2,9.53,9.96,2300
2020-05-04,9.96,9.96,9.96,9.96,0
2020-05-05,9.96,9.96,9.35,9.9,5400
2020-05-06,9.65,9.65,8.93,8.93,35500
2020-05-07,9.47,9.47,9.41,9.47,740
2020-05-08,9.23,9.35,9.23,9.23,910
2020-05-11,9.05,9.05,9.05,9.05,5115
2020-05-12,9.47,9.47,9.11,9.11,1200
2020-05-13,9.17,9.29,9.11,9.23,1800
2020-05-14,9.23,9.23,9.23,9.23,100
2020-05-15,8.63,9.23,8.63,9.23,200
2020-05-18,8.75,8.75,8.75,8.75,230
2020-05-19,9.29,9.59,9.05,9.41,400
2020-05-20,9.41,9.41,9.41,9.41,0
2020-05-21,9.41,9.41,9.41,9.41,10
2020-05-22,9.41,9.41,9.41,9.41,200
2020-05-25,8.75,9.41,8.75,9.41,300
2020-05-26,9.05,9.41,9.05,9.41,625
2020-05-27,9.41,9.41,9.41,9.41,0
2020-05-28,9.23,9.23,9.23,9.23,405
2020-05-29,9.35,9.35,9.35,9.35,200
2020-06-01,9.59,9.78,9.59,9.78,1900
2020-06-02,9.29,9.29,9.29,9.29,100
2020-06-03,9.29,9.29,9.29,9.29,20
2020-06-04,9.35,9.35,9.35,9.35,200
2020-06-05,9.65,9.65,9.65,9.65,100
2020-06-08,9.78,10.56,9.78,9.78,3500
2020-06-09,10.5,10.5,10.5,10.5,120
2020-06-10,9.65,10.2,9.65,10.2,500
2020-06-11,10.2,10.2,10.2,10.2,0
2020-06-12,9.47,10.2,9.47,10.2,1200
2020-06-15,9.29,9.96,9.23,9.96,8510
2020-06-16,9.96,9.96,9.96,9.96,0
2020-06-17,9.96,9.96,9.96,9.96,0
2020-06-18,9.96,9.96,9.96,9.96,10
2020-06-19,9.96,9.96,9.96,9.96,0
2020-06-22,9.9,9.9,9.65,9.65,1700
2020-06-23,9.65,9.65,9.65,9.65,0
2020-06-24,9.65,9.65,9.65,9.65,20
2020-06-25,9.65,9.65,9.65,9.65,0
2020-06-26,9.65,9.65,9.65,9.65,0
2020-06-29,9.65,9.65,9.65,9.65,200
2020-06-30,9.35,9.35,9.35,9.35,200
2020-07-01,9.35,9.35,9.35,9.35,30
2020-07-02,9.35,9.35,9.35,9.35,0
2020-07-03,9.65,9.65,9.65,9.65,906
