time,open,high,low,close,volume
2020-08-18,9.2,9.2,9.2,9.2,0
2020-08-19,12.82,12.82,12.82,12.82,1100
2020-08-20,14.71,14.71,14.71,14.71,500
2020-08-21,16.9,16.9,16.9,16.9,700
2020-08-24,19.39,19.39,19.39,19.39,4081
2020-08-25,22.26,22.26,22.26,22.26,12200
2020-08-26,25.57,25.57,25.57,25.57,5700
2020-08-27,29.35,29.35,29.35,29.35,16839
2020-08-28,33.72,33.72,24.97,24.97,13883
2020-08-31,24.29,24.29,24.29,24.29,2436
2020-09-01,24.29,24.29,24.29,24.29,347
2020-09-03,24.29,24.29,24.29,24.29,122
2020-09-04,20.67,20.67,20.67,20.67,2708
2020-09-07,17.58,17.58,17.58,17.58,800
2020-09-08,15.01,17.58,15.01,15.01,28893
2020-09-09,15.01,17.43,15.01,17.43,7221
2020-09-10,18.26,18.26,18.26,18.26,8193
2020-09-11,18.71,18.71,16.6,18.03,15372
2020-09-14,17.35,18.1,15.84,16.14,13191
2020-09-15,16.3,18.48,15.84,17.73,44378
2020-09-16,17.5,18.1,17.35,17.35,22200
2020-09-17,17.58,17.88,17.35,17.35,33150
2020-09-18,16.67,17.65,16.6,16.97,6836
2020-09-21,16.6,16.67,16.6,16.6,3443
2020-09-22,17.73,17.73,15.92,16.22,1647
2020-09-23,16.22,17.35,16.22,16.6,4374
2020-09-24,16.82,16.82,15.84,15.92,8735
2020-09-25,16.6,16.6,15.62,15.62,1920
2020-09-28,16.22,17.28,15.16,16.9,9989
2020-09-29,16.6,16.67,15.62,16.14,4907
2020-09-30,15.46,16.67,15.46,16.67,5492
2020-10-01,16.45,18.86,16.45,18.86,32581
2020-10-02,17.88,18.48,17.8,17.88,17824
2020-10-05,17.95,18.26,17.73,17.8,39900
2020-10-06,17.35,17.73,16.97,17.73,5800
2020-10-07,17.73,18.86,17.35,18.1,24600
2020-10-08,18.1,18.18,17.88,18.1,4700
2020-10-09,17.05,18.03,16.6,17.35,2600
2020-10-12,16.97,17.05,16.6,16.6,11700
2020-10-13,16.75,16.75,15.84,15.84,5100
2020-10-14,15.92,15.99,15.46,15.99,900
2020-10-15,16.6,16.6,15.84,15.84,800
2020-10-16,16.45,16.6,16.22,16.22,3500
2020-10-19,15.24,15.99,15.24,15.99,1700
2020-10-20,15.84,15.84,15.84,15.84,2300
2020-10-21,15.84,15.84,15.84,15.84,3700
2020-10-22,15.84,15.84,15.84,15.84,0
2020-10-23,15.46,15.46,15.46,15.46,1200
2020-10-26,15.46,15.46,15.09,15.09,900
2020-10-27,15.09,15.09,15.09,15.09,100
2020-10-28,14.71,14.71,13.66,13.66,600
2020-10-29,15.09,15.09,15.09,15.09,600
2020-10-30,15.09,15.09,15.09,15.09,0
2020-11-02,14.33,14.33,14.33,14.33,1500
2020-11-03,13.66,13.96,13.2,13.2,12900
2020-11-04,14.33,14.33,13.58,14.33,2900
2020-11-05,14.03,14.03,14.03,14.33,0
2020-11-06,13.66,13.66,13.66,13.66,500
2020-11-09,13.96,14.71,13.96,14.71,600
2020-11-10,15.46,15.46,15.46,15.46,100
2020-11-11,16.22,16.22,13.66,15.39,400
2020-11-12,15.46,15.46,13.88,13.96,2300
2020-11-13,13.66,13.66,13.66,13.66,700
2020-11-16,13.66,13.66,13.66,13.66,100
2020-11-17,13.8,14.71,13.66,13.96,5400
2020-11-18,12.15,15.09,12.15,14.94,2200
2020-11-19,14.79,14.79,14.03,14.79,3800
2020-11-20,14.33,14.33,13.96,14.03,3100
2020-11-23,14.03,14.33,14.03,14.03,5700
