time,open,high,low,close,volume
2020-01-06,2.31,2.31,2.31,2.31,0
2020-01-07,2.31,2.31,2.31,2.31,0
2020-01-08,2.31,2.31,2.31,2.31,0
2020-01-09,2.31,2.31,2.31,2.31,3000
2020-01-10,2.31,2.31,2.31,2.31,0
2020-01-13,2.31,2.31,2.31,2.31,0
2020-01-14,2.31,2.31,2.31,2.31,0
2020-01-15,2.31,2.31,2.31,2.31,0
2020-01-16,2.31,2.31,2.31,2.31,0
2020-01-17,2.31,2.31,2.31,2.31,0
2020-01-20,2.31,2.31,2.31,2.31,0
2020-01-21,2.31,2.31,2.31,2.31,0
2020-01-22,2.31,2.31,2.31,2.31,0
2020-01-30,2.65,2.65,1.97,1.97,1200
2020-01-31,2.31,2.31,2.31,2.31,100
2020-02-03,2.31,2.31,2.31,2.31,0
2020-02-04,2.31,2.31,2.31,2.31,0
2020-02-05,2.31,2.31,2.31,2.31,0
2020-02-06,2.31,2.31,2.31,2.31,0
2020-02-07,2.31,2.31,2.31,2.31,0
2020-02-10,2.31,2.31,2.31,2.31,0
2020-02-11,2.31,2.31,2.31,2.31,0
2020-02-12,2.31,2.31,2.31,2.31,0
2020-02-13,2.31,2.31,2.31,2.31,0
2020-02-14,2.31,2.31,2.31,2.31,0
2020-02-17,2.31,2.31,2.31,2.31,0
2020-02-18,2.31,2.31,2.31,2.31,0
2020-02-19,2.31,2.31,2.31,2.31,0
2020-02-20,2.31,2.31,2.31,2.31,0
2020-02-21,2.31,2.31,2.31,2.31,0
2020-02-24,2.31,2.31,2.31,2.31,0
2020-02-25,2.31,2.31,2.31,2.31,0
2020-02-26,2.31,2.31,2.31,2.31,0
2020-02-27,2.31,2.31,2.31,2.31,0
2020-02-28,2.31,2.31,2.31,2.31,0
2020-03-02,2.31,2.31,2.31,2.31,0
2020-03-03,2.31,2.31,2.31,2.31,0
2020-03-04,2.31,2.31,2.31,2.31,0
2020-03-05,2.31,2.31,2.31,2.31,0
2020-03-06,2.31,2.31,2.31,2.31,0
2020-03-09,2.31,2.31,2.31,2.31,0
2020-03-10,1.45,1.45,1.45,1.45,2000
2020-03-11,1.45,1.45,1.45,1.45,0
2020-03-12,1.45,1.45,1.45,1.45,0
2020-03-13,1.45,1.45,1.45,1.45,0
2020-03-16,1.45,1.45,1.45,1.45,0
2020-03-17,1.45,1.45,1.45,1.45,0
2020-03-18,1.45,1.45,1.45,1.45,0
2020-03-19,1.45,1.45,1.45,1.45,0
2020-03-20,1.45,1.45,1.45,1.45,0
2020-03-23,1.45,1.45,1.45,1.45,0
2020-03-24,1.45,1.45,1.45,1.45,0
2020-03-25,1.45,1.45,1.45,1.45,0
2020-03-26,1.45,1.45,1.45,1.45,0
2020-03-27,1.45,1.45,1.45,1.45,0
2020-03-30,1.45,1.45,1.45,1.45,0
2020-03-31,1.45,1.45,1.45,1.45,0
2020-04-01,1.45,1.45,1.45,1.45,0
2020-04-03,1.45,1.45,1.45,1.45,0
2020-04-06,1.45,1.45,1.45,1.45,0
2020-04-07,1.45,1.45,1.45,1.45,0
2020-04-08,1.45,1.45,1.45,1.45,0
2020-04-09,1.45,1.45,1.45,1.45,0
2020-04-10,1.45,1.45,1.45,1.45,0
2020-04-13,1.62,1.62,1.62,1.62,1500
2020-04-14,1.8,1.8,1.8,1.8,500
2020-04-15,2.05,2.05,2.05,2.05,200
2020-04-16,2.31,2.31,2.31,2.31,200
2020-04-17,2.14,2.65,2.14,2.65,2400
2020-04-20,2.74,2.74,2.74,2.74,1300
2020-04-21,3.08,3.08,3.08,3.08,100
2020-04-22,3.08,3.08,3.08,3.08,0
2020-04-23,2.65,2.65,2.65,2.65,400
2020-04-24,2.31,2.31,2.31,2.31,1200
2020-04-27,2.31,2.31,2.31,2.31,0
2020-04-28,2.31,2.31,2.31,2.31,0
2020-04-29,2.22,2.22,2.22,2.22,500
2020-05-04,2.48,2.48,2.48,2.48,100
2020-05-05,2.74,2.74,2.74,2.74,200
2020-05-06,2.74,2.74,2.74,2.74,0
2020-05-07,3.08,3.08,3.08,3.08,100
2020-05-08,3.51,3.51,2.65,2.65,3100
2020-05-11,2.65,2.65,2.65,2.65,0
2020-05-12,2.65,2.65,2.65,2.65,0
2020-05-13,2.4,2.57,2.4,2.57,2600
2020-05-14,2.4,2.4,2.4,2.57,0
2020-05-15,2.14,2.14,2.14,2.14,1000
2020-05-18,2.14,2.14,2.14,2.14,0
2020-05-19,2.14,2.14,2.14,2.14,0
2020-05-20,2.14,2.14,2.14,2.14,0
2020-05-21,2.14,2.14,2.14,2.14,0
2020-05-22,2.14,2.14,2.14,2.14,0
