time,open,high,low,close,volume
2020-01-06,10.74,10.82,10.66,10.82,28010
2020-01-07,10.82,10.9,10.82,10.9,18550
2020-01-08,10.82,10.86,10.78,10.78,16310
2020-01-09,10.78,10.86,10.78,10.86,17220
2020-01-10,10.86,10.9,10.86,10.9,15780
2020-01-13,10.9,10.94,10.9,10.9,22250
2020-01-14,10.82,10.9,10.82,10.82,75140
2020-01-15,10.9,10.9,10.82,10.9,97110
2020-01-16,10.9,10.9,10.82,10.82,78990
2020-01-17,10.82,10.9,10.74,10.9,19820
2020-01-20,10.9,10.94,10.86,10.86,19490
2020-01-21,10.86,10.86,10.78,10.86,20240
2020-01-22,10.9,10.94,10.86,10.86,20860
2020-01-30,10.9,10.9,10.82,10.86,31550
2020-01-31,10.86,10.9,10.82,10.9,35610
2020-02-03,10.9,10.9,10.82,10.86,25310
2020-02-04,10.86,10.9,10.82,10.86,24710
2020-02-05,10.78,10.9,10.78,10.9,23100
2020-02-06,10.9,10.9,10.74,10.9,23960
2020-02-07,10.82,10.82,10.78,10.82,22310
2020-02-10,10.82,10.86,10.78,10.82,22930
2020-02-11,10.82,10.86,10.74,10.82,25920
2020-02-12,10.74,10.82,10.74,10.78,37520
2020-02-13,10.78,10.86,10.58,10.82,43410
2020-02-14,10.82,10.82,10.58,10.82,25560
2020-02-17,10.82,10.82,10.74,10.78,29300
2020-02-18,10.78,10.82,10.66,10.78,29600
2020-02-19,10.78,10.82,10.78,10.82,22740
2020-02-20,10.82,10.82,10.74,10.82,22170
2020-02-21,10.82,10.86,10.78,10.82,23720
2020-02-24,10.82,10.82,10.66,10.7,21660
2020-02-25,10.7,10.74,10.66,10.7,25030
2020-02-26,10.7,10.7,10.5,10.58,17130
2020-02-27,10.66,10.66,10.38,10.42,37980
2020-02-28,10.5,10.5,9.93,10.38,46960
2020-03-02,10.38,10.38,9.69,10.29,43990
2020-03-03,10.33,10.5,10.25,10.42,28850
2020-03-04,10.5,10.5,10.33,10.38,24880
2020-03-05,10.33,10.33,9.97,10.01,169050
2020-03-06,10.29,10.33,10.01,10.21,31720
2020-03-09,10.17,10.17,9.53,9.53,28600
2020-03-10,9.61,9.61,8.88,8.88,33820
2020-03-11,8.28,9.49,8.28,9.49,63000
2020-03-12,9.49,9.49,8.88,9.49,19870
2020-03-13,9.49,9.61,9.45,9.61,27270
2020-03-16,9.61,9.61,9.32,9.32,18270
2020-03-17,9.32,9.32,9.04,9.12,19010
2020-03-18,9.12,9.12,8.84,9.12,88240
2020-03-19,8.88,9.12,8.8,9.12,95060
2020-03-20,9.16,9.16,9.08,9.12,82960
2020-03-23,9.08,9.12,8.88,9.12,62440
2020-03-24,9.08,9.12,8.56,9.12,84230
2020-03-25,9.12,9.12,9.04,9.12,64780
2020-03-26,9.12,9.12,9.04,9.12,84300
2020-03-27,9.08,9.12,9.08,9.12,17040
2020-03-30,9.08,9.08,9.0,9.0,12750
2020-03-31,9.0,9.08,8.8,9.0,10720
2020-04-01,9.04,9.2,8.96,9.2,17750
2020-04-03,9.2,9.2,9.16,9.16,12480
2020-04-06,9.2,9.2,9.16,9.16,15720
2020-04-07,9.16,9.28,9.12,9.24,17680
2020-04-08,9.24,9.28,9.12,9.24,11830
2020-04-09,9.24,9.24,9.2,9.24,18570
2020-04-10,9.24,9.24,9.2,9.24,20120
2020-04-13,9.24,9.24,9.08,9.24,21030
2020-04-14,9.24,9.24,9.2,9.2,70190
2020-04-15,9.24,9.24,9.16,9.2,20230
2020-04-16,9.2,9.2,9.16,9.2,68770
2020-04-17,9.16,9.2,9.16,9.2,119330
2020-04-20,9.2,9.2,9.12,9.16,14650
2020-04-21,9.16,9.2,9.12,9.16,17500
2020-04-22,9.2,9.2,9.12,9.16,19510
2020-04-23,9.16,9.16,9.12,9.16,17110
2020-04-24,9.12,9.16,9.08,9.16,15710
2020-04-27,9.16,9.16,9.12,9.16,17990
2020-04-28,9.16,9.16,9.12,9.16,19450
2020-04-29,9.16,9.16,9.12,9.16,227370
2020-05-04,9.16,9.16,9.12,9.16,18020
2020-05-05,9.16,9.16,8.88,9.16,45310
2020-05-06,9.16,9.24,8.96,9.16,44870
2020-05-07,9.16,9.16,9.04,9.16,46060
2020-05-08,9.16,9.24,8.88,9.2,42060
2020-05-11,9.2,9.2,9.12,9.16,45190
2020-05-12,9.16,9.16,9.04,9.12,42870
2020-05-13,9.12,9.12,8.96,8.96,9380
2020-05-14,9.04,9.04,8.36,9.0,8120
2020-05-15,9.0,9.2,8.88,9.2,39950
2020-05-18,9.24,9.28,9.16,9.2,42430
2020-05-19,9.2,9.2,9.08,9.16,42460
2020-05-20,9.28,9.28,9.04,9.16,42550
2020-05-21,8.64,9.2,8.64,9.16,47550
2020-05-22,9.16,9.16,9.12,9.16,50740
2020-05-25,9.16,9.37,9.16,9.2,46560
2020-05-26,9.24,9.32,9.2,9.28,38620
2020-05-27,9.28,9.37,8.8,9.2,41790
2020-05-28,9.2,9.37,9.12,9.28,37020
2020-05-29,9.28,9.28,8.76,9.24,36300
2020-06-01,9.37,9.37,9.12,9.24,52440
2020-06-02,9.2,9.24,9.16,9.24,35780
2020-06-03,9.12,9.32,9.04,9.24,45920
2020-06-04,9.24,9.24,9.2,9.24,34330
2020-06-05,9.2,9.24,8.68,9.2,47190
2020-06-08,9.37,9.81,9.24,9.81,121560
2020-06-09,9.85,10.5,9.81,10.5,181300
2020-06-10,10.5,11.22,10.42,10.9,228670
2020-06-11,10.9,10.94,10.17,10.17,136540
2020-06-12,9.49,9.49,9.49,9.49,43940
2020-06-15,9.2,9.69,9.12,9.69,121520
2020-06-16,9.69,9.77,9.37,9.41,103260
2020-06-17,9.41,9.49,9.28,9.32,92260
2020-06-18,9.32,9.45,9.2,9.45,113910
2020-06-19,9.41,9.41,9.28,9.37,97130
2020-06-22,9.41,9.41,9.32,9.41,105080
2020-06-23,9.37,9.37,9.28,9.37,127690
2020-06-24,9.32,9.49,9.28,9.49,141790
2020-06-25,9.49,9.53,9.37,9.41,108620
2020-06-26,9.37,9.41,9.28,9.41,103320
2020-06-29,9.41,9.45,9.24,9.24,97130
2020-06-30,9.24,9.28,9.16,9.28,84640
2020-07-01,9.28,9.37,9.2,9.37,105190
2020-07-02,9.37,9.61,9.32,9.57,167940
2020-07-03,9.57,9.89,9.53,9.85,195300
2020-07-06,9.89,9.93,9.85,9.93,60500
2020-07-07,9.93,10.17,9.93,10.13,147820
2020-07-08,10.09,10.13,9.77,9.85,111070
2020-07-09,9.85,9.89,9.57,9.57,152860
2020-07-10,9.61,9.69,9.61,9.69,100490
2020-07-13,9.65,9.77,9.61,9.69,90920
2020-07-14,9.69,10.01,9.61,10.01,312800
2020-07-15,10.01,10.01,9.77,9.85,99810
2020-07-16,9.85,9.89,9.81,9.89,86570
2020-07-17,9.89,9.89,9.65,9.77,90300
2020-07-20,9.77,9.85,9.57,9.57,112010
2020-07-21,9.49,9.49,9.2,9.32,104080
2020-07-22,9.41,9.45,9.28,9.28,79370
2020-07-23,9.32,9.45,9.32,9.37,102860
2020-07-24,9.37,9.45,9.08,9.37,105740
2020-07-27,9.04,9.2,8.8,8.8,94170
2020-07-28,8.72,9.41,8.72,9.41,125100
2020-07-29,9.45,9.45,9.2,9.37,95620
2020-07-30,9.37,9.69,9.37,9.69,109370
2020-07-31,9.69,9.73,9.61,9.61,100460
2020-08-03,9.61,9.89,9.61,9.85,112330
2020-08-04,9.85,10.05,9.85,9.97,97370
2020-08-05,9.93,10.01,9.85,9.85,99380
2020-08-06,9.85,9.85,9.65,9.65,97090
2020-08-07,9.69,9.89,9.69,9.89,129650
2020-08-10,9.89,9.93,9.73,9.81,94510
2020-08-11,9.85,10.29,9.85,10.09,215890
2020-08-12,10.13,10.13,9.85,9.85,102030
2020-08-13,9.81,10.01,9.81,9.81,121290
2020-08-14,9.81,9.85,9.61,9.61,121670
2020-08-17,9.61,9.69,9.57,9.57,84510
2020-08-18,9.61,9.77,9.61,9.77,100620
2020-08-19,9.77,9.77,9.65,9.77,83870
2020-08-20,9.73,9.81,9.65,9.81,91860
2020-08-21,9.77,9.81,9.69,9.69,82320
2020-08-24,9.73,9.73,9.69,9.73,173670
2020-08-25,9.73,9.77,9.73,9.77,107630
2020-08-26,9.77,9.77,9.77,9.77,84230
2020-08-27,9.77,9.77,9.69,9.77,79900
2020-08-28,9.69,9.77,9.53,9.69,168430
2020-08-31,9.69,9.77,9.65,9.77,169050
2020-09-01,9.77,10.29,9.77,10.29,362820
2020-09-03,10.29,10.33,10.17,10.21,140820
2020-09-04,10.17,10.17,9.97,9.97,121680
2020-09-07,9.97,10.13,9.97,10.09,202620
2020-09-08,10.05,10.13,10.01,10.05,207110
2020-09-09,9.93,9.97,9.65,9.81,261120
2020-09-10,9.85,9.93,9.81,9.89,156260
2020-09-11,9.89,9.93,9.85,9.89,97950
2020-09-14,9.89,10.09,9.81,10.01,108760
2020-09-15,10.01,10.05,9.89,9.93,88690
2020-09-16,9.93,9.93,9.81,9.81,105340
2020-09-17,9.85,9.85,9.77,9.81,90210
2020-09-18,9.85,9.89,9.81,9.85,99330
2020-09-21,9.85,9.85,9.81,9.81,113510
2020-09-22,9.81,9.81,9.73,9.73,111600
2020-09-23,9.77,9.89,9.77,9.89,126130
2020-09-24,9.85,9.89,9.81,9.85,93260
2020-09-25,9.81,9.89,9.81,9.85,129410
2020-09-28,9.85,9.93,9.81,9.93,143880
2020-09-29,9.89,10.01,9.89,9.89,134180
2020-09-30,9.85,9.93,9.85,9.89,97070
2020-10-01,9.81,10.13,9.81,10.01,208910
2020-10-02,10.01,10.13,9.93,9.97,139210
2020-10-05,9.97,10.01,9.93,9.93,95720
2020-10-06,9.93,9.97,9.89,9.93,95910
2020-10-07,9.93,9.93,9.81,9.93,98010
2020-10-08,9.93,10.09,9.89,10.05,154910
2020-10-09,10.05,10.5,10.05,10.38,254320
2020-10-12,10.42,10.42,10.25,10.33,140260
2020-10-13,10.33,10.74,10.33,10.7,247410
2020-10-14,10.7,11.14,10.7,11.14,282600
2020-10-15,11.1,11.14,10.98,11.02,176330
2020-10-16,10.98,11.02,10.94,10.94,143260
2020-10-19,10.86,11.02,10.86,11.02,251580
2020-10-20,11.02,11.79,10.98,11.79,408530
2020-10-21,11.95,12.47,11.83,12.47,537780
2020-10-22,12.47,12.47,12.03,12.11,339160
2020-10-23,11.95,12.31,11.91,12.31,385130
2020-10-26,12.31,12.68,12.31,12.68,437810
2020-10-27,12.68,12.76,11.83,11.99,411120
2020-10-28,11.95,11.95,11.34,11.46,197070
2020-10-29,11.34,11.38,11.02,11.22,243430
2020-10-30,11.14,11.14,11.02,11.02,205230
2020-11-02,10.9,11.34,10.9,11.22,311210
2020-11-03,11.22,11.3,11.14,11.14,196150
2020-11-04,11.14,11.42,11.06,11.38,222250
2020-11-05,11.38,11.83,11.34,11.79,372590
2020-11-06,11.71,11.75,11.63,11.67,146700
2020-11-09,11.63,11.95,11.63,11.79,232510
2020-11-10,11.83,11.95,11.79,11.95,173510
2020-11-11,11.95,12.19,11.91,12.19,336690
2020-11-12,12.11,12.15,12.03,12.07,170630
2020-11-13,12.11,12.39,12.07,12.31,284160
2020-11-16,12.31,12.35,12.11,12.15,177850
2020-11-17,12.19,12.6,12.19,12.6,289650
2020-11-18,12.6,13.04,12.56,12.96,364410
2020-11-19,12.96,13.36,12.96,13.36,277320
2020-11-20,13.36,13.44,13.16,13.44,207560
2020-11-23,13.44,13.93,13.44,13.89,305430
2020-11-24,13.89,14.49,13.89,14.49,461940
2020-11-25,14.49,14.82,14.29,14.74,326820
2020-11-26,14.74,14.74,14.21,14.29,191950
2020-11-27,14.25,14.25,13.32,13.32,175930
2020-11-30,13.2,13.52,13.04,13.48,311100
2020-12-01,13.48,14.01,13.48,14.01,363530
2020-12-02,13.97,14.01,13.72,13.85,216140
2020-12-03,13.85,14.05,13.85,13.93,203270
2020-12-04,13.93,14.41,13.93,14.37,274700
2020-12-07,14.37,14.45,14.37,14.41,167350
2020-12-08,14.37,14.37,14.21,14.25,139210
2020-12-09,14.25,14.74,14.25,14.69,301330
2020-12-10,14.69,15.22,14.69,15.14,392330
2020-12-11,15.14,15.54,15.14,15.5,383890
2020-12-14,15.5,15.62,14.45,14.86,311040
2020-12-15,13.85,14.13,13.85,13.85,390200
2020-12-16,12.88,13.85,12.88,12.88,436690
2020-12-17,11.99,12.88,11.99,12.8,748570
2020-12-18,13.68,13.68,11.91,12.8,1066560
2020-12-21,11.91,12.8,11.91,12.11,667280
2020-12-22,11.26,12.03,11.26,11.26,926650
2020-12-23,10.5,10.5,10.5,10.5,173440
2020-12-24,9.77,9.77,9.77,9.77,350260
2020-12-25,9.12,9.57,9.12,9.53,1531160
2020-12-28,9.85,10.17,8.88,9.69,2118180
2020-12-29,9.69,10.17,9.04,9.28,656710
2020-12-30,8.88,9.28,8.64,8.64,769770
2020-12-31,8.15,8.56,8.04,8.07,1395350
2021-01-04,8.07,8.24,7.51,7.91,2024000
2021-01-05,7.91,8.4,7.36,7.52,910800
2021-01-06,7.48,7.48,7.08,7.19,320600
2021-01-07,6.89,7.1,6.77,7.07,266400
2021-01-08,7.07,7.56,7.07,7.56,467300
2021-01-11,8.07,8.07,7.91,8.07,482600
2021-01-12,8.64,8.64,8.56,8.64,706200
2021-01-13,9.2,9.2,8.44,8.52,784000
2021-01-14,8.11,8.4,8.07,8.24,369300
2021-01-15,8.36,8.36,8.15,8.2,287200
2021-01-18,8.07,8.76,7.75,8.4,630200
2021-01-19,8.4,8.4,7.88,7.9,285300
2021-01-20,7.9,7.9,7.51,7.75,207400
2021-01-21,7.75,8.24,7.75,8.24,243000
2021-01-22,8.24,8.24,7.99,7.99,252400
2021-01-25,7.99,8.07,7.91,8.03,145500
2021-01-26,7.99,7.99,7.59,7.67,145200
2021-01-27,7.51,7.66,7.14,7.14,244600
2021-01-28,7.14,7.14,6.65,6.65,278700
2021-01-29,6.19,6.86,6.19,6.7,223100
2021-02-01,6.7,7.1,6.24,6.69,115900
2021-02-02,6.54,6.86,6.38,6.78,135900
2021-02-03,6.78,7.02,6.62,6.86,116200
2021-02-04,6.98,7.09,6.82,7.01,121300
2021-02-05,7.01,7.15,7.01,7.12,58600
