time,open,high,low,close,volume
2020-01-06,6.66,6.69,6.59,6.61,190230
2020-01-07,6.61,6.66,6.58,6.63,257100
2020-01-08,6.58,6.63,6.55,6.58,189580
2020-01-09,6.59,6.66,6.53,6.62,271100
2020-01-10,6.62,6.63,6.59,6.63,157200
2020-01-13,6.62,6.63,6.57,6.63,164320
2020-01-14,6.61,6.66,6.55,6.58,224560
2020-01-15,6.58,6.63,6.53,6.61,247050
2020-01-16,6.61,6.66,6.53,6.55,166480
2020-01-17,6.51,6.55,6.42,6.45,135760
2020-01-20,6.42,6.42,6.36,6.39,180810
2020-01-21,6.39,6.39,6.31,6.36,207350
2020-01-22,6.36,6.45,6.34,6.45,277150
2020-01-30,6.39,6.45,6.31,6.34,175790
2020-01-31,6.36,6.42,6.28,6.28,213400
2020-02-03,6.23,6.28,6.04,6.26,189600
2020-02-04,6.23,6.26,6.18,6.2,167610
2020-02-05,6.15,6.2,6.1,6.15,296320
2020-02-06,6.15,6.16,6.07,6.1,162500
2020-02-07,6.1,6.15,6.06,6.08,146510
2020-02-10,6.1,6.1,6.04,6.08,139860
2020-02-11,6.08,6.12,6.04,6.07,206680
2020-02-12,6.07,6.1,6.03,6.1,219050
2020-02-13,6.07,6.1,6.02,6.08,199400
2020-02-14,6.04,6.08,6.03,6.07,154810
2020-02-17,6.04,6.04,6.0,6.02,162740
2020-02-18,6.02,6.03,5.98,6.02,178170
2020-02-19,6.02,6.04,5.99,5.99,269080
2020-02-20,6.02,6.02,5.98,6.02,184260
2020-02-21,5.99,6.0,5.96,6.0,176190
2020-02-24,5.98,6.0,5.96,5.96,191160
2020-02-25,5.95,6.02,5.94,6.02,298930
2020-02-26,5.96,5.99,5.94,5.96,185610
2020-02-27,5.96,5.99,5.92,5.99,183420
2020-02-28,5.99,6.1,5.96,6.07,401730
2020-03-02,6.04,6.04,5.94,6.02,107030
2020-03-03,6.02,6.08,5.98,6.06,199240
2020-03-04,6.04,6.06,5.99,6.03,188680
2020-03-05,6.02,6.03,5.96,5.99,252710
2020-03-06,5.99,6.02,5.92,5.96,201710
2020-03-09,5.88,5.94,5.67,5.75,131290
2020-03-10,5.7,5.78,5.67,5.78,171960
2020-03-11,5.78,5.8,5.64,5.67,158210
2020-03-12,5.62,5.62,5.28,5.56,217840
2020-03-13,5.28,5.35,5.18,5.18,109730
2020-03-16,5.03,5.03,4.81,4.81,130
2020-03-17,4.48,4.48,4.48,4.48,7240
