time,open,high,low,close,volume
2020-01-06,12.45,13.34,12.11,12.3,84250
2020-01-07,11.81,14.53,12.71,13.5,45012
2020-01-08,14.5,15.21,13.12,13.6,36600
2020-01-09,12.95,13.71,12.67,12.95,32850
2020-01-10,12.75,13.77,12.64,12.95,93720
2020-01-13,12.8,14.69,13.52,13.8,28400
2020-01-14,13.1,15.92,14.03,14.65,64700
2020-01-15,14.1,15.34,14.57,14.75,23500
2020-01-16,14.6,15.94,14.6,15.14,23300
2020-01-17,14.4,15.72,14.8,15.29,6100
2020-01-20,14.7,15.42,14.65,14.94,18700
2020-01-21,13.95,15.91,14.46,15.1,60931
2020-01-22,15.1,16.73,15.22,16.59,64400
2020-01-30,15.69,16.25,14.78,14.94,52300
2020-01-31,13.55,16.42,14.31,14.45,136000
2020-02-03,13.2,17.05,13.95,14.94,48600
2020-02-04,13.55,18.36,15.49,15.94,97900
2020-02-05,14.5,18.18,15.04,16.49,156410
2020-02-06,15.44,19.1,16.68,17.68,139031
2020-02-07,16.49,19.24,17.26,17.68,129000
2020-02-10,16.49,18.88,15.99,17.09,202030
2020-02-11,16.84,18.47,16.42,17.24,95900
2020-02-12,17.24,17.94,16.5,17.04,71910
2020-02-13,16.84,17.17,16.43,16.59,35400
2020-02-14,16.69,17.64,16.43,16.74,93300
2020-02-17,16.44,17.2,16.58,16.74,57000
2020-02-18,16.24,18.51,17.19,17.44,55500
2020-02-19,16.94,20.84,17.97,18.83,165020
2020-02-20,18.83,19.44,18.44,18.98,37427
2020-02-21,18.53,18.35,16.35,17.09,93764
2020-02-24,17.39,17.27,15.29,15.39,124710
2020-02-25,14.2,18.43,15.39,16.39,42800
2020-02-26,16.44,16.04,14.58,14.94,32400
2020-02-27,15.34,16.53,15.29,15.69,36610
2020-02-28,15.14,16.08,14.6,15.14,40800
2020-03-02,14.45,14.13,12.99,13.65,47600
2020-03-03,14.05,13.82,12.85,13.3,37100
2020-03-04,13.35,15.93,13.11,14.6,149600
2020-03-05,14.2,15.26,13.56,14.5,29300
2020-03-06,13.75,14.92,14.14,14.3,12400
2020-03-09,13.0,12.99,12.89,12.9,11210
2020-03-10,11.66,12.84,11.65,12.06,18110
2020-03-11,12.75,12.86,11.0,11.71,47885
2020-03-12,10.96,10.83,10.43,10.56,77600
2020-03-13,9.56,11.82,10.36,10.91,40900
