time,open,high,low,close,volume
2020-01-06,11.86,12.04,11.86,11.95,14550
2020-01-07,11.95,12.34,11.95,12.29,37750
2020-01-08,11.86,12.38,11.86,12.29,51620
2020-01-09,12.46,12.46,12.04,12.38,450
2020-01-10,12.38,12.38,11.73,12.29,3860
2020-01-13,11.91,12.21,11.86,11.86,5370
2020-01-14,12.25,12.25,11.78,11.78,780
2020-01-15,12.38,12.38,11.73,12.04,5600
2020-01-16,11.65,12.16,11.65,11.82,16690
2020-01-17,11.82,12.04,11.82,11.86,11820
2020-01-20,12.38,12.38,11.78,11.95,19040
2020-01-21,12.04,12.04,11.99,12.04,16640
2020-01-22,12.04,12.04,12.04,12.04,1650
2020-01-30,11.69,12.38,11.69,11.99,5480
2020-01-31,12.16,12.16,11.69,11.69,2480
2020-02-03,11.6,12.42,11.0,12.29,37960
2020-02-04,11.69,12.12,11.52,11.95,30010
2020-02-05,11.95,11.95,11.26,11.26,15380
2020-02-06,11.26,11.86,11.26,11.6,19380
2020-02-07,11.99,11.99,11.69,11.78,6130
2020-02-10,12.04,12.04,11.78,11.78,1060
2020-02-11,11.86,11.86,11.86,11.86,1000
2020-02-12,11.69,11.95,11.69,11.86,20570
2020-02-13,11.86,11.86,11.69,11.86,5970
2020-02-14,11.65,11.86,11.65,11.86,4270
2020-02-17,11.86,11.99,11.56,11.82,18020
2020-02-18,11.6,11.78,11.52,11.73,14060
2020-02-19,11.73,11.86,11.69,11.86,124820
2020-02-20,11.86,12.46,11.86,12.38,222670
2020-02-21,12.46,12.76,12.38,12.64,161480
2020-02-24,12.85,12.89,12.55,12.85,222360
2020-02-25,12.85,12.94,12.72,12.76,92980
2020-02-26,12.72,12.98,12.68,12.98,132970
2020-02-27,13.02,13.07,12.85,12.94,98700
2020-02-28,12.89,12.89,12.68,12.89,108650
2020-03-02,12.81,12.94,12.72,12.72,50810
2020-03-03,12.89,12.98,12.68,12.89,73400
2020-03-04,12.89,12.98,12.81,12.98,72740
2020-03-05,12.85,13.02,12.81,12.89,66300
2020-03-06,12.98,13.07,12.89,12.94,104990
2020-03-09,12.76,12.76,12.04,12.04,250820
2020-03-10,12.04,12.85,12.04,12.85,266410
2020-03-11,13.02,13.02,12.64,12.72,113030
2020-03-12,12.21,12.85,12.04,12.72,139420
2020-03-13,12.12,12.55,11.91,12.34,394850
2020-03-16,12.29,12.85,12.21,12.72,73200
2020-03-17,12.34,12.72,12.34,12.68,53840
2020-03-18,12.68,12.68,12.38,12.68,13480
2020-03-19,12.38,12.68,12.04,12.04,328620
2020-03-20,12.55,12.55,11.95,12.34,46460
2020-03-23,12.34,12.34,11.6,11.69,87910
2020-03-24,11.43,11.69,11.43,11.69,66130
2020-03-25,11.69,12.51,11.56,12.51,134590
2020-03-26,12.29,12.46,12.21,12.21,29950
2020-03-27,12.08,12.29,11.95,12.29,7070
2020-03-30,11.91,12.04,11.6,11.69,55810
2020-03-31,11.6,11.95,11.52,11.95,17390
2020-04-01,12.12,12.21,11.95,12.21,12190
2020-04-03,12.12,12.21,11.95,12.21,29460
2020-04-06,12.12,12.29,11.86,12.29,18490
2020-04-07,12.21,12.29,11.95,12.29,52810
2020-04-08,12.04,12.29,12.04,12.29,25970
2020-04-09,12.25,12.34,11.95,12.34,75870
2020-04-10,12.38,12.38,12.04,12.34,21050
2020-04-13,12.29,12.29,12.21,12.21,1430
2020-04-14,12.08,12.25,12.08,12.12,3000
2020-04-15,12.12,12.89,11.78,12.46,80930
2020-04-16,12.46,12.72,12.46,12.72,86080
2020-04-17,12.81,12.85,12.59,12.76,30030
2020-04-20,12.89,13.32,12.76,13.32,177300
2020-04-21,13.5,13.5,12.64,12.89,228270
2020-04-22,12.89,13.11,12.72,13.11,37460
2020-04-23,13.2,14.01,13.2,14.01,979070
2020-04-24,14.36,14.44,14.06,14.06,182100
2020-04-27,14.01,14.01,13.67,13.93,101930
2020-04-28,13.71,13.84,13.02,13.58,368580
2020-04-29,13.28,13.93,13.28,13.67,204090
2020-05-04,13.67,14.61,13.54,14.61,413030
2020-05-05,14.61,14.61,14.1,14.36,204330
2020-05-06,14.23,14.87,14.18,14.74,226670
2020-05-07,14.87,14.96,14.44,14.83,208680
2020-05-08,14.91,14.91,14.18,14.61,404260
2020-05-11,14.36,14.57,14.27,14.48,205440
2020-05-12,14.44,14.7,14.31,14.53,191430
2020-05-13,14.48,14.61,14.1,14.1,148510
2020-05-14,14.1,14.27,13.32,13.84,298710
2020-05-15,13.84,13.84,13.41,13.41,137780
2020-05-18,13.24,13.5,13.02,13.41,172270
2020-05-19,13.58,13.67,13.41,13.67,102250
2020-05-20,13.67,13.84,13.41,13.67,73560
2020-05-21,13.71,14.1,13.62,14.1,141690
2020-05-22,14.06,14.14,13.67,13.67,48970
2020-05-25,13.75,13.75,13.5,13.67,37340
2020-05-26,13.71,14.27,13.71,14.27,297650
2020-05-27,14.27,14.27,13.8,13.84,194940
2020-05-28,13.75,13.93,13.71,13.84,74220
2020-05-29,13.84,13.93,13.62,13.75,59160
2020-06-01,13.75,13.88,13.58,13.75,94520
2020-06-02,13.75,14.01,13.67,13.71,104580
2020-06-03,13.71,13.75,13.71,13.75,37230
2020-06-04,13.75,14.06,13.67,13.75,173760
2020-06-05,13.67,13.93,13.67,13.75,55480
2020-06-08,13.75,14.18,13.67,14.06,157910
2020-06-09,14.14,14.14,13.88,13.97,162360
2020-06-10,13.97,14.14,13.8,14.01,139450
2020-06-11,13.93,14.4,13.67,13.67,212080
2020-06-12,12.98,13.58,12.98,13.15,131400
2020-06-15,13.15,13.32,12.38,12.38,164550
2020-06-16,12.46,12.59,12.46,12.46,74370
2020-06-17,12.46,12.81,12.46,12.55,31030
2020-06-18,12.46,12.98,12.46,12.94,57220
2020-06-19,13.02,13.15,12.72,12.98,14550
2020-06-22,13.07,13.32,12.76,13.07,75620
2020-06-23,13.02,13.15,12.81,13.11,146230
2020-06-24,13.07,13.07,12.81,12.89,24760
2020-06-25,12.34,12.89,12.34,12.64,194470
2020-06-26,13.07,13.5,12.89,13.37,120320
2020-06-29,13.41,13.41,12.64,12.85,35690
2020-06-30,12.68,13.11,12.68,12.81,129180
2020-07-01,12.81,13.07,12.64,12.89,20290
2020-07-02,12.98,12.98,12.81,12.81,24370
2020-07-03,12.98,13.07,12.85,12.98,16430
2020-07-06,13.24,13.24,12.72,12.72,4840
2020-07-07,12.89,13.15,12.72,12.72,36600
2020-07-08,12.72,13.15,12.72,13.15,80790
2020-07-09,13.15,13.15,12.98,13.11,17200
2020-07-10,13.11,13.2,12.98,13.15,48440
2020-07-13,13.15,13.15,12.94,12.98,31620
2020-07-14,12.98,13.11,12.89,13.11,39130
2020-07-15,13.11,13.2,13.07,13.2,22580
2020-07-16,12.98,13.07,12.98,13.02,4600
2020-07-17,12.98,13.11,12.98,13.02,31360
2020-07-20,13.15,13.24,12.89,13.07,43980
2020-07-21,13.28,13.28,13.07,13.15,18490
2020-07-22,13.15,13.32,13.02,13.02,6910
2020-07-23,13.02,13.02,12.72,12.89,19430
2020-07-24,12.81,12.81,12.08,12.12,51770
2020-07-27,12.89,12.89,11.65,12.46,161470
2020-07-28,12.04,12.76,12.04,12.42,29910
2020-07-29,12.29,12.46,11.95,12.46,13230
2020-07-30,12.73,12.91,12.64,12.91,59690
2020-07-31,12.91,13.09,12.11,13.0,23850
2020-08-03,12.51,13.27,12.51,13.18,45510
2020-08-04,13.36,13.36,12.64,13.27,32580
2020-08-05,12.91,13.44,12.91,13.27,61000
2020-08-06,13.09,13.49,13.09,13.49,98320
2020-08-07,13.36,13.36,13.27,13.31,25730
2020-08-10,13.53,13.53,13.22,13.49,67240
2020-08-11,13.27,13.49,13.27,13.49,108440
2020-08-12,13.49,13.62,13.49,13.53,130400
2020-08-13,13.18,13.71,12.91,13.18,238460
2020-08-14,13.36,13.44,13.18,13.4,111090
2020-08-17,13.27,13.62,13.27,13.44,69910
2020-08-18,13.4,13.76,13.4,13.71,67090
2020-08-19,13.71,13.76,13.53,13.71,42410
2020-08-20,13.71,13.76,13.62,13.71,127230
2020-08-21,13.53,13.76,13.49,13.71,7420
2020-08-24,13.71,13.89,13.62,13.89,36060
2020-08-25,13.98,14.16,13.76,14.16,31840
2020-08-26,14.16,14.24,14.16,14.16,110520
2020-08-27,14.24,14.29,14.07,14.29,66720
2020-08-28,14.29,14.29,13.8,13.8,42730
2020-08-31,13.89,13.89,12.86,12.86,291630
2020-09-01,13.62,13.76,13.62,13.76,27500
2020-09-03,13.8,14.24,13.8,14.16,33820
2020-09-04,14.07,14.16,13.8,14.11,81800
2020-09-07,13.98,14.11,13.98,13.98,14100
2020-09-08,13.98,14.16,13.89,14.07,13700
2020-09-09,13.98,14.16,13.98,14.16,31960
2020-09-10,14.16,14.42,14.16,14.24,53030
2020-09-11,14.24,14.24,14.16,14.24,16420
2020-09-14,14.29,14.33,14.11,14.24,56800
2020-09-15,14.16,14.29,14.16,14.16,60800
2020-09-16,14.16,14.24,14.07,14.24,15080
2020-09-17,14.24,14.51,14.07,14.24,22720
2020-09-18,14.24,14.24,14.16,14.16,4970
2020-09-21,14.07,14.16,14.02,14.11,15900
2020-09-22,14.11,14.16,14.11,14.16,22140
2020-09-23,14.07,14.16,14.07,14.07,76940
2020-09-24,13.84,14.11,13.84,14.07,12680
2020-09-25,13.89,13.98,13.8,13.98,35830
2020-09-28,13.98,13.98,13.71,13.8,11320
2020-09-29,13.8,14.24,13.71,13.8,46810
2020-09-30,13.67,14.16,13.67,14.07,57430
2020-10-01,14.2,14.2,13.89,13.89,44360
2020-10-02,14.07,14.33,13.93,14.24,141010
2020-10-05,14.42,14.56,14.2,14.51,86350
2020-10-06,14.51,15.22,14.51,15.14,377200
2020-10-07,15.14,15.49,14.96,15.09,219830
2020-10-08,15.09,15.09,14.6,14.91,55450
2020-10-09,14.91,14.91,14.29,14.29,111770
2020-10-12,14.16,14.47,13.89,13.93,212210
2020-10-13,13.67,13.98,13.67,13.8,38890
2020-10-14,14.16,14.16,13.62,13.89,38940
2020-10-15,13.71,13.89,13.58,13.71,58490
2020-10-16,13.71,13.76,13.49,13.62,15040
2020-10-19,13.53,13.76,13.53,13.62,37990
2020-10-20,13.62,14.2,13.62,13.98,23390
2020-10-21,13.98,14.2,13.8,13.8,46100
2020-10-22,13.8,14.69,13.8,14.69,58420
2020-10-23,14.78,15.58,14.69,15.4,622360
2020-10-26,15.94,15.94,15.4,15.4,270430
2020-10-27,15.4,15.4,14.87,14.87,68900
2020-10-28,14.56,14.87,14.07,14.07,242140
2020-10-29,13.76,14.69,13.76,14.2,87120
2020-10-30,13.89,14.87,13.89,14.56,31260
2020-11-02,14.56,14.6,14.16,14.24,46780
2020-11-03,14.24,14.6,14.24,14.51,50060
2020-11-04,14.51,14.69,14.33,14.69,113830
2020-11-05,14.82,14.82,14.47,14.51,12200
2020-11-06,14.42,14.47,14.29,14.29,29630
2020-11-09,14.24,14.51,14.24,14.51,133840
2020-11-10,14.33,14.56,14.24,14.33,75450
2020-11-11,14.24,14.42,14.24,14.42,53960
2020-11-12,14.33,14.47,14.29,14.33,10790
2020-11-13,14.24,14.51,14.24,14.42,45320
2020-11-16,14.42,14.56,14.2,14.2,86020
2020-11-17,14.2,14.24,14.16,14.2,46130
2020-11-18,14.2,14.24,14.07,14.07,198420
2020-11-19,14.38,14.42,14.2,14.29,57640
2020-11-20,14.2,14.47,14.2,14.24,72360
2020-11-23,14.16,14.24,14.11,14.24,32770
2020-11-24,14.24,14.24,14.11,14.11,35950
2020-11-25,14.11,14.24,14.11,14.24,22260
2020-11-26,14.16,14.33,14.16,14.24,27420
2020-11-27,14.24,14.33,14.2,14.24,19180
2020-11-30,14.47,14.47,14.24,14.38,19940
2020-12-01,14.38,14.38,14.16,14.24,18160
2020-12-02,14.24,14.38,14.2,14.38,111710
2020-12-03,14.42,14.51,14.42,14.51,50950
2020-12-04,14.42,14.51,14.38,14.51,29740
2020-12-07,14.16,14.51,14.16,14.33,16410
2020-12-08,14.29,14.33,14.11,14.16,42750
2020-12-09,14.24,14.33,14.16,14.16,68210
2020-12-10,14.16,14.6,14.16,14.42,99230
2020-12-11,14.33,14.51,14.33,14.47,42210
2020-12-14,14.42,14.56,14.24,14.51,138800
2020-12-15,14.51,15.36,14.51,15.14,176570
2020-12-16,15.14,15.4,14.74,15.0,60850
2020-12-17,14.69,15.05,14.56,14.78,61920
2020-12-18,14.78,14.96,14.6,14.96,80670
2020-12-21,14.96,15.05,14.69,14.91,95180
2020-12-22,15.05,15.05,14.69,14.78,70310
2020-12-23,14.78,15.49,14.69,15.14,142830
2020-12-24,15.14,15.4,14.78,15.31,85530
2020-12-25,15.18,15.49,15.14,15.31,151470
