time,open,high,low,close,volume
2020-01-06,6.25,6.25,6.22,6.22,41370
2020-01-07,6.25,6.48,6.25,6.34,142850
2020-01-08,6.31,6.31,6.18,6.25,132960
2020-01-09,6.34,6.34,6.18,6.19,52090
2020-01-10,6.22,6.22,6.02,6.11,132630
2020-01-13,6.11,6.22,6.02,6.02,21370
2020-01-14,6.02,6.11,5.99,6.09,65200
2020-01-15,6.08,6.08,6.0,6.02,29410
2020-01-16,6.03,6.08,6.02,6.02,38890
2020-01-17,6.05,6.19,6.05,6.16,15870
2020-01-20,6.16,6.24,6.11,6.24,60040
2020-01-21,6.19,6.24,6.11,6.14,53180
2020-01-22,6.14,6.19,6.14,6.18,38580
2020-01-30,6.16,6.25,6.15,6.15,78360
2020-01-31,6.19,6.19,5.96,5.96,118100
2020-02-03,5.93,5.93,5.67,5.87,137260
2020-02-04,6.05,6.05,5.82,5.84,59990
2020-02-05,6.11,6.11,5.89,6.0,48160
2020-02-06,6.0,6.14,5.96,6.12,51020
2020-02-07,6.09,6.14,6.08,6.11,27700
2020-02-10,6.11,6.14,6.02,6.05,32910
2020-02-11,6.05,6.16,6.05,6.15,24080
2020-02-12,6.15,6.44,6.15,6.43,150580
2020-02-13,6.46,6.57,6.4,6.43,211570
2020-02-14,6.43,6.46,6.34,6.46,30310
2020-02-17,6.4,6.51,6.31,6.31,93630
2020-02-18,6.31,6.41,6.3,6.3,252820
2020-02-19,6.3,6.4,6.28,6.31,49360
2020-02-20,6.37,6.4,6.28,6.28,111520
2020-02-21,6.3,6.34,6.15,6.22,149140
2020-02-24,6.22,6.22,5.93,5.96,96330
2020-02-25,5.96,6.11,5.93,6.11,56530
2020-02-26,6.06,6.22,5.99,6.08,48520
2020-02-27,6.11,6.25,6.09,6.11,222080
2020-02-28,6.21,6.21,5.82,6.06,35870
2020-03-02,6.09,6.11,6.02,6.09,63180
2020-03-03,6.08,6.15,6.06,6.09,76000
2020-03-04,6.11,6.15,6.08,6.11,72130
2020-03-05,6.12,6.16,6.09,6.09,302090
2020-03-06,6.08,6.19,6.08,6.18,40870
2020-03-09,5.96,6.05,5.79,5.79,202890
2020-03-10,5.79,6.08,5.79,5.99,88340
2020-03-11,5.99,5.99,5.82,5.92,57160
2020-03-12,5.82,5.87,5.57,5.6,163490
2020-03-13,5.29,5.55,5.23,5.38,266530
2020-03-16,5.38,5.67,5.38,5.52,48320
2020-03-17,5.52,5.67,5.45,5.61,71370
2020-03-18,5.7,5.73,5.54,5.63,38190
2020-03-19,5.54,5.61,5.52,5.57,32840
2020-03-20,5.52,5.58,5.5,5.5,42020
2020-03-23,5.51,5.51,5.23,5.29,78480
2020-03-24,5.29,5.41,5.23,5.34,48610
2020-03-25,5.38,5.47,5.38,5.39,62740
2020-03-26,5.39,5.41,5.31,5.31,72950
2020-03-27,5.41,5.44,5.26,5.31,47150
