time,open,high,low,close,volume
2020-01-02,4.1,4.1,4.1,4.1,0
2020-01-03,4.1,4.1,4.1,4.1,0
2020-01-06,4.1,4.1,4.1,4.1,0
2020-01-07,4.1,4.1,4.1,4.1,0
2020-01-08,4.1,4.1,4.1,4.1,0
2020-01-09,4.1,4.1,4.1,4.1,0
2020-01-10,4.1,4.1,4.1,4.1,0
2020-01-13,4.1,4.1,4.1,4.1,0
2020-01-14,3.7,3.7,3.7,3.7,500
2020-01-15,3.7,3.7,3.7,3.7,0
2020-01-16,3.7,3.7,3.7,3.7,0
2020-01-17,3.7,3.7,3.7,3.7,0
2020-01-20,3.4,3.4,3.4,3.4,500
2020-01-21,3.4,3.4,3.4,3.4,0
2020-01-22,3.4,3.4,3.4,3.4,0
2020-01-30,3.4,3.4,3.4,3.4,0
2020-01-31,3.4,3.4,3.4,3.4,0
2020-02-03,3.4,3.4,3.4,3.4,0
2020-02-04,3.4,3.4,3.4,3.4,0
2020-02-05,3.4,3.4,3.4,3.4,0
2020-02-06,3.4,3.4,3.4,3.4,0
2020-02-07,3.4,3.4,3.4,3.4,0
2020-02-10,3.4,3.4,3.4,3.4,0
2020-02-11,3.4,3.4,3.4,3.4,0
2020-02-12,3.4,3.4,3.4,3.4,0
2020-02-13,3.4,3.4,3.4,3.4,1000
2020-02-14,3.4,3.4,3.4,3.4,0
2020-02-17,3.4,3.4,3.4,3.4,0
2020-02-18,3.4,3.4,3.4,3.4,0
2020-02-19,3.4,3.4,3.4,3.4,0
2020-02-20,3.4,3.4,3.4,3.4,0
2020-02-21,3.4,3.4,3.4,3.4,0
2020-02-24,3.4,3.4,3.4,3.4,0
2020-02-25,3.4,3.4,3.4,3.4,0
2020-02-26,3.4,3.4,3.4,3.4,0
2020-02-27,3.4,3.4,3.4,3.4,0
2020-02-28,3.4,3.4,3.4,3.4,0
2020-03-02,3.4,3.4,3.4,3.4,0
2020-03-03,3.4,3.4,3.4,3.4,0
2020-03-04,3.4,3.4,3.4,3.4,0
2020-03-05,3.4,3.4,3.4,3.4,0
2020-03-06,3.4,3.4,3.4,3.4,0
2020-03-09,3.4,3.4,3.4,3.4,0
