time,open,high,low,close,volume
2020-01-06,20.3,20.3,20.3,20.3,200
2020-01-07,20.3,20.3,20.3,20.3,0
2020-01-08,20.3,20.3,20.3,20.3,0
2020-01-09,19.35,19.35,19.35,19.35,200
2020-01-10,19.35,19.35,19.35,19.35,0
2020-01-13,19.35,19.35,19.35,19.35,0
2020-01-14,19.35,19.35,19.35,19.35,0
2020-01-15,19.35,19.35,19.35,19.35,0
2020-01-16,19.35,19.35,19.35,19.35,308
2020-01-17,19.35,19.35,19.35,19.35,0
2020-01-20,20.64,20.64,20.64,20.64,100
2020-01-21,21.32,21.32,21.32,21.32,200
2020-01-22,21.25,21.25,21.25,21.25,200
2020-01-30,21.32,21.32,21.32,21.32,200
2020-01-31,21.25,21.25,21.25,21.25,100
2020-02-03,21.25,21.25,21.25,21.25,0
2020-02-04,21.25,21.25,21.25,21.25,8
2020-02-05,21.25,21.25,21.25,21.25,0
2020-02-06,21.25,21.25,21.25,21.25,0
2020-02-07,20.37,20.37,20.37,20.37,100
2020-02-10,20.37,20.37,20.37,20.37,0
2020-02-11,20.37,20.37,20.37,20.37,0
2020-02-12,20.37,20.37,20.37,20.37,0
2020-02-13,20.37,20.37,20.37,20.37,0
2020-02-14,20.37,20.37,20.37,20.37,0
2020-02-17,20.37,20.37,20.37,20.37,0
2020-02-18,20.37,20.37,20.37,20.37,8
2020-02-19,18.74,21.32,18.74,21.32,327
2020-02-20,21.32,21.32,21.32,21.32,0
2020-02-21,21.32,21.32,21.32,21.32,0
2020-02-24,19.42,19.42,19.42,19.42,120
2020-02-25,20.98,20.98,20.98,20.98,100
2020-02-26,21.73,21.73,21.73,21.73,200
2020-02-27,21.73,21.73,21.73,21.73,0
2020-02-28,19.69,23.76,19.69,23.76,1400
2020-03-02,23.76,23.76,23.76,23.76,0
2020-03-03,23.76,23.76,23.76,23.76,0
2020-03-04,23.76,23.76,23.76,23.76,0
2020-03-05,23.76,23.76,23.76,23.76,0
2020-03-06,23.76,23.76,23.76,23.76,0
2020-03-09,23.76,23.76,23.76,23.76,0
2020-03-10,23.76,23.76,23.76,23.76,0
2020-03-11,23.76,23.76,23.76,23.76,0
2020-03-12,23.76,23.76,23.76,23.76,0
2020-03-13,23.76,23.76,23.76,23.76,0
2020-03-16,23.76,23.76,23.76,23.76,0
2020-03-17,21.39,23.22,21.39,23.22,300
2020-03-18,20.91,22.95,20.91,22.95,300
2020-03-19,20.84,20.84,20.84,20.84,100
2020-03-20,19.15,21.66,19.15,21.66,1615
2020-03-23,21.05,21.05,19.62,19.62,500
2020-03-24,19.69,21.05,19.69,21.05,310
2020-03-25,19.62,19.62,19.15,19.15,3010
2020-03-26,19.01,19.01,19.01,19.01,100
2020-03-27,19.01,19.01,19.01,19.01,0
2020-03-30,20.91,20.91,20.91,20.91,200
2020-03-31,21.93,21.93,21.93,21.93,310
2020-04-01,21.93,21.93,21.93,21.93,0
2020-04-03,21.93,21.93,21.93,21.93,0
2020-04-06,21.93,21.93,21.93,21.93,0
2020-04-07,21.93,21.93,21.93,21.93,0
2020-04-08,21.93,21.93,21.93,21.93,0
2020-04-09,19.83,21.05,19.83,21.05,3020
2020-04-10,21.05,21.05,21.05,21.05,0
2020-04-13,21.05,21.05,21.05,21.05,0
