time,open,high,low,close,volume
2020-01-06,37.13,37.2,36.5,36.85,28890
2020-01-07,36.99,36.99,35.73,36.08,77310
2020-01-08,35.8,36.01,35.24,35.31,104260
2020-01-09,35.73,36.22,35.17,35.17,70230
2020-01-10,35.1,35.17,33.45,34.71,285310
2020-01-13,34.71,35.59,34.71,34.82,61630
2020-01-14,34.61,35.38,34.61,34.75,69340
2020-01-15,34.68,34.96,34.54,34.64,58970
2020-01-16,34.64,34.89,34.12,34.54,45110
2020-01-17,34.26,36.92,34.26,36.92,251890
2020-01-20,37.13,38.88,37.13,37.48,108300
2020-01-21,37.48,37.83,36.64,37.13,123630
2020-01-22,36.43,38.67,36.43,37.41,147520
2020-01-30,36.99,38.32,36.99,37.06,130320
2020-01-31,37.13,39.65,37.13,39.02,299400
2020-02-03,39.16,39.16,36.43,36.57,304180
2020-02-04,36.57,37.34,35.03,35.1,254790
2020-02-05,35.38,36.43,35.38,35.45,148880
2020-02-06,36.43,37.41,35.45,37.2,170980
2020-02-07,37.41,39.79,37.2,39.79,272130
2020-02-10,41.05,42.52,39.93,42.52,256350
2020-02-11,43.43,45.46,43.43,44.13,454660
2020-02-12,43.78,46.72,43.22,45.53,437870
2020-02-13,45.32,46.23,44.76,45.04,125260
2020-02-14,44.27,46.02,43.92,44.97,172420
2020-02-17,44.97,47.64,44.34,47.64,250230
2020-02-18,50.3,50.72,48.34,49.04,333580
2020-02-19,48.69,49.88,48.34,49.04,133290
2020-02-20,48.34,49.67,47.14,47.36,225110
2020-02-21,46.94,48.41,46.3,46.86,161430
2020-02-24,45.53,45.6,43.64,43.64,264160
2020-02-25,40.98,44.83,40.98,44.69,238120
2020-02-26,43.43,44.69,43.08,43.78,79240
2020-02-27,43.5,45.53,43.5,45.46,147910
2020-02-28,44.06,45.04,43.43,43.64,129600
2020-03-02,43.64,45.53,43.43,44.83,166400
2020-03-03,45.88,47.92,45.6,47.92,238760
2020-03-04,49.04,50.79,47.99,47.99,291500
2020-03-05,48.69,48.97,46.94,47.08,194510
2020-03-06,46.58,49.67,46.02,49.04,303280
2020-03-09,45.6,47.56,45.6,45.6,223240
2020-03-10,43.78,46.23,43.29,45.53,195980
2020-03-11,45.53,46.23,42.38,42.38,430810
2020-03-12,39.93,44.06,39.44,39.44,403670
2020-03-13,36.78,39.23,36.71,38.32,263780
2020-03-16,36.78,38.46,36.08,36.15,140480
2020-03-17,34.33,38.32,34.33,38.32,183630
2020-03-18,38.32,39.44,38.32,38.6,153030
2020-03-19,37.13,37.83,36.43,37.13,118400
2020-03-20,37.48,37.97,36.78,37.69,208660
2020-03-23,36.64,36.64,35.1,35.1,200910
2020-03-24,35.1,36.43,35.03,35.94,114070
2020-03-25,37.13,38.11,36.99,37.13,152310
2020-03-26,36.78,37.13,35.73,36.29,95830
2020-03-27,37.69,37.69,35.59,35.8,63030
2020-03-30,33.98,34.75,33.31,33.84,165000
2020-03-31,33.7,35.03,31.49,31.49,280350
2020-04-01,31.52,32.22,30.82,31.59,217950
2020-04-03,32.15,33.8,32.15,33.8,128520
2020-04-06,35.73,36.15,35.73,36.15,84890
