time,open,high,low,close,volume
2020-01-06,13.66,13.78,13.07,13.22,182260
2020-01-07,13.19,13.22,12.86,12.89,106950
2020-01-08,13.13,13.43,12.36,13.37,156300
2020-01-09,13.52,13.55,13.01,13.43,156550
2020-01-10,13.52,13.6,12.98,13.6,173070
2020-01-13,13.66,13.66,13.31,13.64,150920
2020-01-14,13.75,13.75,13.37,13.75,127770
2020-01-15,13.78,13.78,13.37,13.55,150180
2020-01-16,13.37,13.6,13.37,13.58,158810
2020-01-17,13.78,13.78,13.43,13.52,135820
2020-01-20,13.4,13.66,13.4,13.6,154800
2020-01-21,13.66,13.66,13.4,13.55,137390
2020-01-22,13.37,13.78,13.37,13.78,185540
2020-01-30,13.66,13.9,13.49,13.58,157890
2020-01-31,13.19,13.58,13.16,13.52,140210
2020-02-03,13.52,13.72,12.86,13.72,154810
2020-02-04,13.84,13.84,12.95,13.43,150460
2020-02-05,13.6,13.96,13.04,13.96,151280
2020-02-06,14.08,14.14,13.01,13.99,91480
2020-02-07,13.99,13.99,13.07,13.34,137830
2020-02-10,13.6,13.6,12.77,13.55,148240
2020-02-11,13.34,13.37,13.1,13.25,142150
2020-02-12,12.86,13.25,12.86,13.19,164420
2020-02-13,13.19,13.66,12.83,13.66,155220
2020-02-14,13.49,13.55,13.19,13.19,228500
2020-02-17,13.55,13.55,12.27,12.98,172440
2020-02-18,12.83,13.49,12.77,13.49,182200
2020-02-19,13.25,13.84,13.13,13.84,164240
2020-02-20,13.43,13.49,13.13,13.37,131600
2020-02-21,13.07,13.49,13.07,13.49,153270
2020-02-24,13.37,13.37,12.83,13.07,146980
2020-02-25,13.07,13.43,12.77,13.43,157680
2020-02-26,13.01,13.49,13.01,13.43,148030
2020-02-27,13.19,13.55,13.1,13.43,152850
2020-02-28,13.37,13.49,13.07,13.49,143090
2020-03-02,13.13,13.49,13.1,13.49,156220
2020-03-03,13.43,13.49,13.07,13.43,153730
2020-03-04,13.07,13.46,13.07,13.46,146100
2020-03-05,13.19,13.49,13.1,13.1,145950
2020-03-06,13.01,13.01,12.74,12.95,166460
2020-03-09,13.07,13.49,12.15,13.49,126490
2020-03-10,13.25,13.28,13.07,13.25,149770
2020-03-11,12.98,13.25,12.92,13.25,147450
2020-03-12,12.95,13.1,12.89,12.92,129200
2020-03-13,12.77,12.77,12.18,12.33,139710
2020-03-16,12.0,12.6,11.88,12.6,150060
2020-03-17,12.24,12.77,12.18,12.77,157090
2020-03-18,12.71,12.83,12.66,12.83,144010
2020-03-19,12.83,13.13,12.54,13.01,144250
2020-03-20,12.83,13.19,12.74,13.19,144680
2020-03-23,12.95,13.31,12.92,13.19,142220
2020-03-24,12.83,13.28,12.83,13.28,154830
2020-03-25,13.31,13.4,12.83,13.4,143620
2020-03-26,13.31,13.55,12.95,13.4,148590
2020-03-27,13.13,13.4,13.07,13.07,143720
2020-03-30,13.07,13.07,12.77,12.98,146370
2020-03-31,13.19,13.22,12.68,12.98,148940
2020-04-01,13.25,13.31,12.74,13.07,134950
2020-04-03,12.89,13.13,12.83,13.07,151000
2020-04-06,13.01,13.37,12.77,13.25,141460
2020-04-07,13.07,13.31,12.95,13.31,151330
2020-04-08,13.49,13.52,12.86,13.07,141270
2020-04-09,12.95,13.19,12.77,13.1,145610
2020-04-10,13.01,13.37,12.86,13.37,155650
2020-04-13,12.66,13.6,12.48,13.37,142960
2020-04-14,13.01,13.49,12.45,13.49,136360
2020-04-15,13.07,13.6,12.86,12.92,151470
2020-04-16,12.95,13.19,12.68,13.07,158230
2020-04-17,12.83,12.95,12.74,12.89,129360
2020-04-20,12.89,12.89,12.48,12.71,153460
2020-04-21,12.92,13.43,11.88,13.43,147090
2020-04-22,13.19,13.52,12.68,13.43,146070
2020-04-23,13.49,13.49,12.66,13.37,179170
2020-04-24,13.31,13.49,12.45,13.49,138120
2020-04-27,13.01,13.43,13.01,13.19,155530
2020-04-28,13.25,13.28,12.95,13.16,146030
2020-04-29,13.16,13.31,12.24,13.31,143120
2020-05-04,13.31,13.55,12.39,13.55,150760
