time,open,high,low,close,volume
2020-01-06,14.03,14.36,13.97,14.13,3173480
2020-01-07,14.3,14.46,14.2,14.36,4163600
2020-01-08,14.26,14.66,14.1,14.33,9864300
2020-01-09,14.46,14.96,14.46,14.86,8592300
2020-01-10,14.89,15.89,14.89,15.59,14701830
2020-01-13,15.42,15.89,15.36,15.36,5317470
2020-01-14,15.39,15.75,15.36,15.56,7040780
2020-01-15,15.56,15.69,15.39,15.62,4364850
2020-01-16,15.69,16.52,15.65,16.48,8002680
2020-01-17,16.68,16.81,16.28,16.52,6412750
2020-01-20,16.48,16.75,16.38,16.61,4737420
2020-01-21,16.68,17.08,16.61,16.75,6063350
2020-01-22,16.75,17.04,16.58,16.94,4747210
2020-01-30,16.52,16.78,15.89,16.12,11319200
2020-01-31,16.28,16.71,16.15,16.15,11815850
2020-02-03,15.56,16.68,15.39,16.65,13869450
2020-02-04,16.81,17.81,16.78,17.81,14852770
2020-02-05,18.14,18.4,17.57,17.57,11732260
2020-02-06,17.67,18.6,17.44,18.37,10566600
2020-02-07,18.2,18.3,17.64,17.81,8960350
2020-02-10,17.38,18.07,17.34,17.61,6287560
2020-02-11,17.81,18.37,17.77,18.37,6762320
2020-02-12,18.83,18.83,18.0,18.0,10390830
2020-02-13,18.1,18.27,17.54,18.04,9485770
2020-02-14,18.1,18.1,17.67,17.74,6108570
2020-02-17,17.81,17.9,17.48,17.57,5818090
2020-02-18,17.67,18.04,17.61,17.67,7231540
2020-02-19,17.74,18.0,17.74,17.87,5895360
2020-02-20,18.1,18.34,17.64,17.81,9011120
2020-02-21,17.74,17.81,16.98,17.11,12049570
2020-02-24,16.61,16.81,16.12,16.15,12317180
2020-02-25,16.15,17.28,16.12,17.28,9764100
2020-02-26,16.91,17.34,16.81,17.08,6229210
2020-02-27,17.04,17.34,16.94,17.34,5524580
2020-02-28,16.88,17.24,16.55,17.04,7892390
2020-03-02,17.18,17.24,16.81,16.88,4873970
2020-03-03,17.34,17.84,17.18,17.51,9514110
2020-03-04,17.41,17.51,17.21,17.51,4587660
2020-03-05,17.74,17.77,17.31,17.31,5997630
2020-03-06,17.08,17.24,16.85,17.08,5353340
2020-03-09,15.95,16.35,15.89,15.89,10773760
2020-03-10,15.89,16.58,15.32,16.22,11071330
2020-03-11,16.42,16.55,15.12,15.36,8522410
2020-03-12,14.56,14.83,14.3,14.43,11314020
2020-03-13,13.57,14.83,13.44,14.53,10540670
2020-03-16,14.53,14.6,13.57,13.57,7506240
2020-03-17,13.24,14.03,12.84,13.9,7946050
2020-03-18,14.1,14.26,13.87,13.87,6424470
2020-03-19,13.57,13.64,13.14,13.3,4724410
2020-03-20,13.5,13.57,13.01,13.11,6426820
2020-03-23,12.44,12.58,12.21,12.21,6448830
2020-03-24,12.21,12.38,11.68,12.11,6361270
2020-03-25,12.58,12.94,12.44,12.94,7041040
2020-03-26,12.61,12.97,12.44,12.44,5121770
2020-03-27,12.58,12.64,12.38,12.58,6261510
2020-03-30,11.82,11.91,11.72,11.72,7331160
2020-03-31,11.91,12.24,10.99,11.38,6102570
2020-04-01,11.25,12.15,11.25,12.11,5514550
2020-04-03,12.31,12.58,12.24,12.44,4625590
2020-04-06,12.78,13.3,12.58,13.3,10557010
2020-04-07,13.37,13.4,12.97,13.14,7256090
2020-04-08,12.78,13.24,12.64,13.04,4637260
2020-04-09,13.24,13.47,13.11,13.11,7265280
2020-04-10,13.11,13.3,12.78,12.87,5700980
2020-04-13,12.84,13.24,12.74,12.97,4183300
2020-04-14,12.94,13.07,12.44,12.71,7389910
2020-04-15,12.71,13.2,12.71,13.14,6758040
2020-04-16,12.97,13.17,12.84,13.11,3710320
2020-04-17,13.57,13.57,13.24,13.3,8578720
2020-04-20,13.44,13.54,13.14,13.14,6291720
2020-04-21,13.01,13.07,12.41,12.44,9299890
2020-04-22,12.18,13.04,12.18,12.74,6363800
2020-04-23,12.91,13.04,12.71,12.71,2950110
2020-04-24,12.71,12.78,12.58,12.71,2871100
2020-04-27,12.84,12.84,12.48,12.48,4305890
2020-04-28,12.48,12.78,12.38,12.61,3942840
2020-04-29,12.78,13.24,12.64,13.24,9337270
2020-05-04,13.07,13.54,12.94,13.27,7526760
