time,open,high,low,close,volume
2020-01-06,18.43,18.59,17.77,18.35,355170
2020-01-07,18.18,18.18,17.53,17.69,353620
2020-01-08,17.61,17.86,17.04,17.86,389040
2020-01-09,17.61,17.69,16.96,17.69,308350
2020-01-10,17.53,17.53,17.12,17.37,310490
2020-01-13,17.2,17.86,17.12,17.61,457870
2020-01-14,17.45,17.53,17.04,17.45,316060
2020-01-15,17.37,17.45,16.88,17.45,385490
2020-01-16,17.29,17.33,16.96,17.29,410700
2020-01-17,17.2,17.37,16.88,17.24,303570
2020-01-20,17.04,17.86,16.8,17.86,368980
2020-01-21,17.69,17.9,17.29,17.86,319720
2020-01-22,17.69,18.67,17.45,18.67,325270
2020-01-30,18.51,18.67,18.26,18.43,331440
2020-01-31,18.26,18.43,17.69,17.69,381800
2020-02-03,17.45,17.45,16.88,17.12,328380
2020-02-04,16.06,17.77,16.06,17.12,14620
2020-02-05,16.35,17.08,15.94,15.94,90400
2020-02-06,15.94,16.96,14.84,16.96,100340
2020-02-07,16.88,17.53,16.47,17.29,55640
2020-02-10,16.63,18.1,16.39,18.1,259400
2020-02-11,17.61,17.94,17.04,17.94,112570
2020-02-12,17.69,17.86,17.45,17.86,204080
2020-02-13,17.94,18.02,17.69,18.02,143370
2020-02-14,18.02,18.18,17.69,18.18,277010
2020-02-17,18.18,18.35,17.45,18.22,75150
2020-02-18,17.65,18.75,17.65,18.47,109240
2020-02-19,18.51,18.51,17.94,17.94,52150
2020-02-20,17.94,18.26,17.86,18.1,68210
2020-02-21,18.1,18.35,17.77,18.35,75930
2020-02-24,18.67,18.67,17.53,18.1,48260
2020-02-25,18.1,18.1,17.9,18.1,91800
2020-02-26,18.18,18.26,18.02,18.02,40700
2020-02-27,17.94,18.02,17.94,18.02,178120
2020-02-28,17.53,18.02,17.53,17.94,113280
2020-03-02,17.9,17.98,17.9,17.94,112880
2020-03-03,17.2,17.9,16.88,17.86,122320
2020-03-04,17.86,17.94,17.82,17.86,155550
2020-03-05,17.86,17.86,17.82,17.86,110520
2020-03-06,17.77,17.94,17.69,17.94,133570
2020-03-09,17.77,17.9,16.96,17.9,112080
2020-03-10,17.9,17.94,17.86,17.9,106150
2020-03-11,17.9,17.9,17.77,17.82,114150
2020-03-12,17.77,17.77,17.04,17.53,218400
2020-03-13,16.47,17.12,16.31,17.12,37640
2020-03-16,17.37,17.86,16.39,17.73,483680
2020-03-17,16.59,17.77,16.59,17.77,282830
2020-03-18,16.72,17.77,16.72,17.77,27130
2020-03-19,17.69,17.69,17.12,17.69,129310
2020-03-20,17.53,17.69,16.72,17.69,148030
2020-03-23,17.69,17.86,16.47,17.53,133310
2020-03-24,16.43,17.53,16.43,17.37,12130
2020-03-25,17.37,17.94,17.12,17.73,32480
2020-03-26,17.37,17.73,17.37,17.53,24440
2020-03-27,17.2,17.49,16.31,17.49,16370
2020-03-30,17.45,17.49,16.39,17.12,19660
2020-03-31,17.37,17.37,16.14,17.29,12740
2020-04-01,17.12,17.53,16.1,17.49,53470
2020-04-03,17.37,17.41,16.27,17.37,26060
2020-04-06,17.2,17.37,16.18,17.37,729110
2020-04-07,17.08,17.29,16.8,17.2,1004990
2020-04-08,17.2,17.2,16.02,16.02,214760
2020-04-09,16.02,16.39,15.08,16.23,28750
2020-04-10,16.14,16.14,15.49,15.66,62180
2020-04-13,15.57,16.63,14.68,15.74,22220
2020-04-14,15.25,15.66,14.92,15.57,52980
2020-04-15,15.49,15.82,15.45,15.57,47450
2020-04-16,15.57,16.47,15.41,16.06,45210
2020-04-17,15.9,16.06,15.9,15.9,553730
2020-04-20,15.9,16.14,15.49,15.9,100690
2020-04-21,15.9,16.06,15.57,15.82,841820
2020-04-22,15.82,15.82,15.49,15.74,24820
2020-04-23,15.74,15.94,15.49,15.74,27490
2020-04-24,15.74,15.82,15.57,15.74,91910
2020-04-27,15.57,15.74,15.17,15.49,58640
2020-04-28,15.49,15.61,15.41,15.49,11500
2020-04-29,15.49,15.49,15.21,15.49,63940
2020-05-04,15.41,15.61,14.6,15.49,33350
2020-05-05,15.49,15.61,15.41,15.49,521260
2020-05-06,15.66,16.55,15.66,16.06,753550
2020-05-07,16.06,17.16,16.02,16.1,588410
2020-05-08,16.14,16.72,16.06,16.14,209320
2020-05-11,15.66,16.06,15.41,15.49,412560
2020-05-12,15.49,16.55,15.49,16.55,926280
2020-05-13,16.31,17.04,16.18,16.31,633450
2020-05-14,16.06,16.06,15.74,15.86,567940
2020-05-15,15.86,15.98,15.49,15.9,942140
2020-05-18,15.74,15.86,15.49,15.49,937090
2020-05-19,15.74,15.82,15.37,15.49,590530
2020-05-20,15.49,15.49,15.33,15.49,511990
2020-05-21,15.41,15.49,15.29,15.41,589720
2020-05-22,15.29,16.14,15.0,15.49,1922650
2020-05-25,15.74,15.82,15.41,15.45,411060
2020-05-26,15.41,15.49,15.33,15.37,847650
2020-05-27,15.45,15.74,15.25,15.53,1008230
2020-05-28,15.49,15.53,15.25,15.41,344770
2020-05-29,15.41,15.45,15.08,15.33,394500
2020-06-01,15.29,15.41,15.08,15.33,1864500
2020-06-02,15.9,15.9,15.49,15.49,1406540
2020-06-03,15.49,15.98,15.49,15.82,1655810
2020-06-04,15.82,15.98,15.74,15.82,1025910
2020-06-05,15.82,15.86,15.57,15.66,749920
2020-06-08,15.66,15.86,15.66,15.66,1625000
2020-06-09,15.74,16.72,15.66,16.27,1791800
2020-06-10,16.23,16.27,15.98,16.18,1117090
2020-06-11,16.14,16.47,15.49,15.49,1670770
2020-06-12,15.17,15.37,14.92,15.33,935530
2020-06-15,15.33,15.53,14.76,14.76,1040650
2020-06-16,15.0,15.25,14.92,15.25,807650
2020-06-17,15.25,15.61,15.12,15.41,822740
2020-06-18,15.5,15.58,15.24,15.5,433290
2020-06-19,15.32,15.5,14.98,15.06,734040
2020-06-22,15.02,15.41,14.98,15.02,308190
2020-06-23,15.15,15.24,14.67,14.8,531830
2020-06-24,14.71,15.02,14.32,14.37,868470
2020-06-25,14.02,14.28,13.58,13.93,513310
2020-06-26,14.15,14.37,13.32,13.5,718390
2020-06-29,13.1,13.15,12.58,12.58,649360
2020-06-30,12.58,13.02,12.06,12.62,711410
2020-07-01,12.36,13.32,12.36,13.19,1349470
2020-07-02,13.15,13.36,12.71,12.71,299450
2020-07-03,12.71,12.97,12.67,12.8,159940
2020-07-06,13.02,13.02,12.62,12.8,396710
2020-07-07,12.8,12.93,12.45,12.71,442740
2020-07-08,12.71,12.71,12.49,12.71,150250
2020-07-09,12.58,13.15,12.58,13.02,796430
2020-07-10,12.97,13.02,12.76,12.97,340820
2020-07-13,13.02,13.06,12.8,12.93,249260
2020-07-14,12.8,12.93,12.58,12.76,559800
2020-07-15,12.89,12.89,12.58,12.8,678100
