time,open,high,low,close,volume
2020-01-06,18.92,19.64,18.92,19.16,376550
2020-01-07,19.16,19.3,19.06,19.21,72216
2020-01-08,19.02,19.26,18.68,19.02,217703
2020-01-09,19.16,19.16,18.83,19.06,134065
2020-01-10,19.16,20.02,19.06,19.44,247367
2020-01-13,19.64,20.45,19.21,19.44,224006
2020-01-14,19.54,21.07,19.35,20.97,557623
2020-01-15,20.92,21.35,20.49,20.97,234063
2020-01-16,21.02,21.88,20.88,21.21,285577
2020-01-17,21.02,21.83,21.02,21.68,334146
2020-01-20,21.68,22.64,21.54,22.54,333783
2020-01-21,22.54,24.02,22.54,23.45,697771
2020-01-22,23.5,26.12,23.07,23.69,336423
2020-01-30,23.83,25.69,21.45,22.4,505430
2020-01-31,21.92,22.88,20.21,20.83,617229
2020-02-03,20.49,20.73,18.83,20.07,608742
2020-02-04,20.07,20.97,19.78,20.92,491446
2020-02-05,20.97,21.68,20.68,21.02,382910
2020-02-06,20.97,21.88,20.54,21.64,565024
2020-02-07,21.59,22.83,21.59,22.35,333490
2020-02-10,22.21,22.5,21.45,21.59,355073
2020-02-11,21.73,22.59,21.64,22.45,463990
2020-02-12,22.26,23.26,22.26,22.73,314895
2020-02-13,22.73,22.83,22.07,22.21,419349
2020-02-14,22.35,22.69,21.59,21.73,377468
2020-02-17,21.73,22.26,21.73,22.02,325628
2020-02-18,22.02,22.26,21.73,22.02,322641
2020-02-19,22.02,23.07,21.97,22.97,613805
2020-02-20,22.97,23.59,22.97,23.4,607443
2020-02-21,23.5,23.59,22.64,22.73,380087
2020-02-24,22.4,22.4,21.11,21.4,761280
2020-02-25,20.49,21.88,20.02,21.64,453228
2020-02-26,21.3,22.21,21.3,21.68,282659
2020-02-27,21.45,22.35,21.3,22.16,357183
2020-02-28,21.78,22.11,21.35,21.35,661130
2020-03-02,21.35,21.68,20.97,21.5,329187
2020-03-03,21.21,21.92,21.21,21.4,252579
2020-03-04,21.4,21.59,21.16,21.45,261024
2020-03-05,21.64,21.97,21.45,21.68,438718
2020-03-06,21.83,21.83,21.35,21.45,162391
2020-03-09,20.78,20.97,18.25,18.25,988682
2020-03-10,18.11,19.83,18.11,19.54,777452
2020-03-11,19.64,20.02,18.11,18.92,402722
2020-03-12,18.92,18.92,16.2,16.2,1125201
