time,open,high,low,close,volume
2020-01-06,3.6,3.66,3.58,3.58,11220
2020-01-07,3.75,3.75,3.58,3.58,37850
2020-01-08,3.41,3.64,3.41,3.57,14260
2020-01-09,3.6,3.6,3.55,3.6,10500
2020-01-10,3.52,3.6,3.46,3.6,15490
2020-01-13,3.53,3.65,3.48,3.65,25490
2020-01-14,3.65,3.65,3.54,3.64,5160
2020-01-15,3.6,3.62,3.54,3.62,5070
2020-01-16,3.56,3.62,3.53,3.62,10930
2020-01-17,3.64,3.64,3.51,3.55,21700
2020-01-20,3.6,3.6,3.55,3.6,3960
2020-01-21,3.6,3.6,3.6,3.6,13300
2020-01-22,3.55,3.7,3.55,3.7,53530
2020-01-30,3.6,3.63,3.6,3.6,10060
2020-01-31,3.5,3.7,3.5,3.7,120040
2020-02-03,3.5,3.58,3.45,3.58,112910
2020-02-04,3.5,3.55,3.37,3.55,45670
2020-02-05,3.5,3.53,3.5,3.53,11070
2020-02-06,3.5,3.6,3.45,3.6,44540
2020-02-07,3.6,3.6,3.47,3.47,35820
2020-02-10,3.47,3.55,3.45,3.54,10260
2020-02-11,3.5,3.53,3.47,3.51,26600
2020-02-12,3.5,3.53,3.45,3.53,13340
2020-02-13,3.5,3.53,3.48,3.53,11510
2020-02-14,3.53,3.53,3.45,3.52,6490
2020-02-17,3.52,3.52,3.35,3.5,111570
2020-02-18,3.46,3.5,3.39,3.49,64560
2020-02-19,3.49,3.5,3.4,3.5,162820
2020-02-20,3.5,3.5,3.43,3.5,64870
2020-02-21,3.44,3.49,3.43,3.49,34200
2020-02-24,3.4,3.45,3.35,3.38,70080
2020-02-25,3.28,3.4,3.28,3.4,6010
2020-02-26,3.35,3.4,3.3,3.4,21990
2020-02-27,3.43,3.43,3.32,3.42,19660
2020-02-28,3.4,3.4,3.35,3.4,27990
2020-03-02,3.36,3.4,3.36,3.4,37260
2020-03-03,3.51,3.51,3.38,3.45,29320
2020-03-04,3.47,3.48,3.41,3.45,27630
2020-03-05,3.45,3.55,3.45,3.5,104920
2020-03-06,3.46,3.49,3.41,3.49,62600
2020-03-09,3.45,3.45,3.25,3.35,147880
2020-03-10,3.3,3.43,3.2,3.43,61490
2020-03-11,3.4,3.4,3.24,3.35,202240
2020-03-12,3.25,3.25,3.12,3.24,143060
2020-03-13,3.05,3.2,3.02,3.2,102010
2020-03-16,3.05,3.15,3.05,3.15,42130
2020-03-17,3.01,3.15,2.93,3.15,145800
2020-03-18,3.15,3.37,3.15,3.37,218480
2020-03-19,3.2,3.35,3.14,3.34,97660
2020-03-20,3.35,3.35,3.11,3.24,205160
2020-03-23,3.08,3.08,3.02,3.02,116890
2020-03-24,2.86,3.0,2.81,2.9,72070
2020-03-25,2.9,2.97,2.85,2.95,141660
2020-03-26,2.95,2.95,2.81,2.92,87010
2020-03-27,2.75,2.9,2.75,2.76,142480
2020-03-30,2.75,2.75,2.57,2.6,461400
2020-03-31,2.48,2.65,2.47,2.65,30370
2020-04-01,2.55,2.83,2.55,2.83,26770
2020-04-03,2.75,2.88,2.75,2.88,73880
2020-04-06,2.94,3.02,2.94,3.01,86030
2020-04-07,3.15,3.15,2.85,2.99,64160
2020-04-08,2.99,2.99,2.83,2.97,130180
