time,open,high,low,close,volume
2020-01-06,11.5,12.0,11.5,12.0,4632
2020-01-07,12.5,12.5,12.5,12.5,1300
2020-01-08,12.5,12.5,12.5,12.5,10
2020-01-09,12.0,12.4,12.0,12.4,6500
2020-01-10,12.0,12.0,12.0,12.0,8000
2020-01-13,12.0,12.0,12.0,12.0,0
2020-01-14,13.2,13.2,11.5,11.5,23100
2020-01-15,12.0,12.0,12.0,12.0,900
2020-01-16,12.0,12.0,12.0,12.0,10
2020-01-17,11.7,11.9,11.7,11.9,1300
2020-01-20,12.0,12.0,11.1,12.0,34800
2020-01-21,12.0,12.0,12.0,12.0,0
2020-01-22,12.0,12.0,12.0,12.0,8000
2020-01-30,12.0,12.0,12.0,12.0,91
2020-01-31,12.0,12.0,12.0,12.0,0
2020-02-03,11.1,11.1,11.0,11.0,3050
2020-02-04,11.9,11.9,11.9,11.9,181
2020-02-05,11.9,11.9,11.9,11.9,112
2020-02-06,11.5,11.9,11.5,11.9,800
2020-02-07,11.9,11.9,11.9,11.9,1900
2020-02-10,13.0,13.0,11.9,12.4,13050
2020-02-11,12.4,12.4,11.8,11.8,1142
2020-02-12,12.0,12.1,12.0,12.1,5400
2020-02-13,12.1,12.1,12.1,12.1,0
2020-02-14,12.1,12.1,11.9,11.9,3304
2020-02-17,12.3,12.3,12.3,12.3,510
2020-02-18,12.3,12.3,12.3,12.3,0
2020-02-19,12.1,12.1,11.7,11.7,1100
2020-02-20,11.7,11.7,11.7,11.7,0
2020-02-21,11.8,11.8,11.7,11.7,3000
2020-02-24,12.3,12.3,11.3,11.3,3400
2020-02-25,11.8,11.8,11.5,11.5,7600
2020-02-26,11.5,11.5,11.5,11.5,4000
2020-02-27,11.5,11.9,11.2,11.9,11400
2020-02-28,11.5,11.8,11.2,11.6,4385
2020-03-02,11.7,11.7,11.5,11.5,1200
2020-03-03,11.5,11.5,11.5,11.5,500
2020-03-04,11.0,11.4,11.0,11.4,1600
2020-03-05,11.5,11.5,11.5,11.5,100
2020-03-06,11.5,11.5,11.4,11.5,23110
2020-03-09,11.2,11.2,11.1,11.1,900
2020-03-10,11.1,11.5,11.1,11.5,200
2020-03-11,11.0,11.4,10.6,11.4,6287
2020-03-12,10.4,10.4,10.4,10.4,6950
2020-03-13,11.1,11.1,11.1,11.1,150
2020-03-16,10.8,11.1,10.6,10.6,600
2020-03-17,10.6,10.6,10.6,10.6,0
2020-03-18,9.7,10.6,9.6,10.2,4700
2020-03-19,10.4,10.4,9.3,9.5,25650
2020-03-20,10.4,10.4,10.4,10.4,100
2020-03-23,10.0,10.0,9.4,9.4,1400
2020-03-24,10.0,10.0,10.0,10.0,200
2020-03-25,9.1,10.0,9.1,9.2,8900
2020-03-26,9.2,9.2,9.0,9.2,3000
2020-03-27,9.0,9.2,9.0,9.2,3200
2020-03-30,9.2,9.2,9.2,9.2,0
2020-03-31,8.5,8.5,8.4,8.4,8300
2020-04-01,8.6,9.1,8.6,9.1,258
2020-04-03,9.1,9.1,8.8,9.0,1910
2020-04-06,9.8,9.8,9.8,9.8,100
2020-04-07,9.2,9.2,9.0,9.0,1400
2020-04-08,9.0,9.0,9.0,9.0,0
2020-04-09,8.2,8.2,8.2,8.2,2038
2020-04-10,8.2,8.2,8.2,8.2,1000
2020-04-13,9.0,9.0,8.8,8.8,200
2020-04-14,8.8,8.8,8.8,8.8,0
2020-04-15,8.7,8.9,8.3,8.3,1300
2020-04-16,8.8,8.8,8.8,8.8,500
2020-04-17,8.8,8.9,8.8,8.8,4800
2020-04-20,9.2,9.2,9.2,9.2,100
2020-04-21,9.2,9.2,8.3,8.3,9000
2020-04-22,8.3,8.3,8.3,8.3,0
2020-04-23,7.6,7.6,7.6,7.6,100
2020-04-24,7.9,8.3,7.9,8.3,6700
2020-04-27,9.1,9.1,9.1,9.1,14100
2020-04-28,10.0,10.0,10.0,10.0,18253
2020-04-29,10.0,11.0,10.0,11.0,7100
2020-05-04,10.0,11.0,10.0,10.5,5878
2020-05-05,9.5,9.5,9.5,9.5,2300
2020-05-06,8.6,9.1,8.6,9.0,9007
