time,open,high,low,close,volume
2020-01-06,7.26,7.26,7.26,7.26,0
2020-01-07,7.26,7.26,7.26,7.26,0
2020-01-08,7.26,7.26,7.26,7.26,0
2020-01-09,7.26,7.26,7.26,7.26,0
2020-01-10,7.26,7.26,7.26,7.26,0
2020-01-13,7.26,7.26,7.26,7.26,0
2020-01-14,7.26,7.26,7.26,7.26,0
2020-01-15,7.26,7.26,7.26,7.26,0
2020-01-16,7.26,7.26,7.26,7.26,0
2020-01-17,7.26,7.26,7.26,7.26,0
2020-01-20,7.26,7.26,7.26,7.26,0
2020-01-21,7.26,7.26,7.26,7.26,0
2020-01-22,7.26,7.26,7.26,7.26,0
2020-01-30,7.26,7.26,7.26,7.26,0
2020-01-31,7.26,7.26,7.26,7.26,0
2020-02-03,6.66,6.66,6.66,6.66,66000
2020-02-04,6.14,7.2,6.63,6.66,59000
2020-02-05,6.66,6.66,6.66,6.66,0
2020-02-06,6.66,6.66,6.66,6.66,0
2020-02-07,6.94,6.94,6.94,6.94,0
2020-02-10,6.94,6.94,6.94,6.94,0
2020-02-11,6.94,6.94,6.94,6.94,0
2020-02-12,6.94,6.94,6.94,6.94,0
2020-02-13,6.94,6.94,6.94,6.94,0
2020-02-14,6.94,6.94,6.94,6.94,0
2020-02-17,6.94,6.94,6.94,6.94,0
2020-02-18,6.94,6.94,6.94,6.94,0
2020-02-19,6.94,6.94,6.94,6.94,0
2020-02-20,6.94,6.94,6.94,6.94,0
2020-02-21,6.94,6.94,6.94,6.94,0
2020-02-24,6.94,6.94,6.94,6.94,0
2020-02-25,6.94,6.94,6.94,6.94,0
2020-02-26,6.94,6.94,6.94,6.94,0
2020-02-27,6.94,6.94,6.94,6.94,0
2020-02-28,6.94,6.94,6.94,6.94,0
2020-03-02,6.94,6.94,6.94,6.94,0
2020-03-03,6.94,6.94,6.94,6.94,0
2020-03-04,6.94,6.94,6.94,6.94,0
2020-03-05,6.94,6.94,6.94,6.94,0
2020-03-06,6.94,6.94,6.94,6.94,0
2020-03-09,6.94,6.94,6.94,6.94,0
2020-03-10,6.94,6.94,6.94,6.94,0
2020-03-11,6.94,6.94,6.94,6.94,0
2020-03-12,6.94,6.94,6.94,6.94,0
2020-03-13,6.94,6.94,6.94,6.94,0
2020-03-16,6.94,6.94,6.94,6.94,0
2020-03-17,6.94,6.94,6.94,6.94,0
2020-03-18,6.94,6.94,6.94,6.94,0
2020-03-19,6.94,6.94,6.94,6.94,0
2020-03-20,6.94,6.94,6.94,6.94,0
2020-03-23,6.94,6.94,6.94,6.94,0
2020-03-24,6.94,6.94,6.94,6.94,0
2020-03-25,6.94,6.94,6.94,6.94,0
2020-03-26,6.94,6.94,6.94,6.94,0
2020-03-27,6.94,6.94,6.94,6.94,0
2020-03-30,6.94,6.94,6.94,6.94,0
2020-03-31,6.94,6.94,6.94,6.94,0
2020-04-01,6.94,6.94,6.94,6.94,0
2020-04-03,6.94,6.94,6.94,6.94,0
2020-04-06,6.94,6.94,6.94,6.94,0
2020-04-07,6.94,6.94,6.94,6.94,0
2020-04-08,6.94,6.94,6.94,6.94,0
2020-04-09,6.94,6.94,6.94,6.94,0
2020-04-10,6.94,6.94,6.94,6.94,0
2020-04-13,6.94,6.94,6.94,6.94,0
2020-04-14,6.94,6.94,6.94,6.94,0
2020-04-15,6.94,6.94,6.94,6.94,0
2020-04-16,6.94,6.94,6.94,6.94,0
2020-04-17,6.94,6.94,6.94,6.94,0
2020-04-20,6.94,6.94,6.94,6.94,0
2020-04-21,6.94,6.94,6.94,6.94,0
2020-04-22,6.94,6.94,6.94,6.94,0
2020-04-23,6.94,6.94,6.94,6.94,0
2020-04-24,6.94,6.94,6.94,6.94,0
2020-04-27,6.94,6.94,6.94,6.94,0
2020-04-28,6.94,6.94,6.94,6.94,0
2020-04-29,6.94,6.94,6.94,6.94,0
2020-05-04,6.94,6.94,6.94,6.94,0
2020-05-05,6.94,6.94,6.94,6.94,0
2020-05-06,6.94,6.94,6.94,6.94,0
2020-05-07,6.94,6.94,6.94,6.94,0
2020-05-08,6.94,6.94,6.94,6.94,0
2020-05-11,6.94,6.94,6.94,6.94,0
2020-05-12,6.94,6.94,6.94,6.94,0
2020-05-13,6.94,6.94,6.94,6.94,0
2020-05-14,6.94,6.94,6.94,6.94,0
2020-05-15,6.94,6.94,6.94,6.94,0
2020-05-18,6.94,6.94,6.94,6.94,0
2020-05-19,6.94,6.94,6.94,6.94,0
2020-05-20,6.94,6.94,6.94,6.94,0
2020-05-21,6.94,6.94,6.94,6.94,0
2020-05-22,6.94,6.94,6.94,6.94,0
2020-05-25,6.94,6.94,6.94,6.94,0
2020-05-26,6.94,6.94,6.94,6.94,0
2020-05-27,6.94,6.94,6.94,6.94,0
2020-05-28,6.94,6.94,6.94,6.94,0
2020-05-29,6.94,6.94,6.94,6.94,0
2020-06-01,6.94,6.94,6.94,6.94,0
2020-06-02,6.94,6.94,6.94,6.94,0
2020-06-03,6.94,6.94,6.94,6.94,0
2020-06-04,6.94,6.94,6.94,6.94,0
2020-06-05,6.94,6.94,6.94,6.94,0
2020-06-08,6.94,6.94,6.94,6.94,0
2020-06-09,6.94,6.94,6.94,6.94,0
2020-06-10,6.94,6.94,6.94,6.94,0
2020-06-11,6.94,6.94,6.94,6.94,0
2020-06-12,6.94,6.94,6.94,6.94,0
2020-06-15,6.94,6.94,6.94,6.94,0
2020-06-16,6.94,6.94,6.94,6.94,0
2020-06-17,6.94,6.94,6.94,6.94,0
2020-06-18,6.94,6.94,6.94,6.94,0
2020-06-19,6.94,6.94,6.94,6.94,0
2020-06-22,6.94,6.94,6.94,6.94,0
2020-06-23,6.94,6.94,6.94,6.94,0
2020-06-24,6.94,6.94,6.94,6.94,0
2020-06-25,6.94,6.94,6.94,6.94,0
2020-06-26,6.94,6.94,6.94,6.94,0
2020-06-29,6.94,6.94,6.94,6.94,0
2020-06-30,6.94,6.94,6.94,6.94,0
2020-07-01,6.94,6.94,6.94,6.94,0
2020-07-02,6.7,6.7,6.7,6.7,100
2020-07-03,6.7,6.7,6.7,6.7,0
2020-07-06,6.7,6.7,6.7,6.7,0
2020-07-07,6.7,6.7,6.7,6.7,0
2020-07-08,6.7,6.7,6.7,6.7,0
2020-07-09,6.7,6.7,6.7,6.7,0
2020-07-10,6.7,6.7,6.7,6.7,0
2020-07-13,6.7,6.7,6.7,6.7,0
2020-07-14,6.7,6.7,6.7,6.7,0
2020-07-15,6.7,6.7,6.7,6.7,0
2020-07-16,6.7,6.7,6.7,6.7,0
2020-07-17,6.7,6.7,6.7,6.7,0
2020-07-20,6.7,6.7,6.7,6.7,0
2020-07-21,6.7,6.7,6.7,6.7,0
2020-07-22,6.7,6.7,6.7,6.7,0
2020-07-23,6.7,6.7,6.7,6.7,0
2020-07-24,6.7,6.7,6.7,6.7,0
2020-07-27,6.7,6.7,6.7,6.7,0
2020-07-28,6.7,6.7,6.7,6.7,0
2020-07-29,6.7,6.7,6.7,6.7,0
2020-07-30,6.7,6.7,6.7,6.7,0
2020-07-31,6.7,6.7,6.7,6.7,0
2020-08-03,6.7,6.7,6.7,6.7,0
2020-08-04,6.7,6.7,6.7,6.7,0
2020-08-05,6.7,6.7,6.7,6.7,0
2020-08-06,6.7,6.7,6.7,6.7,0
2020-08-07,6.7,6.7,6.7,6.7,0
2020-08-10,6.7,6.7,6.7,6.7,0
2020-08-11,6.7,6.7,6.7,6.7,0
2020-08-12,6.7,6.7,6.7,6.7,0
2020-08-13,6.7,6.7,6.7,6.7,0
2020-08-14,6.7,6.7,6.7,6.7,0
2020-08-17,6.7,6.7,6.7,6.7,0
2020-08-18,6.7,6.7,6.7,6.7,0
2020-08-19,6.7,6.7,6.7,6.7,0
2020-08-20,6.7,6.7,6.7,6.7,0
2020-08-21,6.7,6.7,6.7,6.7,0
2020-08-24,6.7,6.7,6.7,6.7,0
2020-08-25,6.7,6.7,6.7,6.7,0
2020-08-26,6.7,6.7,6.7,6.7,0
2020-08-27,6.7,6.7,6.7,6.7,0
2020-08-28,6.7,6.7,6.7,6.7,0
2020-08-31,6.7,6.7,6.7,6.7,0
2020-09-01,6.7,6.7,6.7,6.7,0
2020-09-03,6.7,6.7,6.7,6.7,0
2020-09-04,6.7,6.7,6.7,6.7,0
2020-09-07,6.7,6.7,6.7,6.7,0
2020-09-08,6.7,6.7,6.7,6.7,0
2020-09-09,6.7,6.7,6.7,6.7,0
2020-09-10,6.7,6.7,6.7,6.7,0
2020-09-11,6.7,6.7,6.7,6.7,0
2020-09-14,6.7,6.7,6.7,6.7,0
2020-09-15,6.7,6.7,6.7,6.7,0
2020-09-16,6.7,6.7,6.7,6.7,0
2020-09-17,6.7,6.7,6.7,6.7,0
2020-09-18,6.7,6.7,6.7,6.7,0
2020-09-21,6.7,6.7,6.7,6.7,0
2020-09-22,6.7,6.7,6.7,6.7,0
2020-09-23,6.7,6.7,6.7,6.7,0
2020-09-24,6.7,6.7,6.7,6.7,0
2020-09-25,6.7,6.7,6.7,6.7,0
2020-09-28,6.7,6.7,6.7,6.7,0
2020-09-29,6.7,6.7,6.7,6.7,0
2020-09-30,6.7,6.7,6.7,6.7,0
2020-10-01,6.7,6.7,6.7,6.7,0
2020-10-02,6.7,6.7,6.7,6.7,0
2020-10-05,6.7,6.7,6.7,6.7,0
2020-10-06,6.7,6.7,6.7,6.7,0
2020-10-07,6.7,6.7,6.7,6.7,0
2020-10-08,6.7,6.7,6.7,6.7,0
2020-10-09,6.7,6.7,6.7,6.7,0
2020-10-12,6.7,6.7,6.7,6.7,0
2020-10-13,6.7,6.7,6.7,6.7,0
2020-10-14,6.7,6.7,6.7,6.7,0
2020-10-15,6.7,6.7,6.7,6.7,0
2020-10-16,6.7,6.7,6.7,6.7,0
2020-10-19,6.7,6.7,6.7,6.7,0
2020-10-20,6.7,6.7,6.7,6.7,0
2020-10-21,6.7,6.7,6.7,6.7,0
2020-10-22,6.7,6.7,6.7,6.7,0
2020-10-23,6.7,6.7,6.7,6.7,0
2020-10-26,6.7,6.7,6.7,6.7,0
2020-10-27,6.7,6.7,6.7,6.7,0
2020-10-28,6.7,6.7,6.7,6.7,0
2020-10-29,6.7,6.7,6.7,6.7,0
2020-10-30,6.7,6.7,6.7,6.7,0
2020-11-02,6.7,6.7,6.7,6.7,0
2020-11-03,6.7,6.7,6.7,6.7,0
2020-11-04,6.7,6.7,6.7,6.7,0
2020-11-05,6.7,6.7,6.7,6.7,0
2020-11-06,6.7,6.7,6.7,6.7,0
2020-11-09,6.7,6.7,6.7,6.7,0
2020-11-10,6.7,6.7,6.7,6.7,0
2020-11-11,6.7,6.7,6.7,6.7,100
2020-11-12,6.7,6.7,6.7,6.7,0
2020-11-13,6.7,6.7,6.7,6.7,0
2020-11-16,6.7,6.7,6.7,6.7,0
2020-11-17,6.7,6.7,6.7,6.7,0
2020-11-18,6.7,6.7,6.7,6.7,0
2020-11-19,6.7,6.7,6.7,6.7,0
2020-11-20,6.7,6.7,6.7,6.7,0
2020-11-23,6.7,6.7,6.7,6.7,0
2020-11-24,6.7,6.7,6.7,6.7,0
2020-11-25,6.7,6.7,6.7,6.7,0
2020-11-26,6.7,6.7,6.7,6.7,0
2020-11-27,6.7,6.7,6.7,6.7,0
2020-11-30,6.7,6.7,6.7,6.7,0
2020-12-01,6.7,6.7,6.7,6.7,0
2020-12-02,6.7,6.7,6.7,6.7,0
2020-12-03,6.7,6.7,6.7,6.7,0
2020-12-04,6.7,6.7,6.7,6.7,0
2020-12-07,6.7,6.7,6.7,6.7,0
2020-12-08,6.7,6.7,6.7,6.7,0
2020-12-09,6.7,6.7,6.7,6.7,0
2020-12-10,6.7,6.7,6.7,6.7,0
