time,open,high,low,close,volume
2020-01-06,13.28,13.28,13.28,13.28,5100
2020-01-07,13.06,13.06,12.53,12.68,10500
2020-01-08,12.68,12.68,12.68,12.68,0
2020-01-09,13.43,13.43,13.43,13.43,100
2020-01-10,12.45,12.83,12.45,12.83,200
2020-01-13,12.83,12.83,12.83,12.83,0
2020-01-14,12.68,12.68,12.68,12.68,1300
2020-01-15,12.68,12.68,12.68,12.68,530
2020-01-16,12.68,12.68,12.68,12.68,0
2020-01-17,13.06,13.81,13.06,13.51,1300
2020-01-20,13.51,13.51,13.51,13.51,100
2020-01-21,13.58,13.58,13.58,13.58,100
2020-01-22,14.34,14.34,14.34,14.34,100
2020-01-30,14.72,14.72,12.98,13.06,600
2020-01-31,14.26,14.26,13.58,13.58,500
2020-02-03,14.34,14.34,12.53,14.26,300
2020-02-04,13.43,13.43,13.43,13.43,200
2020-02-05,13.89,13.89,13.21,13.21,1150
2020-02-06,13.89,13.89,13.58,13.89,300
2020-02-07,14.26,14.26,13.28,13.28,1100
2020-02-10,12.9,12.9,12.45,12.45,3600
2020-02-11,12.23,12.23,12.08,12.08,5500
2020-02-12,12.08,12.75,11.32,11.92,2000
2020-02-13,11.7,11.7,11.7,11.7,720
2020-02-14,11.92,12.83,11.92,12.53,8400
2020-02-17,13.51,13.74,13.51,13.74,19169
2020-02-18,13.21,13.96,13.21,13.96,1300
2020-02-19,12.83,14.57,12.83,12.83,5500
2020-02-20,14.04,14.11,12.98,12.98,7300
2020-02-21,14.26,14.26,12.98,13.43,2400
2020-02-24,12.98,12.98,12.83,12.83,1600
2020-02-25,12.75,14.11,12.75,13.28,4700
2020-02-26,12.68,12.68,12.68,12.68,2000
2020-02-27,12.53,12.53,12.53,12.53,1500
2020-02-28,12.08,12.08,12.08,12.08,100
2020-03-02,13.13,13.28,13.13,13.28,800
2020-03-03,14.26,14.57,12.08,13.51,31300
2020-03-04,14.49,14.49,14.49,14.49,100
2020-03-05,13.36,13.36,13.36,13.36,1800
2020-03-06,13.28,13.28,12.83,12.83,2400
2020-03-09,12.08,12.9,11.7,11.7,7010
2020-03-10,11.77,11.77,11.62,11.7,1400
2020-03-11,11.77,12.3,11.32,12.3,4600
