time,open,high,low,close,volume
2020-01-06,25.15,25.15,23.4,23.4,619600
2020-01-07,23.4,23.78,22.61,23.78,127380
2020-01-08,23.37,23.47,22.24,22.37,232580
2020-01-09,22.89,23.26,22.72,23.26,158510
2020-01-10,23.47,23.85,23.02,23.13,109670
2020-01-13,23.13,23.3,22.65,22.82,53180
2020-01-14,22.85,23.37,22.61,23.16,103610
2020-01-15,23.23,23.95,23.23,23.5,82530
2020-01-16,23.5,23.88,23.33,23.64,55260
2020-01-17,23.64,23.68,22.0,22.92,289540
2020-01-20,22.61,22.96,21.93,22.61,133200
2020-01-21,22.92,22.92,22.27,22.61,72760
2020-01-22,22.61,22.61,21.93,21.93,160430
2020-01-30,21.28,21.34,20.42,20.42,271120
2020-01-31,19.19,19.56,19.02,19.02,145960
2020-02-03,17.71,17.71,17.71,17.71,32150
2020-02-04,16.48,17.64,16.48,16.48,279150
2020-02-05,15.35,17.61,15.35,17.61,538320
2020-02-06,18.02,18.81,17.82,18.81,166720
2020-02-07,18.84,19.36,18.47,18.6,210080
2020-02-10,17.99,18.4,17.51,17.99,192770
2020-02-11,17.89,18.5,17.82,18.47,105630
2020-02-12,18.47,19.05,18.16,18.6,128130
2020-02-13,18.67,18.89,18.53,18.82,83820
2020-02-14,18.82,19.41,18.71,19.24,139940
2020-02-17,19.24,20.08,19.2,20.08,124130
2020-02-18,20.22,20.79,20.08,20.44,158510
2020-02-19,20.44,21.84,20.26,21.84,309310
2020-02-20,22.55,22.9,22.09,22.55,237640
2020-02-21,22.23,23.08,21.84,22.55,234500
2020-02-24,21.6,21.84,21.0,21.0,363960
2020-02-25,19.59,21.67,19.56,21.67,316020
2020-02-26,20.26,21.67,20.26,21.6,157430
2020-02-27,21.49,22.02,21.46,21.63,152550
2020-02-28,20.96,21.6,20.4,21.42,248030
2020-03-02,21.07,22.16,21.07,21.67,154760
2020-03-03,21.99,22.2,21.07,22.02,216490
2020-03-04,21.7,22.02,21.46,21.78,161900
2020-03-05,21.84,21.99,21.32,21.46,229980
2020-03-06,21.46,21.78,21.21,21.49,165850
2020-03-09,20.01,20.68,20.01,20.01,184240
2020-03-10,18.67,19.98,18.64,19.38,482750
2020-03-11,19.41,19.77,18.04,18.32,241700
2020-03-12,17.09,17.62,17.05,17.05,190420
2020-03-13,15.87,17.26,15.87,16.56,428100
2020-03-16,16.56,17.05,15.68,16.21,147430
