time,open,high,low,close,volume
2020-01-06,13.1,13.1,13.1,13.1,0
2020-01-07,13.1,13.1,13.1,13.1,0
2020-01-08,13.1,13.1,13.1,13.1,0
2020-01-09,13.1,13.1,13.1,13.1,0
2020-01-10,13.1,13.1,13.1,13.1,0
2020-01-13,13.1,13.1,13.1,13.1,0
2020-01-14,13.1,13.1,13.1,13.1,0
2020-01-15,13.1,13.1,13.1,13.1,0
2020-01-16,13.1,13.1,13.1,13.1,0
2020-01-17,13.1,13.1,13.1,13.1,0
2020-01-20,13.1,13.1,13.1,13.1,0
2020-01-21,13.1,13.1,13.1,13.1,0
2020-01-22,13.1,13.1,13.1,13.1,0
2020-01-30,13.1,13.1,13.1,13.1,0
2020-01-31,13.1,13.1,13.1,13.1,0
2020-02-03,13.1,13.1,13.1,13.1,0
2020-02-04,13.1,13.1,13.1,13.1,0
2020-02-05,13.1,13.1,13.1,13.1,0
2020-02-06,13.1,13.1,13.1,13.1,0
2020-02-07,13.1,13.1,13.1,13.1,0
2020-02-10,11.82,13.51,12.54,12.73,500
2020-02-11,13.04,13.04,13.04,13.04,100
2020-02-12,11.88,12.8,12.18,12.49,200
2020-02-13,13.04,13.04,13.04,13.04,100
2020-02-14,12.18,12.0,11.58,11.76,2100
2020-02-17,12.18,12.18,12.18,12.18,100
2020-02-18,12.18,12.18,12.18,12.18,0
2020-02-19,12.18,12.18,12.18,12.18,0
2020-02-20,12.18,12.18,12.18,12.18,0
2020-02-21,12.12,11.81,11.28,11.58,4320
2020-02-24,12.18,12.59,11.96,12.0,6300
2020-02-25,11.88,11.88,11.88,11.88,100
2020-02-26,11.88,11.88,11.88,11.88,0
2020-02-27,12.12,11.82,11.28,11.58,3000
2020-02-28,11.9,12.24,11.9,12.1,300
2020-03-02,12.24,13.03,12.24,13.03,200
2020-03-03,11.77,12.57,11.77,12.57,3100
2020-03-04,12.9,12.9,12.9,12.9,100
2020-03-05,12.9,12.9,12.9,12.9,0
2020-03-06,11.64,11.64,11.64,11.64,200
2020-03-09,11.9,11.9,11.9,11.9,100
2020-03-10,11.9,11.9,11.9,11.9,0
2020-03-11,10.72,11.84,10.72,11.77,12100
2020-03-12,11.77,11.77,11.77,11.77,0
2020-03-13,10.65,11.24,10.65,11.24,1200
2020-03-16,10.25,11.18,10.12,11.18,900
2020-03-17,10.12,11.18,10.12,11.18,3300
2020-03-18,11.18,11.18,11.18,11.18,0
2020-03-19,10.12,10.98,10.12,10.98,2400
2020-03-20,9.92,10.91,9.92,10.91,900
2020-03-23,9.92,9.92,9.86,9.86,5100
2020-03-24,10.52,10.52,10.45,10.45,200
2020-03-25,10.45,10.45,10.45,10.45,0
2020-03-26,10.65,10.65,10.65,10.65,100
2020-03-27,10.65,10.65,10.65,10.65,0
2020-03-30,10.65,10.65,10.65,10.65,0
2020-03-31,9.92,10.38,9.92,10.38,300
2020-04-01,10.38,10.38,10.38,10.38,0
2020-04-03,9.92,9.92,9.92,9.92,3300
2020-04-06,9.92,9.92,9.92,9.92,0
2020-04-07,9.92,9.92,9.92,9.92,0
2020-04-08,9.92,9.92,9.92,9.92,0
2020-04-09,9.33,9.92,9.33,9.92,4000
2020-04-10,9.92,9.92,9.92,9.92,0
2020-04-13,9.92,9.92,9.92,9.92,0
2020-04-14,9.39,9.92,9.39,9.92,4600
2020-04-15,9.66,9.92,9.39,9.39,1800
2020-04-16,9.92,9.92,8.93,8.93,300
2020-04-17,8.99,9.72,8.73,9.72,3800
2020-04-20,8.93,9.79,8.8,9.79,400
2020-04-21,9.79,9.79,9.79,9.79,0
2020-04-22,9.79,9.79,9.79,9.79,100
2020-04-23,9.26,9.79,9.26,9.79,4650
2020-04-24,9.79,9.79,9.79,9.79,0
2020-04-27,10.72,10.72,10.38,10.38,1400
2020-04-28,10.72,10.72,10.72,10.72,100
2020-04-29,10.65,10.65,9.92,10.65,1800
2020-05-04,10.65,10.65,10.65,10.65,100
2020-05-05,10.65,10.65,10.65,10.65,100
2020-05-06,9.99,10.65,9.99,10.65,220
2020-05-07,10.65,10.65,10.65,10.65,0
2020-05-08,10.65,10.65,10.65,10.65,0
2020-05-11,10.65,10.65,10.65,10.65,1700
2020-05-12,10.65,10.65,10.65,10.65,0
2020-05-13,10.65,10.65,10.65,10.65,0
