time,open,high,low,close,volume
2020-01-06,9.37,9.37,9.37,9.37,0
2020-01-07,9.37,9.37,9.37,9.37,0
2020-01-08,9.37,9.37,9.37,9.37,800
2020-01-09,9.37,9.37,9.37,9.37,0
2020-01-10,9.37,9.37,9.37,9.37,0
2020-01-13,9.37,9.37,9.37,9.37,0
2020-01-14,9.37,9.37,9.37,9.37,1100
2020-01-15,9.37,9.37,9.37,9.37,0
2020-01-16,9.37,9.37,9.37,9.37,0
2020-01-17,9.37,9.37,9.37,9.37,0
2020-01-20,9.37,9.37,9.37,9.37,0
2020-01-21,9.37,9.37,9.37,9.37,2800
2020-01-22,9.37,9.37,9.37,9.37,800
2020-01-30,9.37,9.37,9.37,9.37,0
2020-01-31,9.37,9.37,9.37,9.37,0
2020-02-03,9.37,9.37,9.37,9.37,0
2020-02-04,9.37,9.37,9.37,9.37,0
2020-02-05,9.37,9.37,9.37,9.37,0
2020-02-06,9.21,8.86,8.44,8.78,2700
2020-02-07,9.37,9.37,9.37,9.37,100
2020-02-10,9.37,9.37,9.37,9.37,0
2020-02-11,9.37,9.37,9.37,9.37,0
2020-02-12,9.21,9.31,9.26,9.26,1100
2020-02-13,9.37,9.37,9.37,9.37,200
2020-02-14,9.64,9.61,9.35,9.37,3100
2020-02-17,9.37,9.46,9.4,9.42,300
2020-02-18,9.42,9.42,9.42,9.42,2000
2020-02-19,9.42,9.42,9.42,9.42,0
2020-02-20,9.58,9.58,9.58,9.58,200
2020-02-21,9.58,9.58,9.58,9.58,300
2020-02-24,9.58,9.65,9.59,9.64,500
2020-02-25,9.64,9.64,9.64,9.64,0
2020-02-26,9.64,9.64,9.64,9.64,0
2020-02-27,9.64,9.64,9.64,9.64,0
2020-02-28,9.64,9.64,9.64,9.64,0
2020-03-02,9.64,9.64,9.64,9.64,0
2020-03-03,9.32,11.08,10.14,10.17,3500
2020-03-04,10.17,10.17,10.17,10.17,0
2020-03-05,9.21,10.01,9.56,9.64,600
2020-03-06,9.21,10.24,9.68,9.74,900
2020-03-09,9.39,9.39,8.8,8.8,2300
2020-03-10,9.39,9.39,9.39,9.39,100
2020-03-11,9.39,9.39,9.39,9.39,0
2020-03-12,8.45,9.1,8.45,9.04,1800
2020-03-13,8.8,8.8,8.8,8.8,100
2020-03-16,8.8,8.8,8.8,8.8,0
2020-03-17,7.92,8.63,7.92,8.51,1200
2020-03-18,8.51,8.51,8.51,8.51,0
2020-03-19,8.51,8.51,8.51,8.51,0
2020-03-20,8.51,8.51,8.51,8.51,0
2020-03-23,8.22,8.22,7.81,7.81,5200
2020-03-24,8.45,8.45,8.45,8.45,100
2020-03-25,8.45,8.45,8.45,8.45,2800
2020-03-26,8.45,8.45,8.45,8.45,0
2020-03-27,8.45,8.45,8.45,8.45,0
2020-03-30,8.22,8.22,8.22,8.22,200
2020-03-31,7.63,8.22,7.63,8.22,600
2020-04-01,8.28,8.28,8.22,8.22,2600
2020-04-03,8.22,8.51,8.22,8.51,3500
2020-04-06,8.51,8.51,8.51,8.51,200
2020-04-07,8.51,8.51,8.34,8.34,200
2020-04-08,8.34,8.34,8.34,8.34,0
2020-04-09,8.34,8.34,8.34,8.34,1000
2020-04-10,8.1,8.1,8.1,8.1,100
2020-04-13,8.1,8.1,8.1,8.1,0
2020-04-14,8.1,8.1,8.1,8.1,0
2020-04-15,8.1,8.22,8.1,8.22,4600
2020-04-16,8.16,8.16,8.16,8.16,1000
2020-04-17,7.92,8.69,7.92,8.69,300
2020-04-20,8.69,8.69,8.69,8.69,0
2020-04-21,8.22,8.22,7.98,7.98,8200
2020-04-22,7.98,7.98,7.98,7.98,0
2020-04-23,8.28,8.28,8.22,8.22,1100
2020-04-24,8.22,8.22,8.22,8.22,0
2020-04-27,8.22,8.22,8.22,8.22,100
2020-04-28,8.22,8.22,8.22,8.22,1500
2020-04-29,8.16,8.16,8.16,8.16,100
2020-05-04,8.16,8.16,8.16,8.16,0
2020-05-05,8.16,8.16,8.16,8.16,100
2020-05-06,8.16,8.34,8.1,8.34,600
2020-05-07,8.34,8.34,8.22,8.22,600
2020-05-08,8.22,8.22,8.22,8.22,500
2020-05-11,8.22,8.22,8.22,8.22,1100
2020-05-12,8.22,8.22,8.22,8.22,0
2020-05-13,8.22,8.34,8.22,8.34,600
2020-05-14,8.63,8.63,8.63,8.63,100
2020-05-15,8.57,8.57,8.57,8.57,300
2020-05-18,8.57,8.57,8.57,8.57,0
