time,open,high,low,close,volume
2020-01-06,5.7,5.78,5.58,5.65,162110
2020-01-07,5.66,5.74,5.65,5.71,178510
2020-01-08,5.71,5.72,5.59,5.65,157820
2020-01-09,5.65,5.8,5.65,5.74,194870
2020-01-10,5.74,5.74,5.65,5.71,177980
2020-01-13,5.71,5.78,5.66,5.78,132830
2020-01-14,5.78,5.88,5.78,5.85,154940
2020-01-15,5.87,5.89,5.82,5.83,161730
2020-01-16,5.84,5.9,5.83,5.84,158370
2020-01-17,5.85,5.85,5.8,5.83,144390
2020-01-20,5.83,5.88,5.8,5.81,134620
2020-01-21,5.81,5.85,5.79,5.83,142520
2020-01-22,5.83,5.87,5.81,5.83,148560
2020-01-30,5.76,5.76,5.65,5.74,163260
2020-01-31,5.65,5.74,5.63,5.74,174700
2020-02-03,5.48,5.74,5.48,5.65,110970
2020-02-04,5.65,5.65,5.63,5.65,88420
2020-02-05,5.65,5.72,5.63,5.65,96140
2020-02-06,5.65,5.74,5.63,5.71,98310
2020-02-07,5.71,5.73,5.63,5.7,98360
2020-02-10,5.7,5.7,5.56,5.63,93300
2020-02-11,5.63,5.65,5.63,5.65,84000
2020-02-12,5.65,5.74,5.65,5.71,268370
2020-02-13,5.71,5.74,5.65,5.68,163750
2020-02-14,5.68,5.69,5.56,5.65,142310
2020-02-17,5.65,5.67,5.61,5.64,143550
2020-02-18,5.65,5.65,5.61,5.65,91970
2020-02-19,5.65,5.7,5.63,5.65,85210
2020-02-20,5.65,5.68,5.58,5.65,101220
2020-02-21,5.65,5.65,5.6,5.64,101740
2020-02-24,5.64,5.64,5.25,5.25,239300
2020-02-25,5.25,5.25,4.89,5.04,183930
2020-02-26,5.04,5.1,5.0,5.1,98790
2020-02-27,5.1,5.16,5.1,5.12,88890
2020-02-28,5.12,5.13,4.76,5.04,412630
2020-03-02,5.04,5.06,4.7,5.04,140200
2020-03-03,5.05,5.07,5.02,5.04,98300
2020-03-04,5.04,5.04,4.96,5.0,96400
2020-03-05,5.0,5.03,4.96,5.0,122340
2020-03-06,4.99,5.02,4.96,5.02,60370
2020-03-09,5.0,5.0,4.68,4.81,104140
2020-03-10,4.7,4.83,4.7,4.82,331360
2020-03-11,4.82,4.83,4.76,4.79,278190
2020-03-12,4.7,4.78,4.52,4.69,306260
2020-03-13,4.52,4.74,4.39,4.74,253790
2020-03-16,4.74,4.77,4.72,4.75,116640
2020-03-17,4.68,4.74,4.68,4.72,120790
2020-03-18,4.72,4.74,4.7,4.74,219570
2020-03-19,4.74,4.74,4.66,4.69,275030
2020-03-20,4.69,4.78,4.69,4.75,99210
2020-03-23,4.75,4.76,4.42,4.42,223300
2020-03-24,4.42,4.45,4.17,4.41,163820
2020-03-25,4.42,4.6,4.41,4.54,179150
2020-03-26,4.54,4.57,4.35,4.52,137240
2020-03-27,4.57,4.58,4.35,4.57,129460
2020-03-30,4.57,4.57,4.35,4.49,46680
2020-03-31,4.49,4.57,4.22,4.52,64710
2020-04-01,4.52,4.57,4.45,4.53,313080
2020-04-03,4.53,4.61,4.45,4.61,102660
2020-04-06,4.61,4.64,4.57,4.57,154710
2020-04-07,4.57,4.57,4.35,4.46,207220
2020-04-08,4.43,4.51,4.3,4.46,78340
2020-04-09,4.46,4.48,4.3,4.48,130410
2020-04-10,4.35,4.43,4.16,4.35,117870
2020-04-13,4.35,4.39,4.04,4.17,352960
2020-04-14,4.17,4.35,4.0,4.35,261970
2020-04-15,4.3,4.39,4.19,4.39,95970
2020-04-16,4.35,4.36,4.28,4.34,89370
2020-04-17,4.34,4.39,4.26,4.39,128920
2020-04-20,4.41,4.66,4.41,4.66,104640
2020-04-21,4.66,4.74,4.48,4.6,273380
2020-04-22,4.52,4.6,4.28,4.57,270230
2020-04-23,4.57,4.69,4.52,4.57,126890
2020-04-24,4.56,4.61,4.52,4.61,323730
2020-04-27,4.66,4.66,4.61,4.61,103110
2020-04-28,4.61,4.62,4.48,4.59,177630
2020-04-29,4.61,4.82,4.6,4.78,322160
2020-05-04,4.78,4.78,4.61,4.64,248720
2020-05-05,4.81,4.92,4.76,4.89,737230
2020-05-06,4.96,5.02,4.87,4.93,504160
2020-05-07,4.93,4.99,4.85,4.93,320010
2020-05-08,4.87,4.87,4.74,4.76,480420
2020-05-11,4.78,4.78,4.57,4.67,268120
2020-05-12,4.65,4.81,4.65,4.74,364560
2020-05-13,4.74,4.83,4.7,4.83,168470
2020-05-14,4.78,4.81,4.7,4.77,180180
2020-05-15,4.78,4.78,4.7,4.7,195600
2020-05-18,4.71,4.74,4.7,4.71,163350
2020-05-19,4.74,4.77,4.7,4.71,186570
2020-05-20,4.71,4.71,4.66,4.7,172860
2020-05-21,4.69,4.69,4.63,4.63,176410
2020-05-22,4.64,4.66,4.49,4.61,178360
2020-05-25,4.61,4.65,4.52,4.57,196850
2020-05-26,4.57,4.73,4.57,4.7,316610
2020-05-27,4.68,4.72,4.68,4.7,252230
2020-05-28,4.7,4.73,4.67,4.68,124460
2020-05-29,4.68,4.69,4.6,4.66,154660
2020-06-01,4.67,4.7,4.62,4.62,304670
2020-06-02,4.63,4.7,4.62,4.66,397080
2020-06-03,4.7,4.7,4.65,4.68,180130
2020-06-04,4.68,4.73,4.43,4.68,447640
2020-06-05,4.69,4.78,4.65,4.77,370610
2020-06-08,4.8,5.0,4.77,5.0,653400
2020-06-09,5.03,5.03,4.7,4.96,524450
2020-06-10,4.78,4.91,4.7,4.88,434930
2020-06-11,4.88,5.04,4.83,4.83,577310
2020-06-12,4.7,4.8,4.63,4.78,331520
2020-06-15,4.78,4.83,4.62,4.7,268130
2020-06-16,4.71,4.74,4.66,4.72,289630
2020-06-17,4.72,4.75,4.69,4.7,318000
2020-06-18,4.7,4.96,4.68,4.91,427090
2020-06-19,4.88,4.97,4.79,4.95,419270
2020-06-22,5.29,5.29,5.04,5.29,690070
2020-06-23,5.56,5.56,5.3,5.48,954700
2020-06-24,5.39,5.52,5.22,5.37,514990
2020-06-25,5.22,5.26,5.1,5.26,422940
2020-06-26,5.3,5.31,4.96,5.07,546210
2020-06-29,5.06,5.06,4.72,4.87,713400
2020-06-30,4.87,4.96,4.57,4.78,482680
2020-07-01,4.78,4.96,4.7,4.94,822470
2020-07-02,4.94,4.94,4.78,4.86,625210
2020-07-03,4.86,5.02,4.78,4.83,406570
2020-07-06,4.83,4.87,4.61,4.83,292600
2020-07-07,4.78,5.13,4.7,4.83,840990
2020-07-08,4.83,5.16,4.78,5.16,732190
2020-07-09,5.17,5.5,5.17,5.37,1106070
2020-07-10,5.3,5.3,5.13,5.22,242930
2020-07-13,5.17,5.35,5.15,5.21,294800
2020-07-14,5.14,5.48,5.13,5.37,421680
2020-07-15,5.37,5.39,5.31,5.36,260390
2020-07-16,5.36,5.42,5.34,5.35,239350
2020-07-17,5.32,5.38,5.3,5.35,147920
2020-07-20,5.36,5.39,5.3,5.35,223530
2020-07-21,5.35,5.43,5.2,5.41,304090
2020-07-22,5.41,5.51,5.28,5.3,471210
2020-07-23,5.3,5.37,5.22,5.26,253570
2020-07-24,5.26,5.31,4.89,4.94,478870
2020-07-27,4.62,4.65,4.6,4.63,362030
2020-07-28,4.61,4.83,4.61,4.83,444330
2020-07-29,4.82,4.82,4.51,4.78,352150
2020-07-30,4.78,4.87,4.74,4.87,135680
2020-07-31,4.78,4.96,4.7,4.78,107460
2020-08-03,4.78,4.96,4.77,4.96,134630
2020-08-04,5.04,5.06,4.96,5.04,133690
2020-08-05,4.74,5.09,4.74,5.04,226010
2020-08-06,5.04,5.04,4.96,5.04,85430
2020-08-07,4.96,5.22,4.96,5.11,273810
2020-08-10,5.12,5.12,5.04,5.09,226480
2020-08-11,5.08,5.21,4.96,5.1,181160
2020-08-12,5.1,5.21,5.09,5.14,167450
2020-08-13,5.19,5.21,5.13,5.19,209010
2020-08-14,5.19,5.21,5.05,5.13,166220
2020-08-17,5.14,5.14,5.04,5.09,146120
2020-08-18,5.1,5.3,5.05,5.1,298210
2020-08-19,5.1,5.38,5.1,5.34,524150
2020-08-20,5.34,5.37,5.28,5.35,382820
2020-08-21,5.36,5.56,5.34,5.51,565680
2020-08-24,5.51,5.56,5.5,5.52,356180
2020-08-25,5.54,5.56,5.51,5.55,386320
2020-08-26,5.55,5.56,5.4,5.55,338520
2020-08-27,5.55,5.56,5.53,5.55,309860
2020-08-28,5.56,5.56,5.51,5.54,326880
2020-08-31,5.55,5.92,5.51,5.92,955990
