time,open,high,low,close,volume
2020-01-06,9.23,9.45,8.79,9.2,516510
2020-01-07,9.1,9.2,8.56,9.0,737950
2020-01-08,8.9,8.9,8.37,8.6,256740
2020-01-09,8.3,8.9,8.0,8.88,1126050
2020-01-10,8.8,9.1,8.6,8.8,624560
2020-01-13,8.8,8.87,8.22,8.23,769310
2020-01-14,8.4,8.8,8.0,8.8,177650
2020-01-15,8.8,8.8,8.2,8.2,1201390
2020-01-16,8.6,8.7,8.21,8.7,1739740
2020-01-17,8.7,8.8,8.3,8.8,3718260
2020-01-20,8.7,9.0,8.45,8.77,572690
2020-01-21,8.77,8.77,8.23,8.5,670830
2020-01-22,8.5,8.7,8.5,8.58,111560
2020-01-30,8.58,8.58,8.35,8.52,59400
2020-01-31,8.5,8.5,8.2,8.28,48810
2020-02-03,8.2,8.2,7.71,8.15,124740
2020-02-04,8.25,8.5,8.05,8.29,16350
2020-02-05,8.35,8.5,8.01,8.35,81330
2020-02-06,8.35,8.5,8.05,8.5,93790
2020-02-07,8.5,8.67,7.91,8.5,129640
2020-02-10,8.45,8.45,8.1,8.29,516840
2020-02-11,8.29,8.5,8.28,8.5,661330
2020-02-12,8.4,8.6,8.3,8.5,86470
2020-02-13,8.5,8.58,8.4,8.52,64010
2020-02-14,8.55,8.7,8.4,8.7,176270
2020-02-17,8.6,8.9,8.6,8.86,139300
2020-02-18,8.85,9.0,8.5,8.75,130880
2020-02-19,8.7,8.79,8.4,8.7,78410
2020-02-20,8.63,8.88,8.6,8.75,136070
2020-02-21,8.69,8.7,8.49,8.63,1015620
2020-02-24,8.6,8.6,8.03,8.5,173930
2020-02-25,8.28,8.6,8.23,8.55,90980
2020-02-26,8.5,8.8,8.5,8.7,897870
2020-02-27,8.75,8.75,8.5,8.64,126560
2020-02-28,8.6,8.89,8.4,8.54,95360
2020-03-02,8.6,8.6,8.15,8.44,104650
2020-03-03,8.58,8.68,8.19,8.44,179670
2020-03-04,8.4,8.59,8.19,8.48,185670
2020-03-05,8.48,8.8,8.4,8.8,1565700
2020-03-06,8.8,8.89,8.6,8.7,528980
2020-03-09,8.6,8.6,8.1,8.6,75750
2020-03-10,8.22,8.85,8.22,8.85,106930
2020-03-11,8.75,8.75,8.24,8.5,1995630
2020-03-12,7.91,8.5,7.91,8.5,638680
2020-03-13,7.91,8.5,7.91,8.48,137650
2020-03-16,8.3,8.8,7.89,8.46,158260
2020-03-17,8.43,8.43,7.9,8.4,130530
2020-03-18,8.4,8.4,7.95,8.37,116310
2020-03-19,8.37,8.37,7.79,8.36,870490
2020-03-20,8.36,8.4,7.8,8.18,1317180
2020-03-23,8.18,8.18,7.61,8.18,130170
2020-03-24,8.0,8.0,7.61,7.89,81560
2020-03-25,7.65,8.2,7.65,8.19,84170
2020-03-26,8.2,8.7,7.8,8.7,494000
2020-03-27,8.58,9.28,8.15,9.26,1907810
2020-03-30,9.2,9.2,8.62,9.0,165910
2020-03-31,8.98,9.2,8.37,9.2,79080
2020-04-01,9.18,9.84,8.56,9.84,989430
2020-04-03,10.0,10.0,9.16,9.8,1131180
2020-04-06,9.7,10.0,9.14,10.0,876210
2020-04-07,10.0,10.0,9.3,9.8,96640
2020-04-08,9.6,9.7,9.4,9.7,148800
2020-04-09,9.7,9.7,9.25,9.58,337410
2020-04-10,9.5,9.7,9.25,9.7,135710
2020-04-13,9.6,10.0,9.3,10.0,76990
2020-04-14,9.8,9.95,9.35,9.95,473440
2020-04-15,9.8,9.95,9.6,9.7,400300
2020-04-16,9.7,9.7,9.4,9.7,264910
2020-04-17,9.6,9.9,9.6,9.7,161940
2020-04-20,9.9,9.9,9.03,9.8,460610
2020-04-21,9.75,9.75,9.5,9.6,316680
2020-04-22,9.6,9.8,9.4,9.8,146740
2020-04-23,9.7,9.7,9.3,9.6,155490
2020-04-24,9.6,9.6,9.25,9.59,444060
2020-04-27,9.6,9.6,9.15,9.3,767520
2020-04-28,9.4,9.6,9.2,9.6,412760
2020-04-29,9.6,9.6,9.0,9.0,413640
2020-05-04,9.45,9.5,9.38,9.5,211510
2020-05-05,9.5,9.8,9.23,9.25,517630
2020-05-06,9.35,9.35,9.0,9.17,212310
2020-05-07,9.0,9.0,8.8,9.0,202410
2020-05-08,9.2,9.29,8.9,9.0,163360
2020-05-11,9.25,9.6,8.95,9.6,272560
2020-05-12,9.6,9.6,9.38,9.38,2799140
2020-05-13,9.35,9.4,9.2,9.4,204800
2020-05-14,9.35,10.0,9.28,10.0,499040
2020-05-15,10.3,10.7,10.15,10.7,732670
2020-05-18,10.75,11.4,10.7,11.4,588830
2020-05-19,11.2,12.1,11.1,12.1,989870
2020-05-20,12.05,12.7,11.95,12.5,415340
2020-05-21,12.7,12.7,11.65,12.0,424010
2020-05-22,11.9,12.25,11.75,12.2,588460
2020-05-25,12.3,12.4,11.95,12.0,408060
2020-05-26,11.9,12.0,11.5,11.7,239330
2020-05-27,11.6,11.95,11.5,11.8,333060
2020-05-28,11.85,12.0,11.8,11.9,1576890
2020-05-29,11.6,11.65,11.35,11.6,201570
2020-06-01,11.65,11.95,11.6,11.95,353840
2020-06-02,11.9,12.2,11.9,12.05,409670
2020-06-03,12.0,12.1,11.75,11.8,202080
2020-06-04,11.8,12.05,11.75,11.95,350430
2020-06-05,11.95,12.35,11.95,12.3,448210
2020-06-08,12.3,12.35,12.15,12.2,260120
2020-06-09,12.2,12.25,12.15,12.25,218820
2020-06-10,12.5,13.1,12.4,13.1,1816330
2020-06-11,13.5,14.0,13.4,14.0,1538830
2020-06-12,14.0,14.8,13.85,14.7,1113130
2020-06-15,14.7,15.7,14.3,15.7,2264170
2020-06-16,15.85,16.3,15.7,16.0,1100770
2020-06-17,15.9,16.05,15.5,15.5,459120
2020-06-18,15.45,15.6,15.15,15.5,612200
2020-06-19,15.5,15.8,15.4,15.8,660090
2020-06-22,15.6,15.8,15.55,15.6,386150
2020-06-23,15.5,15.6,15.35,15.5,493310
2020-06-24,15.5,15.75,15.5,15.7,562230
2020-06-25,15.75,15.8,15.55,15.6,369820
2020-06-26,15.6,15.9,15.6,15.9,705050
2020-06-29,15.8,15.85,15.7,15.8,298930
2020-06-30,15.9,16.9,15.8,16.9,3162130
2020-07-01,17.3,18.05,16.95,18.05,2198620
2020-07-02,17.5,18.1,16.8,16.8,1186750
2020-07-03,15.65,15.65,15.65,15.65,16990
2020-07-06,14.6,14.6,14.6,14.6,8470
2020-07-07,13.6,13.6,13.6,13.6,11490
2020-07-08,12.65,12.65,12.65,12.65,694070
2020-07-09,11.8,11.8,11.8,11.8,14760
2020-07-10,11.0,12.2,11.0,11.0,4331000
2020-07-13,10.25,11.75,10.25,11.45,2748170
2020-07-14,11.45,11.6,10.65,10.65,875230
2020-07-15,9.91,10.25,9.91,9.91,675330
2020-07-16,9.22,9.22,9.22,9.22,2484480
2020-07-17,8.58,9.86,8.58,9.86,11365450
2020-07-20,10.4,10.55,9.17,10.5,3118050
2020-07-21,10.0,10.5,9.77,9.77,1389600
2020-07-22,9.09,9.09,9.09,9.09,86230
