time,open,high,low,close,volume
2020-01-06,11.53,11.53,11.53,11.53,0
2020-01-07,11.53,11.53,11.53,11.53,0
2020-01-08,11.53,11.53,11.53,11.53,0
2020-01-09,11.53,11.53,11.53,11.53,0
2020-01-10,11.53,11.53,11.53,11.53,0
2020-01-13,11.53,11.53,11.53,11.53,0
2020-01-14,11.53,11.53,11.53,11.53,0
2020-01-15,11.53,11.53,11.53,11.53,0
2020-01-16,11.53,11.53,11.53,11.53,0
2020-01-17,11.53,11.53,11.53,11.53,0
2020-01-20,11.53,11.53,11.53,11.53,0
2020-01-21,11.53,11.53,11.53,11.53,0
2020-01-22,11.53,11.53,11.53,11.53,40
2020-01-30,11.53,11.53,11.53,11.53,0
2020-01-31,12.33,12.33,12.33,12.33,10
2020-02-03,12.33,12.33,12.33,12.33,0
2020-02-04,12.33,12.33,12.33,12.33,0
2020-02-05,12.33,12.33,12.33,12.33,0
2020-02-06,12.33,12.33,12.33,12.33,0
2020-02-07,12.33,12.33,12.33,12.33,0
2020-02-10,13.06,13.06,13.06,13.06,10
2020-02-11,13.06,13.06,13.06,13.06,0
2020-02-12,13.06,13.06,13.06,13.06,0
2020-02-13,13.06,13.06,13.06,13.06,0
2020-02-14,12.16,12.16,12.16,12.16,20
2020-02-17,11.33,11.33,11.33,11.33,10
2020-02-18,11.33,11.33,11.33,11.33,40
2020-02-19,12.03,12.03,10.57,12.03,30
2020-02-20,12.59,12.59,12.59,12.59,10
2020-02-21,11.73,11.73,11.73,11.73,10
2020-02-24,12.49,12.49,12.43,12.49,50
2020-02-25,11.7,11.7,11.63,11.66,30
2020-02-26,11.66,11.66,11.66,11.66,0
2020-02-27,12.33,12.33,12.33,12.33,10
2020-02-28,11.5,12.96,11.5,12.96,20
2020-03-02,12.09,12.09,12.09,12.09,330
2020-03-03,12.76,12.76,11.3,11.3,20
2020-03-04,10.53,10.53,10.53,10.53,10
2020-03-05,10.63,10.63,10.63,10.63,30
2020-03-06,10.63,10.63,10.63,10.63,0
2020-03-09,10.63,10.63,10.63,10.63,0
2020-03-10,10.63,10.63,10.63,10.63,0
2020-03-11,10.63,10.63,10.63,10.63,0
2020-03-12,10.63,10.63,10.63,10.63,0
2020-03-13,10.63,10.63,10.63,10.63,0
2020-03-16,9.9,9.9,9.9,9.9,10
2020-03-17,9.9,9.9,9.9,9.9,0
2020-03-18,9.9,9.9,9.9,9.9,0
2020-03-19,9.9,9.9,9.9,9.9,0
2020-03-20,9.9,9.9,9.9,9.9,0
2020-03-23,9.9,9.9,9.9,9.9,0
2020-03-24,9.9,9.9,9.9,9.9,0
2020-03-25,9.9,9.9,9.9,9.9,0
2020-03-26,9.9,9.9,9.9,9.9,0
2020-03-27,9.9,9.9,9.9,9.9,0
2020-03-30,9.9,9.9,9.9,9.9,0
2020-03-31,9.24,9.24,9.24,9.24,10
2020-04-01,9.24,9.24,9.24,9.24,0
2020-04-03,9.24,9.24,9.24,9.24,0
2020-04-06,9.24,9.24,9.24,9.24,0
2020-04-07,9.24,9.24,9.24,9.24,0
2020-04-08,8.61,8.61,8.61,8.61,40
2020-04-09,8.01,8.01,8.01,8.01,30
2020-04-10,8.01,8.01,8.01,8.01,0
2020-04-13,8.01,8.01,8.01,8.01,0
2020-04-14,7.48,7.48,7.48,7.48,10
2020-04-15,6.98,6.98,6.98,6.98,10
2020-04-16,6.49,6.49,6.49,6.49,10
2020-04-17,6.49,6.49,6.49,6.49,0
2020-04-20,6.49,6.49,6.49,6.49,0
2020-04-21,6.49,6.49,6.49,6.49,0
2020-04-22,6.49,6.49,6.49,6.49,0
2020-04-23,6.49,6.49,6.49,6.49,0
2020-04-24,6.04,6.04,6.04,6.04,10
2020-04-27,6.04,6.04,6.04,6.04,0
2020-04-28,5.63,5.63,5.63,5.63,10
2020-04-29,5.63,5.63,5.63,5.63,0
2020-05-04,5.63,5.63,5.63,5.63,0
2020-05-05,5.24,5.24,5.24,5.24,10
2020-05-06,5.24,5.24,5.24,5.24,0
2020-05-07,5.24,5.24,5.24,5.24,0
2020-05-08,4.88,4.88,4.88,4.88,10
2020-05-11,4.54,4.54,4.54,4.54,10
2020-05-12,4.54,4.54,4.54,4.54,0
2020-05-13,4.54,4.54,4.54,4.54,0
2020-05-14,4.54,4.54,4.54,4.54,0
2020-05-15,4.54,4.54,4.54,4.54,10
2020-05-18,4.54,4.54,4.54,4.54,0
2020-05-19,4.54,4.54,4.54,4.54,0
2020-05-20,4.54,4.54,4.54,4.54,0
2020-05-21,4.54,4.54,4.54,4.54,0
2020-05-22,4.54,4.54,4.54,4.54,0
2020-05-25,4.54,4.54,4.54,4.54,0
2020-05-26,4.86,4.86,4.86,4.86,10
2020-05-27,4.86,4.86,4.86,4.86,0
2020-05-28,4.86,4.86,4.86,4.86,0
2020-05-29,4.55,4.55,4.55,4.55,10
2020-06-01,4.55,4.55,4.55,4.55,0
2020-06-02,4.55,4.55,4.55,4.55,0
2020-06-03,4.55,4.55,4.55,4.55,0
2020-06-04,4.55,4.55,4.55,4.55,0
2020-06-05,4.55,4.55,4.55,4.55,0
2020-06-08,4.55,4.55,4.55,4.55,0
2020-06-09,4.55,4.55,4.55,4.55,0
2020-06-10,4.55,4.55,4.55,4.55,0
2020-06-11,4.55,4.55,4.55,4.55,0
2020-06-12,4.65,4.65,4.24,4.24,20
2020-06-15,4.24,4.24,4.24,4.24,0
2020-06-16,4.53,4.53,4.53,4.53,1000
2020-06-17,4.53,4.53,4.53,4.53,0
2020-06-18,4.53,4.53,4.53,4.53,0
2020-06-19,4.84,4.84,4.84,4.84,10
2020-06-22,5.18,5.18,5.18,5.18,10
2020-06-23,5.54,5.54,5.54,5.54,10
2020-06-24,5.93,5.93,5.93,5.93,10
2020-06-25,6.34,6.34,6.34,6.34,10
2020-06-26,6.78,6.78,6.78,6.78,480
2020-06-29,7.24,7.24,7.24,7.24,10
2020-06-30,7.74,7.74,7.74,7.74,10
2020-07-01,8.27,8.27,8.27,8.27,200
2020-07-02,8.84,8.84,8.84,8.84,10
2020-07-03,9.44,9.44,9.44,9.44,130
2020-07-06,10.07,10.07,10.07,10.07,10
2020-07-07,10.76,10.76,10.76,10.76,10
2020-07-08,11.5,11.5,11.5,11.5,20
2020-07-09,12.29,12.29,12.29,12.29,10
2020-07-10,13.12,13.12,13.12,13.12,560
2020-07-13,14.02,14.02,14.02,14.02,2710
2020-07-14,14.98,14.98,14.98,14.98,250
2020-07-15,16.02,16.02,16.02,16.02,30
2020-07-16,17.11,17.11,17.11,17.11,450
2020-07-17,18.31,18.31,18.31,18.31,60
2020-07-20,19.57,19.57,19.57,19.57,170
2020-07-21,20.93,20.93,20.93,20.93,80
2020-07-22,22.4,22.4,22.4,22.4,1020
2020-07-23,23.96,23.96,23.96,23.96,460
2020-07-24,25.62,25.62,25.62,25.62,450
2020-07-27,27.38,27.38,27.25,27.38,1180
2020-07-28,29.27,29.27,29.27,29.27,20
2020-07-29,31.3,31.3,31.3,31.3,10
2020-07-30,33.43,33.43,33.43,33.43,10
2020-07-31,35.75,35.75,35.75,35.75,10
2020-08-03,38.21,38.21,38.21,38.21,330
2020-08-04,40.87,40.87,40.87,40.87,60
2020-08-05,43.73,43.73,43.73,43.73,130
2020-08-06,46.78,46.78,46.78,46.78,220
2020-08-07,50.04,50.04,50.04,50.04,10
2020-08-10,53.49,53.49,49.84,53.49,2090
2020-08-11,57.22,57.22,57.22,57.22,30
2020-08-12,61.2,61.2,53.23,61.2,3850
2020-08-13,56.95,65.46,56.95,56.95,3920
2020-08-14,53.03,53.03,53.03,53.03,410
2020-08-17,49.37,49.37,49.37,49.37,210
2020-08-18,49.37,49.37,49.37,49.37,0
2020-08-19,45.92,45.92,45.92,45.92,10
2020-08-20,42.73,42.73,42.73,42.73,40
2020-08-21,39.74,39.74,39.74,39.74,2270
2020-08-24,37.01,37.01,37.01,37.01,290
2020-08-25,34.49,34.49,34.49,34.49,290
2020-08-26,32.1,32.1,32.1,32.1,30
2020-08-27,29.87,29.87,29.87,29.87,80
2020-08-28,27.81,27.81,27.81,27.81,220
2020-08-31,25.88,25.88,25.88,25.88,1680
2020-09-01,24.09,27.68,24.09,27.68,2540
2020-09-03,29.6,29.6,29.6,29.6,22770
2020-09-04,31.66,31.66,31.66,31.66,8800
2020-09-07,33.82,33.82,31.66,33.82,2770
2020-09-08,36.15,36.15,31.46,31.46,6630
2020-09-09,29.27,29.27,29.27,29.27,2110
2020-09-10,27.25,31.3,27.25,30.57,10760
2020-09-11,28.58,29.9,28.58,29.9,1600
2020-09-14,27.81,29.24,27.81,29.17,7560
2020-09-15,27.34,29.31,27.25,29.17,2540
2020-09-16,27.58,29.11,27.15,27.25,12740
2020-09-17,26.91,26.91,26.58,26.58,5360
2020-09-18,27.84,27.84,25.25,26.58,3170
2020-09-21,26.58,26.58,25.19,25.25,7260
2020-09-22,23.92,26.18,23.92,26.18,1270
2020-09-23,26.32,27.71,25.92,25.92,2620
2020-09-24,25.92,26.18,25.12,25.85,550
2020-09-25,27.11,27.11,27.11,27.11,10
2020-09-28,25.25,25.25,25.22,25.22,3650
2020-09-29,23.59,23.62,23.46,23.46,1740
2020-09-30,23.26,23.26,21.83,21.83,4710
2020-10-01,20.33,20.33,20.33,20.33,1830
2020-10-02,19.27,19.37,18.94,18.94,3880
2020-10-05,18.94,18.94,17.64,18.67,5970
2020-10-06,17.74,19.97,17.74,19.97,3270
2020-10-07,21.26,21.36,21.2,21.36,4190
2020-10-08,22.86,22.86,22.86,22.86,5920
2020-10-09,24.46,24.46,24.46,24.46,1330
2020-10-12,26.15,26.15,26.15,26.15,3730
2020-10-13,27.91,27.91,24.32,25.09,13740
2020-10-14,23.36,23.36,23.36,23.36,2800
2020-10-15,21.73,24.92,21.73,23.92,3850
2020-10-16,22.43,23.92,22.26,22.26,6670
2020-10-19,22.26,23.79,22.26,23.79,2760
2020-10-20,24.59,24.59,22.93,23.79,640
2020-10-21,23.79,24.19,23.79,23.79,1760
2020-10-22,22.59,23.72,22.26,22.26,550
2020-10-23,22.93,23.26,21.93,21.93,4870
2020-10-26,23.22,23.22,21.33,22.2,1650
2020-10-27,22.86,22.86,22.2,22.2,650
2020-10-28,22.2,22.2,20.67,20.67,840
2020-10-29,20.87,20.87,19.27,20.6,2700
2020-10-30,20.53,21.6,19.27,21.6,3150
2020-11-02,20.1,22.1,20.1,22.1,110
2020-11-03,22.13,22.13,20.6,20.8,870
2020-11-04,21.53,21.53,19.4,19.6,3910
2020-11-05,20.6,20.6,20.6,20.6,1700
2020-11-06,21.53,21.53,20.6,20.6,830
2020-11-09,20.87,20.87,20.87,20.87,110
2020-11-10,21.13,21.13,20.14,20.27,930
2020-11-11,20.73,20.73,20.73,20.73,210
2020-11-12,20.6,20.6,19.44,19.54,2320
2020-11-13,20.27,20.27,19.54,20.0,420
2020-11-16,19.44,20.27,18.67,18.67,1040
2020-11-17,18.67,19.24,18.67,19.24,80
2020-11-18,19.64,19.64,18.81,19.47,100
2020-11-19,19.27,19.27,19.27,19.27,900
2020-11-20,19.27,19.27,19.27,19.27,130
2020-11-23,18.34,19.27,18.34,18.61,360
2020-11-24,17.74,19.14,17.68,17.81,2160
2020-11-25,17.81,18.47,17.81,17.81,1460
2020-11-26,17.88,18.01,17.81,18.01,1550
2020-11-27,17.48,18.54,17.48,18.54,3450
2020-11-30,18.54,19.84,18.54,19.84,5760
2020-12-01,19.87,21.2,19.87,21.2,4550
2020-12-02,22.66,22.66,22.66,22.66,1750
2020-12-03,24.22,24.22,24.22,24.22,4100
2020-12-04,25.92,25.92,22.53,22.53,9250
2020-12-07,20.97,22.59,20.97,22.53,5400
2020-12-08,21.0,22.49,20.97,22.49,3310
2020-12-09,20.93,22.49,20.93,21.8,1890
2020-12-10,20.4,22.49,20.4,22.46,7710
2020-12-11,21.2,22.46,20.97,21.13,2800
2020-12-14,21.6,21.6,21.26,21.26,1080
2020-12-15,21.93,21.93,19.94,21.13,1970
2020-12-16,19.94,21.26,19.94,21.13,260
2020-12-17,19.97,21.13,19.97,21.13,16060
2020-12-18,19.97,21.0,19.8,19.94,5650
2020-12-21,19.94,21.2,19.94,20.0,2930
2020-12-22,21.16,21.16,19.94,20.27,6230
2020-12-23,21.26,21.26,20.27,21.06,530
2020-12-24,21.06,21.06,21.03,21.03,120
2020-12-25,21.0,21.0,20.4,20.4,640
2020-12-28,20.4,20.4,19.74,20.4,1820
2020-12-29,20.4,20.6,19.67,20.57,2430
2020-12-30,19.94,20.53,19.94,20.53,230
2020-12-31,20.53,20.53,19.77,20.4,4450
2021-01-04,20.4,20.6,19.7,20.6,2700
2021-01-05,20.6,20.6,20.57,20.6,200
2021-01-06,20.6,20.6,20.2,20.47,1100
2021-01-07,20.27,20.27,19.4,19.54,800
2021-01-08,19.6,19.94,19.4,19.94,5100
2021-01-11,19.57,21.26,19.57,19.94,5500
2021-01-12,19.94,20.6,19.6,19.94,600
2021-01-13,19.94,20.4,19.94,19.94,1200
2021-01-14,19.94,20.0,19.94,19.94,3400
2021-01-15,19.94,20.37,19.94,20.37,2000
2021-01-18,19.94,20.14,19.94,20.07,1300
2021-01-19,19.94,19.94,19.94,19.94,500
2021-01-20,18.67,19.9,18.67,19.9,400
2021-01-21,19.94,19.94,19.87,19.9,500
2021-01-22,19.94,20.07,19.87,19.87,1400
2021-01-25,19.04,19.04,19.04,19.04,100
2021-01-26,18.97,20.14,18.61,20.14,6400
2021-01-27,19.27,19.6,19.27,19.6,500
2021-01-28,18.61,18.61,18.24,18.24,1000
2021-01-29,17.94,17.94,17.61,17.94,500
2021-02-01,19.1,19.1,18.04,18.71,3300
2021-02-02,19.54,19.54,19.04,19.54,2600
2021-02-03,20.7,20.7,18.41,18.41,1100
2021-02-04,18.41,18.91,18.27,18.41,1400
2021-02-05,18.41,18.41,18.41,18.41,800
2021-02-08,19.3,19.3,17.28,18.81,1500
2021-02-09,17.94,18.94,17.94,18.44,1700
2021-02-17,18.01,19.04,18.01,19.04,2600
2021-02-18,18.94,19.04,18.87,19.04,1600
2021-02-19,18.21,19.24,18.21,19.24,300
2021-02-22,18.27,18.27,18.27,18.27,200
2021-02-23,18.27,19.17,18.27,19.04,1900
