time,open,high,low,close,volume
2020-01-06,26.21,26.84,26.21,26.4,41840
2020-01-07,26.45,26.45,26.16,26.45,47450
2020-01-08,26.12,26.45,25.64,26.21,60980
2020-01-09,25.97,26.4,25.97,26.31,33970
2020-01-10,25.73,26.12,25.73,25.83,53580
2020-01-13,25.49,25.97,25.49,25.83,46900
2020-01-14,25.44,26.4,25.44,25.78,36260
2020-01-15,26.21,26.21,25.64,25.73,33840
2020-01-16,25.68,25.92,25.64,25.68,73930
2020-01-17,25.25,25.92,25.25,25.64,15350
2020-01-20,26.45,26.45,25.64,25.92,59740
2020-01-21,25.64,26.16,25.64,26.16,33510
2020-01-22,25.97,26.45,25.97,26.45,32900
2020-01-30,26.45,27.17,26.21,26.69,45910
2020-01-31,26.88,28.33,26.69,27.9,180020
2020-02-03,28.81,28.81,26.98,27.41,92420
2020-02-04,27.41,27.41,26.26,26.26,37460
2020-02-05,26.26,26.26,25.88,26.26,62040
2020-02-06,25.97,26.45,25.73,26.45,32890
2020-02-07,25.97,26.64,25.97,26.31,25450
2020-02-10,26.21,26.36,25.97,26.36,38000
2020-02-11,26.07,26.21,25.83,26.16,31030
2020-02-12,26.31,26.36,25.83,26.16,44560
2020-02-13,25.97,25.97,25.54,25.88,20410
2020-02-14,25.64,25.64,25.39,25.49,151220
2020-02-17,25.49,25.54,23.71,24.0,310240
2020-02-18,23.95,24.14,22.6,23.57,92310
2020-02-19,24.02,24.02,23.08,23.54,70670
2020-02-20,23.13,25.1,23.08,25.1,54500
2020-02-21,25.01,25.01,23.47,23.57,59620
2020-02-24,23.08,23.57,21.93,21.93,200170
2020-02-25,21.93,22.84,21.88,22.32,59430
2020-02-26,22.32,23.23,22.12,23.08,193500
2020-02-27,23.37,23.37,22.87,23.23,144600
2020-02-28,23.33,23.33,22.6,23.23,119340
2020-03-02,23.57,23.57,22.6,23.08,27620
2020-03-03,23.57,23.57,22.84,22.84,18750
2020-03-04,22.84,22.89,22.6,22.7,21720
2020-03-05,22.94,23.08,22.6,22.99,55820
2020-03-06,22.75,22.99,22.46,22.99,72580
2020-03-09,22.6,22.94,21.4,22.51,191380
2020-03-10,22.36,22.6,22.36,22.6,60780
2020-03-11,22.12,22.6,21.45,22.6,137600
2020-03-12,21.69,22.36,21.45,22.08,107180
2020-03-13,21.79,22.12,21.11,22.12,129330
2020-03-16,21.64,22.12,21.4,22.08,54850
2020-03-17,20.97,22.03,20.97,22.03,67320
2020-03-18,21.64,22.22,21.55,22.08,79460
2020-03-19,21.64,22.12,21.64,22.03,30260
2020-03-20,22.08,22.51,21.69,22.51,71590
2020-03-23,21.96,22.86,21.96,22.86,148130
2020-03-24,22.61,23.11,22.61,23.11,79830
2020-03-25,24.35,24.35,23.11,24.25,110820
2020-03-26,24.25,24.25,23.5,23.85,32730
2020-03-27,23.35,23.8,22.96,23.58,13280
2020-03-30,23.58,23.6,22.96,23.3,19050
