time,open,high,low,close,volume
2020-01-06,3.92,3.92,3.92,3.92,100
2020-01-07,3.92,3.92,3.92,3.92,0
2020-01-08,3.92,3.92,3.92,3.92,0
2020-01-09,3.92,3.92,3.92,3.92,100
2020-01-10,3.35,3.35,3.35,3.35,400
2020-01-13,3.8,3.8,3.8,3.8,100
2020-01-14,4.37,4.37,4.37,4.37,100
2020-01-15,3.86,3.86,3.86,3.86,100
2020-01-16,4.43,4.43,4.43,4.43,1100
2020-01-17,4.88,5.05,4.48,5.05,2100
2020-01-20,4.37,5.05,4.37,5.05,200
2020-01-21,5.05,5.05,5.05,5.05,200
2020-01-22,4.43,5.68,4.43,5.68,200
2020-01-30,4.43,5.79,4.43,5.79,200
2020-01-31,4.43,5.68,4.43,5.68,200
2020-02-03,4.54,4.54,4.54,4.54,100
2020-02-04,4.54,4.54,4.54,4.54,0
2020-02-05,4.54,4.54,4.54,4.54,0
2020-02-06,4.54,4.54,4.54,4.54,0
2020-02-07,5.11,5.11,5.11,5.11,100
2020-02-10,5.11,5.11,5.11,5.11,0
2020-02-11,5.11,5.11,5.11,5.11,0
2020-02-12,5.11,5.11,5.11,5.11,0
2020-02-13,5.22,5.22,5.22,5.22,200
2020-02-14,5.9,5.9,5.9,5.9,100
2020-02-17,5.9,5.9,5.9,5.9,14
2020-02-18,5.9,5.9,5.9,5.9,0
2020-02-19,6.64,6.64,6.64,6.64,100
2020-02-20,5.68,5.68,5.68,5.68,100
2020-02-21,5.68,5.68,5.68,5.68,0
2020-02-24,5.68,5.68,5.68,5.68,0
2020-02-25,5.51,5.51,5.51,5.51,1000
2020-02-26,5.51,5.51,5.51,5.51,0
2020-02-27,5.51,6.24,5.51,6.24,1100
2020-02-28,5.56,5.56,5.56,6.24,0
2020-03-02,5.56,5.56,5.56,6.24,0
2020-03-03,5.56,5.56,5.56,5.56,1000
2020-03-04,5.56,5.56,5.56,5.56,0
2020-03-05,5.56,5.56,5.56,5.56,0
2020-03-06,5.56,5.56,5.56,5.56,0
2020-03-09,5.0,5.0,5.0,5.0,2000
2020-03-10,5.22,5.28,5.22,5.28,2300
2020-03-11,5.28,5.28,5.28,5.28,0
2020-03-12,5.28,5.28,5.28,5.28,0
2020-03-13,5.34,5.34,5.34,5.34,1000
2020-03-16,5.34,5.34,5.34,5.34,0
2020-03-17,5.34,5.34,5.34,5.34,0
2020-03-18,5.34,5.34,5.34,5.34,0
2020-03-19,5.34,5.34,5.34,5.34,0
2020-03-20,5.34,5.34,5.34,5.34,0
2020-03-23,5.34,5.39,5.34,5.39,3300
2020-03-24,5.39,5.39,5.39,5.39,0
2020-03-25,5.39,5.39,5.39,5.39,0
2020-03-26,5.39,5.39,5.39,5.39,0
2020-03-27,5.39,5.39,5.39,5.39,0
2020-03-30,5.39,5.39,5.39,5.39,0
2020-03-31,5.39,5.39,5.39,5.39,0
2020-04-01,5.39,5.39,5.39,5.39,0
2020-04-03,5.39,5.39,5.39,5.39,0
2020-04-06,5.39,5.39,5.39,5.39,0
2020-04-07,5.11,5.39,5.11,5.39,500
2020-04-08,5.34,5.34,5.34,5.39,0
2020-04-09,5.34,5.34,5.34,5.39,0
2020-04-10,5.34,5.34,5.34,5.39,0
2020-04-13,5.34,5.34,5.34,5.39,0
2020-04-14,5.34,5.34,5.34,5.39,0
2020-04-15,5.34,5.34,5.34,5.39,0
2020-04-16,5.34,5.34,5.34,5.39,0
2020-04-17,5.34,5.34,5.34,5.39,0
2020-04-20,5.34,5.34,5.34,5.39,0
2020-04-21,5.34,5.34,5.34,5.39,0
2020-04-22,5.34,5.34,5.34,5.39,0
2020-04-23,5.34,5.34,5.34,5.39,0
2020-04-24,5.34,5.34,5.34,5.39,0
2020-04-27,5.34,5.34,5.34,5.39,0
2020-04-28,5.34,5.34,5.34,5.39,0
2020-04-29,5.34,5.34,5.34,5.34,100
2020-05-04,5.34,5.34,5.34,5.34,0
2020-05-05,5.34,5.34,5.34,5.34,0
2020-05-06,5.34,5.34,5.34,5.34,0
2020-05-07,5.34,5.34,5.34,5.34,0
2020-05-08,5.34,5.34,5.34,5.34,0
2020-05-11,5.34,5.34,5.34,5.34,0
2020-05-12,5.34,5.34,5.34,5.34,0
2020-05-13,5.34,5.34,5.34,5.34,0
2020-05-14,5.34,5.34,5.34,5.34,0
2020-05-15,5.34,5.34,5.34,5.34,0
2020-05-18,5.34,5.34,5.34,5.34,0
2020-05-19,5.34,5.34,5.34,5.34,0
2020-05-20,5.34,5.34,5.34,5.34,0
2020-05-21,5.34,5.34,5.34,5.34,0
2020-05-22,5.34,5.34,5.34,5.34,0
2020-05-25,5.34,5.34,5.34,5.34,0
2020-05-26,5.34,5.34,5.34,5.34,0
2020-05-27,5.34,5.34,5.34,5.34,0
2020-05-28,5.34,5.34,5.34,5.34,0
2020-05-29,5.34,5.34,5.34,5.34,0
2020-06-01,6.13,6.13,6.13,6.13,12400
2020-06-02,6.92,6.92,6.92,6.92,100
2020-06-03,6.92,6.92,6.92,6.92,0
2020-06-04,7.66,7.66,7.66,7.66,100
2020-06-05,7.66,7.66,7.66,7.66,0
2020-06-08,8.4,8.4,8.4,8.4,100
2020-06-09,8.4,8.4,8.4,8.4,0
2020-06-10,8.4,8.4,8.4,8.4,0
2020-06-11,8.4,8.4,8.4,8.4,0
2020-06-12,8.4,8.4,8.4,8.4,0
2020-06-15,8.4,8.4,8.4,8.4,0
2020-06-16,8.4,8.4,8.4,8.4,0
2020-06-17,7.15,7.15,7.15,7.15,100
2020-06-18,7.15,7.15,7.15,7.15,0
2020-06-19,7.15,7.15,7.15,7.15,0
2020-06-22,7.15,7.15,7.15,7.15,0
2020-06-23,7.15,7.15,7.15,7.15,0
2020-06-24,7.15,7.15,7.15,7.15,0
2020-06-25,7.15,7.15,7.15,7.15,0
2020-06-26,7.15,7.15,7.15,7.15,0
2020-06-29,7.15,7.15,7.15,7.15,0
2020-06-30,8.17,8.17,7.66,7.66,700
2020-07-01,7.72,7.72,7.72,7.66,0
2020-07-02,7.72,7.72,7.72,7.66,0
2020-07-03,7.72,7.72,7.72,7.66,0
2020-07-06,7.72,7.72,7.72,7.66,0
2020-07-07,7.72,7.72,7.72,7.66,0
2020-07-08,7.72,7.72,7.72,7.66,0
2020-07-09,7.72,7.72,7.72,7.66,0
2020-07-10,6.58,7.72,6.58,7.72,200
2020-07-13,7.15,7.15,7.15,7.72,0
2020-07-14,7.15,7.15,7.15,7.72,0
2020-07-15,6.13,6.13,6.13,6.13,100
2020-07-16,6.3,6.3,6.3,6.3,100
2020-07-17,7.1,7.1,7.1,7.1,300
2020-07-20,7.1,7.1,7.1,7.1,0
2020-07-21,7.1,7.1,7.1,7.1,0
2020-07-22,7.1,7.1,7.1,7.1,0
2020-07-23,6.81,6.81,6.81,6.81,100
2020-07-24,6.81,6.81,6.81,6.81,0
2020-07-27,6.81,6.81,6.81,6.81,0
2020-07-28,6.81,6.81,6.81,6.81,0
2020-07-29,6.24,6.24,6.24,6.24,500
2020-07-30,6.24,6.24,6.24,6.24,0
2020-07-31,6.24,6.24,6.24,6.24,0
2020-08-03,6.24,6.24,6.24,6.24,0
2020-08-04,6.24,6.24,6.24,6.24,50
2020-08-05,6.24,6.24,6.24,6.24,1000
2020-08-06,6.24,6.24,6.24,6.24,0
2020-08-07,6.24,6.24,6.24,6.24,0
2020-08-10,6.24,6.24,6.24,6.24,100
2020-08-11,6.24,6.24,6.24,6.24,0
2020-08-12,6.24,6.24,6.24,6.24,0
2020-08-13,6.24,6.24,6.24,6.24,0
2020-08-14,6.24,6.24,6.24,6.24,0
2020-08-17,6.24,6.24,6.24,6.24,0
2020-08-18,6.24,6.24,6.24,6.24,0
2020-08-19,6.24,6.24,6.24,6.24,0
2020-08-20,6.24,6.41,6.24,6.41,3650
2020-08-21,6.41,6.41,6.41,6.41,1000
2020-08-24,6.47,7.26,6.47,7.26,27700
2020-08-25,6.81,7.55,6.75,7.55,31820
2020-08-26,8.12,8.12,7.55,8.12,27308
2020-08-27,8.12,8.12,7.83,7.95,45615
