time,open,high,low,close,volume
2020-01-06,4.48,4.5,4.43,4.43,552080
2020-01-07,4.43,4.43,4.35,4.35,249910
2020-01-08,4.33,4.35,4.2,4.22,352060
2020-01-09,4.27,4.27,4.16,4.19,356170
2020-01-10,4.19,4.22,4.18,4.2,127150
2020-01-13,4.2,4.22,4.17,4.22,57990
2020-01-14,4.22,4.24,4.2,4.22,61460
2020-01-15,4.22,4.24,4.19,4.2,106320
2020-01-16,4.22,4.22,4.17,4.2,152400
2020-01-17,4.19,4.19,4.16,4.16,159370
2020-01-20,4.18,4.22,4.15,4.15,180560
2020-01-21,4.15,4.18,4.15,4.18,76810
2020-01-22,4.21,4.27,4.21,4.27,159020
2020-01-30,4.25,4.29,4.17,4.18,391530
2020-01-31,4.22,4.22,4.15,4.15,147910
2020-02-03,4.08,4.08,3.86,3.99,386280
2020-02-04,3.99,4.04,3.95,4.04,285620
2020-02-05,4.01,4.04,3.94,4.0,249370
2020-02-06,4.02,4.04,4.0,4.01,278520
2020-02-07,4.01,4.08,4.01,4.08,248100
2020-02-10,4.08,4.08,4.01,4.08,289570
2020-02-11,4.08,4.22,4.08,4.17,292740
2020-02-12,4.15,4.27,4.15,4.26,497880
2020-02-13,4.24,4.27,4.24,4.27,227040
2020-02-14,4.29,4.39,4.28,4.34,625020
2020-02-17,4.38,4.38,4.28,4.29,349190
2020-02-18,4.29,4.34,4.24,4.34,401920
2020-02-19,4.34,4.35,4.29,4.34,281190
2020-02-20,4.32,4.42,4.32,4.41,670430
2020-02-21,4.4,4.43,4.36,4.37,156680
2020-02-24,4.33,4.33,4.26,4.27,650830
2020-02-25,4.15,4.28,4.15,4.28,198850
2020-02-26,4.25,4.3,4.25,4.28,290390
2020-02-27,4.3,4.35,4.28,4.3,128770
2020-02-28,4.27,4.3,4.26,4.27,147700
2020-03-02,4.27,4.27,4.22,4.23,407890
2020-03-03,4.24,4.26,4.21,4.24,360690
2020-03-04,4.23,4.44,4.22,4.4,882950
2020-03-05,4.44,4.46,4.34,4.34,206880
2020-03-06,4.34,4.36,4.29,4.29,146580
2020-03-09,4.0,4.15,4.0,4.01,1157560
2020-03-10,3.97,4.16,3.97,4.16,313800
2020-03-11,4.18,4.19,4.11,4.12,349950
2020-03-12,3.84,3.88,3.84,3.84,1109730
2020-03-13,3.58,3.72,3.58,3.72,730180
2020-03-16,3.72,3.9,3.72,3.89,984100
2020-03-17,3.86,3.94,3.83,3.94,588380
2020-03-18,3.96,4.1,3.96,4.08,659550
2020-03-19,4.08,4.24,3.96,4.18,603250
2020-03-20,4.21,4.21,4.12,4.16,271590
2020-03-23,4.12,4.15,3.87,3.87,648570
2020-03-24,3.81,4.01,3.8,3.95,858450
2020-03-25,4.01,4.09,4.01,4.06,442040
2020-03-26,4.02,4.08,3.97,3.98,247810
2020-03-27,4.04,4.04,3.94,3.96,304660
2020-03-30,3.82,3.82,3.76,3.76,552810
2020-03-31,3.82,3.84,3.65,3.73,284950
2020-04-01,3.77,3.91,3.72,3.9,246240
2020-04-03,3.91,4.03,3.91,4.0,957510
2020-04-06,4.04,4.14,4.0,4.12,662950
2020-04-07,4.12,4.12,4.05,4.11,358060
2020-04-08,4.04,4.39,4.01,4.39,4052510
2020-04-09,4.6,4.67,4.43,4.45,1304610
2020-04-10,4.47,4.53,4.36,4.5,580060
2020-04-13,4.43,4.62,4.36,4.36,1567870
2020-04-14,4.36,4.53,4.34,4.53,1113570
2020-04-15,4.62,4.68,4.61,4.61,1303660
2020-04-16,4.57,4.64,4.54,4.6,1183890
2020-04-17,4.69,4.69,4.6,4.64,1121630
2020-04-20,4.68,4.96,4.6,4.96,2308940
2020-04-21,5.19,5.31,5.03,5.24,4985550
2020-04-22,5.2,5.6,5.0,5.6,2234520
2020-04-23,5.9,5.9,5.62,5.62,2308920
2020-04-24,5.49,5.61,5.35,5.45,2576940
2020-04-27,5.46,5.62,5.31,5.48,1825200
2020-04-28,5.52,5.86,5.52,5.86,2850030
2020-04-29,5.94,6.21,5.9,5.94,2888190
2020-05-04,5.77,5.83,5.55,5.55,1562950
2020-05-05,5.51,5.73,5.51,5.66,1230410
2020-05-06,5.62,5.73,5.62,5.69,1103120
2020-05-07,5.67,5.71,5.59,5.63,1236080
2020-05-08,5.59,5.73,5.59,5.61,1846120
2020-05-11,5.69,5.69,5.59,5.6,1104570
2020-05-12,5.59,5.99,5.59,5.99,4383450
2020-05-13,6.04,6.21,5.92,6.16,2881960
2020-05-14,5.97,6.15,5.97,6.01,1280770
2020-05-15,6.01,6.01,5.69,5.83,2374630
2020-05-18,5.83,5.83,5.65,5.75,1479440
2020-05-19,5.79,5.91,5.73,5.77,1672890
2020-05-20,5.83,6.15,5.79,6.09,2554830
2020-05-21,5.75,6.11,5.75,5.97,1113960
2020-05-22,5.94,6.23,5.9,6.03,2390430
2020-05-25,6.03,6.35,5.97,6.25,2392630
2020-05-26,6.25,6.25,6.13,6.19,1369530
2020-05-27,6.2,6.27,5.92,5.92,1976250
2020-05-28,6.04,6.06,5.92,5.98,1486580
2020-05-29,5.98,6.03,5.94,5.97,815760
2020-06-01,5.97,6.06,5.97,5.98,1273410
2020-06-02,6.01,6.01,5.62,5.8,2830060
2020-06-03,5.79,5.83,5.73,5.83,1052660
2020-06-04,6.01,6.01,5.83,5.86,660300
2020-06-05,5.73,6.01,5.73,5.92,868980
2020-06-08,5.92,6.04,5.92,5.94,1923210
2020-06-09,5.97,6.14,5.94,6.11,3821740
2020-06-10,6.16,6.24,6.01,6.18,2686710
2020-06-11,6.22,6.42,5.76,5.76,4633900
2020-06-12,5.76,5.97,5.75,5.92,2516500
2020-06-15,5.92,6.11,5.83,5.9,1966350
2020-06-16,5.97,6.06,5.87,5.97,1822420
2020-06-17,5.93,6.11,5.93,6.02,1478610
2020-06-18,6.01,6.02,5.92,5.97,671580
2020-06-19,5.97,6.21,5.97,6.19,2790890
2020-06-22,6.62,6.62,6.23,6.62,6138070
2020-06-23,6.78,6.92,6.46,6.73,4039140
2020-06-24,6.68,6.73,6.48,6.49,1911620
2020-06-25,6.54,6.89,6.41,6.68,4881260
2020-06-26,6.75,6.82,6.5,6.5,1692050
2020-06-29,6.46,6.5,6.11,6.24,3275200
2020-06-30,6.29,6.37,5.8,5.99,3860800
2020-07-01,5.99,6.25,5.94,6.19,1627540
2020-07-02,6.19,6.28,6.08,6.12,787860
2020-07-03,6.12,6.18,6.04,6.08,1248610
2020-07-06,6.11,6.2,6.05,6.16,987580
2020-07-07,6.18,6.25,6.18,6.18,1851610
2020-07-08,6.18,6.4,6.16,6.34,1861080
2020-07-09,6.44,6.44,6.34,6.36,1145390
2020-07-10,6.32,6.4,6.3,6.32,1868620
2020-07-13,6.37,6.43,6.25,6.29,1254510
2020-07-14,6.29,6.37,6.26,6.37,1487360
2020-07-15,6.45,6.5,6.36,6.36,1594150
2020-07-16,6.36,6.4,6.29,6.33,1328300
2020-07-17,6.33,6.39,6.3,6.3,1324580
2020-07-20,6.3,6.32,6.15,6.15,1723170
2020-07-21,6.2,6.25,6.1,6.23,1385810
2020-07-22,6.25,6.33,6.15,6.18,1148260
2020-07-23,6.18,6.23,6.13,6.18,562520
2020-07-24,6.15,6.18,5.75,5.9,2870260
2020-07-27,5.62,5.74,5.5,5.5,3733280
2020-07-28,5.53,5.84,5.5,5.84,1616520
2020-07-29,5.61,5.63,5.44,5.62,2069730
2020-07-30,5.69,5.74,5.64,5.64,997970
2020-07-31,5.41,5.66,5.41,5.55,1121840
2020-08-03,5.59,5.76,5.57,5.71,885230
2020-08-04,5.74,5.8,5.71,5.73,1159510
2020-08-05,5.73,5.85,5.69,5.85,1328290
2020-08-06,5.85,5.85,5.76,5.76,1163100
2020-08-07,5.76,5.81,5.72,5.76,1370670
2020-08-10,5.83,5.96,5.82,5.88,2095400
2020-08-11,5.9,5.93,5.83,5.88,1956010
2020-08-12,5.88,5.92,5.84,5.89,1606080
2020-08-13,6.11,6.18,5.9,6.11,2997390
2020-08-14,6.11,6.16,5.9,6.05,1966960
2020-08-17,6.05,6.08,5.99,6.04,1076850
2020-08-18,6.08,6.13,6.06,6.06,1207010
2020-08-19,6.11,6.12,6.08,6.08,1407000
2020-08-20,6.09,6.11,6.01,6.02,1305350
2020-08-21,6.02,6.37,6.02,6.35,5234320
2020-08-24,6.51,6.52,6.4,6.44,3105600
2020-08-25,6.44,6.46,6.36,6.38,2071880
2020-08-26,6.35,6.46,6.3,6.4,2859570
2020-08-27,6.44,6.51,6.41,6.44,1841680
2020-08-28,6.48,6.51,6.4,6.4,1830890
2020-08-31,6.4,6.74,6.35,6.53,3294400
2020-09-01,6.52,6.57,6.46,6.54,1030970
2020-09-03,6.56,6.6,6.46,6.5,1850680
2020-09-04,6.41,6.46,6.37,6.44,1607750
2020-09-07,6.44,6.54,6.4,6.4,2102690
2020-09-08,6.43,6.45,6.37,6.4,958720
2020-09-09,6.37,6.66,6.37,6.6,3964000
2020-09-10,6.66,6.68,6.56,6.57,1431220
2020-09-11,6.57,6.66,6.53,6.61,2007190
2020-09-14,6.66,6.99,6.61,6.99,5746950
2020-09-15,7.03,7.31,7.02,7.06,4518800
2020-09-16,7.03,7.2,6.91,7.1,2348500
2020-09-17,7.1,7.17,6.96,7.06,2661050
2020-09-18,7.03,7.27,7.01,7.2,2271970
2020-09-21,7.27,7.34,7.01,7.02,3159880
2020-09-22,7.03,7.2,7.02,7.2,2776360
2020-09-23,7.24,7.27,7.06,7.17,2143160
2020-09-24,7.1,7.2,7.06,7.13,2024220
2020-09-25,7.17,7.2,7.1,7.2,2176900
2020-09-28,7.31,7.7,7.31,7.7,6234180
2020-09-29,7.94,8.22,7.91,8.22,9543880
2020-09-30,8.29,8.5,8.01,8.33,3759410
2020-10-01,8.29,8.43,8.01,8.26,3824540
2020-10-02,8.22,8.26,7.8,8.22,5484570
2020-10-05,8.5,8.5,8.26,8.5,4798530
2020-10-06,8.57,8.57,8.33,8.43,2117120
2020-10-07,8.36,8.4,8.22,8.22,2431200
2020-10-08,8.26,8.61,8.12,8.5,7706100
2020-10-09,8.57,8.61,8.4,8.5,1690980
2020-10-12,8.5,8.57,8.33,8.4,3954970
2020-10-13,8.33,8.47,8.22,8.43,2969200
2020-10-14,8.43,8.47,8.29,8.4,1474130
2020-10-15,8.47,8.54,8.4,8.43,4456120
2020-10-16,8.54,8.99,8.36,8.82,10014980
2020-10-19,8.86,8.96,8.68,8.71,2381220
2020-10-20,8.64,8.75,8.61,8.75,2369750
2020-10-21,8.78,8.96,8.71,8.71,3619400
2020-10-22,8.71,8.86,8.64,8.86,2240150
2020-10-23,8.86,9.14,8.86,8.99,3964710
2020-10-26,8.99,9.06,8.82,8.82,1648640
2020-10-27,8.82,8.82,8.61,8.61,1847470
2020-10-28,8.57,8.83,8.5,8.5,3098260
2020-10-29,8.5,8.76,8.39,8.61,3091820
2020-10-30,8.65,8.83,8.65,8.79,2789410
2020-11-02,8.94,9.38,8.94,9.38,4554800
2020-11-03,9.46,9.53,9.16,9.31,2554570
2020-11-04,9.31,9.35,9.16,9.31,2308520
2020-11-05,9.24,9.53,9.2,9.24,3196480
2020-11-06,9.27,9.31,9.09,9.24,3319610
2020-11-09,9.31,9.72,9.31,9.64,5227000
2020-11-10,9.64,9.64,9.27,9.35,4210860
2020-11-11,9.31,9.38,9.09,9.13,5160080
2020-11-12,9.16,9.35,8.9,9.35,4432750
2020-11-13,9.35,9.53,9.24,9.35,3024420
2020-11-16,9.38,9.42,9.16,9.16,3243970
2020-11-17,9.16,9.24,9.02,9.24,4297480
2020-11-18,9.24,9.31,9.09,9.16,2826820
2020-11-19,9.13,9.24,9.09,9.16,2503700
2020-11-20,9.09,9.16,9.05,9.05,2927590
2020-11-23,8.98,9.09,8.98,8.98,3660270
2020-11-24,8.94,9.2,8.87,9.13,5713360
2020-11-25,9.13,9.16,8.94,8.98,3090050
2020-11-26,8.98,9.09,8.94,9.02,1576250
2020-11-27,9.05,9.09,8.98,8.98,1835780
2020-11-30,8.98,8.98,8.79,8.79,4263660
2020-12-01,8.65,8.98,8.54,8.98,3673840
2020-12-02,8.98,9.24,8.87,9.02,3375810
2020-12-03,9.05,9.13,8.98,9.09,1967910
2020-12-04,9.09,9.2,9.02,9.09,4199830
2020-12-07,9.16,9.16,9.05,9.09,2636490
2020-12-08,9.13,9.53,9.09,9.42,7750620
2020-12-09,9.46,9.46,9.31,9.35,2682830
2020-12-10,9.38,9.38,9.24,9.24,2978470
2020-12-11,9.2,9.24,9.05,9.24,2914750
2020-12-14,9.31,9.38,9.16,9.16,3012670
2020-12-15,9.16,9.46,9.09,9.24,3461650
2020-12-16,9.31,9.35,9.2,9.27,2696150
2020-12-17,9.31,9.31,9.13,9.16,2880660
2020-12-18,9.16,9.2,9.09,9.13,2559750
2020-12-21,9.2,9.27,9.13,9.24,3666060
2020-12-22,9.38,9.86,9.24,9.86,11486410
2020-12-23,10.31,10.34,9.94,9.98,8077920
2020-12-24,10.24,10.27,9.5,9.86,5646470
2020-12-25,9.83,10.2,9.61,10.2,6396790
2020-12-28,10.2,10.34,9.98,10.16,4808650
2020-12-29,10.05,10.24,9.94,10.12,3998990
2020-12-30,10.24,10.68,10.24,10.34,6807900
2020-12-31,10.27,10.42,10.2,10.34,3098020
2021-01-04,10.42,10.6,10.24,10.42,4685600
2021-01-05,10.42,10.53,10.27,10.42,4650000
2021-01-06,10.46,10.53,10.31,10.38,4556800
2021-01-07,10.38,10.42,10.27,10.38,3261200
2021-01-08,10.49,10.79,10.38,10.57,4944600
2021-01-11,10.72,10.79,10.46,10.53,3402900
2021-01-12,10.53,10.6,10.42,10.57,2730500
2021-01-13,10.72,10.75,10.49,10.53,4556900
2021-01-14,10.49,10.57,10.38,10.53,2783500
2021-01-15,10.57,10.64,10.42,10.53,3520600
2021-01-18,10.57,11.23,10.53,11.16,8532300
2021-01-19,11.2,11.23,10.38,10.53,4019500
2021-01-20,10.49,10.57,9.83,10.49,2957500
2021-01-21,10.53,10.83,10.2,10.64,4159300
2021-01-22,10.64,10.86,10.49,10.57,2529300
2021-01-25,10.57,11.05,10.38,10.64,4122900
2021-01-26,10.64,10.79,9.98,10.27,3268100
2021-01-27,10.09,10.31,9.57,9.75,3889600
2021-01-28,9.09,9.31,9.09,9.09,3918300
2021-01-29,8.46,9.53,8.46,9.42,2974900
2021-02-01,9.42,9.42,8.79,8.83,4405600
2021-02-02,8.83,8.98,8.5,8.72,2301800
2021-02-03,8.87,9.31,8.87,9.31,2548300
2021-02-04,9.35,9.72,8.68,9.38,2751600
2021-02-05,9.38,9.61,9.35,9.53,1438500
2021-02-08,9.53,9.61,9.09,9.27,2219800
2021-02-09,9.2,9.35,9.13,9.24,2277000
2021-02-17,9.42,9.53,9.24,9.46,2073000
2021-02-18,9.46,10.09,9.38,10.09,5597500
2021-02-19,10.12,10.49,9.98,10.2,3616800
2021-02-22,10.42,10.42,10.05,10.2,2954300
2021-02-23,10.05,10.24,10.05,10.09,2390200
2021-02-24,10.09,10.27,9.79,9.98,2755000
2021-02-25,10.12,10.12,9.79,9.9,2405300
2021-02-26,9.72,9.98,9.68,9.98,3042200
2021-03-01,10.12,10.46,10.05,10.34,4322600
2021-03-02,10.68,11.05,10.49,11.05,11549900
2021-03-03,11.27,11.79,11.23,11.79,9926500
2021-03-04,12.16,12.45,11.79,12.08,7916800
2021-03-05,11.82,12.49,11.56,12.41,7688000
2021-03-08,12.41,12.71,12.04,12.38,6129900
2021-03-09,12.12,12.49,12.01,12.41,4187600
2021-03-10,12.41,12.78,12.41,12.49,4718100
2021-03-11,12.49,12.6,12.34,12.45,3640100
2021-03-12,12.49,12.52,12.19,12.23,2827800
2021-03-15,12.23,12.27,12.08,12.12,3279000
2021-03-16,12.12,12.19,11.82,12.08,2549500
2021-03-17,12.23,12.9,12.23,12.9,7363000
2021-03-18,13.15,13.19,12.82,12.9,3240200
2021-03-19,12.9,12.9,12.49,12.78,3406800
2021-03-22,12.71,12.75,12.52,12.6,3447500
2021-03-23,12.56,13.01,12.45,12.86,3727300
2021-03-24,12.82,12.82,12.19,12.56,3223400
2021-03-25,12.49,12.56,12.19,12.34,2132500
2021-03-26,12.19,12.52,11.97,12.41,3996100
2021-03-29,12.52,13.04,12.49,12.93,5037000
2021-03-30,12.97,12.97,12.56,12.75,2346100
2021-03-31,12.67,13.01,12.67,12.9,4268000
2021-04-01,13.15,13.67,13.12,13.38,5582300
2021-04-02,13.45,13.52,13.15,13.34,2362300
2021-04-05,13.45,13.45,13.08,13.26,2966200
2021-04-06,13.01,13.52,12.97,13.3,3576400
2021-04-07,13.26,13.41,13.15,13.41,2004800
2021-04-08,13.41,13.49,13.19,13.26,1687400
2021-04-09,13.23,13.34,12.93,13.23,2763800
2021-04-12,13.23,13.6,13.15,13.41,4177600
2021-04-13,13.45,13.67,13.3,13.34,4066300
2021-04-14,13.23,13.38,13.15,13.38,2416900
2021-04-15,13.38,13.45,12.56,12.78,4863700
2021-04-16,12.75,12.75,12.23,12.64,4232200
2021-04-19,12.64,12.97,12.41,12.86,1535300
2021-04-20,12.86,12.9,12.38,12.56,2437900
2021-04-22,12.41,12.52,11.71,11.71,4848500
2021-04-23,11.71,12.01,11.08,11.93,2890300
2021-04-26,11.93,11.97,11.31,11.45,1800200
2021-04-27,11.53,12.23,11.27,11.93,3171100
2021-04-28,12.01,12.08,11.82,11.93,1826200
2021-04-29,11.97,12.08,11.82,11.82,1406200
2021-05-04,11.45,11.82,11.45,11.75,1614400
2021-05-05,11.82,12.12,11.71,12.01,1864900
2021-05-06,12.04,12.12,11.82,11.86,1570400
2021-05-07,11.79,11.86,11.49,11.49,2012300
2021-05-10,11.42,11.9,11.34,11.79,2778900
2021-05-11,11.97,12.08,11.86,11.86,1753300
2021-05-12,11.86,12.3,11.82,12.3,1800100
2021-05-13,12.19,12.45,12.12,12.3,2274000
2021-05-14,12.49,13.15,12.49,13.04,5811300
2021-05-17,13.12,13.23,12.6,12.67,2806500
2021-05-18,12.6,12.71,12.23,12.27,1760300
2021-05-19,12.23,12.52,11.97,12.3,2701100
2021-05-20,12.34,12.6,12.27,12.41,1785900
2021-05-21,12.75,12.97,12.49,12.56,2990600
2021-05-24,12.71,13.15,12.56,13.08,4516700
2021-05-25,13.01,13.52,13.01,13.04,4640600
2021-05-26,13.04,13.08,12.86,12.9,1980600
2021-05-27,12.86,12.9,12.45,12.56,3385300
2021-05-28,12.56,12.78,12.27,12.56,3537400
2021-05-31,12.56,12.56,12.23,12.41,4106200
2021-06-01,12.34,12.45,12.27,12.3,2551200
2021-06-02,12.27,13.15,11.97,13.15,6752700
2021-06-03,13.67,13.67,13.3,13.34,3823700
2021-06-04,13.34,13.34,13.04,13.15,3709900
2021-06-07,13.15,13.67,12.93,13.12,7308900
2021-06-08,13.3,13.63,13.15,13.15,5690800
2021-06-09,13.15,13.3,12.78,13.23,2063600
2021-06-10,13.23,14.15,13.12,14.15,10617500
2021-06-11,14.26,14.41,13.97,14.08,4548000
2021-06-14,14.11,14.7,14.11,14.41,3360200
2021-06-15,14.41,14.63,14.04,14.37,4405300
2021-06-16,14.37,14.96,14.34,14.56,5046200
2021-06-17,14.52,15.0,14.19,14.93,3719600
2021-06-18,15.11,15.89,14.7,15.0,5936800
2021-06-21,15.15,15.44,14.93,15.04,3715700
2021-06-22,15.19,15.19,14.56,14.63,5703200
2021-06-23,14.48,15.0,14.26,14.89,5383800
2021-06-24,14.7,14.93,14.48,14.7,2012600
2021-06-25,14.7,15.0,14.7,14.93,2489700
2021-06-28,14.93,15.3,14.93,15.11,3295000
2021-06-29,15.15,15.74,15.15,15.26,2923700
2021-06-30,15.26,15.85,15.08,15.52,4257700
2021-07-01,15.67,15.81,15.15,15.26,4589300
2021-07-02,15.33,15.48,14.7,14.85,7896100
2021-07-05,14.7,14.78,14.34,14.41,6023700
2021-07-06,14.41,14.7,14.0,14.0,3285800
2021-07-07,13.89,14.12,13.27,13.85,2779100
2021-07-08,13.73,14.16,13.54,13.62,2350700
2021-07-09,13.35,13.85,13.12,13.15,3294500
2021-07-12,13.19,13.19,12.27,12.34,5058100
2021-07-13,12.5,13.19,12.42,13.19,2663000
2021-07-14,13.27,13.5,12.65,13.12,2549200
2021-07-15,12.77,13.39,12.77,13.27,1769600
2021-07-16,13.27,13.81,13.12,13.5,2411800
2021-07-19,13.04,13.27,12.69,12.81,2819500
2021-07-20,12.96,13.54,12.81,13.46,3420800
2021-07-21,13.54,13.77,13.35,13.42,1965800
2021-07-22,13.42,14.23,13.27,14.04,4159600
2021-07-23,14.04,14.39,13.89,14.2,3972200
2021-07-26,14.04,14.81,13.89,14.62,4972400
2021-07-27,14.66,14.97,14.31,14.58,5045100
2021-07-28,14.47,14.66,14.35,14.47,2278900
2021-07-29,14.58,14.93,14.43,14.89,5280200
2021-07-30,14.93,15.7,14.89,15.58,9063300
2021-08-02,15.66,16.36,15.58,15.89,7888600
2021-08-03,15.97,16.28,15.66,16.09,6710900
2021-08-04,16.09,16.12,15.58,15.89,5567900
2021-08-05,15.82,16.63,15.62,16.59,7178800
2021-08-06,16.63,16.74,16.28,16.36,5646100
2021-08-09,16.24,17.48,16.16,17.48,8393700
2021-08-10,18.13,18.52,17.44,17.63,10346200
2021-08-11,17.51,18.52,17.2,18.21,7160300
2021-08-12,17.74,18.25,16.93,16.97,10891800
2021-08-13,16.51,18.13,16.51,18.09,7672700
2021-08-16,18.25,18.86,17.98,18.09,6711000
2021-08-17,17.67,18.56,17.4,18.28,5911700
2021-08-18,18.05,18.44,17.71,18.09,3768800
2021-08-19,17.74,18.25,17.74,18.05,2744200
2021-08-20,18.28,18.48,17.44,18.25,9465500
2021-08-23,18.36,19.1,18.32,18.9,7776200
2021-08-24,18.9,18.94,17.98,18.21,3659300
2021-08-25,18.21,18.25,17.17,17.9,3916500
2021-08-26,17.9,19.13,17.9,18.63,8177600
2021-08-27,18.28,18.98,18.17,18.98,3190600
2021-08-30,19.13,19.67,18.75,18.98,6237900
2021-08-31,18.86,19.6,18.56,19.29,7774000
2021-09-01,19.13,20.29,19.06,20.06,8207000
2021-09-06,20.21,20.29,19.52,19.6,4167600
2021-09-07,19.67,19.67,18.94,19.02,6359200
2021-09-08,18.71,19.33,18.67,19.02,3960500
2021-09-09,19.25,19.25,18.82,19.13,2090400
2021-09-10,19.13,19.64,18.98,19.25,4414700
2021-09-13,19.29,19.67,19.06,19.36,3784400
2021-09-14,19.6,20.02,19.48,19.48,4512600
2021-09-15,19.44,19.6,19.1,19.29,2704900
2021-09-16,19.36,19.4,18.94,19.13,2916200
2021-09-17,19.06,19.44,18.52,19.33,6065700
2021-09-20,19.6,19.79,18.98,19.1,3255900
2021-09-21,18.63,19.06,18.59,19.06,3255000
2021-09-22,19.13,19.25,18.67,18.9,2789400
2021-09-23,18.94,19.29,18.82,19.06,2561500
2021-09-24,19.06,19.21,18.63,18.67,2879400
2021-09-27,18.67,18.67,17.59,17.59,4173100
2021-09-28,17.48,17.98,16.51,17.86,3292600
2021-09-29,17.86,19.1,17.48,19.1,3987100
2021-09-30,19.29,20.41,19.21,20.41,10520100
2021-10-01,20.52,21.83,20.48,21.76,9130200
2021-10-04,22.22,23.03,21.76,21.91,6320600
2021-10-05,21.6,22.91,21.45,22.22,7723900
2021-10-06,22.22,22.91,21.87,22.57,6551700
2021-10-07,22.57,23.68,22.49,22.49,5660900
2021-10-08,22.68,22.68,21.76,21.8,5927700
2021-10-11,22.3,22.84,21.76,22.76,5415900
2021-10-12,22.99,23.26,22.34,22.41,6067700
2021-10-13,22.45,23.96,22.18,23.96,9255100
2021-10-14,24.69,25.46,24.3,24.77,4687300
2021-10-15,25.07,25.73,24.38,25.23,4786800
2021-10-18,25.31,25.69,23.84,23.99,12102000
2021-10-19,24.03,25.07,23.53,25.07,9616700
2021-10-20,25.31,26.15,25.07,25.85,5413200
2021-10-21,26.08,26.31,25.38,26.08,4817000
2021-10-22,26.15,26.15,25.19,25.61,7164600
2021-10-25,25.31,25.46,24.15,24.3,7568100
2021-10-26,24.07,24.92,23.68,24.53,9255600
2021-10-27,25.07,25.23,24.46,24.46,5767300
2021-10-28,24.77,25.85,24.46,25.85,8110500
2021-10-29,25.85,26.19,25.31,25.69,6903200
2021-11-01,26.08,26.89,25.58,26.23,9363100
2021-11-02,26.39,26.77,25.69,26.15,7260500
2021-11-03,26.15,26.46,24.69,25.19,7581500
2021-11-04,25.38,25.85,24.92,25.34,9328500
2021-11-05,25.46,27.08,25.34,27.08,12651500
2021-11-08,28.16,28.93,27.77,28.43,7887000
2021-11-09,28.43,28.55,27.77,28.35,10330400
2021-11-10,28.74,29.66,28.24,29.66,8734400
2021-11-11,29.66,29.66,28.58,28.7,7667500
2021-11-12,28.93,29.66,28.55,29.4,6546600
2021-11-15,29.7,30.67,28.93,29.94,7641700
2021-11-16,30.24,30.71,29.78,30.24,6192500
2021-11-17,30.24,30.48,29.7,29.86,4922900
2021-11-18,29.7,29.82,27.85,28.16,15836300
2021-11-19,27.77,28.93,26.23,27.7,11080600
2021-11-22,28.39,28.58,27.0,27.0,5412700
2021-11-23,27.0,28.55,26.85,28.55,5420600
2021-11-24,28.78,28.86,27.85,28.01,4488500
2021-11-25,28.24,28.93,27.81,28.51,6994800
2021-11-26,28.93,30.01,28.55,29.4,9079400
2021-11-29,28.78,29.32,28.62,29.01,4582100
2021-11-30,29.09,30.24,28.86,29.32,7895400
2021-12-01,29.55,31.25,29.43,31.05,12264700
2021-12-02,31.17,31.67,30.01,30.17,7184400
2021-12-03,30.32,30.51,28.93,28.93,9257200
2021-12-06,28.55,28.97,26.93,27.16,10722600
2021-12-07,27.47,28.32,26.85,27.93,4207400
2021-12-08,28.39,28.86,28.08,28.32,4623700
2021-12-09,28.16,28.66,27.77,28.66,3231000
2021-12-10,28.74,29.66,28.7,29.05,4893900
2021-12-13,29.43,29.43,28.55,28.82,3833700
2021-12-14,28.86,30.09,28.58,29.4,6455400
2021-12-15,29.63,30.24,29.16,29.51,6578100
2021-12-16,29.51,29.55,28.74,28.93,5357000
2021-12-17,28.93,29.4,28.47,29.24,7136400
2021-12-20,29.32,29.86,28.86,29.16,4569200
2021-12-21,29.32,31.05,29.32,30.9,12913600
2021-12-22,31.17,31.52,29.9,29.9,7584500
