time,open,high,low,close,volume
2020-01-06,6.22,6.22,6.22,6.22,0
2020-01-07,6.22,6.22,6.22,6.22,300
2020-01-08,6.22,6.22,6.22,6.22,100
2020-01-09,6.22,6.22,6.22,6.22,0
2020-01-10,6.22,6.22,6.22,6.22,43
2020-01-13,6.22,6.22,6.22,6.22,0
2020-01-14,6.03,6.03,6.03,6.03,2900
2020-01-15,6.03,6.03,6.03,6.03,0
2020-01-16,6.03,6.03,6.03,6.03,0
2020-01-17,6.03,6.03,6.03,6.03,0
2020-01-20,5.9,5.9,5.9,5.9,500
2020-01-21,6.22,6.22,6.22,6.22,1800
2020-01-22,6.55,6.55,6.55,6.55,100
2020-01-30,6.55,6.55,6.55,6.55,0
2020-01-31,6.55,7.54,6.55,7.54,4110
2020-02-03,8.39,8.45,7.86,7.86,8333
2020-02-04,8.32,8.32,8.32,8.32,800
2020-02-05,8.32,8.32,8.32,8.32,100
2020-02-06,8.32,8.32,8.32,8.32,0
2020-02-07,8.32,8.32,8.32,8.32,0
2020-02-10,8.32,8.32,8.32,8.32,50
2020-02-11,8.32,8.32,8.32,8.32,0
2020-02-12,8.32,8.32,8.32,8.32,0
2020-02-13,8.32,8.32,8.32,8.32,0
2020-02-14,8.32,8.32,8.32,8.32,0
2020-02-17,8.32,8.32,8.32,8.32,0
2020-02-18,8.32,8.32,8.32,8.32,0
2020-02-19,8.32,8.32,8.32,8.32,0
2020-02-20,7.54,7.54,7.08,7.08,2700
2020-02-21,7.21,7.21,7.21,7.08,73
2020-02-24,7.21,7.21,7.21,7.08,20
2020-02-25,7.21,7.21,7.21,7.21,600
2020-02-26,7.21,7.21,7.21,7.21,0
2020-02-27,6.29,6.29,6.22,6.22,1514
2020-02-28,6.22,6.22,6.22,6.22,0
2020-03-02,6.22,6.22,6.22,6.22,0
2020-03-03,6.22,6.22,6.22,6.22,0
2020-03-04,6.22,6.22,6.22,6.22,320
2020-03-05,6.22,6.22,6.22,6.22,200
2020-03-06,7.08,7.08,7.08,7.08,100
2020-03-09,7.14,7.14,6.22,6.29,1750
2020-03-10,6.42,6.42,6.42,6.29,0
2020-03-11,6.42,6.42,6.42,6.29,0
2020-03-12,6.42,6.42,6.42,6.29,0
2020-03-13,6.42,6.42,6.42,6.29,0
2020-03-16,6.09,6.09,6.09,6.09,1305
2020-03-17,5.9,6.09,5.9,6.09,1600
2020-03-18,5.96,6.75,5.96,6.75,3300
2020-03-19,6.75,6.75,6.75,6.75,2450
2020-03-20,6.75,6.75,6.75,6.75,0
2020-03-23,6.75,6.75,6.75,6.75,97
2020-03-24,6.75,6.75,6.75,6.75,0
2020-03-25,5.83,6.55,5.83,6.55,700
2020-03-26,6.16,6.16,6.16,6.55,0
2020-03-27,6.16,6.16,6.16,6.55,0
2020-03-30,6.16,6.16,6.16,6.55,0
