time,open,high,low,close,volume
2020-01-06,5.02,5.02,5.02,5.02,0
2020-01-07,5.02,5.02,5.02,5.02,0
2020-01-08,5.02,5.02,5.02,5.02,0
2020-01-09,5.02,5.02,5.02,5.02,0
2020-01-10,5.02,5.02,5.02,5.02,0
2020-01-13,5.02,5.02,5.02,5.02,0
2020-01-14,5.02,5.02,5.02,5.02,0
2020-01-15,5.02,5.02,5.02,5.02,0
2020-01-16,5.02,5.02,5.02,5.02,0
2020-01-17,5.02,5.02,5.02,5.02,0
2020-01-20,5.02,5.02,5.02,5.02,0
2020-01-21,4.85,4.85,4.85,4.85,100
2020-01-22,4.6,5.44,4.51,5.44,5000
2020-01-30,5.11,5.11,5.11,5.44,0
2020-01-31,5.11,5.11,5.11,5.44,0
2020-02-03,5.11,5.11,5.11,5.44,0
2020-02-04,5.11,5.11,5.11,5.44,0
2020-02-05,5.11,5.11,5.11,5.44,0
2020-02-06,5.11,5.11,5.11,5.44,0
2020-02-07,5.11,5.11,5.11,5.44,0
2020-02-10,5.11,5.11,5.11,5.44,0
2020-02-11,5.11,5.11,5.11,5.44,0
2020-02-12,5.11,5.11,5.11,5.44,0
2020-02-13,5.11,5.11,5.11,5.11,100
2020-02-14,5.11,5.11,5.11,5.11,0
2020-02-17,5.11,5.11,5.11,5.11,0
2020-02-18,5.11,5.11,5.11,5.11,0
2020-02-19,5.28,5.28,5.28,5.28,100
2020-02-20,5.28,5.28,5.28,5.28,0
2020-02-21,5.28,5.28,5.28,5.28,0
2020-02-24,5.28,6.04,5.28,5.53,4800
2020-02-25,6.38,6.38,5.28,5.28,18510
2020-02-26,5.36,5.36,5.02,5.02,5300
2020-02-27,5.11,5.11,5.11,5.02,0
2020-02-28,5.36,5.36,5.36,5.36,100
2020-03-02,5.28,5.36,5.28,5.36,4800
2020-03-03,5.36,5.36,5.36,5.36,0
2020-03-04,5.36,5.36,5.36,5.36,5200
2020-03-05,5.02,5.02,4.68,4.68,300
2020-03-06,5.36,5.53,5.36,5.53,3610
2020-03-09,4.85,4.85,4.85,4.85,2000
2020-03-10,4.85,4.85,4.85,4.85,0
2020-03-11,4.85,4.85,4.85,4.85,2000
2020-03-12,4.93,4.93,4.93,4.93,2900
2020-03-13,4.85,4.85,4.85,4.85,4200
2020-03-16,4.93,4.93,4.85,4.85,1000
2020-03-17,4.93,4.93,4.93,4.93,2100
2020-03-18,4.93,4.93,4.85,4.85,600
2020-03-19,4.85,4.85,4.68,4.68,1700
2020-03-20,4.76,4.76,4.76,4.76,100
2020-03-23,4.76,4.76,4.76,4.76,200
2020-03-24,4.76,4.76,4.76,4.76,2000
2020-03-25,4.42,4.93,4.42,4.93,3100
2020-03-26,4.68,4.93,4.68,4.93,4000
2020-03-27,4.42,4.93,4.42,4.93,3100
2020-03-30,4.51,5.02,4.51,5.02,2213
2020-03-31,4.6,5.7,4.6,5.7,16100
2020-04-01,5.11,5.11,5.11,5.11,1700
2020-04-03,5.28,5.28,4.85,4.85,2600
2020-04-06,4.85,5.11,4.85,5.11,4500
2020-04-07,5.02,5.02,5.02,5.11,0
2020-04-08,4.85,4.85,4.85,4.85,100
2020-04-09,4.85,4.85,4.85,4.85,0
2020-04-10,5.28,5.28,5.19,5.19,1900
2020-04-13,5.96,5.96,5.02,5.02,300
2020-04-14,4.93,4.93,4.93,4.93,300
2020-04-15,5.28,5.28,5.28,5.28,2520
2020-04-16,5.28,5.28,5.11,5.11,2630
2020-04-17,5.19,5.19,5.02,5.02,3700
2020-04-20,5.02,5.02,4.93,4.93,7000
2020-04-21,4.93,4.93,4.93,4.93,3300
2020-04-22,5.11,5.11,4.76,4.76,9100
2020-04-23,4.85,4.85,4.85,4.85,10000
2020-04-24,4.85,4.85,4.85,4.85,7200
2020-04-27,4.85,4.85,4.85,4.85,1690
2020-04-28,4.85,4.85,4.85,4.85,0
2020-04-29,4.85,4.85,4.85,4.85,8539
2020-05-04,4.85,4.85,4.85,4.85,900
2020-05-05,4.85,4.85,4.85,4.85,0
2020-05-06,4.85,4.85,4.76,4.76,10300
2020-05-07,4.85,4.85,4.85,4.76,0
2020-05-08,4.85,4.85,4.85,4.76,0
2020-05-11,5.02,5.02,5.02,5.02,1000
2020-05-12,5.02,5.02,5.02,5.02,0
2020-05-13,4.93,4.93,4.93,4.93,3100
2020-05-14,4.93,4.93,4.93,4.93,3000
2020-05-15,4.93,4.93,4.93,4.93,0
2020-05-18,4.85,5.11,4.85,5.11,2000
2020-05-19,4.85,4.85,4.85,4.85,5500
2020-05-20,4.85,4.85,4.85,4.85,10
2020-05-21,4.85,4.85,4.85,4.85,2000
2020-05-22,4.85,4.85,4.85,4.85,5000
2020-05-25,4.85,4.85,4.85,4.85,10
2020-05-26,5.02,5.02,5.02,5.02,3000
2020-05-27,4.93,4.93,4.85,4.85,12500
2020-05-28,5.02,5.11,5.02,5.11,2000
2020-05-29,5.11,5.11,5.11,5.11,164
2020-06-01,5.11,5.11,5.11,5.11,700
2020-06-02,5.02,5.02,5.02,5.02,4000
2020-06-03,5.02,5.02,5.02,5.02,20
2020-06-04,5.02,5.02,5.02,5.02,1000
2020-06-05,5.02,5.02,5.02,5.02,0
2020-06-08,5.02,5.02,5.02,5.02,0
2020-06-09,5.02,5.02,5.02,5.02,6640
2020-06-10,5.02,5.02,5.02,5.02,1300
2020-06-11,4.85,5.02,4.85,5.02,4920
2020-06-12,4.85,4.85,4.85,5.02,0
2020-06-15,4.85,4.85,4.85,5.02,0
2020-06-16,4.85,4.85,4.76,4.76,4100
2020-06-17,4.76,4.76,4.76,4.76,0
2020-06-18,4.76,4.76,4.76,4.76,0
2020-06-19,4.85,4.85,4.85,4.85,1000
2020-06-22,4.85,4.85,4.76,4.76,5000
2020-06-23,4.76,4.76,4.76,4.76,0
2020-06-24,4.76,4.76,4.76,4.76,0
2020-06-25,4.76,4.76,4.76,4.76,0
2020-06-26,4.76,4.76,4.76,4.76,6100
2020-06-29,4.76,5.36,4.76,5.36,37700
2020-06-30,5.02,5.62,4.68,5.62,40000
2020-07-01,5.11,5.11,5.11,5.62,0
2020-07-02,5.11,5.11,5.11,5.62,0
2020-07-03,5.11,5.11,5.11,5.62,0
2020-07-06,5.11,5.11,5.11,5.62,0
2020-07-07,5.11,5.11,5.11,5.11,500
2020-07-08,5.11,5.11,5.11,5.11,0
2020-07-09,5.11,5.28,5.11,5.11,80200
2020-07-10,5.11,5.11,5.11,5.11,4200
2020-07-13,5.11,5.11,5.11,5.11,0
2020-07-14,5.11,5.11,5.11,5.11,0
2020-07-15,4.85,5.11,4.85,5.11,2400
2020-07-16,4.68,4.68,4.68,4.68,1700
2020-07-17,5.02,5.02,5.02,5.02,100
2020-07-20,5.02,5.02,5.02,5.02,0
2020-07-21,5.02,5.02,5.02,5.02,0
2020-07-22,5.02,5.02,5.02,5.02,0
2020-07-23,5.11,5.11,5.11,5.11,100
2020-07-24,5.11,5.11,5.11,5.11,0
2020-07-27,5.11,5.11,5.11,5.11,0
2020-07-28,5.11,5.11,5.11,5.11,0
2020-07-29,5.11,5.11,5.11,5.11,0
2020-07-30,5.11,5.11,5.11,5.11,0
2020-07-31,5.11,5.11,5.11,5.11,0
2020-08-03,5.11,5.11,5.11,5.11,0
2020-08-04,5.11,5.11,5.11,5.11,0
2020-08-05,5.11,5.11,5.11,5.11,0
2020-08-06,4.51,4.51,4.51,4.51,1024
2020-08-07,4.51,4.51,4.51,4.51,0
2020-08-10,4.51,4.51,4.51,4.51,0
2020-08-11,4.51,4.51,4.51,4.51,0
2020-08-12,5.11,5.11,5.11,5.11,100
2020-08-13,5.11,5.11,5.11,5.11,0
2020-08-14,5.53,5.53,5.53,5.53,100
2020-08-17,5.53,5.53,5.53,5.53,0
2020-08-18,4.76,4.76,4.76,4.76,2000
2020-08-19,4.76,4.76,4.76,4.76,0
2020-08-20,4.76,4.76,4.76,4.76,0
2020-08-21,4.76,4.76,4.76,4.76,0
2020-08-24,5.44,5.44,5.19,5.19,610
2020-08-25,5.28,5.28,5.28,5.19,0
2020-08-26,5.28,5.28,5.28,5.19,1
2020-08-27,5.28,5.28,5.28,5.19,40
2020-08-28,5.28,5.28,5.28,5.19,0
2020-08-31,4.6,4.6,4.6,4.6,600
