time,open,high,low,close,volume
2020-01-06,15.1,15.1,15.1,15.1,0
2020-01-07,15.1,15.1,15.1,15.1,0
2020-01-08,15.1,15.1,15.1,15.1,0
2020-01-09,15.1,15.1,15.1,15.1,0
2020-01-10,15.1,15.1,15.1,15.1,0
2020-01-13,15.1,15.1,15.1,15.1,0
2020-01-14,15.1,15.1,15.1,15.1,0
2020-01-15,15.1,15.1,15.1,15.1,0
2020-01-16,15.1,15.1,15.1,15.1,0
2020-01-17,15.1,15.1,15.1,15.1,0
2020-01-20,15.1,15.1,15.1,15.1,0
2020-01-21,15.1,15.1,15.1,15.1,0
2020-01-22,15.1,15.1,15.1,15.1,0
2020-01-30,15.1,15.1,15.1,15.1,0
2020-01-31,16.48,16.48,16.48,16.48,100
2020-02-03,16.48,16.48,16.48,16.48,0
2020-02-04,16.48,16.48,16.48,16.48,0
2020-02-05,16.48,16.48,16.48,16.48,0
2020-02-06,16.48,16.48,16.48,16.48,0
2020-02-07,16.48,16.48,16.48,16.48,0
2020-02-10,16.48,16.48,16.48,16.48,0
2020-02-11,16.48,16.48,16.48,16.48,0
2020-02-12,16.48,16.48,16.48,16.48,0
2020-02-13,16.48,16.48,16.48,16.48,0
2020-02-14,16.48,16.48,16.48,16.48,0
2020-02-17,14.0,14.0,14.0,14.0,200
2020-02-18,14.0,14.0,14.0,14.0,0
2020-02-19,14.0,14.0,14.0,14.0,0
2020-02-20,14.0,14.0,14.0,14.0,0
2020-02-21,12.63,12.63,12.63,12.63,2900
2020-02-24,14.5,14.5,14.5,14.5,2100
2020-02-25,14.5,14.5,14.5,14.5,0
2020-02-26,16.48,16.48,16.48,16.48,100
2020-02-27,16.48,16.48,16.48,16.48,0
2020-02-28,16.48,16.48,16.48,16.48,100
2020-03-02,16.48,16.48,16.48,16.48,0
2020-03-03,16.48,16.48,16.48,16.48,0
2020-03-04,16.48,16.48,16.48,16.48,0
2020-03-05,14.0,14.0,14.0,14.0,100
2020-03-06,14.0,14.0,14.0,14.0,0
2020-03-09,14.0,14.0,14.0,14.0,0
2020-03-10,11.92,11.92,11.92,11.92,100
2020-03-11,13.68,13.68,13.68,13.68,1800
2020-03-12,15.65,15.65,15.65,15.65,200
2020-03-13,15.65,15.65,15.65,15.65,0
2020-03-16,15.65,15.65,15.65,15.65,0
2020-03-17,15.65,15.65,15.65,15.65,0
2020-03-18,15.65,15.65,15.65,15.65,0
2020-03-19,16.42,16.42,16.42,16.42,100
2020-03-20,18.62,18.62,18.62,18.62,100
2020-03-23,18.62,18.62,18.62,18.62,0
2020-03-24,18.62,18.62,18.62,18.62,0
2020-03-25,18.62,18.62,18.62,18.62,0
2020-03-26,18.62,18.62,18.62,18.62,0
2020-03-27,15.87,15.87,15.87,15.87,900
2020-03-30,13.51,13.51,13.51,13.51,400
2020-03-31,13.51,13.51,13.51,13.51,0
2020-04-01,13.51,13.51,13.51,13.51,0
2020-04-03,13.51,13.51,13.51,13.51,500
2020-04-06,11.59,11.7,11.59,11.7,300
2020-04-07,11.64,11.64,11.64,11.7,0
2020-04-08,11.64,11.64,11.64,11.7,0
2020-04-09,13.29,13.29,13.29,13.29,100
2020-04-10,12.25,12.25,12.25,12.25,400
2020-04-13,14.06,14.06,14.06,14.06,100
2020-04-14,16.15,16.15,16.15,16.15,100
2020-04-15,16.15,16.15,16.15,16.15,0
2020-04-16,16.15,16.15,16.15,16.15,0
2020-04-17,16.15,16.15,16.15,16.15,0
2020-04-20,16.48,16.48,16.48,16.48,500
2020-04-21,16.48,16.48,16.48,16.48,0
2020-04-22,18.89,18.89,18.89,18.89,100
2020-04-23,18.89,18.89,18.89,18.89,0
2020-04-24,18.89,18.89,18.89,18.89,0
2020-04-27,18.89,18.89,18.89,18.89,0
2020-04-28,16.09,16.09,16.09,16.09,200
2020-04-29,13.79,13.79,13.79,13.79,100
2020-05-04,13.79,13.79,13.79,13.79,0
2020-05-05,13.79,13.79,13.79,13.79,0
2020-05-06,12.25,12.25,12.25,12.25,100
2020-05-07,12.25,12.25,12.25,12.25,0
2020-05-08,12.14,12.14,12.14,12.14,100
2020-05-11,12.14,12.14,12.14,12.14,0
2020-05-12,12.14,12.14,12.14,12.14,0
2020-05-13,10.32,10.32,10.32,10.32,100
2020-05-14,10.32,10.32,10.32,10.32,0
2020-05-15,10.32,10.32,10.32,10.32,0
2020-05-18,10.32,10.32,10.32,10.32,0
2020-05-19,10.32,10.32,10.32,10.32,0
2020-05-20,10.32,10.32,10.32,10.32,0
2020-05-21,10.32,10.32,10.32,10.32,0
2020-05-22,10.32,10.32,10.32,10.32,0
2020-05-25,10.32,10.32,10.32,10.32,0
2020-05-26,10.32,10.32,10.32,10.32,0
2020-05-27,10.32,10.32,10.32,10.32,0
2020-05-28,10.32,10.32,10.32,10.32,0
2020-05-29,10.32,10.32,10.32,10.32,0
2020-06-01,10.32,10.32,10.32,10.32,0
2020-06-02,10.32,10.32,10.32,10.32,0
2020-06-03,10.32,10.32,10.32,10.32,0
2020-06-04,10.32,10.32,10.32,10.32,0
2020-06-05,10.32,10.32,10.32,10.32,0
2020-06-08,10.32,10.32,10.32,10.32,0
2020-06-09,10.32,10.32,10.32,10.32,0
2020-06-10,10.32,10.32,10.32,10.32,0
2020-06-11,10.32,10.32,10.32,10.32,0
2020-06-12,10.32,10.32,10.32,10.32,0
2020-06-15,10.32,10.32,10.32,10.32,0
2020-06-16,10.32,10.32,10.32,10.32,0
2020-06-17,10.32,10.32,10.32,10.32,0
2020-06-18,10.32,10.32,10.32,10.32,0
2020-06-19,10.32,10.32,10.32,10.32,0
2020-06-22,10.38,10.38,10.38,10.38,100
2020-06-23,10.38,10.38,10.38,10.38,0
2020-06-24,10.38,10.38,10.38,10.38,0
2020-06-25,10.38,10.38,10.38,10.38,0
2020-06-26,10.38,10.38,10.38,10.38,0
2020-06-29,10.38,10.38,10.38,10.38,0
2020-06-30,11.92,11.92,8.84,8.84,200
2020-07-01,10.38,10.38,10.38,8.84,0
2020-07-02,10.38,10.38,10.38,8.84,0
2020-07-03,10.38,10.38,10.38,8.84,0
2020-07-06,10.38,10.38,10.38,8.84,0
2020-07-07,11.92,11.92,11.92,11.92,300
2020-07-08,13.68,13.68,13.68,13.68,100
2020-07-09,15.65,15.65,15.65,15.65,100
2020-07-10,17.85,17.85,17.85,17.85,100
2020-07-13,15.21,15.21,15.21,15.21,200
2020-07-14,15.21,15.21,15.21,15.21,0
2020-07-15,15.21,15.21,15.21,15.21,0
2020-07-16,16.97,16.97,16.97,16.97,100
2020-07-17,18.56,18.56,18.56,18.56,100
2020-07-20,18.56,18.56,18.56,18.56,0
2020-07-21,18.56,18.56,18.56,18.56,0
2020-07-22,18.56,18.56,18.56,18.56,0
2020-07-23,15.82,15.82,15.82,15.82,400
2020-07-24,15.82,15.82,15.82,15.82,0
2020-07-27,15.82,15.82,15.82,15.82,0
2020-07-28,15.82,15.82,15.82,15.82,0
2020-07-29,15.82,15.82,15.82,15.82,0
2020-07-30,15.82,15.82,15.82,15.82,0
2020-07-31,15.82,15.82,15.82,15.82,0
2020-08-03,15.82,15.82,15.82,15.82,200
2020-08-04,15.82,15.82,15.82,15.82,0
2020-08-05,15.82,15.82,15.82,15.82,0
2020-08-06,15.82,15.82,15.82,15.82,0
2020-08-07,15.82,15.82,15.82,15.82,0
2020-08-10,15.82,15.82,15.82,15.82,0
2020-08-11,15.82,15.82,15.82,15.82,0
2020-08-12,15.82,15.82,15.82,15.82,0
2020-08-13,15.82,15.82,15.82,15.82,0
2020-08-14,15.82,15.82,15.82,15.82,0
2020-08-17,15.82,15.82,15.82,15.82,0
2020-08-18,15.82,15.82,15.82,15.82,0
2020-08-19,15.82,15.82,15.82,15.82,0
2020-08-20,15.82,15.82,15.82,15.82,0
2020-08-21,15.82,15.82,15.82,15.82,0
2020-08-24,15.82,15.82,15.82,15.82,0
2020-08-25,15.82,15.82,15.82,15.82,0
2020-08-26,15.82,15.82,15.82,15.82,0
2020-08-27,15.82,15.82,15.82,15.82,0
2020-08-28,15.82,15.82,15.82,15.82,0
2020-08-31,15.82,15.82,15.82,15.82,0
2020-09-01,15.82,15.82,15.82,15.82,0
2020-09-03,15.82,15.82,15.82,15.82,0
2020-09-04,15.82,15.82,15.82,15.82,0
2020-09-07,13.73,13.73,13.73,13.73,500
2020-09-08,12.19,12.19,12.19,12.19,800
2020-09-09,12.19,12.19,12.19,12.19,0
2020-09-10,12.19,12.19,12.19,12.95,0
2020-09-11,12.19,12.19,12.19,12.95,0
2020-09-14,12.19,12.19,12.19,12.95,0
2020-09-15,12.19,12.19,12.19,12.95,0
2020-09-16,14.0,14.0,14.0,14.0,100
2020-09-17,14.0,14.0,14.0,14.0,0
2020-09-18,16.1,16.1,16.1,16.1,100
2020-09-21,16.1,16.1,16.1,16.1,0
2020-09-22,16.1,16.1,16.1,16.1,0
