time,open,high,low,close,volume
2020-01-02,7.14,7.23,7.11,7.23,92776
2020-01-03,7.23,7.23,7.08,7.11,68200
2020-01-06,7.11,7.11,6.97,6.97,58880
2020-01-07,6.97,7.14,6.97,7.11,36562
2020-01-08,7.11,7.14,6.76,6.76,71120
2020-01-09,6.76,7.08,6.7,7.02,73310
2020-01-10,7.06,7.14,7.02,7.02,47055
2020-01-13,7.0,7.06,7.0,7.06,72290
2020-01-14,7.08,7.23,7.08,7.2,32650
2020-01-15,7.2,7.2,7.14,7.2,27855
2020-01-16,7.2,7.2,7.14,7.17,24600
2020-01-17,7.17,7.23,7.17,7.23,29200
2020-01-20,7.26,7.32,7.23,7.26,38228
2020-01-21,7.23,7.32,7.23,7.26,47300
2020-01-22,7.29,7.38,7.29,7.38,15290
2020-01-30,7.41,7.52,7.38,7.49,113800
2020-01-31,7.46,7.46,7.2,7.2,223105
2020-02-03,7.17,7.17,6.88,7.0,133550
2020-02-04,7.2,7.23,7.0,7.06,69245
2020-02-05,7.08,7.17,7.06,7.08,18482
2020-02-06,7.17,7.17,7.06,7.08,50954
2020-02-07,7.08,7.11,7.08,7.11,58413
2020-02-10,7.11,7.14,7.08,7.11,34730
2020-02-11,7.14,7.17,7.11,7.11,29630
2020-02-12,7.08,7.29,7.08,7.26,56280
2020-02-13,7.26,7.26,7.2,7.2,51040
2020-02-14,7.2,7.2,7.14,7.17,59700
2020-02-17,7.17,7.17,7.14,7.14,99820
2020-02-18,7.17,7.32,7.17,7.32,70077
2020-02-19,7.26,7.26,7.23,7.26,40660
2020-02-20,7.26,7.29,7.23,7.23,163565
2020-02-21,7.26,7.35,7.17,7.2,306437
2020-02-24,7.17,7.2,6.97,7.02,322405
2020-02-25,6.94,7.23,6.88,7.2,419793
2020-02-26,7.2,7.2,7.11,7.14,32800
2020-02-27,7.14,7.17,7.11,7.11,31065
2020-02-28,7.11,7.14,7.08,7.14,71364
2020-03-02,7.11,7.2,7.11,7.11,37202
2020-03-03,7.14,7.14,7.11,7.11,19815
2020-03-04,7.08,7.17,7.06,7.11,68000
2020-03-05,7.11,7.17,7.11,7.14,62165
2020-03-06,7.14,7.23,7.08,7.14,50400
2020-03-09,7.14,7.14,6.64,6.64,335153
2020-03-10,6.64,6.91,6.64,6.79,144940
2020-03-11,6.88,7.0,6.67,6.7,262400
2020-03-12,6.7,6.7,6.38,6.56,342520
2020-03-13,6.15,6.73,6.15,6.62,335341
2020-03-16,6.62,7.02,6.59,6.67,61661
2020-03-17,6.67,6.67,6.5,6.59,260500
2020-03-18,6.64,6.73,6.59,6.67,135740
2020-03-19,6.5,6.64,6.41,6.59,86610
2020-03-20,6.56,6.59,6.53,6.53,53410
2020-03-23,6.44,6.53,6.29,6.29,239314
2020-03-24,6.29,6.56,6.29,6.29,30320
2020-03-25,6.32,6.32,6.09,6.26,129330
2020-03-26,6.59,6.59,6.06,6.15,78900
2020-03-27,6.15,6.24,5.91,6.15,109640
